UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Omosede Ogiamien,@OmosedeAyanru,2020-11-23T17:07:51.000Z,"COVID-19 Loss Analytics and Information Management System https://deloi.tt/2UVzLO1 via 
@DeloitteUSCOVID-19 Loss Analytics and Information Management System
Explore how our COVID-19 Loss Analytics and Information Management System platform can help you overcome funding and financial relief requirement challenges.
deloitte.com",,1,1
WinslowNjGOP,@winslownjgop1,2020-11-21T12:08:00.000Z,"hey 
@camdencountynj
, 
@WinslowTownship
 
are you bringing any employers in?
Start tweeting employment and stop the corona junk

Deloitte Unveils 2020 North America Technology Fast 500 Rankings – Press Release https://deloi.tt/35Ovouw via 
@DeloitteUSDeloitte Unveils 2020 North America Technology Fast 500 Rankings – Press Release
California-based pharmaceutical company claims top spot in 26th annual ranking of fastest-growing businesses.
deloitte.com",,,
Kevin Green,@greenwin11,2020-11-20T18:45:08.000Z,"Agility in the time of COVID-19:  Changing your operating model in an age of turbulence https://mck.co/3f7ExBu via 
@McKinsey
 @AccentureStrat
 @HarvardBiz
 @q_bostonconsult
 @awscloud
 @googlecloud
 @SAPNews
 @DeloitteUS",,,
Versa Cloud ERP,@versaccounts,2020-11-19T19:08:52.000Z,"The essence of resilient leadership: Business recovery from COVID-19: 
@DeloitteUS
 @PunitRenjen
https://hubs.li/H0Bclx30
#covid19 #coronavirus #business #resilienceThe essence of resilient leadership: Business recovery from COVID-19
Resilient leaders shift organizational mindsets, navigate uncertainties, and invest in building trust in order to develop a recovery playbook that serves as a solid foundation for the post-COVID...
deloitte.com",,,
Versa Cloud ERP,@versaclouderp,2020-11-19T18:07:00.000Z,"The essence of resilient leadership: Business recovery from COVID-19: 
@DeloitteUS
 @PunitRenjen
https://bit.ly/37TP8ye
#covid19 #coronavirus #business #resilienceThe essence of resilient leadership: Business recovery from COVID-19
Resilient leaders shift organizational mindsets, navigate uncertainties, and invest in building trust in order to develop a recovery playbook that serves as a solid foundation for the post-COVID...
deloitte.com",,,
Joseph Waller,@WAL_Businnes,2020-11-13T17:31:46.000Z,"VoiceAmBusiness: RT 
@VoiceAmBusiness
: The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.” https://bit.ly/3lq4Yo5 
@DeloitteDigital
 @DeloitteOnTech
 @KLN54
 @VoiceAMBusiness
 #Deloitte #TheKinetic…The Kinetic Enterprise: Sustainability at Organization's Heart
The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.
voiceamerica.com",,1,1
Joseph Waller,@WAL_Businnes,2020-11-13T17:31:46.000Z,"VoiceAmBusiness: RT 
@WAL_Businnes
: VoiceAmBusiness: The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.” https://bit.ly/3lq4Yo5 
@DeloitteDigital
 @DeloitteOnTech
 @KLN54
 @VoiceAMBusiness
 #Deloit…The Kinetic Enterprise: Sustainability at Organization's Heart
The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.
voiceamerica.com",,1,1
Joseph Waller,@WAL_Businnes,2020-11-13T13:31:36.000Z,"VoiceAmBusiness: The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.” https://bit.ly/3lq4Yo5 
@DeloitteDigital
 @DeloitteOnTech
 @KLN54
 @VoiceAMBusiness
 #Deloitte #TheKineticEnterprise #SAPThe Kinetic Enterprise: Sustainability at Organization's Heart
The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.
voiceamerica.com",,1,1
VoiceAmerica Business,@VoiceAmBusiness,2020-11-13T13:01:36.000Z,"The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.” https://bit.ly/3lq4Yo5 
@DeloitteDigital
 @DeloitteOnTech
 @KLN54
 @VoiceAMBusiness
 #Deloitte #TheKineticEnterprise #SAPThe Kinetic Enterprise: Sustainability at Organization's Heart
The COVID-19 crisis has challenged organizations in every industry to reimagine their business and focus on getting to the “next normal.
voiceamerica.com",,1,2
BristolTechFestival,@tech_bristol,2020-11-13T10:43:03.000Z,"Up next is our rescheduled session from 
@DeloitteDigital
!

We're back ready to bring you 'The Human Impact of Covid: Beyond the statistics' - tune in and we'll see you there
https://hubs.li/H0zS1660",,,1
