UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Lisa Takala,@Ltakala1,2020-11-20T18:41:38.000Z,"Data luminaries: Looking to harness the power of artificial intelligence? Catch the replays of the 
@DeloitteOnTech
’s sessions on-demand from 
@SnowflakeDB
's Data Cloud Summit. https://deloi.tt/334jiLV",,2,1
Patrick Jehu,@patrickjehu,2020-11-20T18:40:04.000Z,"Data luminaries: Looking to harness the power of artificial intelligence? Catch the replays of the 
@DeloitteOnTech
’s sessions on-demand from 
@SnowflakeDB
's Data Cloud Summit. https://deloi.tt/2HjbfTR",,3,2
Rohit Pereira,@rohitnp,2020-11-20T18:30:49.000Z,"Data luminaries: Looking to harness the power of artificial intelligence? Catch the replays of the 
@DeloitteOnTech
’s sessions on-demand from 
@SnowflakeDB
's Data Cloud Summit. https://deloi.tt/3nFkbT6",,1,1
Bari Faudree,@BariFaudree,2020-11-20T18:30:34.000Z,"Data luminaries: Looking to harness the power of artificial intelligence? Catch the replays of the 
@DeloitteOnTech
’s sessions on-demand from 
@SnowflakeDB
's Data Cloud Summit. https://deloi.tt/3320HjR",,1,
iamrmac,@iamrmac,2020-11-13T22:15:00.000Z,"Trustworthy Artificial Intelligence (AI)™ https://deloi.tt/3dwkUBO via 
@DeloitteUSTrustworthy Artificial Intelligence (AI)™
As AI is adopted by a growing number of organizations and functions within an organization, it is a capability that must command the attention and active governance of the C-suite and board of...
deloitte.com",,2,
Automeme,@automeme,2020-10-15T19:15:03.000Z,"What is artificial intelligence (AI)?
#ArtificialIntelligence #AI #DataScience #MachineLearning #BigData #DeepLearning #NLP #Robots #IOTA 
@DeloitteOnTech
 @thomashiller
 @Dabetts_burgh
 @DeloitteUS
 @robvank
 
https://buff.ly/2H4gSov",,1,1
Kyle Johnson,@kyleatdeloitte,2020-10-06T21:43:09.000Z,"CFO Insights: Why CFOs Should Have Artificial Intelligence on Their Minds https://deloi.tt/3jlGUSw via 
@DeloitteUSCFO Insights: Why CFOs Should Have Artificial Intelligence on Their Minds
Smart CFOs now have to give serious thought to artificial intelligence (AI). The technology, which enables computers to be taught to analyze data, identify patterns, and predict outcomes, has evolved...
deloitte.com",,,
Siemens Digital Industries Software Partners,@SiemensPartners,2020-09-29T14:42:00.000Z,"What happens when sustainability, artificial intelligence, #IoT and robotics come together under one roof? The Smart Factory @ Wichita. Learn more about 
@siemenssoftware
 collaboration with 
@DeloitteUS
 and 
@WichitaState
 #smartfactory #siemenspartnersThe Smart Factory @ Wichita
Visit Deloitte at The Smart Factory @ Wichita—a new, immersive experience to innovate and accelerate digital transformation in factories.
deloitte.com",,,2
Jessica Davis,@jessicadavis,2020-09-14T14:12:56.000Z,"The intelligent edge is a combination of processing power, artificial intelligence, and advanced connectivity that’s located near devices that generate and consume data, says 
@Jeff__Loucks
 of 
@DeloitteTMT
 https://buff.ly/2DZkhnn 
@jpruth
 @InformationWeek",,,1
richard starnes,@richardstarnes,2020-09-02T15:53:18.000Z,"Ethics and governance are increasingly important as companies adopt AI. Trustworthy Artificial Intelligence (AI)™ https://deloi.tt/3dwkUBO via 
@DeloitteUSTrustworthy Artificial Intelligence (AI)™
As AI is adopted by a growing number of organizations and functions within an organization, it is a capability that must command the attention and active governance of the C-suite and board of...
deloitte.com",,,
AlisonTBoston,@AlisonTBoston,2020-01-30T20:40:33.000Z,"Pairing Tax with Artificial Intelligence https://deloi.tt/36IBERA via 
@DeloitteUS
 #AIPairing Tax with Artificial Intelligence
The tax department can fundamentally increase its value to the business by combining artificial intelligence with sophisticated tax data analytics.
deloitte.com",,,
Amy Neumann,@CharityIdeas,2020-01-16T16:17:18.000Z,"Capitalizing on the promise of artificial intelligence http://bit.ly/2rcusPf via 
@DeloitteUS
 #AICapitalizing on the promise of artificial intelligence
How is AI adoption playing out around the world, and how do adopters and governments view the technologies’ potential—and risks? Recent research from Deloitte Global member firms shows executives...
deloitte.com",,,
Antonio Figueiredo,@afigueiredo,2020-01-16T10:57:07.000Z,"Capitalizing on the promise of artificial intelligence 

#AI
http://bit.ly/2rcusPf via 
@DeloitteUSCapitalizing on the promise of artificial intelligence
How is AI adoption playing out around the world, and how do adopters and governments view the technologies’ potential—and risks? Recent research from Deloitte Global member firms shows executives...
deloitte.com",,,1
Bhagirath Kumar Lader,@bhagirathl,2020-01-08T06:15:09.000Z,"Smarter together: Why artificial intelligence needs human-centered design 

Putting human-context to Artificial Intelligence 

via 
@DeloitteUS
#artificialintelligence #AI #humanitySmarter together: Why artificial intelligence needs human-centered design
Artificial intelligence technology can result in artificial stupidity if it's poorly designed, implemented, or adapted. What's crucial? Ensuring it's designed to help humans think better.
deloitte.com",,,
Bhagirath Developer Account,@BhagirathDevel1,2020-01-08T06:14:46.000Z,"Smarter together: Why artificial intelligence needs human-centered design 

Putting human-context to Artificial Intelligence 

via 
@DeloitteUS
#artificialintelligence #AI #humanitySmarter together: Why artificial intelligence needs human-centered design
Artificial intelligence technology can result in artificial stupidity if it's poorly designed, implemented, or adapted. What's crucial? Ensuring it's designed to help humans think better.
deloitte.com",,,
Howard Steinman,@HowardSteinman,2019-11-21T20:57:07.000Z,"As the government uses artificial intelligence more, how can the experiences of early adopters guide other public sector organizations? http://bit.ly/2K6RfCh via 
@DeloitteUS
 @wdeggers
 #AI #PublicSectorGovernment executives on AI
As government uses artificial intelligence more, how can the experiences of early adopters guide other public sector organizations? 
deloitte.com",,1,
Dylan Boyd,@dtboyd,2019-11-11T20:32:02.000Z,"Another landmark in 
@clarifai
 growth as an artificial intelligence company -- 
@DeloitteTMT
 just named them the 71st fastest growing #technology company in North America.
Clarifai grew 1,842% during this period..
http://bit.ly/2X0Jgf8",,,
Clarifai,@clarifai,2019-11-07T20:00:34.000Z,"Another landmark in our growth as an artificial intelligence company -- 
@DeloitteTMT
 just named us the 71st fastest growing #technology company in North America. https://hubs.ly/H0lHFV60",,1,7
Kathy Owens,@Ko123Owens,2019-10-27T00:53:58.000Z,"Managing the black box of artificial intelligence (AI) https://deloi.tt/36c76IX via 
@DeloitteUSManaging the black box of artificial intelligence (AI)
The use of AI techniques and solutions for a wide range of novel applications leaves organizations open to new risks.
deloitte.com",,,
Martin Ford,@MFordFuture,2019-10-16T17:16:27.000Z,"Where are the seasoned #AI experts? Report from 
@DeloitteTMT
 offers global contrasts on artificial intelligence adoption and deployment.Global view of AI: How industries around the world are adopting AI?
In a previous post, I looked at the first of three reports recently published by Deloitte exploring how artificial intelligence (AI) is being deployed in organizations. The reports are based on a...
linkedin.com",,3,7
Kevin Westcott,@kwestcott911,2019-05-20T14:52:47.000Z,"Deloitte’s global AI report provides insights on how artificial intelligence is impacting economic development around the world. #AI #articificalintelligence 
@DeloitteStratOp
 @DeloitteOnTech
 @DeloitteInsight
 @Deloitte
 https://deloi.tt/2WXl5h0",,,
Stevenson Yendluri,@steveyendluri,2019-05-18T06:35:35.000Z,"Deloitte’s global AI report provides insights on how artificial intelligence is impacting economic development around the world. #AI #articificalintelligence 
@DeloitteStratOp
 @DeloitteOnTech
 @DeloitteInsight
 @Deloitte
 https://deloi.tt/2WMasxq",,,
Beth Mueller,@BethMuellerDTax,2019-05-17T17:27:33.000Z,"Deloitte’s global AI report provides insights on how artificial intelligence is impacting economic development around the world. #AI #articificalintelligence 
@DeloitteStratOp
 @DeloitteOnTech
 @DeloitteInsight
 @DeloitteFuture in the balance? How countries are pursuing an AI advantage
Companies around the globe, boosted by countries’ various strategies, have worked to implement AI practices. Our survey suggests what early adopters have learned—and how leaders can learn from their...
deloitte.com",,,
Anjali,@anjalisinch,2019-05-17T16:35:37.000Z,"Deloitte’s global AI report provides insights on how artificial intelligence is impacting economic development around the world.#AI #articificalintelligence 
@DeloitteStratOp
 @DeloitteOnTech
 @DeloitteInsight
 @Deloitte
 https://deloi.tt/2ErieFV",,,
Amanda Hilleary_HC Exp Hire Recruiting,@exp_hc,2019-05-17T14:56:42.000Z,"#AI #articificalintelligence 
@DeloitteStratOp
 @DeloitteOnTech
 @DeloitteInsight
 @Deloitte
 Deloitte’s global AI report provides insights on how artificial intelligence is impacting economic development around the world. https://deloi.tt/2WOtAL3",,,
Milind Tiwari,@MilindTiwari8,2019-02-12T04:42:38.000Z,"Artificial intelligence is changing the physics of financial services and opening the door to entirely new operating models #ArtificialIntelligence #datasharing #dataprivacy #dataintegrity #synergy https://www2.deloitte.com/in/en/pages/financial-services/articles/artificial-intelligence-transforming-financial-ecosystem-deloitte-fsi.html?id=in:2sm:3tw:4dcom_share:5awa:6dcom:financial_services… via 
@DeloitteIndia",,,1
Timothy Barney,@2_commas,2019-02-11T21:58:03.000Z,"How Artificial Intelligence is Transforming the Financial Ecosystem – WEF https://deloi.tt/2zsL6eH via 
@DeloitteUS
 #DeloitteFSIHow Artificial Intelligence is Transforming the Financial Ecosystem – WEF
Artificial intelligence (AI) is significantly changing the traditional operating models of financial institutions, shifting strategic priorities, and upending the competitive dynamics of the financ...
deloitte.com",,,
T'Shaka Lee,@tshakalee,2019-02-07T17:10:26.000Z,"Access to artificial intelligence technologies is becoming easier, so the need to avoid implementation missteps is more of a competitive imperative than ever. #AI #cognitivetech 
@DeloitteTMTSeasoned explorers: How experienced TMT organizations are navigating AI
Early adopters of AI technologies are moving full speed ahead, combining experimentation and structured practices to achieve measurable value. Companies slower to incorporate AI should consider...
deloitte.com",,,
Maik Neubauer,@HHMNE,2019-01-11T19:48:08.000Z,"The state of artificial intelligence - 
@mitsmr
  Technology Review #AI via 
@DeloitteUS
 https://technologyreview.com/s/612663/the-state-of-artificial-intelligence/…",,,
Vic Katyal,@vic_katyal,2019-01-03T00:01:59.000Z,"Changing The Game – How #analytics and artificial intelligence (#AI) are influencing the world of #sports and beyond https://deloi.tt/2EP7mmI via 
@DeloitteUSChanging The Game – Vitamin D Blog
Behind the scenes, on the playing field, and in the grandstands, artificial intelligence is changing the world of sports for professionals, amateurs, and fans alike.
deloitte.com",,3,1
