UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
FICCI,@ficci_india,2020-10-28T13:19:56.000Z,"The 
@ficci_india
-
@DeloitteIndia
 report on FMCG & Retail- REBOOT, states that AI & Machine Learning needs to be used for enhancing customer experience & improve partner & workforce engagements.

#FICCIReportRajat Wahi and 9 others",,3,7
Taro Siddiqui,@Taro_Siddiqui,2020-10-15T18:55:55.000Z,"COMPLETED MY FIRST AI/MACHINE LEARNING PROJECT
Tremendous opportunities in Upstream Oil & Gas (SME)

#ArtificialIntelligence #MachineLearing #MachineIntelligence #oilandgas #HowTo #investors #DeepLearning 
@SPEtweets
 @AAPG
 @XOM
 @PwCUS
 @EY_OilGas
 #consultants 
@DeloitteUS",,23,13
Christine Massa,@cmassa1,2020-03-25T20:54:33.000Z,"See how machine learning can help your organization process 
, manage 
, report 
, and derive insights 
 from #leaseaccounting data. 
@DeloitteAcctgGASB 87 Lease Accounting: Effective Dates and Guidelines
New lease accounting standards for state/local governments and public higher education institutions regulated by GASB (GASB 87) and for the federal government (SFFAS 54).
deloitte.com",,,
Prakash,@tprakashan,2020-03-25T20:16:14.000Z,"See how machine learning can help your organization process 
, manage 
, report 
, and derive insights 
 from #leaseaccounting data. 
@DeloitteAcctgGASB 87 Lease Accounting: Effective Dates and Guidelines
New lease accounting standards for state/local governments and public higher education institutions regulated by GASB (GASB 87) and for the federal government (SFFAS 54).
deloitte.com",,,
Saritha Suppogu,@ssuppogu,2020-03-25T19:56:36.000Z,"See how machine learning can help your organization process 
, manage 
, report 
, and derive insights 
 from #leaseaccounting data. 
@DeloitteAcctgGASB 87 Lease Accounting: Effective Dates and Guidelines
New lease accounting standards for state/local governments and public higher education institutions regulated by GASB (GASB 87) and for the federal government (SFFAS 54).
deloitte.com",,,
JA.,@realjonag,2020-03-05T06:53:01.000Z,"Managing algorithmic risks—safeguarding the use of complex algorithms and machine learning https://deloi.tt/2vsTtWI via 
@DeloitteUSManaging algorithmic risks—safeguarding the use of complex algorithms and machine learning
See how our algorithmic risk management framework can help you manage risks associated with machine learning and algorithm-based decision-making systems.
deloitte.com",,,
Rayna Larson,@RaynaLarson19,2020-03-04T17:59:21.000Z,"Attending 
@x4summit
 next week?  Check out the 
@DeloitteDigital
 #Hux Game Day Experience Lounge! See what a hyper-personalized, machine-learning-driven orchestrated experience looks like for fans of a professional football team! #ElevateHXX4 Experience Management Summit 2020
Learn how to turn customers into fanatics. Employees into ambassadors.Products into obsessions. And brands into religions.
qualtrics.com",,,
SwissCognitive – The Global AI Hub,@SwissCognitive,2020-02-17T12:20:04.000Z,"“We help our clients put a program in place, comprehend their data, manage and govern their data, and apply machine learning algorithms to derive those meaningful insights"" 
@nmittalanalytic
 

http://ow.ly/ZxNp30qhtav 
@DeloitteUS
  @Business_AI
 #CognitiveNews #AI #Deloitte",1,5,6
Ideal,@Ideal,2020-01-26T13:17:04.000Z,"Check out our blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2Scnx3J #HRtech #AIforRecruiting #Deloitte #AI",,,
Piyush Jalan (Sonu),@PiyushJalan93,2019-12-02T13:55:30.000Z,"And here we go - The world’s first machine learning-enabled musical keyboard for developers.

https://aws.amazon.com/deepcomposer/
@awscloud
 @AWSreInvent
 @DeloitteOnTech
 #AWSreinvent2019 #newlaunchAWS DeepComposer
aws.amazon.com",,1,2
LIR HEAnet,@LIRHEAnet,2019-11-15T11:36:57.000Z,"Machine learning and the five vectors of progress http://bit.ly/32R60zq via 
@DeloitteUS
 <= exponential acceleration of technological development.Machine learning and the five vectors of progress
What’s keeping leaders from adopting machine learning? Well, tools are still evolving, practitioners are scarce, and the technology is a bit inscrutable for comfort. But five vectors of progress are...
deloitte.com",,1,3
Timothy Barney,@2_commas,2019-05-28T13:24:22.000Z,"NextGen AML monitoring: Advanced analytics and machine learning - Dbriefs | Deloitte US https://deloi.tt/2HHlezV via 
@DeloitteUS
  #DeloitteFSINextGen AML monitoring: Advanced analytics and machine learning - Dbriefs | Deloitte US
Learn how a phased approach can help them successfully transition to a next-generation AML solution that can efficiently and effectively combat money laundering and terrorist financing.
deloitte.com",,1,1
Ideal,@Ideal,2019-05-15T15:58:04.000Z,"Check out our blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2YsFPNS #HRtech #AIforRecruiting #Deloitte #AI",,,
Ideal,@Ideal,2019-05-14T15:16:04.000Z,"Check out our blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2JolHYS #HRtech #AIforRecruiting #Deloitte #AI",,,
Dimitri Saad,@dtsaad,2019-05-02T18:26:00.000Z,"Deloitte’s Lisa Noon says there’s big promise for in AI and machine learning in the cloud, but that companies must fix poor data quality to succeed. #machinelearning #Cloud #AI #DeloitteCloud 
@DeloitteOnTech
 @InformationWeekQ&A: Deloitte's Lisa Noon on Inclusivity and Cloud Evolution - InformationWeek
As adoption of the cloud accelerates, a broader mix of perspectives can help accelerate innovation.
informationweek.com",,,
Ideal,@Ideal,2019-04-26T15:58:03.000Z,"New blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2VneXRr #HRtech #AIforRecruiting #Deloitte #AI",,,
Deloitte on AI,@DeloitteAI,2019-01-24T21:11:00.000Z,"AI-fueled organizations place #AI, machine learning, and other cognitive technologies at the center of business and #IT operations. Sound disruptive? Explore how to seize the opportunities for your enterprise in 
@DeloitteUS
 #TechTrends 2019 report.AI-fueled organizations
As AI technologies standardize across industries, becoming an AI-fueled organization will likely be table stakes for survival. And that means rethinking the way humans and machines interact within...
deloitte.com",,1,1
Ideal,@Ideal,2019-01-23T20:33:04.000Z,"New blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2CiY3rR #HRtech #AIforRecruiting #Deloitte #AI",,1,
Ideal,@Ideal,2019-01-19T17:26:03.000Z,"New blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2VBSMEp #HRtech #AIforRecruiting #Deloitte #AI",,,
Ideal,@Ideal,2019-01-10T15:48:06.000Z,"New blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2VtZdJQ #HRtech #AIforRecruiting #Deloitte #AI",,,1
Ideal,@Ideal,2019-01-05T17:26:04.000Z,"New blog post featuring research from 
@DeloitteUS
 | Machine Learning in HR: Why More Than 63% Of Companies Are Already Using It http://bit.ly/2Vs3Tj6 #HRtech #AIforRecruiting #Deloitte #AI",,,
