UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
ABP Club,@abpclub,2020-11-25T14:08:18.000Z,"UK motor insurance market to record profit in 2020 due to COVID-19 lockdowns - but loss expected in 2021 due to ""repair inflation"" - reports 
@EYnews
.. http://abpclub.co.uk/bodyshop-news.php?id=156638…",,,
DbaRBABancorpNewYorkCity,@rbabanksoleprop,2020-11-25T10:54:20.000Z,"Replying to 
@Janet_Truncale
 and 
@EY_USI'm thankful for EY. With your Accounting and record keeping, we have Done some things. Like. Secured Vaccine's, Secured COVID-19 TREATMENT OPTIONS, Took out Shantytown's WORLDWIDE, Provided Christmas, Thanksgiving, LABOR Day, 4th Of July and Global Events to keep LIFE MOVING.",1,,
ICF,@ICF,2020-11-24T08:22:00.000Z,"Our report, produced with 
@EY_India
, on how COVID-19 has impacted business travel in India finds that airlines should refocus on new traveler profiles and implement new tools that could be leveraged to generate new revenue streams.How COVID-19 has impacted corporate travel in India
EY, ICF survey explores how COVID-19 has impacted businesses and expectations of the C-suite on how the pandemic will influence the corporate travel policies going forward.
ey.com",,3,4
Redwood Classics,@RedwoodClassics,2020-11-23T16:33:44.000Z,"""We have managed to sustain Canadian apparel production for 30+ years."" - Hear about 
@kathykwcheng
's proudest achievements and about what COVID-19 has taught her personally and professionally on the 
@EYCanada
 #EntrepreneurShift series. https://ey.com/en_ca/the-entrepreneur-shift/kathy-cheng…
@EYnewsThe Entrepreneur Shift - Kathy Cheng EWW alum interview
The Entrepreneur Shift is a series of interviews that dives deeper into the pivots Canadian entrepreneurs have made while navigating COVID-19.
ey.com",,1,3
Asset TV Europe,@AssetTVEurope,2020-11-23T10:17:00.000Z,"In this programme we look at the impact of the COVID pandemic, the rise of #ESG and #SustainableInvesting: https://bit.ly/3kWTDe8

On the panel to discuss: 

• Massimo di Tria, Cattolica Assicurazioni 
• 
@GarethMee_EY
, Partner, 
@EY_UKI
 • Sindhu Krishna, 
@PhoenixGroupUK",,,1
Redfern Legal,@RedfernLegal,2020-11-19T08:09:04.000Z,"@EYnews
 reports 43% of overseas multinational firms are still pursuing UK investments that were being planned before COVID-19 – down from 72% in April. The fall would represent around 500 projects. EY found 5% of firms have cancelled investment plans, while 35% have scaled back",,,
Depressed CA student,@ca_depressed,2020-11-19T06:08:01.000Z,"@KPMGIndia
 @EY_India
 @DeloitteIndia
 @PwC_IN
 Is it true that you are creating pressure on 
@theicai
 to conduct exams as you need articles/staff accountant? In this covid pandemic, you guys care about money more than life? Not hard to believe as I am also one amongst your employees",2,2,1
DbaRBABancorpNewYorkCity,@rbabanksoleprop,2020-11-18T21:59:34.000Z,"@NewYorkFed
 @WWLawFirm
 @ViacomCBS
 40% Stake in 
@SilvercupNYC
 @EY_Tax
 @FDICgov
 @USOCC
 Authorized Signed by Titus Ra'meir Pierce MBA $4 BN USD to 
@SilvercupNYC
  Rubric : $1 BN USD to Package ALL CHEFS, GRIPS, Setbuilders & General Labor out of work since COVID-19 Outbreak & 4ward",1,,
BUILDinBoston,@BUILDinBoston,2020-11-18T19:02:26.000Z,"Our BUILDFest competition has shifted to a new #virtual format: The BUILD Boston COVID-19 Virtual Design Challenge Presented by 
@EY_US
 -student teams will submit #videos for the chance to win cash #prizes. Look out for updates of the innovative ideas coming from BUILD students!GIF",,,1
Jean Callanan,@JeanCallanan,2020-11-18T14:21:48.000Z,"""Covid has shown us we can do things differently"" 
@MarkGregoryEY
 . Upbeat presentation by Chief Economist at 
@EY_UKI
 on  how we can move on to a better #postcovid future. Great food for thought  ... and optimism. 
@Goodaftercovid
 
. 
,Quote Tweet
Centre for Progressive Policy
@CentreProPolicy
 · Nov 18
We're about to kick off our spending review event with @calldritt, @dominiccampbell, @markgregoryey, @FrancescaGains and @HeatheratTheMJ.

Follow the discussion live on twitter:
https://twitter.com/i/broadcasts/1BdGYYaapmgGX…

and youtube:
https://youtube.com/watch?v=xujYO3A3M7w&feature=emb_title…
Show this thread",,,1
