UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Correlation One,@CorrelationOne,2019-10-03T22:00:16.000Z,"Extremely proud to welcome aboard 
@EYnews
 as a sponsor for this year's Data Science for All: Women's Summit!",,5,4
Metaform,@metaformhq,2019-09-20T23:47:08.000Z,"""Medicine isn’t a clinical science; it’s a data science. Success requires investing in the right data strategy based on the business model."" ~ 
@EYnews
 https://assets.ey.com/content/dam/ey-sites/ey-com/en_gl/topics/life-sciences/life-sciences-pdfs/ey-unlocking-the-power-of-data-to-improve-health-outcomes.pdf…  #HealthIT",,1,
Analytics India Magazine,@Analyticsindiam,2019-09-20T04:27:12.000Z,". 
@Great_Learning
 #datascience awards 2019 winner in ""Best Data Science Project Of The Year"" category is 
@EYnews
. #cypher2019 #ai",,,
"IMT CDL, Ghaziabad",@IMTCDL,2019-07-07T11:30:00.000Z,"Check out this article from 
@ShikshaDotCom
 that summarised the PG program in Advanced Data Science by #IMTCDL & 
@EYnews
 India: https://bit.ly/2FSY3kM
To know more, visit: http://imtonline.com
.
.
#imtonline #onlinelearning #DataScience #datasciencecareer #IT #PressRelease",,1,
"IMT CDL, Ghaziabad",@IMTCDL,2019-07-07T04:30:00.000Z,"Register for India's most 'in-demand' Advanced Data Science program by IMT CDL & 
@EYnews
 India.
Read through the article of 
@the_hindu
  Business Line: https://bit.ly/2XLV33Q & to know more, visit: http://imtonline.com 
.
.
#imtonline #datascience #onlinelearning #PressRelease",,1,
One HealthTech,@One_HealthTech,2019-04-15T12:01:26.000Z,".
@EYnews
 NextWave Data Science Challenge is now open! The EY NextWave Data Science Challenge is a global competition for students interested in data science who want to make a difference. Deets >> http://ow.ly/MiOi30ooeaA",,,
One HealthTech,@One_HealthTech,2019-04-12T14:10:05.000Z,".
@EYnews
 NextWave Data Science Challenge is now open! 

The EY NextWave Data Science Challenge is a global competition for students interested in data science who want to make a difference. Deets >> http://ow.ly/MiOi30ooeaA",,3,1
TU Dublin Computing - Blanchardstown Campus,@TUDUBLINComp,2019-04-05T11:09:19.000Z,"The EY NextWave Data Science Challenge. 
@EYnewsCareers at EY
We bring extraordinary people, like you, together to build a better working world.
ey.com",,,
opportunitydesk.org,@OpportunityDesk,2019-04-05T09:24:31.000Z,"Enter the EY NextWave Data Science Challenge 2019 (Over $15,000 in prizes + a paid internship with EY’s Data Analytics team) - http://bit.ly/2G1Enf2 
@eynews",,5,8
opportunities4africa,@oppsforafricans,2019-04-04T12:45:20.000Z,"The EY NextWave Data Science Challenge 2019 (Paid Internship & Fully Funded to EY’s headquarters in New York City) 
@EYnews
 #Africa #NextWave http://bit.ly/2ONN0wq",,2,4
Smart Content News,@SmartContentNws,2019-03-21T22:31:09.000Z,"EY Launches Global Data Science Challenge to Identify, Develop Top Talent in Analytics, Artificial intelligence (SCN) #AI #analytics #EY
@EYnews
 https://mesalliance.org/2019/03/21/ey-launches-global-data-science-challenge-to-identify-develop-top-talent-in-analytics-artificial-intelligence-scn/…",,,
Kingsley Egbo,@kingsleyegbo2,2019-03-15T03:42:27.000Z,"EY NextWave Data Science Challenge https://ey.com/gl/en/careers/students/ey-data-science-challenge… via 
@EYNews
.     
@DataScienceNIGCareers at EY
We bring extraordinary people, like you, together to build a better working world.
ey.com",,,3
Sandra Moerch,@SandraMoerch,2019-03-14T15:19:53.000Z,"Inspiring panel happening now at #WiDS2019 New York moderated by 
@NancyFessatidis
 w/ 
@robinson_es
 @DataCamp
 | 
@DaraLChen
 @EYnews
 | 
@tamashap
 @instagram
 at our 
@WiDS_Conference
 for the Panel Discussion ""Career Paths in Data Science"" at 
@SAPNextGen
 in NYC
#WomensHistoryMonth⁠Women in Data Science and SAP North America",,9,15
SAP Next-Gen,@SAPNextGen,2019-03-14T15:17:59.000Z,"Inspiring panel happening now at #WiDS2019 New York moderated by 
@NancyFessatidis
 w/ 
@robinson_es
 @DataCamp
 | 
@DaraLChen
 @EYnews
 | 
@tamashap
 @instagram
 at our 
@WiDS_Conference
 for the Panel Discussion ""Career Paths in Data Science"" 
@SAPNextGen
 in New York
#WomensHistoryMonthWomen in Data Science and 9 others",,6,10
Fintros,@fintroductions,2019-03-07T18:53:33.000Z,"Fintros CEO interviewed by former 
@BNNBloomberg
 Anchor Mark Bunting (
@MarkBunting_
) on ""The Art & Data Science Behind Recruitment""

To learn more, visit: http://fintros.com/hire

Thank you 
@EYnews
 @EYCanada
 @dx3canada",1,7,13
bwcon,@bwcon_info,2019-02-14T10:59:58.000Z,"Today we start our Global Partnership with UC Berkeley/USA! The kick-off event will take place today and tomorrow at 
@EYnews
 in Stuttgart. 
@IkhlaqSidhu
 is professor at UC Berkeley and talks today about Machine Learning, Data Science and Artificial Intelligence. #AI #datascience",1,,5
Concirrus,@concirrus,2019-02-11T17:20:56.000Z,"Some fantastic views at 
@EY_Insurance
 'AI for the London Market' event this morning, where our Head of Data Science, Alex presented on 'The new data ecosystem and AI applications'.

#AI #LondonMarket",,,
Concirrus,@concirrus,2019-01-21T15:31:13.000Z,"#LondonMarketAI - Join 
@concirrus
 at 
@EY_UKI
’s ‘AI in the London Market’ event on 11th February 2019 to learn more about the latest development of AI for the London Market, where our Head of Data Science Alex, will be speaking.

Visit http://bit.ly/2sBxbif to register.",,,
