UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
"The Southern Group, Florida",@SouthernGroupFL,2020-09-30T14:51:51.000Z,"Artificial intelligence is already a part of daily ops in the private sector. Learn how government can use AI to bridge the service gap w/ Adm. Michael Browne of 
@LuminaAnalytics
, Dr. Yelena Desh of DMGSmart, Tom Nisbet of 
@IBM
, & Aaron Rakes of 
@EY_US
. #InnovateGOV2020 #FlaPol",1,2,2
Trade Promotion Council of India,@TPCI_,2020-09-03T07:36:38.000Z,"According to a 
@nasscom
-
@EYnews
 study sixty percent of Indian enterprises believe that Artificial Intelligence (AI) will disrupt their business in the next two-three years. #ArtificialIntelligence 
Read more at https://bit.ly/3jLgEkl",,,1
Cortical.io,@cortical_io,2020-08-11T00:00:41.000Z,"The oil and gas industry faces an unprecedented shift in its workforce as automation and artificial intelligence (AI) continue to transform the way companies operate. http://ow.ly/ITb350AVnnD 
@EY_US
 

#industry #AI #ArtificialIntelligence #business #automation #NLU",,,1
BusinessIntelligence,@bimedotcom,2020-08-07T16:02:36.000Z,"Public and private sectors view ethical artificial intelligence priorities differently, according to EY global study https://theedgesingapore.com/news/artificial-intelligence/public-and-private-sectors-view-ethical-artificial-intelligence#.Xy153VbSE68.twitter…
#AI #AIEthics 
@EYnewsPublic and private sectors view ethical artificial intelligence priorities differently, according...
Majority of the policymakers surveyed agree on the ethical principles most relevant for the different applications of AI.
theedgesingapore.com",,,
Edward Harkins,@EdwardHarkins,2020-07-28T20:42:14.000Z,"EY global study finds disconnect on ethical artificial intelligence (AI) priorities between public & private sector. https://ey.com/en_gl/news/2020/07/ey-global-study-finds-disconnect-on-ethical-artificial-intelligence-priorities-between-public-and-private-sector… via 
@EYnews
 #AIEthics #techEY global study finds disconnect on ethical artificial intelligence (AI) priorities between public...
LONDON – 28 JULY 2020. EY today releases findings from a global survey finding significant differences in how the public and private sectors view the future of ethics, governance, privacy, policy and...
ey.com",,1,1
Media & Entertainment Services Alliance,@MESAlliance,2020-01-16T20:57:36.000Z,"EY is empowering businesses with artificial intelligence
#AI #EY #MicrosoftAI
@EYnews
 https://technologyrecord.com/Article/ey-is-empowering-businesses-with-artificial-intelligence-88947…",,,
Smart Content News,@SmartContentNws,2020-01-16T20:57:35.000Z,"EY is empowering businesses with artificial intelligence ....
#AI #EY #MicrosoftAI
@EYnews
 https://technologyrecord.com/Article/ey-is-empowering-businesses-with-artificial-intelligence-88947…",,,
Shailendra Sharma,@shail2018,2020-01-09T17:37:12.000Z,"Delighted to see the curiosity among girls of #DelhiGovtschools learning new age technologies like Block chain, Artificial intelligence, space science, etc. Prog being implemented in partnership with 
@EYnews
 to encourage Science & Technology education among Classes 9 & 11 girls.Delhi Govt School Pictures",4,65,132
The Economist,@TheEconomist,2019-12-18T17:40:13.000Z,"In the latest episode of “The world ahead” podcast supported by 
@EY_Banking
, 
@tomstandage
 interviews GPT-2, an artificial intelligence created by 
@OpenAI
, and gets its outlook for the world in 2020 https://econ.st/35wlI5g",4,21,39
Economist Radio,@EconomistRadio,2019-12-18T17:39:42.000Z,"In the latest episode of “The world ahead” podcast supported by 
@EY_Banking
, 
@tomstandage
 interviews GPT-2, an artificial intelligence created by 
@OpenAI
, and gets its outlook for the world in 2020 https://econ.st/2PS1NHe",,,
Machine Learning Memoirs,@mlmemoirs,2019-06-16T10:23:09.000Z,"Fear not artificial intelligence, says Microsoft-EY report http://bit.ly/2IBcWsB #ai #ArtificialIntelligence 
@EY_UKI
 @microsoft
 #MachineLearning http://bit.ly/2ILpe1D",,,
