UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Rachel Kelly,@RachelKelly_3,2020-11-26T11:13:56.000Z,"Delighted to kick off this mornings 
@PMForumNW
 event on Building Networks in a virtual world. 
@Euan_West_
 of 
@KPMG
, 
@AWriggle
 of 
@MeteoricMkting
 and Steve Crow of Clarion are sharing their experiences & how their firms have innovated to stay better connected with clients #COVIDKaty Turner and 2 others",,1,6
Liz Hunter,@LizHunterReward,2020-11-26T08:00:33.000Z,"Wishing my 
@KPMG_US
  colleagues, clients & connections an enjoyable Thanksgiving. 2020 is really showing us the importance of gratitude. So many things which, pre-pandemic, were maybe taken a little for granted have, during Covid, realised new value & meaning. #Thanksgiving",,,1
Ahmad R. Dhaini,@ARDhaini,2020-11-26T07:20:05.000Z,"A bit late to share, but still applicable 
@KPMGSaudi
 @KPMG_LowerGulf
 @KPMGLebanon
 @KPMGLebanon
 @KPMG
 :
Saudi Arabia needs quicker digital transformation as COVID-19 toll mountsSaudi Arabia needs quicker digital transformation as COVID-19 toll mounts
Saudi Arabia needs quicker digital transformation as COVID-19 toll mounts
saudigazette.com.sa",,,1
Matthew Weiss,@MatthewMWeiss,2020-11-25T13:57:28.000Z,"""Covid is driving the bus on the economy, and we're going to have some hairpin turns until we get to the nice, straight open road of the postvaccine world,"" 
@ConstanceHunter
tells 
@sechaney
 @WSJ
 @KPMGUS_News
https://on.wsj.com/3m4OAtz",,,3
Fine Boy Kera,@legendary_qt_,2020-11-25T05:39:04.000Z,"The Top 100 SMEs dialogue will showing live on NTV Uganda tomorrow , 26th Nov 2020 starting at 11:00AM -1:00PM discussing how SMEs can utilize different financing  options during the Covid 19 period . 
 
@KPMG
 @MoSTI_Ug
 @dfcugroup
 @ugandainvest
 @NationMediaGrp
#Top100SMEs20",,5,6
Alexander Piazza,@AlexJPiazza,2020-11-20T14:19:15.000Z,".
@KPMG_US
 has created an insight brief summarizing three crucial government #cybersecurity strategies, as well as a firsthand account of how the State of California is handling cyber security under the double threat of COVID-19 and wildfires. https://bit.ly/3917tdl",,1,
Harvey Levin,@HarveyLevin4,2020-11-19T16:59:32.000Z,".
@KPMG_US
 has created an insight brief summarizing three crucial government #cybersecurity strategies, as well as a firsthand account of how the State of California is handling cyber security under the double threat of COVID-19 and wildfires. https://bit.ly/2IK5m30",,,
Joe Brian,@JoeBri6,2020-11-19T16:19:44.000Z,".
@KPMG_US
 has created an insight brief summarizing three crucial government #cybersecurity strategies, as well as a firsthand account of how the State of California is handling cyber security under the double threat of COVID-19 and wildfires. https://bit.ly/3feMhl3",,,
FACC-NY,@faccnyc,2020-11-19T14:17:25.000Z,"""For 2021, from a federal tax perspective, no news is good news. The one thing to look at may be state tax changes because of COVID."" -George Gans 
@KPMG
, #OneForum2020 panel: 2021 Crystal Ball: US Elections Impact on Transatlantic Relations, Business Taxation & Int. Employment.",,,
Rob Breakiron,@robbreakiron,2020-11-19T13:43:23.000Z,".
@KPMG_US
 has created an insight brief summarizing three crucial government #cybersecurity strategies, as well as a firsthand account of how the State of California is handling cyber security under the double threat of COVID-19 and wildfires. https://bit.ly/2UHWDRa",,,
