UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Joe Bailitz,@JoeBailitz,2020-09-05T17:24:48.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,1,
Joe Bailitz,@JoeBailitz,2020-08-28T17:23:02.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,,
Mike Madura,@mikemadura,2020-08-22T14:51:02.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,,
Joe Bailitz,@JoeBailitz,2020-08-20T17:23:02.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,1,
Joe Kuehn,@JoeKuehn17,2020-08-14T16:10:05.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,1,1
Angie Navarro,@AngieNavarroTX,2020-08-12T11:44:33.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,,
Mike Terracina,@TerracinaMike,2020-08-12T02:59:40.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,,
kirt bocox,@kalen230,2020-08-12T02:24:31.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,,
Harvey Levin,@HarveyLevin4,2020-08-11T23:47:46.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,,
Tim Zanni,@timzanni,2020-08-11T21:34:30.000Z,"Marisa Boston of 
@KPMG_US
 is shaping #audit #tech with AI. She was named to the 2020 
@IBM
 Women leaders in #AI list of honorees, celebrating global women leaders shaping the future of artificial intelligence. Boston is a trailblazer in her field.Marisa Boston-Shaping audit technology with AI
Meet KPMG’s Marisa Boston. She was recently named to the 2020 IBM Women Leaders in AI list of honorees, celebrating global women leaders shaping the future o...
youtube.com",,3,1
