UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Third Republic,@ThirdRepublic,2020-11-11T17:00:35.000Z,"Talking about her own journey into a career in STEM, Director of Data Science and Engineering at 
@kpmguk
, Dr Rebecca Pope highlights that there is no logical ‘path’. 

https://hubs.ly/H0zHc3Q0

#ThirdRepublic #STEM",,1,
WA Data Science Innovation Hub,@WADataSciHub,2020-11-11T02:19:46.000Z,"Data Science in Western Australia - What we do today will pave the way for a better tomorrow, was launched on Monday night by Minister 
@Davekellymp
. Read the media release here: https://bit.ly/2Ioz5hD
@KPMG
 #DataScience #wanews #jobs",,3,2
TraininngDotCom,@Traininngdotcom,2020-01-17T08:30:00.000Z,"Why Does Data Science Matter in Advanced Image Recognition? https://analyticsinsight.net/data-science-matter-advanced-image-recognition/… #DataScience #imagerecognation 
@gp_pulipaka
 @DASCA_Insights
 @KPMG
 
 #adavancedimage 
@bengoldacre
  @Bayer4Crops
 @analyticbridge
 @DataScienceCtrl
 @DataSciFact
  @gp_pulipaka",,1,3
Women Driven Development,@womendrivendev,2020-01-02T18:14:11.000Z,"Speaker Announcement
We've confirmed that badass AI in healthcare techie, Rebecca Pope, Ph.D who is the Director of Data Science & Engineering 
@kpmguk
 will be joining us for our #WDDConference 

More about Rebecca - https://youtube.com/watch?v=-MczNv4aPkE…

Tickets -Women Driven Development Conference
Women Driven Development is excited to invite you to our WDD Conference 2020, hosted at Sky, bringing together badass women in tech!
eventbrite.co.uk",,3,2
Navin Agrawal,@navinvagrawal,2019-10-17T06:45:32.000Z,"#Cloud adoption will continue to drive #opensource. Augmented #analytics will be the main driver of new purchases of analytics & BI as well as data science and ML platforms: 
@VishweshPadman1
, Partner, 
@KPMGIndia
 
Open Source: How does it fit into the future? I #IMC2019",,2,
Funny Innovationist,@IMinnovationist,2019-10-14T13:03:05.000Z,"#Cloud adoption will continue to drive #opensource. Augmented #analytics will be the main driver of new purchases of analytics & BI as well as data science and ML platforms: 
@VishweshPadman1
, Partner, 
@KPMGIndia
 Open Source: How does it fit into the future? I #IMC2019",,1,2
KPMG India,@KPMGIndia,2019-10-14T11:54:47.000Z,"#Cloud adoption will continue to drive #opensource. Augmented #analytics will be the main driver of new purchases of analytics & BI as well as data science and ML platforms: 
@VishweshPadman1
, Partner, 
@KPMGIndia
 
Open Source: How does it fit into the future? I #IMC2019KPMG India and 2 others",,1,1
Jim Gruman,@jim_gruman,2019-04-02T16:01:36.000Z,"Erin Mullenix 
@IowaLeague
,
@tomschenkjr
 @KPMG
, David Roederer, and Cassandra Dorius 
@chs_iastate
 Data Science panel on Enabling Government Analytics at 
@isu_cob
#AnalyticsSymposium",1,2,2
Zairah,@ZairahSahaf,2019-03-21T20:21:39.000Z,"New Yorkers, don't forget to register for this awesome event for Women in Data Science. Registration closes tonight! #IBMWomeninDataScienceQuantum …http://ibmwomenindatasciencequantum.splashthat.com #womenindatascience #IBMwatson 
@IBMWatson
 @IBM
 @ATT
 @KPMG
 @KPMGInspire
 #womenintech #nyctech",,,3
KPMG U.S. News,@KPMGUS_News,2019-03-19T14:29:03.000Z,"News: 
@KPMG_US
, 
@boschusa
 & 
@connectory
 co-sponsored a Hackathon for students in engineering and data science to develop potential solutions to #urbanmobility. Tune in to hear more about #MobilityHackathonChicago: https://social.kpmg/sy7fy.The Chicago Connectory - Mobility Hackathon 2018
Check it out the mini doc of the Mobility Hackathon 2018 edition hosted by Chicago Connectory. Promoted by Bosch and KPMG (an audit, tax and advisory firm), ...
youtube.com",,1,1
Mike Madura,@mikemadura,2019-03-03T17:08:12.000Z,"See what KPMG's Jorgen Ericsson says about how leading companies are now turning to data science to transform how they market, sell and retain customers by adopting five leading practices. 
@KPMG_US
 #datascience http://bit.ly/2UmpJ6Y",,,
Michael Szot,@mszot,2019-02-20T17:55:19.000Z,"See what KPMG's Jorgen Ericsson says about how leading companies are now turning to data science to transform how they market, sell and retain customers by adopting five leading practices. 
@KPMG_US
 #datascienceFrom the art of selling to the science of growth
Jorgen Ericsson identifies five practices for adopting machine learning to drive top-line growth.
info.kpmg.us",,,
