UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Tees Valley Business Club,@teesvalleybc,2020-11-27T13:47:40.000Z,"News
@PwC_UK
 has launched a new report, capturing the realities of life inside family and privately-run businesses all over the UK, as they pivoted in the face of the COVID-19 pandemic. Download your copy here https://pwc.to/3l5wuq5 #PwCTheWayAhead",,1,5
The Chamber,@NEEChamber,2020-11-27T13:47:00.000Z,"PwC has launched a new report, capturing the realities of life inside family and privately-run businesses all over the UK, as they pivoted in the face of the COVID-19 pandemic. Download your copy here https://pwc.to/3l5wuq5 #PwCTheWayAhead
@PwC_UK",,,1
Matt Palmer,@Matt_Palmer_PwC,2020-11-27T13:03:48.000Z,"The new report from 
@PwC_UK
 looks at the impact of COVID-19 on the UK's private business community, with case studies and insight to reflect on a 'truly transformational year', 
@AAhmad75
. Download 'Private Business: The way ahead' here https://pwc.to/33exOkj #PwCTheWayAhead",,,5
Brian Furness,@FurnessBrian,2020-11-27T13:00:01.000Z,".
@PwC_UK
 & 
@TrustedFamily
 are running a 'where next for governance?' virtual event for UK businesses. 
@HannahHarris81
 & 
@edouthijssen
 will discuss covid-19's continued impact, digital governance and Edouard's personal family business journey. Sign up here https://pwc.to/36jrzwA",,,
David J Kelly,@DavidJKellyPwC,2020-11-27T12:01:24.000Z,"The new report from 
@PwC_UK
 looks at the impact of COVID-19 on the UK's private business community, with case studies and insight to reflect on a 'truly transformational year', Download 'Private Business: The way ahead' here https://pwc.to/33exOkj #PwCTheWayAhead",,,1
ETGovernment,@ET_Government,2020-11-27T04:44:02.000Z,"#LiveNow #ETGSCF

India’s Smart Cities have repurposed Integrated Command and Control Centres as COVID-19 War Rooms 1.0 and supported #LocalGovernment administration in sustaining rules and enabled public services effectively.

Join Now: https://bit.ly/ETGSCF2020
@PwC
 @nsnmurtyinnervoice and 2 others",,2,2
Energy Institute,@EnergyInstitute,2020-11-26T16:54:36.000Z,"How can the UK #BuildBackBetter after COVID-19? And what role with the energy industry play in this? Analysts from 
@PwC
 explore in this month's Petroleum Review.

Read here: https://issuu.com/energyinst/docs/petroleum_review_november_2020_previews/s/11203242…",,,
Graeme MacLeod,@G_MacLeod_PwC,2020-11-26T15:30:05.000Z,"The new report from 
@PwC_UK
 looks at the impact of COVID-19 on the UK's private business community, with case studies and insight to reflect on a 'truly transformational year', 
@AAhmad75
. Download 'Private Business: The way ahead' here https://pwc.to/33exOkj #PwCTheWayAhead",,,2
CW (Cambridge Wireless),@cambwireless,2020-11-26T14:48:16.000Z,"Pivoting in the face of the COVID-19 pandemic: 
@PwC_UK
  has launched a new Private Business report capturing realities of life inside #UK family & privately-run businesses #PwCTheWayAhead #CWmembers 
@PwC_SouthEast
 #agile #innovation #SMEs #futureofwork https://pwc.to/3pYSF4S",1,2,3
Heather Ancient,@Heather_Ancient,2020-11-26T14:43:24.000Z,"The new report from 
@PwC_UK
 looks at the impact of COVID-19 on the UK's private business community, with case studies and insight to reflect on a 'truly transformational year', 
@AAhmad75
. Download 'Private Business: The way ahead' here https://pwc.to/33exOkj #PwCTheWayAhead",,,3
