UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Kirk Borne,@KirkDBorne,2020-11-26T04:40:16.000Z,"See 
@PwC
’s Global Artificial Intelligence Study — Exploiting the #AI Revolution, to bring real value to your org: https://pwc.to/3owOwo6
—————
#IoT #IIoT #IoTPL #Industry40 #DigitalTransformation #EdgeAI #EdgeComputing #BigData #DataScience #MachineLearning #DeepLearning #NLProc",,7,7
Wissen Technology,@wissen_tech,2020-11-23T15:13:04.000Z,"Artificial intelligence can do so much.
#infographic by 
@geoworldmedia
 @PwC
 @antgrasso
 

#data #DataScience #AI #ArtificialIntelligence #ML #MachineLearning 

CC: 
@Ronald_vanLoon
 @lindagrass0
 @mvollmer1
 @evankirstel
 @HeinzVHoenen
 @Fabriziobustama
 @sbmeunier
 @terence_mills",,3,6
thedatascienceportal,@theDSportal,2020-11-21T11:26:12.000Z,"Global #ArtificialIntelligence Study by 
@PwC
Exploiting the #AI Revolution to bring real value to the organisation
.
@PwC_Middle_East
@DrNowson
@PranjalP22
#machinelearning #datascience #DataAnalytics #dataviz #ML #Neural #nlp #Analytics #deeplearning #IoT #DigitalTransformationQuote Tweet
Kirk Borne
@KirkDBorne
 · Nov 21
See @PwC’s Global Artificial Intelligence Study — Exploiting the #AI Revolution, to bring real value to your org: https://pwc.to/3owOwo6
—————
#IoT #IIoT #IoTPL #Industry40 #DigitalTransformation #EdgeAI #EdgeComputing #BigData #DataScience #MachineLearning #DeepLearning #NLProc",,3,1
Kirk Borne,@KirkDBorne,2020-11-21T05:56:07.000Z,"See 
@PwC
’s Global Artificial Intelligence Study — Exploiting the #AI Revolution, to bring real value to your org: https://pwc.to/3owOwo6
—————
#IoT #IIoT #IoTPL #Industry40 #DigitalTransformation #EdgeAI #EdgeComputing #BigData #DataScience #MachineLearning #DeepLearning #NLProc",,22,21
Ronald van Loon,@Ronald_vanLoon,2020-11-20T18:24:27.000Z,"#Data Monetization Is Leveraging Information As An Asset And Creating Value
by 
@PwC
 @MikeQuindazzi
  

#DataScience #Tech #Technology #DataAnalytics #Analysis #Telecom #DataScientist #IT #DataMonetization

Cc: 
@guardiandata
 @topbigdata
 @stanleychen0402
 @ronald_vanloon",,6,8
James Morrison Rubin,@import_jmr,2020-10-29T15:13:36.000Z,"#CyberSecurity What's next for #cyber?
@PWC
 https://pwc.to/31Tk2D8

#Cyberpunk2077
 #CyberAttack #DataScience #jobs #fintech #TechNews #DigitalTransformation #DigitalMarketing #ArtificialIntelligence #ML #AI #VR #AR #infosec #cybertech #100DaysOfCode #devops #business #ecommerce",,7,3
ThinkSys Inc,@thinksysinc,2020-10-29T15:11:02.000Z,"#ArtificialIntelligence is changing the world. 

 #Infographic 
@ipfconline1
 @MikeQuindazzi
 @PwC
 @DeepLearn007
 

 #AI #ML #DL #BigData #DataScience #NLP #HealthTech #cio #businessintelligence #CognitiveComputing Via 
@antgrasso",,5,3
Kirk Borne,@KirkDBorne,2020-10-29T14:12:16.000Z,"See 
@PwC
’s Global Artificial Intelligence Study — Exploiting the #AI Revolution, to bring real value to your org: https://pwc.to/3owOwo6
—————
#IoT #IIoT #IoTPL #Industry40 #DigitalTransformation #EdgeAI #EdgeComputing #BigData #DataScience #MachineLearning #DeepLearning #NLProc",,19,12
Mark P. Borman,@MPBorman,2020-10-27T17:00:58.000Z,"Why Most Organizations’ Investments in #AI Fall Flat https://buff.ly/3dPJBcY 
@HarvardBiz
 @PwC
 #artificialintelligence #corpgov #CEO #CFO #CIO #BoardofDirectors #Board #DigitalTransformation #DigitalLeader #ML #Analytics #DataScience #AuditCommittee #FutureofWork #DigitalStrategy",,,
ServNet,@ServnetUK,2020-10-27T15:31:03.000Z,"#ArtificialIntelligence is changing the world. 
@ipfconline1
 @MikeQuindazzi
 @PwC
  @DeepLearn007
 #AI #ML #DL #BigData #DataScience #NLP #HealthTech #cio #businessintelligence #CognitiveComputing

Via 
@antgrasso",,2,4
James Allen,@MeetJamesAllen,2020-10-11T18:22:03.000Z,"The information maturity scale via 
@PwC
#DataScience #BigData",,,
Ronald van Loon,@Ronald_vanLoon,2020-10-10T14:25:09.000Z,"#Data Monetization Is Leveraging Information As An Asset And Creating Value
by 
@PwC
 @MikeQuindazzi
  

#DataScience #Tech #Technology #DataAnalytics #Analysis #Telecom #DataScientist #IT #DataMonetization

Cc: 
@guardiandata
 @topbigdata
 @stanleychen0402
 @ronald_vanloon",,6,10
Georgia Tech Computing,@gtcomputing,2020-10-09T00:32:27.000Z,"ICYMI: 
@PwC
 Atlanta is collaborating with #GeorgiaTech hybrid startup, DataWorks, providing $25K in funding + 300 volunteer hours to help train entry-level #datascience workers! #datawranglingCollaborative Startup Helping People in Disadvantaged Communities Learn Entry-level Data Science...
A startup housed in the College of Computing has earned a $1.5 million NSF grant to support its mission of providing data science skills to people from disadvantaged communities in Atlanta.
cc.gatech.edu",,1,7
Ravi Dugh,@ravidugh,2020-10-08T22:12:03.000Z,"The new value equation: Human + 8 technologies building something that is greater than the sum of its parts https://buff.ly/2QWcesD 
@PwC
  #DataScience #AI #VR #IoT #AR #Blockchain #Drones #3Dprinting 

cc 
@antgrasso
 @Nicochan33
 @AmitDugh
  @terence_mills
 @Paula_Piccard
 @mvollmer1",,15,16
Ravi Dugh,@ravidugh,2020-10-08T21:38:31.000Z,"Development in key input (tools, talent, culture) and outcome (business success) metrics rises across the #Analytics maturity continuum https://buff.ly/2MNX9ef 
@PwC
 #DataScience 

cc 
@antgrasso
 @Nicochan33
 @AmitDugh
  @Paula_Piccard
 @mvollmer1
 @rwang0
  @guzmand
 @HaroldSinnott",,20,14
Anthem Arnelle,@AnthemArnelle,2020-09-20T15:38:02.000Z,"11 #EmergingTech components of #Industry40 framework 

via 
@PwC
 @ravikikan
 @MikeQuindazzi
 

#Infographics #AI #DataScience #IoT #robots #robotics #MachineLearning #IIoT #bigdata #RPA #DataAnalytics #DeepLearning #IIoT #Analytics #DigitalTransformation #Mpgvip #startups copy @",,23,6
MEDIA INDIA GROUP,@mediaindiagroup,2020-09-20T12:04:58.000Z,"A recent study by the #DataScience Division of Dentsu Agegis Network reports a 23 pc rise in binge watching culture in India, catalised by #Covid19pandemic & #lockdowns. #OTT #MIG @dentsuaegis @DentsuAegisIN 
@PwC_IN
 @NetflixIndia
 @DisneyPlusHS
 @justvootBinge watching on rise in India: DAN report - Media India Group
India’s on demand digital streaming industry surpassed the national film industry in terms of both viewership and growth. With entertainment gone online
mediaindia.eu",,8,6
Ronald van Loon,@Ronald_vanLoon,2020-09-14T16:55:26.000Z,"#ArtificialIntelligence: What can #AI do?
by 
@pwc
 @antgrasso
#BigData #MachineLearning #ML #MI #DataScience #Robotics #DL #MachineIntelligence

Cc: 
@ywanvanloon
 @theadamgabriel
 @shanebrighton
 @towards_ai",,15,15
Kirk Borne,@KirkDBorne,2020-09-11T14:39:38.000Z,"11 #EmergingTechnologies found in today's #SmartFactory = #AI #IoT #RPA #3DPrinting #AR #DataAnalytics #CloudComputing #IIoT

http://pwc.to/2TOTXhJ by 
@PwC
#IoTPL #BigData #MachineLearning #DataScience #Industry40 #DigitalTwin #DigitalTransformation #EdgeComputing",1,10,5
Gareth Willmer,@GWillmer_PwC,2020-09-11T12:32:08.000Z,"The 6 elements of a data and analytics transformation for the #COVID19 era. by 
@stratandbiz
 @PwC
#DataScience #DigitalTransformation #Infographic
@jeanyvesgonin
 @MikeQuindazzi
 @kashthefuturist
 @ValaAfshar
 @Nicochan33
 @CelineDarnet_
 @MargaretSiegien
http://sb.stratbz.to/insight",,15,11
Ravi Dugh,@ravidugh,2020-08-19T13:35:01.000Z,"Democratization of #AI Link>>https://buff.ly/3gjzSvn  
@TDataScience
 @AnandSRao
 @PwC
 #DataScience #BigData #ML

cc 
@KirkDBorne
 @gp_pulipaka
 @AmitDugh
 @thewavewhiz
 @nicochan33
 @BetaMoroney
 @kuriharan
 @rwang0
 @HaroldSinnott
 @CyrilCoste
 @EvanKirstel
 @Paula_Piccard
 @DrJDrooghaag",,4,4
ThinkSys Inc,@thinksysinc,2020-08-18T22:20:01.000Z,"#ArtificialIntelligence is changing the world. 

 #Infographic 
@ipfconline1
 @MikeQuindazzi
 @PwC
  @DeepLearn007
 #AI #ML #DL #BigData #DataScience #NLP #HealthTech #cio #businessintelligence #CognitiveComputing

Via 
@antgrasso
https://bit.ly/2REWifU",,29,18
Inteliment,@inteliment,2020-08-13T04:32:02.000Z,"6 areas to create a successful #AI / #DataAnalytics transformation by 
@PwC
 via 
@MikeQuindazzi
#MachineLearning #Analytics #DataScience #FutureofWork #IoT #INFOGRAPHIC #ArtificialIntelligence",,3,1
Ronald van Loon,@Ronald_vanLoon,2020-08-10T03:33:01.000Z,"#Data Monetization Is Leveraging Information As An Asset And Creating Value
by 
@PwC
 @MikeQuindazzi
  

#DataScience #Tech #Technology #DataAnalytics #Analysis #Telecom #DataScientist #IT #DataMonetization

Cc: 
@guardiandata
 @topbigdata
 @stanleychen0402
 @ronald_vanloon",,14,13
Ronald van Loon,@Ronald_vanLoon,2020-08-02T16:19:01.000Z,"How Fast Is #Cloud Being Adopted?
by 
@PwC
 @MikeQuindazzi
 @Gartner_inc
#IoT #BigData #DataScience #RPA #Tech #Technology #Data #DataAnalytics #Analysis #DataScientist #IT

Cc: 
@revodavid
 @strataconf
 @dataisbeautiful
 @bigdata
 @guardiandata",,5,5
Neelam Sharma,@nsharma007,2020-07-14T21:10:01.000Z,"How can retailers manage and recover from COVID-19? Great insights from our 
@strategyand
 team: https://pwc.to/2xAgV6M 

#retail #digital #datascience #tech",,2,
Ronald van Loon,@Ronald_vanLoon,2020-07-12T19:17:39.000Z,"How Fast Is #Cloud Being Adopted
by 
@PwC
 @MikeQuindazzi
#IoT #BigData #DataScience #RPA #Tech #Technology #Data #DataAnalytics #Analysis #DataScientist #IT

Cc: 
@devcleary
 @dataisbeautiful
 @bigdata
 @mikedelgado
 @bigdata_fr",1,9,10
Neelam Sharma,@nsharma007,2020-07-10T13:00:26.000Z,"Why responsible AI is even more critical amid a crisis such as COVID-19. 
@PwC
’s 
@GolbinIlana
 explains in 
@stratandbiz
: http://sb.stratbz.to/ResponsibleAI #ResponsibleAI #AI #datascience #tech #innovation",,1,
Antonio Gambina,@Lago72,2020-07-09T22:35:43.000Z,"#5G can do for the #Enterprise? 
http://pwc.to/2MYadMC
v/ 
@PwC
 
HT 
@MikeQuindazzi
 
#AI #IoT #IIoT #BigData #DataScience #AR #VR #Robotics #AutonomousVehicles",,9,9
Antonio Gambina,@Lago72,2020-07-09T19:06:56.000Z,"6 Areas to Create a Successful #AI / #DataAnalytics Transformation 
v/ 
@PwC
HT 
@MikeQuindazzi
 @bedit
 @Calsoft_Data
 

#MachineLearning #Analytics #DataScience #FutureofWork #IoT #ArtificialIntelligence #ML",,4,3
Ronald van Loon,@Ronald_vanLoon,2020-06-14T00:51:04.000Z,"How Fast Is #Cloud Being Adopted?
by 
@PwC
 @MikeQuindazzi
 @Gartner_inc
#IoT #BigData #DataScience #RPA #Tech #Technology #Data #DataAnalytics #Analysis #DataScientist #IT

Cc: 
@revodavid
 @strataconf
 @dataisbeautiful
 @bigdata
 @guardiandata",,9,6
S. Jane Gari,@SJaneGari,2020-06-10T20:34:55.000Z,"The time to stand up for more fair & just policing practices is now. 
@PolicingEquity
 uses data science to promote justice. Please donate through link below as my firm, 
@PwCUS
 has a matching program. #BlackLivesMatter
 

https://pwc.yourcause.com/public#/fundraising/10709…",,,
dataZen Engineering,@dataZenEng,2020-06-10T19:40:27.000Z,"AI will contribute $15.7 trillion to the global economy in 2030.

#Infographic

via 
@PwC
 @ZingHR
 @antgrasso
 @ravikikan
 @MikeQuindazzi
 @LindaGrass0
 @Ronald_vanLoon
 @RVCF1
#AI #ArtificialIntelligence #ML #MachineLearning #DataScience #DataAnalytics #BigData #IoT #SEO 
@dataZenEng",,4,10
Aiman Batool,@Aiman_Batool1,2020-06-08T23:38:23.000Z,"Top story: 
@Ronald_vanLoon
: 'A Guide To Modernizing Your Company's #Technology
by 
@PwC
 @antgrasso
#Digital #DataScience #5G #DigitalTransformation #Tech #Data #DataAnalytics #Analysis #Telecom #Business #Networking #In… , see more http://tweetedtimes.com/Aiman_Batool1?s=tnp…",,,3
Ronald van Loon,@Ronald_vanLoon,2020-06-08T20:12:59.000Z,"A Guide To Modernizing Your Company's #Technology
by 
@PwC
 @antgrasso
#Digital #DataScience #5G #DigitalTransformation #Tech #Data #DataAnalytics #Analysis #Telecom #Business #Networking #Influencer #DataScientist

Cc: 
@yuhelenyu
 @tamaramccleary
 @rwang0",,20,21
Ravi Kikan #BounceBackNow On Amazon,@ravikikan,2020-05-19T05:53:08.000Z,"#DataScience

68% say #coronavirus-driven transitions to #remotework will make their company better in the long run 

via 
@PwC
 @ravikikan
 @MikeQuindazzi
 

#FutureofWork #CloudComputing  #DataAnalytics #startups #tech #EmergingTech #DigitalTransformation

 https://pwc.to/3ae19g9",,8,24
SpaceBrains,@SpaceBrainx,2020-05-18T11:49:36.000Z,"Rtw -  
@Ronald_vanLoon
: #ArtificialIntelligence: What Can #AI Do? 
by 
@antgrasso
 @PwC
 @MikeQuindazzi
#Digital #DataScience #Robotics #5G #Digi…",,1,
Ronald van Loon,@Ronald_vanLoon,2020-05-18T11:42:04.000Z,"#ArtificialIntelligence: What Can #AI Do? 
by 
@antgrasso
 @PwC
 @MikeQuindazzi
#Digital #DataScience #Robotics #5G #DigitalTransformation #Game #Tech #Technology #Games #Data #AR #AugmentedReality #Sport

Cc: 
@warrenwhitlock
 @mikeflache
 @mikeschiemer",,9,7
