UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
ET NOW,@ETNOWlive,2020-10-22T11:53:23.000Z,"Where is the demand coming from? Where are the scars of pandemic most evident?
N Venkatram, CEO, Deloitte India shared his views on what he believes are the key triggers to a strong economic revival in India. #IndiaRevivalMission 
Click here to know more.India Revival Mission: Don't need to worry about demand anymore, says Deloitte's N Venkatram
N Venkatram, CEO of Deloitte India, shared his views on what he believes are the key triggers to a strong economic revival in India
timesnownews.com",1,1,2
TIMES NOW,@TimesNow,2020-10-22T11:52:25.000Z,"Where is the demand coming from? Where are the scars of pandemic most evident?
N Venkatram, CEO, Deloitte India shared his views on what he believes are the key triggers to a strong economic revival in India. #IndiaRevivalMission 
Click here to know more.India Revival Mission: Don't need to worry about demand anymore, says Deloitte's N Venkatram
N Venkatram, CEO of Deloitte India, shared his views on what he believes are the key triggers to a strong economic revival in India
timesnownews.com",,4,24
moneycontrol,@moneycontrolcom,2020-10-22T06:10:21.000Z,".
@Deloitte
 will close down 4 of its 50 British offices & retain all of the employees on permanent #WFH contracts. Details 
#Deloitte #COVIDImpact #COVID19Deloitte to shut 4 offices, to transfer all staff to permanent work from home
Deloitte on October 17 informed staff it will shut offices in Southampton, Nottingham, Liverpool and Gatwick, which together employ 500
moneycontrol.com",,8,38
BNN Bloomberg,@BNNBloomberg,2020-10-20T16:08:04.000Z,Canadians plan to spend more of their holiday shopping budget online this year: Deloitte http://fw.to/Cv3a16I,1,1,1
TIMES NOW,@TimesNow,2020-10-20T14:13:04.000Z,"Guests on 
@ETNOWlive
 #IndiaDevelopmentDebate #IRM Special:
Tonight 9:30 PM
- Tiger Tyagarajan, Genpact

 Wed 9:30 PM
- Naveen Surya, IAMAI
- Rahul Chari, PhonePe
- Vijay Mani, Deloitte India

 Tune in to 
@TimesNetwork
 #IndiaRevivalMission presented by 
@TheOfficialSBI",,2,8
BNN Bloomberg,@BNNBloomberg,2020-09-29T11:06:01.000Z,Hiring marginalized workers could jump-start economy: Deloitte http://fw.to/wm5I0eJ,,3,2
Economic Times,@EconomicTimes,2020-09-28T08:45:00.000Z,"This year—2020—saw the increments falling to 3.6% from 8.6% in 2019, according to Deloitte India Workforce and Increment Trends Survey.

#Covid19Golden days of pay hikes at least two years away in India, say compensation experts
This year—2020—saw the increments falling to 3.6% from 8.6% in 2019, according to Deloitte India Workforce and Increment Trends Survey. While it is not going to revive any time soon, companies are...
economictimes.indiatimes.com",,6,12
Financial Times,@FinancialTimes,2020-09-19T10:12:15.000Z,"Deloitte Global vetoes plan to sell UK restructuring divisionDeloitte Global vetoes plan to sell UK restructuring division
British arm’s proposed disposal was expected to raise hundreds of millions of pounds
ft.com",2,15,35
Financial Times,@FinancialTimes,2020-09-17T12:30:06.000Z,"Deloitte has been ordered to pay a record fine of £15m plus legal costs of £5.6m for committing serious misconduct when it audited Autonomy, a former FTSE 100 technology groupDeloitte ordered to pay record £21m for Autonomy audit misconduct
Tribunal finds firm and two partners failed to act with integrity, objectivity or professional scepticism
ft.com",8,71,103
CNBC,@CNBC,2020-09-15T04:05:51.000Z,"Holiday spending will hinge on how much the rich splurge and the poor cut back, Deloitte saysHoliday spending will hinge on how much the rich splurge and the poor cut back, Deloitte says
According to Deloitte, holiday retail sales this year should rise between 1% and 1.5%, amounting to between $1.147 trillion and $1.152 trillion during the November-to-January time frame. That's...
cnbc.com",10,20,23
