UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Economic Times,@EconomicTimes,2020-11-14T09:30:00.000Z,"EY India has acquired Spotmentor Technologies, an AI backed human resource technology start-up started by four IIT-Kharagpur alumniEY India acquires artificial intelligence start-up started by four IIT alumni
Spotmentor is an end-to-end skilling platform to help businesses identify skills required for the future of work, up-skilling and re-skilling talent.
economictimes.indiatimes.com",,2,16
Economic Times,@EconomicTimes,2020-11-10T11:30:00.000Z,"In a recent case, #EY had helped an insurance company tackle the #cybersecurity threat and this could be replicated throughout the industryArtificial Intelligence and Machine Learning helping insurance companies with cybersecurity: EY
EY had helped an insurance company tackle the cybersecurity threat and this could be replicated throughout the industry.
economictimes.indiatimes.com",,1,5
Economic Times,@EconomicTimes,2020-11-07T07:45:00.000Z,"Deloitte, PwC, EY and KPMG have started rolling back salary cuts and paying bonuses to staffBig 4, others roll back salary cuts, clear staff bonuses
Bigger professional services firms, including BDO and Grant Thornton, and even niche firms such as Dhruva Advisors, had taken measures to save costs in the wake of the pandemic.
economictimes.indiatimes.com",1,4,53
Business Standard,@bsindia,2020-11-05T16:00:02.000Z,"Govt's scheme for FPOs/FPCs catches eye of KPMG, EY, and Grant Thornton
@sanjeebm77
 reports  

For more stories like this one and for full access to exclusive premium content, subscribe to Business Standard - http://bit.ly/321tzbaGovt's scheme for FPOs/FPCs catches eye of KPMG, EY, and Grant Thornton
The NPMA will provide project guidance, data maintenance, and monitoring to the 10,000-odd FPCs.
business-standard.com",,,3
Financial Times,@FinancialTimes,2020-11-01T05:47:39.000Z,"EY wins more blue-chip audits despite Wirecard fiascoEY wins more blue-chip audits despite Wirecard fiasco
Big Four firm was sharply criticised for failing to spot a €1.9bn fraud at German payments group
ft.com",9,23,52
Financial Times,@FinancialTimes,2020-09-30T12:00:09.000Z,A whistleblower warned EY of a Wirecard fraud four years before the company collapsed: https://on.ft.com/348nrOR,1,12,26
Financial Times,@FinancialTimes,2020-09-29T17:18:14.000Z,FT Exclusive: EY was warned in 2016 by one of its own employees that senior managers at Wirecard may have committed fraud and that one had attempted to bribe an auditor https://on.ft.com/3jev78v,,22,26
moneycontrol,@moneycontrolcom,2020-09-29T11:40:23.000Z,"Key exit from the Big 4 world! EY India’s pharma dealmaker Krishnakumar or ‘KK’ is headed to mid-cap drugmaker Eris Lifesciences as an Executive Director. Check out this exclusive story by 
@ashwinmohansays
. 

#Pharma #Business #PharmaIndustryChrysCapital-backed Eris Lifesciences may get EY partner V Krishnakumar on board
Over the course of the next few months, Krishnakumar is likely to join the pharma company as an Executive Director overseeing operations
moneycontrol.com",,1,7
moneycontrol,@moneycontrolcom,2020-09-17T08:12:16.000Z,"#MCOpinion | Auditors have long held a belief that detecting fraud is not part of their mandate. With EY's global chief saying auditors should do more to uncover fraud, will it change? 
@ravi_ananth
 analyzes for #MCProFraud detection in an audit report, coming soon?
A Big Four accounting firm’s CEO has said auditors should do more to uncover fraud that is material in nature
moneycontrol.com",,1,3
Business Standard,@bsindia,2020-09-16T11:50:00.000Z,"#Exports and a focus on domestic market offer major potential opportunity areas for Indian #auto industry but the sector needs a road map for localisation: EY Report 
#Automobiles #COVID19PandemicIndian auto industry needs road map for localisation push: Report
Exports and a focus on domestic market offer major potential opportunity areas for Indian auto industry but the sector needs a road map for localisation, according to a report by consultancy firm EY
business-standard.com",,,2
Business Standard,@bsindia,2020-07-08T17:01:16.000Z,"The sharp downward revision in growth projections by various agencies indicates the impact of lockdown and inadequate stimulus package, EY said

#Lockdown
#EYDownward revision of growth projections shows inadequate stimulus: EY
EY's current assessment of India's 2020-21 real gross value added (GVA) growth is 1.9 per cent provided that India sticks to its infrastructure funding plans.
business-standard.com",,1,7
Economic Times,@EconomicTimes,2020-07-08T15:00:00.000Z,"EY, a leading professional services firm has launched EY Tech MBA for all its employees worldwide including those in India, in collaboration with Hult International Business School in the USEY announces free MBA programme for all employees
Employees studying for this MBA will be able to build their own personal curriculum from subject areas ranging from artificial intelligence (AI), blockchain and robotic process automation (RPA) to...
economictimes.indiatimes.com",,10,35
moneycontrol,@moneycontrolcom,2020-07-08T12:16:56.000Z,".
@EYnews
 has announced that all its employees across the globe can pursue an EY Tech MBA free of cost! Yes, you heard it right 
, 
@maamitalks
 brings us all the details 
#Business #Economy #EYEY now offers free Tech MBA to employees, collaborates with US business school
This degree is being offered in collaboration with Hult International Business School in the United States and will be virtual.
moneycontrol.com",,2,8
CNBC,@CNBC,2020-07-07T21:46:00.000Z,"Business leaders must make sure they preserve as much wealth as they can when creating a transition plan. Learn more at: https://cnb.cx/2Z7AAGH

(Paid post for 
@EY_US
)",54,18,67
ET NOW,@ETNOWlive,2020-07-02T15:52:13.000Z,"#IDD | 
@TamannaInamdar
, Rajaji Meshram, 
@EY_India
, 
@ajaishukla
, 
@RailMinIndia
, Board Member, VN Mathur, Fmr Railway Board member & Prof. T S Ramakrishnan, Railway Expert discuss the political row over privatisation of Indian railways",1,4,13
Economic Times,@EconomicTimes,2020-06-06T18:15:00.000Z,"Coffee Day Global, founded by the late VG Siddhartha, on Friday appointed EY Restructuring LLP to provide interim business support services and to perform preliminary due diligence procedures to evaluate the potential proposals for investmentCoffee Day Global appoints EY to scout for investment
Coffee Day Global, founded by the late VG Siddhartha, appointed EY Restructuring LLP to provide interim business support services and to perform preliminary due diligence procedures to evaluate the...
economictimes.indiatimes.com",1,11,72
