UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Economic Times,@EconomicTimes,2020-11-13T12:45:00.000Z,"India has managed to increase integration of renewable energy and focus on improving energy efficiency in the past that is set to benefit the country, the report by Srinivasa Rao Patnana, Partner, IGH, KPMG India said.India's energy growth set to be back after Covid impact reduces: Report
India has manged to increase integration of renewable energy and focus on improving energy efficiency in the past that is set to benefit the country, the report by Srinivasa Rao Patnana, Partner,...
economictimes.indiatimes.com",,5,46
Economic Times,@EconomicTimes,2020-11-12T15:51:42.000Z,"As the Indian economy hopes to return to growth trajectory after the Covid pandemic induced slump, the country’s energy demand too is set to come back in the near future, a KPMG report saidIndia's energy growth set to be back after Covid impact reduces: Report
India has manged to increase integration of renewable energy and focus on improving energy efficiency in the past that is set to benefit the country, the report by Srinivasa Rao Patnana, Partner,...
economictimes.indiatimes.com",,,4
Economic Times,@EconomicTimes,2020-11-07T07:45:00.000Z,"Deloitte, PwC, EY and KPMG have started rolling back salary cuts and paying bonuses to staffBig 4, others roll back salary cuts, clear staff bonuses
Bigger professional services firms, including BDO and Grant Thornton, and even niche firms such as Dhruva Advisors, had taken measures to save costs in the wake of the pandemic.
economictimes.indiatimes.com",1,4,53
Business Standard,@bsindia,2020-11-05T16:00:02.000Z,"Govt's scheme for FPOs/FPCs catches eye of KPMG, EY, and Grant Thornton
@sanjeebm77
 reports  

For more stories like this one and for full access to exclusive premium content, subscribe to Business Standard - http://bit.ly/321tzbaGovt's scheme for FPOs/FPCs catches eye of KPMG, EY, and Grant Thornton
The NPMA will provide project guidance, data maintenance, and monitoring to the 10,000-odd FPCs.
business-standard.com",,,3
Business Standard,@bsindia,2020-10-31T04:47:00.000Z,"Govt's scheme for FPCs catches eye of KPMG, EY, and Grant Thornton
@sanjeebm77
 reportsGovt's scheme for FPOs/FPCs catches eye of KPMG, EY, and Grant Thornton
The NPMA will provide project guidance, data maintenance, and monitoring to the 10,000-odd FPCs.
business-standard.com",,1,6
CNBC,@CNBC,2020-08-25T23:11:00.000Z,"KPMG just released its annual CEO Outlook survey, revealing insights and expectations from the C-suite. From rising confidence in company growth to the digital transformation, KPMG U.S. Chair and CEO Paul Knopp joined 
@SquawkCNBC
 to discuss. https://cnb.cx/2FWL1Wn",6,8,18
CNBC,@CNBC,2020-08-25T12:05:15.000Z,"KPMG just released its annual CEO Outlook survey, revealing insights and expectations from the C-suite. From rising confidence in company growth to the digital transformation, KPMG U.S. Chair and CEO Paul Knopp joins 
@SquawkCNBC
 to discuss. https://cnb.cx/2FWL1Wn5:20
27.7K views",,3,12
CNBC,@CNBC,2020-08-25T11:52:01.000Z,"CEOs speed up digital push and downsize offices, KPMG survey shows.CEOs speed up digital push and downsize offices, KPMG survey shows
Companies around the world have moved more of their operations online, plan to reduce office space and have made recruiting and retaining staff their top priority since the coronavirus pandemic...
cnbc.com",1,5,13
Mint,@livemint,2020-08-25T10:17:00.000Z,"Infrastructure spending can help spur economic activity: KPMG

https://livemint.com/industry/infrastructure/infrastructure-spending-can-help-spur-economic-activity-kpmg-11598349596699.html…",,1,5
Business Standard,@bsindia,2020-08-19T11:10:00.000Z,"India's domestic pharmaceuticals market is expected to grow by 12 to 14% in the next three years while the export market may grow by 8 to 14% : KPMG report 

#pharmaceuticals #PharmaIndia's pharma market to grow by 12-14% in three years, says KPMG
India's domestic pharmaceuticals market is expected to grow by 12% to 14% in the next three years while the export market may grow by 8% to 14%
business-standard.com",1,5,19
