UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
BNN Bloomberg,@BNNBloomberg,2020-10-19T12:03:02.000Z,"Almost 60% of mutual fund assets will be ESG by 2025, PwC says http://fw.to/cg9ig9f",2,7,4
Business Standard,@bsindia,2020-10-16T12:45:00.000Z,"What lies ahead for Sanjeev Krishan, PwC India's youngest man at the top
@sudiptodey24
 writesWhat lies ahead for Sanjeev Krishan, PwC India's youngest man at the top
Over the last six 'lockdown and unlock' months, Krishan spend relentless hours on video calls and webinars to keep in regular touch with CXOs across India and abroad
business-standard.com",,1,3
Business Standard,@bsindia,2020-10-15T17:25:00.000Z,"Sanjeev Krishan to take over as PwC India chairman starting Jan 1 next year

#PwCSanjeev Krishan to take over as PwC India chairman starting Jan 1 next yr
Prior to this, Sanjeev had been the head of deals practice at the company
business-standard.com",1,3,12
moneycontrol,@moneycontrolcom,2020-10-15T14:05:26.000Z,"In a key elevation in the world of Big 4 firms, Sanjeev Krishan, Deals Leader at PwC India has been elevated as the new Chairman reports 
@ashwinmohansays
 

#PwC #SanjeevKrishanPwC India Deals Leader Sanjeev Krishan elevated as chairman of Big  4 firm
Sanjeev Krishan has been with the organisation for nearly three decades and joined the firm in 1991 as an articled trainee. He became a partner at PwC India in 2006.
moneycontrol.com",,2,12
ET NOW,@ETNOWlive,2020-10-12T16:59:18.000Z,"#IDD | 
@TamannaInamdar
, 
@pratikdelhi
, Leader - Indirect Tax, 
@PwC
 & MS Mani, Partner, 
@DeloitteIndia
 discuss the impact of the lack of consensus, extension of cess period and options available to states 
@FinMinIndia
 @nsitharaman
 @nsitharamanoffc",1,3,7
ET NOW,@ETNOWlive,2020-08-14T15:19:24.000Z,"GVK Power: PWC resigns as statutory auditor, says details of information & explanation sought still not provided",,,12
Financial Times,@FinancialTimes,2020-08-14T12:00:12.000Z,"Will Morris, deputy global tax policy leader at PwC and part-time priest is one of five former General Electric executives who negotiated a tax break in the UK in 2005 that HM Revenue & Customs says was fraudulently obtainedTest of faith: Will Morris, PwC tax expert and part-time priest
Mr Morris is one of the former GE executives who negotiated a $1bn tax break that UK authorities now claim was fraudulently obtained
ft.com",1,5,11
Financial Times,@FinancialTimes,2020-08-05T06:20:03.000Z,FT Exclusive: Wells Fargo is cutting back on consultants as its annual outlay on firms including McKinsey and PwC reached $1bn-$1.5bn https://on.ft.com/3i2Ghfs,2,15,26
Economic Times,@EconomicTimes,2020-08-03T02:00:00.000Z,"The new focus could help India's space economy, estimated to be 2% of the $360 billion global market, touch $50 billion by 2025, as envisaged by a PwC report in JanuaryAiming for the stars: Startups are charting course for the final frontier
The new focus could help Indias space economy, estimated to be 2% of the $360 billion global market, touch $50 billion by 2025, as envisaged by a PwC report in January. Bulk of the growth would come...
economictimes.indiatimes.com",1,6,42
Economic Times,@EconomicTimes,2020-07-16T12:07:35.000Z,"India needs a holistic and conducive ecosystem to rebuild its active pharmaceutical ingredient (API) manufacturing capabilities, as high dependence on a single source can be a cause of concern in emergency-like situations, PwC India saidIndia needs holistic ecosystem to rebuild API manufacturing facilities: PwC India
The study recommended that to revive the API industry, in the immediate term there is a need for faster environment clearance, encouraging manufacturing of key APIs/intermediates and fermentation...
economictimes.indiatimes.com",1,14,50
Business Standard,@bsindia,2020-07-02T04:00:00.000Z,"Category-II #FPIs may have a few more hurdles to cross and would need to evaluate the delegation of #fund management to Indian asset managers,” said Tushar Sachade, partner at PwC India.Broad-based criteria for safe harbour to apply to category-II FPIs
May dissuade these investors from delegating fund management responsibilities to Indian managers
business-standard.com",,1,3
Mint,@livemint,2020-06-17T10:43:00.000Z,"#PersonalFinance | #Covid19 fears push people to buy health insurance and term life insurance, indicates PwC report 
@DishaRSanghviCovid-19: How it has impacted India’s insurance industry
Covid-19 fears push people to buy health insurance and term life insurance, indicates PwC report
livemint.com",,4,3
Economic Times,@EconomicTimes,2020-05-27T17:30:00.000Z,"Tight liquidity could push many promoters and businesses to divert funds, try round tripping and ever-greening of loans in a desperate bid to beat the economic headwinds from the #Covid19Crisis, a #PwC report saidAmidst liquidity crunch due to Covid, businesses face risk of frauds, round tripping and evergree...
Unstable cashflows and low reserves, coupled with a restricted ability to seek additional debt or equity financing, can create immense pressure on businesses to divert funds between entities for...
economictimes.indiatimes.com",,2,18
Financial Times,@FinancialTimes,2020-05-20T10:00:05.000Z,"The multimillionaire founder of UK discount retailer Matalan is suing PwC over claims the ‘Big Four’ accounting firm gave him bad advice on how to avoid paying taxes when he moved from England to MonacoMatalan founder sues PwC over tax advice
John Hargreaves claims ‘Big Four’ firm gave him bad guidance when he moved to Monaco
ft.com",8,32,58
Economic Times,@EconomicTimes,2020-02-08T17:00:00.000Z,"India needs to build capacity for home-grown Indian firms that can compete with the big four professional services firms such as — Deloitte, PwC, EY and KPMG — MCA said in a consultation paperMoving beyond the Big Four? MCA seeks comments to improve auditing quality
A consultation paper is pushing for the need to build capacity for home-grown auditing firms.
economictimes.indiatimes.com",2,15,22
moneycontrol,@moneycontrolcom,2020-02-07T14:09:04.000Z,"[Partnered] Watch 
@SurabhiUpadhyay
 decode major tax and policy announcements in the Union Budget 2020 with 
@gautammehra99
 @PwC_IN
, Anuprita Mehta 
@PiramalGroup
, Manish Sheth - JM Financial & Deepal Shah - Allcargo Logistics, only on the #IndiaTaxTalks series with 
@CNBCTV18News
.0:20
708 views",,3,2
News18,@CNNnews18,2020-02-01T05:30:50.000Z,"#BudgetWithNews18 – Rather than the rate, the FM can tweak the tax slabs, Kuldip Kumar (Tax Partner, PwC)

Watch the special broadcast with 
@bhupendrachaube
.",,,7
Financial Times,@FinancialTimes,2020-01-29T13:00:08.000Z,"Government spending on the biggest consultancy firms — PwC, Deloitte, EY, KPMG, McKinsey, BCG, Bain and PA Consulting —  hit £464m last yearBrexit drives 20% rise in government spending on big consultancies
Public and private clients ‘pushing back’ and demanding top advisers to justify high fees
ft.com",3,16,22
BNN Bloomberg,@BNNBloomberg,2020-01-20T18:20:02.000Z,More than half of CEOs see global growth slowing this year: PwC survey http://bnnbloomberg.ca/1.1376620,,2,2
Business Standard,@bsindia,2019-11-22T09:30:00.000Z,"India's Biggest Banking Event - Live Now #BSBankingForum 
@Citi
 @PwC
http://bit.ly/BSBankingForum2019…",,2,4
