UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Deloitte Africa,@DeloitteAfrica,2020-11-11T10:30:01.000Z,"The complete decarbonisation of Africa will not occur in the short or medium term, says Deloitte Africa Energy, Resources & Industrials Leader Andrew Lane.

Read the full Mining Weekly article here:African decarbonisation remains a distant ideal
The complete decarbonisation of Africa will not occur in the short or medium term, although some progress will be made in the long term, says professional services firm Deloitte Africa energy and...
miningweekly.com",,,
Deloitte Africa,@DeloitteAfrica,2020-11-10T10:00:03.000Z,"The fifth article in our Mozambique Domgas Series explores the opportunities for natural gas in road transport in Southern Africa. https://deloi.tt/2IKGtDJ 
#naturalgas #lngindustry #mozambiquelngGas in road transport
Natural gas will be the backbone of regional economic integration among the Southern African Development Community (SADC) member countries.
deloitte.com",,,1
Deloitte SA,@DeloitteSA,2020-11-05T11:00:00.000Z,".
@DeloitteAfrica
’s Executive Compensation Report asks the question, “what is fair and reasonable and how do we measure this in terms of executive pay?”. To find out more, report here:Deloitte Executive Compensation Report 2020
Welcome to our fourth executive compensation report. This report covers several topics, including multiple years’ worth of executive remuneration disclosure and company performance data of the JSE...
deloitte.com",,,1
Deloitte Africa,@DeloitteAfrica,2020-10-28T09:28:41.000Z,"Happy Election Day, Tanzania!",,,1
Deloitte Africa,@DeloitteAfrica,2020-10-27T10:00:01.000Z,"Are you ready to ignite applied #AI conversations in the Age of With? Tune in to the Deloitte AI Institute’s new AI Ignition series. In our first episode, host 
@beena_ammanath
 chats with Dr. 
@AndrewYNg
.Ignite your AI curiosity with Dr. Andrew Ng
Will AI penetrate every industry? In today’s world, it’s hard to imagine an industry that won’t be impacted by AI. From education, to manufacturing, to agriculture, the possibilities of AI are endless
soundcloud.com",,1,1
Deloitte Africa,@DeloitteAfrica,2020-09-30T06:30:00.000Z,"Stay up to date – Join the Deloitte School of Tax & Legal’s Finance Directors & Managers IFRS and 2020 Tax Update Draft Bills webinar on 14 October – REGISTER HERE: https://deloi.tt/2RpBjhL #tax #itraining #IFRSWelcome! You are invited to join a webinar: Deloitte School of Tax & Legal: Finance Directors &...
This update will be invaluable for all financial directors, managers and their finance teams - whatever their area of business. It is a great opportunity to build your technical skills in the areas...
deloitte.zoom.us",,,
Deloitte Africa,@DeloitteAfrica,2020-09-21T08:58:36.000Z,"We wish our colleagues in Ghana a happy Kwame Nkrumah Memorial Day. 
@DeloitteGhana0:06
31 views",,,1
Deloitte Africa,@DeloitteAfrica,2020-09-21T06:30:00.000Z,"The Deloitte School of Tax & Legal invites you to join the Tax Dispute Resolution Process webinar series on 23 & 25 September – REGISTER HERE: https://deloi.tt/3iyld11 #taxdispute #trainingWelcome! You are invited to join a webinar: Deloitte School of Tax & Legal 2-Part Webinar Series:...
When taxpayers are aggrieved by an assessment or not satisfied with a decision taken by SARS if the decision is subject to objection and appeal, they have a right to dispute the assessment or...
deloitte.zoom.us",,,
Deloitte SA,@DeloitteSA,2020-09-17T11:24:29.000Z,".
@ruwaydaredfearn
  @DeloitteAfrica
 Chair, featured in the latest Financial Mail – read more here:BACKSTORY: Deloitte’s Ruwayda Redfearn
We question Ruwayda Redfearn, chair of Deloitte Africa
businesslive.co.za",,1,
Deloitte Africa,@DeloitteAfrica,2020-09-17T11:24:29.000Z,".
@ruwaydaredfearn
  @DeloitteAfrica
 Chair, featured in the latest Financial Mail – read more here:BACKSTORY: Deloitte’s Ruwayda Redfearn
We question Ruwayda Redfearn, chair of Deloitte Africa
businesslive.co.za",,,
