UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Corrs (Law Firm),@Corrslawyers,2020-11-27T00:16:20.000Z,"Congratulations to special counsel David Anthony, who has been recognised in 
@Green_Dot
, 
@googledownunder
 and 
@EnergyAustralia
’s Outstanding 50 #LGBTI+ Leaders 2020 report. More here: http://deloitte.com/au/out50",,1,1
Startup Soda,@startupsoda,2020-11-26T23:11:13.000Z,"StartupDailyANZ: Women are on the rise in 
@Green_Dot
's list of Australia’s fastest growing tech companies #startupAus #techau #ausbiz #womenintech #Fast50Women are on the rise in Deloitte's list of Australia's fastest growing tech companies - Startup...
A Melbourne media buying agency that’s seen its revenue grow by an astonishing 2390% over three years has been named the overall winner of the 2020 Deloitte Technology Fast 50 Australia awards. Half...
startupdaily.net",,1,
STARTUP DAILY,@StartupDailyANZ,2020-11-26T23:10:16.000Z,"Women are on the rise in 
@Green_Dot
's list of Australia’s fastest growing tech companies #startupAus #techau #ausbiz #womenintech #Fast50Women are on the rise in Deloitte's list of Australia's fastest growing tech companies - Startup...
A Melbourne media buying agency that’s seen its revenue grow by an astonishing 2390% over three years has been named the overall winner of the 2020 Deloitte Technology Fast 50 Australia awards. Half...
startupdaily.net",,2,
Thorne Harbour Health,@ThorneHarbour,2020-11-26T22:43:59.000Z,"Congrats to this year's OUTstanding 50 LGBTI+ leaders including 
@nevenaspirovska
, 
@switchboard_vic
's 
@Joe_c_Ball
, 
@EqualityAu
's  
@AnnaEquality
, 
@midsumma
's Karen Bryant, 
@ACONhealth
's Nic Parkhill, and 
@_afao
's Darryl O'Donnell 

Full list 
@Green_Dot
 -Outstanding 50 LGBTI+ Leaders | Deloitte Australia
Deloitte, Google and Energy Australia are incredibly proud to bring you our Outstanding 50 LGBTI+ Leaders of 2020.
deloitte.com",1,6,11
Christine Forster,@resourcefultype,2020-11-26T22:16:34.000Z,"What an honour to be included in the 2020 cohort of Deloitte Outstanding 50 LGBTI+ Leaders. Among them friends and colleagues who have helped change Australia for the better #out50 
@Green_Dot
 @googledownunder
 @EnergyAustralia
 http://deloitte.com/au/out50",1,1,4
Frank Betkowski,@fbetkowski,2020-11-25T22:04:19.000Z,"Great to see my Accounting Technical colleague Moana Overton joining the 
@Green_Dot
 partnership :)Quote Tweet
Deloitte Australia
@Green_Dot
 · Nov 26
We're delighted to introduce you to our 43 new Partners, who will explore new frontiers to make a lasting impact with our clients and in the community. Connect with them: https://deloi.tt/3nOUJuy",,,
Deloitte Australia,@Green_Dot,2020-11-25T22:00:01.000Z,"We're delighted to introduce you to our 43 new Partners, who will explore new frontiers to make a lasting impact with our clients and in the community. Connect with them:The future is now. We're ready.
We’re delighted to introduce you to our 43 new partners who will explore new frontiers to make a lasting impact.
deloitte.com",,1,4
Deloitte Australia,@Green_Dot,2020-11-24T23:21:26.000Z,Today is the International Day for the Elimination of Violence Against Women which also marks the beginning of 16 Days of Activism. We're committed to supporting those impacted by domestic & family violence by raising awareness & more.,,1,4
Deloitte Australia,@Green_Dot,2020-11-24T21:00:01.000Z,"Online #retail has been supercharged this year as #customers have been stuck at home. Will Christmas 2020 be home delivered? Learn more in our latest Retailers’ #Christmas
 Survey. https://deloi.tt/3kH4RmX",,,1
Aussie Leaders,@AussieLeader,2020-11-24T18:09:07.000Z,"""A major reason for continued #optimism in the #Agribusiness sector is simply that people still need to eat.""
@Green_Dot
's Agribusiness Bulletin May 2020Australian Agribusiness: a quiet achiever in a troubled economy | Deloitte Australia | Consumer &...
In this Agribusiness Bulletin we unpack the recent effect of COVID-19 on agribusiness in Australia, before turning to look at what the virus’s spread might mean for Australian agribusiness in the...
deloitte.com",,,
Frank Betkowski,@fbetkowski,2020-11-18T20:35:56.000Z,"New 'Tier 1' model financial statements for December 2020 from 
@Green_Dot
 now available.  New approach with extensive Australian wrap around, what's new in financial reporting, deadlines and moreTier 1 model financial statements | Deloitte Australia | Audit updates
These model financial statements contain complete illustrative disclosures for companies preparing ‘Tier 1’ general purpose financial statements in full compliance with Australian Accounting Standa...
deloitte.com",,,
Australian Retailers Association (ARA),@retailaustralia,2020-11-18T20:08:56.000Z,"The 
@Green_Dot
 annual survey of retail executives is out - revealing Christmas sales expectations - 39% expect sales to exceed 2019 by more than 5%. Almost half say online sales to jump by + 30% - a remarkable result in a 'horror year' says 
@paulzahra_1Christmas a curate’s egg for retail
The COVID-19 pandemic will drive wildly divergent fortunes among the countrys stores this Christmas, with close to 40 per cent of retailers expecting supercharged sales growth as a quarter predict...
theaustralian.com.au",,3,4
Deloitte Australia,@Green_Dot,2020-11-18T20:00:02.000Z,Australia doing nothing on climate action is a costly choice. Choosing net zero is now an economic necessity. https://deloi.tt/32RT1Ra #WorldClimate,,2,4
Pradeep Philip,@VPPhilip,2020-11-18T07:48:25.000Z,"if we could act now to prevent then next Great Recession, why wouldn’t we? 
@D_AccessEcon
 @FinancialReview
 @catkinson17
 @Green_Dot
 @JamesFernyhoughQuote Tweet
Louise Denver
@ldenver
 · Nov 18
#Economist @VPPhilip tells #AFRBanking20 that action on #climatechange will creat 250,000 #jobs and add $680bn to the #economy https://deloi.tt/2JzvOw4",,1,4
LeaseAccelerator,@LeaseAccelerate,2020-11-18T00:03:53.000Z,"Next week's APAC #webinar will uncover the key challenges with spreadsheets, and share how 
@MacquarieTelco
 excels with #IFRS16 compliance & digital #financetransformation.

Details + free registration: http://ow.ly/laLE50CntBX

[IPW 
@Green_Dot
]
 
#ifrs #accounting #financeHow to excel without spreadsheets: An IFRS 16 case study
Join leasing experts from Deloitte, LeaseAccelerator as they uncover the key challenges with spreadsheets and how Macquarie Telecom...
explore.leaseaccelerator.com",,,
ANDHealth,@ANDHealthAU,2020-11-12T00:44:37.000Z,"Suellan Leelawardana from 
@Green_Dot
 outlined 'what risk management is' and the importance of identifying your risk, identifying controls, the likelihood & consequences of that risk occurring at #MasterclassACCELERATE.",,,1
Deloitte Australia,@Green_Dot,2020-11-11T21:00:01.000Z,Do Australians believe in data use for the greater good? It depends. Find out more in Deloitte’s Digital Consumer Trends report. https://deloi.tt/3jTmHCO,,,
