UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Co.Labs,@colabsyxe,2020-11-27T19:33:51.000Z,"Big congrats to 
@7shifts
 for cracking 
@DeloitteCanada
's Technology Fast 50 at #41 
A true SK tech success story Quote Tweet
7shifts Scheduling
@7shifts
 · Nov 18
We’re elated to be named on @DeloitteCanada's Technology Fast 50 program and put Saskatchewantech on the map at #41. We’re proud to also rank #246 on the Fast 500 list. Watch out, Canada, the #siliconprairies are coming! 
 

Check it out here: https://www2.deloitte.com/content/dam/Deloitte/ca/Documents/technology-media-telecommunications/ca-fast-50-winners-2020-list-en.pdf…

#Growth",,1,11
Marc Joiner,@con_nec_tor,2020-11-27T15:01:46.000Z,"Super excited for today’s Bennett Jones Business Forum with partners  
@BennettJonesLaw
 @atbfinancial
 @DeloitteCanada
 @willowparkwines
 @calgaryeconomic
 #LLBF2020",,,8
Canadian Accountant,@Cdn_Accountant,2020-11-27T13:15:11.000Z,"We're pleased to feature top economists Craig Alexander 
@DeloitteCanada
, Douglas Porter 
@BMO
, and Avery Shenfeld 
@cibc
 in part 3 of our 5-part series:Will higher taxes help the Canadian economy recover from COVID-19?
Leading Canadian economists say raising taxes would not help the Canadian economy recover from the COVID-19 pandemic.
canadian-accountant.com",,1,
Attorney at Work,@attnyatwork,2020-11-27T02:15:02.000Z,"Project management tools can help with the ongoing, chaotic workflows that define #lawpractice. 
@Nicole_A_Clark
 points to #lpm apps to consider. 
@trello
 @asana
 @evernote
 @LitSoftware
 @DeloitteCanada
 #dTrax https://attorneyatwork.com/attorneys-project-management-tools…",,1,1
Centre for Canadian Nuclear Sustainability,@CCNSinnovation,2020-11-26T21:29:36.000Z,"Deloitte has officially joined our Industry Catalysts! 
@DeloitteCanada
 is a thought-leading organization that bring their world-class capabilities and insights to support the nuclear industry through innovation and process improvement.Deloitte Canada",,,1
The Prosperity Project,@CA_prosperity,2020-11-25T18:37:46.000Z,"Last week, we hosted an engaging webinar with 
@opg
 for young women in high school. If you missed out, you can still watch what these inspirational young women had to say about their journey in STEM: https://bit.ly/stemn17
@maryjohaddad
 @margret_lo
 @DeloitteCanada
 @globeandmailSwimming in STEM – a Webinar for Young Women in High School
On November 17th, The Prosperity Project and Ontario Power Generation presented the webinar ""Swimming in STEM"" as an opportunity for young women to 'test the...
youtube.com",,1,7
CIBC Innovation,@CIBCInnovation,2020-11-25T18:00:10.000Z,"Great to see so many of our portfolio companies recognized in 
@DeloitteCanada
’s 2020 #Technology Fast 50, taking #innovation and #leadership to new heights. #Fast50CA 
@intellijoint
, 
@JaneRunsClinics
, 
@AlayaCare
, 
@7shifts
 https://bit.ly/2V16DFf",,8,9
Nicole Dascenzo,@Nicoledascenz,2020-11-25T15:57:21.000Z,"Our first panel of the day led by 
@DeloitteCanada
’s #ShaunnaConway focused on #recovery and the future of #transportation with an expert panel from #taipeimetro 
@VIARailStream
 @Bombardier
 @Metrolinx
 #transposummit #recovery #trbot",1,,3
Deloitte Canada,@DeloitteCanada,2020-11-25T15:01:01.000Z,"Canada’s level of total investment—10.4% of GDP—is among the lowest in the developed world. 

Help raise that level. Download the first Catalyst report from Deloitte’s Future of Canada Centre. https://deloi.tt/3q0AmMX #Canada2030",,,2
Freightera,@Freightera,2020-11-25T01:55:57.000Z,"It was great to attend Deloitte Technology Fast 50 Virtual Celebration today! Freightera that grew 678% from 2016 to 2019 came No. 28 in Canada. #Fast50CA 
@DeloitteCanada
 
Congrats to the other BC's winners 
@getmojio
 @latermedia
 @JaneRunsClinics
 @thinkific
 @ImmunoPrecise
!",,,2
