UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
CII Southern Region (SR),@CII4SR,2020-11-27T15:26:54.000Z,"Report on Hyper Automation: Frontier Technologies highlights evolution b4 extinction a mantra that led to dynamic integration of RPA, along with AI and ML, bringing together the most disruptive technologies of current times under a single umbrella. #CIIAP 
@CII4SR
 @DeloitteIndia",,1,1
CII Southern Region (SR),@CII4SR,2020-11-27T15:24:57.000Z,"Today, 
@CII4SR
 - 
@DeloitteIndia
 released a  Report on Hyper Automation: Frontier Technologies. The report was released by Mr 
@ramprasad_cvd
, Director, Software Technology Parks of India #CIIAP 
@Deloitte
@stpiindia
 #HyperAutomation #FrontierTechnology",,,2
Deloitte India,@DeloitteIndia,2020-11-27T14:03:22.000Z,"Increased personalisation will need data collection and analysis. Rajeev Singh, Partner and Automotive Leader, Deloitte emphasises on how #dataprotection, #cybersecurity go along customer experience (#CX) strategies for #ConnectedVehicle at 
@ETAuto
.ETAutoConVec: Differentiating strategies for connected car experience of customers - ET Auto
Connected car capability is a differentiated value proposition today. The key to maximising its full potential is to keep innovating and improving cus..
auto.economictimes.indiatimes.com",,2,8
Meniga,@meniga,2020-11-27T13:23:02.000Z,"Will #NeoBanks be able to disrupt traditional #banks? Find out during a very interesting panel discussion at #indiafintechawards on 2 Dec with 
@jakub_pio
 @PayNearby
 @YESBANK
 @KotakBankLtd
 @DeloitteIndia
. #digitalbanking 
Read more... https://bit.ly/3fHUO0o",,1,1
Punit Renjen,@PunitRenjen,2020-11-27T13:18:00.000Z,"#COVID19 has accelerated the way work is designed and delivered, so companies are using #emergingtechnologies to reimagine business. More on the future of #AI adoption in #India: https://deloi.tt/331dAe0 
@FinancialXpress
 @DeloitteIndiaThe future of artificial intelligence adoption in India
MNCs and their GICs are leading the way in terms of AI adoption in India, their experience can be leveraged
financialexpress.com",1,,9
Deloitte India,@DeloitteIndia,2020-11-27T06:15:29.000Z,"A big thank you to 
@PunitRenjen
 for being part of #ImpactDay2020 and sharing words of wisdom with the brilliant students of 
@udayancare
 on how to move through life and build a career. #ImpactThatMatters #ImpactFromHomeQuote Tweet
Punit Renjen
@PunitRenjen
 · Nov 27
A brilliant session with @udayancare as part of #ImpactDay2020 with @DeloitteIndia. Knowing that these young women are our next generation of leaders gives me great confidence in the future. https://www2.deloitte.com/in/en/pages/about-deloitte/events/impact-day-2020.html…",,2,6
Punit Renjen,@PunitRenjen,2020-11-27T06:04:25.000Z,"A brilliant session with 
@udayancare
 as part of #ImpactDay2020 with 
@DeloitteIndia
. Knowing that these young women are our next generation of leaders gives me great confidence in the future.Impact Day 2020 | Deloitte India
Impact Day has been our annual tradition of volunteering for more than a decade. Keeping with the unique times, on 27 November, 2020, Deloitte in India will volunteer towards improving learning...
deloitte.com",1,6,19
ET NOW,@ETNOWlive,2020-11-27T06:00:45.000Z,"#ComingUp | Catch a special discussion with Nikhil Bedi, Partner & Leader, Forensic, Financial Advisory, 
@DeloitteIndia
 at 1 pm on how companies can insulate themselves from corporate #frauds and #cybercrimes 
@Ajaya_buddy",,1,10
National HRD Network,@NHRDN,2020-11-27T05:18:57.000Z,"Session on Future of Learning post COVID 19 led by 
@Deloitte
  is in progress at #HRShowcase2020 
@NHRDN
 @nhrdbangalore
 @DeloitteHC
 @DeloitteIndia
 @kshankar21
 @dhananjaymoti
 @Keerthana112
 @Smita_now
 @nikita1906",1,2,6
Deloitte India,@DeloitteIndia,2020-11-26T14:08:43.000Z,"Listen to Ravi Mehta, Partner, Deloitte India as he shares insights on #RPA and intelligent #automation—an enabler for organisational #digital #transformation—during the webinar on ‘Hyper automation: The next frontier' tomorrow at 10:00 a.m. India time. https://deloi.tt/37bDmgB",,2,4
Deloitte India,@DeloitteIndia,2020-11-25T10:00:01.000Z,"Join our “2020 Asia Pacific Indirect Tax Virtual Summit” tomorrow from 8:30 a.m. India time, where speakers will discuss the changes to #indirecttax rules, #customs, and #trade measures from a geographic perspective. Click here for the session details. https://deloi.tt/373Zk5n",,1,4
ET Auto,@ETAuto,2020-11-25T09:41:55.000Z,"Join Rajat Mahajan, Partner, 
@DeloitteIndia
 in conversation with industry experts deliberating upon 'The rise of ADAS and vehicle autonomy in the Indian market' at #ETAutoConVec 

Join: https://bit.ly/2HxE7I8",,2,3
Deloitte India,@DeloitteIndia,2020-11-25T09:37:57.000Z,"How is the Indian ecosystem positioned for manufacturing components. Join us at the panel moderated by Rajat Mahajan,Partner, Deloitte where he deliberates on rising #ADAS #tech 
@ETAuto
 #ETAutoConVec session. Register here. https://auto.economictimes.indiatimes.com/connected-vehicle-summit…",,,4
ET Auto,@ETAuto,2020-11-25T09:24:40.000Z,"Live Now | http://ETAuto.com Connected Vehicle Virtual Summit 2020

Panel Discussion on ‘The rise of ADAS and vehicle autonomy in the Indian market’
@MGMotorIn
 @Maruti_Corp
 @DeloitteIndia
 

#ETAutoConVec

Join Now: https://lnkd.in/esYPbXq",,,
Deloitte India,@DeloitteIndia,2020-11-25T09:15:01.000Z,"#Automation is evolving, are you? CII and Deloitte present a virtual conference on ‘Hyper automation: The next frontier - #Intelligent #Robotic Process Automation’ on 27 November 2020 at 10:00 a.m. India time. Click here to register. https://deloi.tt/3639gwA #RPA 
@FollowCII",,2,5
Deloitte India,@DeloitteIndia,2020-11-24T12:54:00.000Z,"The #strategy needed, if India aspires to be a major #exporter, is to specialise in areas of comparative advantage and achieve significant quantity expansion. Sanjay Kumar, Partner, Deloitte India shares his views in this 
@livemint
 article.Opinion: PLI scheme - achieving the goal
The strategy needed, if India aspires to be a major exporter, is to specialise in areas of comparative advantage and achieve significant quantity expansion
livemint.com",,,7
