UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Elevated Debate,@DebateElevated,2020-11-28T23:09:18.000Z,"Good 
@DeloitteUS
 piece on collaboration amid remote workCollaboration at a distance
A lot of work today simply can’t be done well without high-touch collaboration—a challenge when many people are working from home. New tools are helping.
deloitte.com",,,
Tanya [she/her],@TMODOM,2020-11-28T18:53:28.000Z,"Belonging at work https://bit.ly/2ZouIcB via 
@DeloitteUSBelonging
When workers appreciate how their individual work helps to advance goals they support and find meaningful, they will likely be more engaged, more motivated, and more likely to perform at a high...
deloitte.com",,,
Subham Ram,@subham_tweets,2020-11-27T12:24:29.000Z,"Thank you 
@Pratham_India
 and 
@DeloitteIndia
 @DeloitteUS
 for the #ImpactDay. It feels nice to be part of something that helps the community, even for a day.",,,2
pharmaboardroom,@pharmaboardroom,2020-11-27T08:05:04.000Z,"#Exclusive interview with 
@DeloitteUS
 Life Sciences Supply Chain MD Joe Lewis as part of our #InFocusVaccines publication #PBRconvos #FutureOfHealthcarePharmaBoardroom | Joe Lewis - Managing Director, Life Sciences Supply Chain Practice, Deloitte, USA
Joe Lewis outlines the key concerns of Deloitte’s pharma clients around manufacturing and supply chain operations in the wake of the COVID-19 pandemic, how companies can come out of the crisis...
pharmaboardroom.com",,,
HRCurator,@HRCurator,2020-11-27T05:38:00.000Z,"RT 
@ebcrew00
  Thx4RT fr 
@HRCurator
: Passion of the explorer https://bit.ly/3azhOMb via 
@DeloitteUS
 #learning #FutureofLearning #OrgDev #Culture #SmarterHRPassion of the explorer
Leaders are calling for reskilling, capabilities development, and reinvention of how we work. But all of this makes demands on workers, especially in a time of crisis. How can companies encourage...
deloitte.com",,1,1
Designer Startup Jobs,@AllDesignJobs,2020-11-27T04:10:09.000Z,".
@DeloitteUS
 is looking for a Strategic Workshop Designer (Auckland)Strategic Workshop Designer at Deloitte
Apply now for Strategic Workshop Designer job at Deloitte in Auckland, New Zealand. ––– **Please note that you must have legal NZ work rights and be based in NZ to be considered for this role** We’re...
startup.jobs",,,
Vishal Sharma,@VishalSharma_dc,2020-11-27T01:36:34.000Z,"Congrats to all my ⁦
@Deloitte
⁩ and ⁦
@DeloitteUS
⁩ colleagues. This is a great recognition for our consulting practice in USI.Deloitte India (Offices of the US) on LinkedIn: #deloitteconsulting #impactthatmatters | 51 comments
For the second consecutive year, Deloitte Consulting India Private Limited wins top accolades in the IT/ ITES category in Hyderabad by HYSEA and STPI-H... 51 comments on LinkedIn
linkedin.com",4,3,39
Jacob Varghese,@jacobccv,2020-11-26T16:01:49.000Z,"COVID-19 as catalyst https://bit.ly/2Iu6uHC via 
@DeloitteUSThe following media includes potentially sensitive content. Change settings
View",,,
Mike Danziger,@JavaJustice,2020-11-26T15:09:03.000Z,"This #PBW20, we’d like to thank all volunteers, including 
@DeloitteUS
 professionals, who are making an #ImpactEveryDay in their local communities. How have you had an impact through pro bono or skills-based volunteer work?Impact Every Day – Corporate Citizenship
Impact Day is a year-round celebration of Deloitte’s commitment to local communities. We believe the power of human connection can help foster a more productive, innovative, and inclusive society.
deloitte.com",,,
Urv Desai,@urv2000,2020-11-26T14:47:58.000Z,"Happy Thanksgiving. 
#Thanksgiving2020 
#deloittefast50 
@Deloitte
 
@DeloitteSAP
 
@DeloitteUSQuote Tweet
Punit Renjen
@PunitRenjen
 · Nov 26
While this year’s #Thanksgiving may look a bit different, my feelings of gratitude for my family, friends and colleagues may be stronger this year more than ever. Wishing a happy and healthy holiday to all who celebrate.",,,
David Mihigo,@MihigoDavid2,2020-11-26T13:18:48.000Z,"Coming of age digitally https://bit.ly/2V2gJpt via 
@DeloitteUSComing of age digitally
Achieving digital maturity involves changing how things are being done and having the courage to fail. Tanya Ott met with Jerry Kane and Anh Phillips to discuss how organizations can overcome these...
deloitte.com",,,
Cody Fastzkie,@_CFastzkie,2020-11-25T15:26:29.000Z,"$GSX hey 
@SEC_Enforcement
 @DeloitteUS
 @Deloitte
 @PunitRenjen
 @SEC_News
, can either of you please do your job and protect your country from fraudulent Chinese companies before the holidays? You have literally every piece of proof that you need. Just do what you are SUPPOSED to do",,,9
