UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
EY Africa,@EY_Africa,2020-11-27T14:00:01.000Z,"Entrepreneurs are rising up to build a better world. In the face of adversity, these entrepreneurs are unstoppable – reinventing our future and solving the world’s biggest challenges. World Entrepreneur Awards for Southern Africa is open. Nominate today http://spr.ly/6016HG17m",,,3
EY Africa,@EY_Africa,2020-11-27T09:03:32.000Z,"Ajen Sita, EY Africa CEO is a proud signatory of the Women’s Empowerment Principles, established by UN Women and the UN Global Compact Office. http://spr.ly/6017Hyh3L",,2,6
Sugan D Palanee,@SuganPalanee,2020-11-27T08:00:01.000Z,"We call these entrepreneurs the unstoppables – those whose unbounded ambitions deliver innovation, growth, and prosperity that transform our world. Our World Entrepreneur Awards for Southern Africa is open. Nominate today http://spr.ly/6010HHF1o 
@EY_Africa",,,
Sugan D Palanee,@SuganPalanee,2020-11-20T13:20:46.000Z,"Miss it more than you 
@bothawi
 @EY_AfricaQuote Tweet
Wickus Botha
@bothawi
 · Nov 20
1st time back in Sandton since 25 March - the street are still so quite.... definitely miss this place!",,,2
Digimatt Solutions,@Digimattsol,2020-11-20T11:24:58.000Z,"May this day bring you endless joy and blessings. We celebrate you because you are our valued client.Happy Birthday 
@OsoroEdith
 BMC Manager 
@EY_AfricaEdith Osoro",,1,4
EY Africa,@EY_Africa,2020-11-20T10:00:02.000Z,"Register to join a Private Capital webcast moderated by EY Africa's Azim Omar, EY Africa, EY Private Leader, 24 November 2020, 2pm-3:30pm: http://spr.ly/6012HGwNa",1,2,6
EY Africa,@EY_Africa,2020-11-20T10:00:01.000Z,"Entrepreneurs are rising up to build a better world. In the face of adversity, these entrepreneurs are unstoppable – reinventing our future and solving the world’s biggest challenges. World Entrepreneur Awards for Southern Africa is open. Nominate today http://spr.ly/6016H1xty",,1,1
EY Africa,@EY_Africa,2020-11-20T09:16:39.000Z,"At EY we drive innovation and identify creative solutions, working with clients and colleagues around the world. Click here to apply http://spr.ly/6019HGddN. The better the question. The better the answer. The better the world works.",,1,1
Invest in Africa - Kenya,@IIA_Kenya,2020-11-13T09:23:17.000Z,"Cash flow Management made simple 
1. Improve cash collection
2. Forecast regularly
3. Analyze expenditure 
4. Extent payment terms 
#IIAMasterclassSeries #SMEbudgeting 
@MastercardFdn
 @EY_Africa
 @mwiti_frank
 @KEPSA_KENYA
 @kenya_chamber
 @smesupport_ke
 @ASSEKnews",,1,4
frankie mwema,@frankiegeek,2020-11-13T08:37:30.000Z,"Without a budget, a company runs the risk of spending money it doesn’t have , not spending enough to compete or failing to build a solid emergency fund - 
@IIA_Kenya
 @mwiti_frank
 @EY_Africa
 @MastercardFdn
 #SMEbudgeting #IIAMasterclassSetries 
@KEPSA_KENYA
 
@smesupport_ke",,1,2
Invest in Africa - Kenya,@IIA_Kenya,2020-11-13T08:36:33.000Z,"The main budget for a business is the master budget which should; forecast the entire fiscal year and project the income statement, the balance sheet and cash flow - 
@mwiti_frank
 @EY_Africa
 @MastercardFdn
 #SMEbudgeting #IIAMasterclassSeries
@britchamken
 
@icfkenya",,1,3
Invest in Africa - Kenya,@IIA_Kenya,2020-11-13T08:29:39.000Z,"Without a budget, a company runs the risk of spending money it doesn’t have , not spending enough to compete or failing to build a solid emergency fund - 
@mwiti_frank
 @EY_Africa
 @MastercardFdn
 #SMEbudgeting #IIAMasterclassSetries 
@KEPSA_KENYA
 
@smesupport_ke
 
@ASSEKnews",,4,6
Invest in Africa - Kenya,@IIA_Kenya,2020-11-13T08:21:06.000Z,"Currently happening, #IIAMasterclassSeries on #SMEbudgeting to help SMEs understand the budgeting process and how they can manage cash flow. 

Join this conversation now 
link: https://bit.ly/3ktUR0p
@MastercardFdn
 @EY_Africa
 @mwiti_frank
 @OwitNairobi
 @KEPSA_KENYATBNetwork East Africa and 7 others",2,2,6
EY Africa,@EY_Africa,2020-11-09T10:36:59.000Z,"Lindie Engelbrecht, EY Africa Regulatory & Public Policy Lead & Ajen Sita, EY Africa CEO discuss Leadership and ‘Tone at the Top’ in the audit profession in #3 of 3 blogs: http://spr.ly/6015H8uDR",1,2,8
EY Africa,@EY_Africa,2020-11-09T09:54:19.000Z,"Do you have the human spirit of unstoppable ambition? Humanity is capable of great things. To build something of long-term value takes grit, persistence and a sense of ambition. Nominate an entrepreneur for our 2020 Southern Africa awards: http://spr.ly/6017H8PPT
#unstoppables",,1,4
EY Africa,@EY_Africa,2020-11-09T08:04:59.000Z,At EY we are committed to finding talented individuals who share our values. Apply for the EY CA Stream bursary now http://spr.ly/6013H83pF. A better working world. It’s yours to build.,,3,2
EY Africa,@EY_Africa,2020-11-05T10:00:00.000Z,"The EY Future Consumer Index on behavior and sentiment identifies the scale, scope and stickiness of the deep pivot to online shopping. Read the index here:Future Consumer Index: How to capture the real e-commerce opportunity
The EY Future Consumer Index on behavior and sentiment identifies the scale, scope and stickiness of the deep pivot to online shopping.
ey.com",,1,3
EY Africa,@EY_Africa,2020-11-05T09:21:35.000Z,EY in collaboration with UKZN is excited to host our first guest lecture on ethics in the Auditing profession on 06 November 2020. Chat to the team and find out about the Exceptional EY Experience http://spr.ly/6017HBElv. A better working world. It’s yours to build.,,1,6
EY Africa,@EY_Africa,2020-10-28T07:55:55.000Z,Join an insightful roundtable led by EY Business and SAP Alliance leaders and EY’s Seshni Samuel discussing topics like: What the EY-SAP Alliance means for client organisations. Register: http://spr.ly/6012GCV0y #EYVirtualRoundtable,1,2,3
EY Africa,@EY_Africa,2020-10-28T07:38:43.000Z,Join an insightful roundtable led by EY Business and SAP Alliance leaders and EY’s Seshni Samuel discussing topics like: What the EY-SAP Alliance means for client organisations. Register: http://spr.ly/6018GCVmM #EYVirtualRoundtable,,,
EY Africa,@EY_Africa,2020-10-27T18:00:02.000Z,"The future is uncertain but the hope to do and be better is a constant. Let us be part of your tomorrow. Apply for the EY CA Stream bursary now http://spr.ly/6018G7Agi. 

A better working world. It's yours to build.",,4,4
