UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
SAP Australia and NZ,@SAPANZ,2020-11-26T05:21:12.000Z,"Congratulations to 
@GenesisCare
 and 
@EY_Australia
 for our #ERP winner in the 2020 #TheBestRun Awards in A/NZ 
 http://sap.to/6018HyYdI",,1,2
EY Australia,@EY_Australia,2020-11-26T03:55:24.000Z,The latest EY Future Consumer Index shows the first green shoots of consumer confidence since March as we head into the festive season. Discover here: http://spr.ly/6011Hyc5F,,,2
Matt Rennie,@MattRennie_,2020-11-26T02:28:27.000Z,"""Need to Know: Energy and the 14th China 5-year Plan ""https://linkedin.com/pulse/need-know-energy-14th-chinese-5-year-plan-matt-rennie… #china #energy #5yearplan #China #EnergyTransition ⁦
@EY_Australia
⁩ ⁦
@EY_PowerUtility
⁩Need to Know: Energy and the 14th China 5-year Plan
Just over three weeks ago, the fifth plenary session of the 19th Communist Party Central Committee was held by the Chinese Communist Party (CCP).  Overseen and presided over the Chinese General...
linkedin.com",,1,
Anjum Sultana,@AnjumSultana,2020-11-25T23:05:52.000Z,"Looking forward to chatting tonight about a #FeministRecovery in Australia - thanks for the invite 
@EY_Australia
!

We'll be unpacking the recent budget released by the State of Victoria & what it means for gender equality. 

Join here: https://bit.ly/3fbynjH

#GenerationEqualityWorld YWCA and YWCA Canada",,1,4
FORESIGHT Climate & Energy,@FORESIGHTdk,2020-11-24T13:25:20.000Z,"Economies and companies that set an agenda for climate-resilient growth will likely be seen as more attractive prospects, says 
@MattBell_EY
, 
@EY_Sustainable
 climate change and sustainability services leader: https://bit.ly/3ft7mbz
@EY_Australia
 @EYnews
 #SustainableImpact #ESG",,4,2
Edmund Tadros,@edmundtadros,2020-11-17T00:09:18.000Z,"Moves at 
@BCG
, 
@EY_Australia
:BCG appoints two new managing directors
The Boston Consulting Group has promoted two Melbourne-based consultants.
afr.com",,,1
EY Australia,@EY_Australia,2020-11-16T05:39:51.000Z,"How listed companies plan for potential short selling attacks could be the difference between survival and collapse. Find out more:Don’t fall short – how to recognize a short seller attack and survive
The COVID-19 pandemic has resulted in slowed economic growth, subdued global sentiment and regional market disruption. The opportunity to profit from betting against organizations is ramping up, and...
linkedin.com",,,1
EY Australia,@EY_Australia,2020-11-15T01:00:00.000Z,"Join us at the OECD’s Government After Shock event in helping governments survive and thrive coming out of the pandemic. http://spr.ly/6019GhHWJ #EY #reframeyourfuture  #covid19EYresponse #OECD #GocAfterShockHome - Government After Shock
gov-after-shock.oecd-opsi.org",,1,1
Dr Adam Fraser,@DrAdamFraser,2020-11-13T03:39:03.000Z,"I always know when I present to 
@EY_Australia
 it’s going to be a brilliant session. Had the pleasure of presenting to new senior leaders from all over Oceania. What blew me away was how sophisticated and insightful the questions they asked during the session was. A great group.",,,2
EY Australia,@EY_Australia,2020-11-13T00:30:01.000Z,Register now for Global Government Forum's Innovation 2020 summit 16 - 17 Nov on adopting innovation & emerging tech http://spr.ly/6013HDnxV #Innovation2020,,,
Pitt Martin,@PittMartinTax,2020-11-03T01:44:49.000Z,"https://eventbrite.com/e/ctdg-november-event-corporate-tax-residency-post-budget-registration-127698651103… 
@cpaaustralia
 City Tax DG Mon 9Nov20 5:30pm 
@EY_Australia
 All welcome! 
@TaxInstituteOz
 @SMSFassoc
 @Chartered_Accts
 @FINSIA
 @CIMA_News
 @ACCANews
 @AICPA
 @icbaustralia
 @ipaaccountants
 @AcctsDaily
 @SmartCompany
 @LawSocietyNSW
 @ARITAnews
 @AustraliaFPACTDG November Event - Corporate Tax Residency Post Budget
CTDG November Event - Corporate Tax Residency Post Budget
eventbrite.com",,1,3
EY Australia,@EY_Australia,2020-11-03T00:30:03.000Z,"Register now for this global OECD webcast on Government's economic role to foster sustainable, resilient growth. Register now http://spr.ly/6010GhHJK #EY #reframeyourfuture  #covid19EYresponse #OECD",,1,2
STEVE FISCHER,@STEVEFI14205588,2020-11-02T05:32:34.000Z,"All good maybe 
@EY_Australia
 will invite all 
@CLAN_AU
 members & 
@annabelcrabb
 @Anne_Ruston
 to 2020 Xmas PartyQuote Tweet
Frank Golding
@GoldingFrank
 · Nov 2
Whatever are doing with these long-held applications? twitter.com/CLAN_AU/status…",,,
ausbiz,@ausbiztv,2020-10-30T05:07:22.000Z,"Join us live for The Last Call. We chat #MelbourneCup tips with 
@tomwaterhouse
 and review the week in markets with ShaneOliverAMP, Jo Masters from 
@EY_Australia
, John Noonan and 
@michaelfrazis
.

Tune in at 4PM AEDT at http://ausbiz.com.au

#ausbizausbiz
@ausbiztv
301020 The Last Call",,1,4
EY Australia,@EY_Australia,2020-10-30T00:15:01.000Z,"Find out why putting humans at the center of purpose and strategy, deploying technology at the speed where exponential benefits accrue, and innovating at scale to be at the forefront of reshaping industries are the path to long-term value creation http://spr.ly/6046GSZg8",,,1
Electric Vehicle Council of Australia,@EVCouncil,2020-10-26T23:26:46.000Z,"Our latest report w 
@EY_Australia
 shows 'every #EV sold in Australia in place of a conventional petrol car will deliver economic and social benefits worth more than $10,000 over 10 years'. Thanks for spreading the good word
 @RACV_OfficialWhy electric cars are good for the economy | RACV@Home | RACV
Electric vehicles could deliver significant social, economic and environmental benefits for Australia, a new report shows.
racv.com.au",,4,12
EY Australia,@EY_Australia,2020-10-26T21:01:00.000Z,"Discover the secret to finding the new road. EY Oceania Consulting Leader, Justin Greig, reveals in this article http://spr.ly/6016G7558 #TransformativeAgeHow to work backward to transform your future
In a world of constant change, planning for the present sets us up for failure. To succeed, plot multiple paths and then work backward. Learn more.
ey.com",,,2
Fear And Greed Podcast,@PodcastFear,2020-10-26T20:19:30.000Z,"After 111 days, Melbourne lockdowns are finally lifting.  Other news includes global markets fall as COVID surges & e-commerce out of favour with local investors.

Plus Duncan Hogg from 
@EY_Australia
 on the booming IPO market.
 http://bit.ly/Fear-And-Greed-Spotify… or where you get podcasts",,5,3
EY Australia,@EY_Australia,2020-10-25T22:25:14.000Z,Where will we see accelerated financial services innovation and transformation? Read the EY FinTech Australia Census 2020 to find out. http://spr.ly/6018G75jp,,1,5
InnovationAus,@Innov_Aus,2020-10-24T07:55:03.000Z,"Watch 
@auscl_org
's Future of Contracts webinar moderated by 
@NataliaCrnomark
, APAC Law Innovation & Oceania Law Tech Leader with 
@NatashaBlycha
, Global Head of #DigitalLaw HSF, Scott Waller 
@EY_Australia
 #Blockchain Leader & 
@andrewhii
, Partner 
@gtlaw
.  https://buff.ly/2HkxkBI",,,
FinTech Australia,@ausfintech,2020-10-21T23:12:25.000Z,"72% of fintechs say the COVID-19 pandemic has had a negative impact on their capital raising ability. 

Find out more from this year's 
@EY_Australia
 FinTech Australia FinTech Census.

https://fintechaustralia.org.au/australian-fintech-sector-maintains-momentum-despite-covid-19-and-capital-constraints/…",,3,7
EY Australia,@EY_Australia,2020-10-21T04:38:05.000Z,"People – combined with technology – are at the heart of innovation for digital transformation. Our technology leaders Dan Higgins and 
@nicmorbia
 discuss approaches for building a human enterprise in 
@HarvardBiz
: http://spr.ly/6010GfC26 #TransformationRealized #HumanEnterpriseTech Should Enable Change, Not Drive It
Are digital tools actually helping people do their jobs?
hbr.org",,,3
