UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
NortonRoseFulbright,@NLawGlobal,2020-11-27T14:03:33.000Z,"No business is immune from the rising risks of #cyberattacks, but awareness is the best defense. Canadian chair Walied Soliman hosts a discussion on the threat landscape with 
@EYCanada
 and 
@ProvidentComms
. Join us. #riskmanagement http://ow.ly/tm7N50Cw0Oy",,5,4
Chief's Gala,@ChiefsGala,2020-11-26T23:30:00.000Z,"We have a number of wonderful Gold sponsors this year to thank: 
@EYCanada
, The Warehouse Group, 
@TomsPlaceTO
, 
@Bell
, 
@MLSEPR
, 
@Axon_Canada
, 
@postmedianet
 @humbercollege
. Thank you for supporting the gala and 
@VSToronto
!",1,1,10
EY Canada,@EYCanada,2020-11-26T22:06:14.000Z,"Our culture of giving back is ingrained in our EY values. This fall, our people across Canada are coming together to make a real difference for the 
@UnitedWay
. Learn more about our 30 years of support for 
@uwgreaterto
. http://spr.ly/6013HyFLS 

#EYCanada #BetterWorkingWorld",,,3
leapforchange,@leapforchange,2020-11-26T19:26:57.000Z,"On December 1st, #GivingTuesday
, please consider making a donation to LEAP. Each dollar will ultimately make a difference in another Canadian’s life. Every dollar donated will be matched by 
@EYCanada
 up to $10,000! https://canadahelps.org/en/dn/m/31957/donation…",,1,3
EY Canada,@EYCanada,2020-11-26T18:01:15.000Z,"In collaboration with 
@PlanCanada
, university student Eva is making her mark in a week-long virtual “seat share” where she’ll learn from EY leaders across Canada and share her ideas about building a better working world. http://spr.ly/6012Hyx3k 

#EYCanada #BetterTogether",1,2,5
EY Canada,@EYCanada,2020-11-24T16:01:15.000Z,"How are you channelling 2020 learnings into 2021 solutions? EY Design Studio’s Stephen Megitt offers three key tips to turn what you’ve learned into transformative offerings meant for real customers, in real time. http://spr.ly/6019HHN57

#EYCanada #BetterWorkingWorld0:33
39 views",,,
Kathy Cheng,@kathykwcheng,2020-11-24T12:39:44.000Z,"Thank you 
@EYCanada
 @Stasia_EY
 for sharing our 
@RedwoodClassics
 story & highlighting the importance of sustaining #local #supplychains! #EYWinningWomenQuote Tweet
Stasia Mitchell
@Stasia_EY
 · Nov 24
During #COVID19, @RedwoodClassics Founder & EY Winning Woman, @kathykwcheng navigated reliance on local supply chains with ease by staying true to her mission: support local makers & giving back. LOVE this new series, #TheEntrepreneurShift. https://bit.ly/TheENTShift #EYCanada",,1,5
New Ventures BC,@nvbc,2020-11-24T01:29:03.000Z,"Thank you to all of our generous sponsors who have made this possible.
• Lead Partner and Title Sponsor
@innovate_bc
  
• Gold Sponsors
@EYCanada
 
@FaskenLaw
@SFUBeedie
@UBCSauderSchool
https://youtu.be/l3YprDCfZhU

#nvbc2020New Ventures BC Competition Awards
youtube.com",,,3
EY Canada,@EYCanada,2020-11-23T21:31:01.000Z,"How will you build a bridge from now to next and beyond? Join our #SupplyChain resiliency webinar on December 2 at 12 p.m. EST and shift your business from short-term improvements to long-term sustainability. http://spr.ly/6017HHoMt 

#EYCanada #Webinar #BetterTogether",,,1
Redwood Classics,@RedwoodClassics,2020-11-23T16:33:44.000Z,"""We have managed to sustain Canadian apparel production for 30+ years."" - Hear about 
@kathykwcheng
's proudest achievements and about what COVID-19 has taught her personally and professionally on the 
@EYCanada
 #EntrepreneurShift series. https://ey.com/en_ca/the-entrepreneur-shift/kathy-cheng…
@EYnewsThe Entrepreneur Shift - Kathy Cheng EWW alum interview
The Entrepreneur Shift is a series of interviews that dives deeper into the pivots Canadian entrepreneurs have made while navigating COVID-19.
ey.com",,1,3
