UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Birmingham Live,@birmingham_live,2020-11-27T20:24:35.000Z,"And a shout out to all the training providers which work with our winners day in, day out to promote apprenticeships and help apprentices prosper 
@apprentice_c
 @covcampus
 @create_alliance
 @EY_UKI
 @JTLTraining
 @MyBCU
 @NCATI
 @PtpTraining
 @TheOpp_Group
 and 
@unibirmingham",,,
Birmingham Live,@birmingham_live,2020-11-27T20:23:37.000Z,"As our awards draw to close, it just leaves us to say congratulations to all of our winners tonight 
@EY_UKI
 @mrqasimkhattak
 @OFFICIALWMAS
 @PwC_Midlands
 @rlb_uk
 @SwiftACI
 @thinkcrimson
 @voestalpine
 and Tinkerbell's Cards & Gifts #BAA20",,3,4
Mark Smith,@lemarksmith,2020-11-27T19:37:47.000Z,"Congratulations Isobel Sherrington Professional Services Apprentice of the Year! #BAA20 
@EY_UKI",,,1
Birmingham Live,@birmingham_live,2020-11-27T19:37:02.000Z,"Congratulations to Isobel Sherrington from 
@EY_UKI
 who is taking home the Outstanding Apprentice of the Year - Professional Services award, sponsored by 
@PtpTraining
 #BAA20",,4,6
Modasar Rasul,@Moditweets,2020-11-27T19:15:50.000Z,"Another good day for #TeamAston 
@EnactusAston
's 'Role Model' project winning the 
@EnactusUK
 Project Competition sponsored by 
@EY_UKI
 

#WeAllWin #EnactusUK #NextGenLeadersQuote Tweet
Enactus Aston
@EnactusAston
 · Nov 27
We've won the funding for role models project from EY. Great effort by the team... . Now it's time to celebrate.
 Looking forward to working our best in the project 

#weallwin #teamaston #nextgenleaders #changetheworld 

@AstonUniversity @aston_union @EnactusUK @AstonBusiness",,,4
Shayna Manchanda,@shayna_uk,2020-11-27T12:00:25.000Z,"Congrats to the 
@EY_UKI
 apprenticeship and student recruitment teams for winning the top employer award (Financial, Legal & Professional services) at this year’s 
@BAMEappawards
!The BAME Apprenticeship Awards 2020
EY has been recognised as a top employer in the Financial, Legal & Professional services category at this year’s BAME apprenticeship awards
ey.smh.re",,2,2
Dr. Thomas Erwin,@Dr_Thomas_Erwin,2020-11-27T11:44:10.000Z,"Raising awareness of #domesticabuse is key to spotting the signs & helping others access support. 
@EY_UKI
 is joining 
@PwC_UK
 @GowlingWLG_UK
 @NLawGlobal
 & 
@TeamLondonBdg
 for this year's #16DaysofAction against domestic violence virtual event series16 Days of Activism — Team London Bridge
16 Days of Activism Against Gender-Based Violence 25th November – 10th December 2020 16 Days of Activism is designed to help businesses protect their staff against domestic abuse and gender-based...
ey.smh.re",,,
Alison Kay,@AlisonKayEY,2020-11-27T11:37:35.000Z,"Great news and congrats our our winning Insurance team 
@EY_UKI
 
#InsuranceAMawardsQuote Tweet
IAM
@IAM_insurance
 · Nov 27
 Congratulations to @EY_UKI on winning Insurance Consultancy of the Year! #InsuranceAMawards",,,
EY UKI,@EY_UKI,2020-11-27T10:00:07.000Z,The role of #GreenHydrogen in supporting decarbonisation is huge but what needs to be done to ensure it reaches scale? Read more on EU’s strategy in RECAI http://spr.ly/6011HHfAT  #EYEnergyUK,,4,3
EY Press UK,@EY_PressUK,2020-11-26T13:21:35.000Z,"""Now, retailers need to look beyond festive deals in order to aim for recovery and a positive start to 2021."" 
@EY_UKI
 #retail partner Silvia Rindone reflects on #BlackFridayWeek and considers how retailers can position themselves for long-term growth:Retailers need to look beyond festive deals in order to aim for recovery and a positive start to...
Silvia Rindone, EY UK & Ireland Retail Partner, says: “Once a big event for the retail industry, the reality is that Black Friday’s significance has diminished. This year, retailers have brought...
ey.com",,1,1
EY UKI,@EY_UKI,2020-11-26T13:00:09.000Z,"Having a well aligned culture in which company values match workplace behaviour is crucial during challenging times. Read our EY Real Insights interview with 
@bernardooo
, CEO and co-founder of 
@Busuu
: http://spr.ly/6015HyZP7 #FamilyBusiness #PrivateBusiness0:09
83 views",,1,1
