UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Bill Casey,@BillMCasey,2020-11-26T14:11:00.000Z,"Happy Thanksgiving. I’m grateful to my teammates at 
@EY_US
 and 
@EY_StrategyTran
 who consistently impress me with their work in building a #BetterWorkingWorld.",,1,6
Carolyn Slaski,@CarolynSlaskiEY,2020-11-26T14:10:00.000Z,"As we celebrate #Thanksgiving this year, I am especially thankful for my 
@EY_US
 colleagues. Through resilience and strength, our community continues to contribute quality work and ideas to colleagues and clients. Hope everyone enjoys a happy, healthy and safe holiday.",,1,9
EY US,@EY_US,2020-11-26T14:00:14.000Z,Wishing our EY family and friends a restful and happy Thanksgiving!,,6,15
Neo4j,@neo4j,2020-11-26T03:05:00.000Z,"[From the archives:]
Designing the Enterprise: #HRApplications at Scale – a #GraphConnect talk with Michael Moore, Todd Middlemis and Sameep Mondhe of 
@EY_US
     
https://r.neo4j.com/2OQgSsJ
#OrganizationMapping #OrganizationDesignDesigning the Enterprise: HR Applications at Scale
Read up on this GraphConnect talk to discover how EY employed a Neo4j graph database to design their enterprise HR application at scale.
neo4j.com",,,
The Wolf Of All Streets,@scottmelker,2020-11-26T02:55:44.000Z,"I had an incredible chat with Chen Zur, U.S Blockchain Leader for 
@EY_US
. He has an incredible knack for explaining the importance of blockchain in a language everyone can understand. Really awesome.

Can't wait to release this TOMORROW.

https://thewolfofallstreets.io/podcast/",4,1,26
EY US,@EY_US,2020-11-25T16:07:00.000Z,"We join 
@PlattsOil
 on Capitol Crude to discuss findings from our recent #EYEnergy survey, including digital skills gap among the #oil and #gas workforce. http://spr.ly/6013HyGdP.",,,2
EY US,@EY_US,2020-11-25T16:00:00.000Z,"A promising evolution of exposure notification apps would be to serve as a ""one-stop-shop"" from detection to prevention. What app developers should keep in mind:How design can increase adoption of COVID-19 exposure notification apps
Human-centered experience design can help reduce barriers to the usage of exposure notification apps.
ey.com",,1,2
Gedi,@gedisius,2020-11-25T09:19:21.000Z,"If you're in the #corporate #sustainability 
, take a look at 
@Microsoft
 ""Sustainability. Good for Business. 2021 and beyond Executive Playbook"" authored by 
@EY_US
 #remotework https://info.microsoft.com/rs/157-GQE-382/images/EN-WBNR-Other-SRGCM4042-eBookSustainabilityGoodforBusiness.pdf…Quote Tweet
Xiaopeng Li
@ixiaopengli
 · Nov 25
Sustainable transformation will benefit every organization. Our executive playbook shows business leaders how to meet tomorrow’s expectations today.
#sustainabletransformation #sustainability https://lnkd.in/eyX_6mx",,1,2
IrelandFundsAmerica,@IrelandFundsAM,2020-11-25T00:53:00.000Z,"Thanks to 
@EY_US
 for their generous sponsorship of The Ireland Funds San Francisco Women in Leadership Luncheon on Dec. 4 - a virtual celebration featuring Honorary Speaker 
@LorraineTwohill
 of 
@Google
. Join us! Learn more at https://bit.ly/2JaB9K0",,1,3
EY US,@EY_US,2020-11-24T22:30:00.000Z,"Boards are playing a role in navigating the pandemic, showing trust, and helping entrepreneurs scale up.The essential board: Kathryn Swintek talks disruption, conflict and why you need a board
A conversation between Kathryn Swintek, NACD Private Company Director of the Year, and Anthony Sgammato, EY Private Assurance Leader. Read more.
ey.com",,1,3
Janet Truncale,@Janet_Truncale,2020-11-24T20:35:16.000Z,"This year, I am grateful for the warm welcome I’ve received from the entire 
@EY_US
 Financial Services team as I’ve moved into my new role. I am also thankful for my family, who are a constant source of support. Wishing everyone a very happy and relaxing #Thanksgiving!",1,1,17
EY US,@EY_US,2020-11-24T20:00:00.000Z,"What role can #tech play to design personalized employee experiences at scale? We share more via 
@Forbes
:Council Post: Shaping Employee Experience Through Your HR Technology Stack
People at the center drive business results when talent is viewed as an asset and value is placed on employee experience.
forbes.com",,1,2
Kinaxis,@Kinaxis,2020-11-24T17:52:07.000Z,"The need for resiliency has never been more important. Discover how leading brands are digitizing their supply chains to increase their agility. Join our live webinar on Dec. 10, feat. speakers from 
@EY_US
 and 
@mitsupplychain
. https://bit.ly/35KHq8c",,1,4
Gary L. Thompson,@garyleethompson,2020-11-24T17:44:42.000Z,"Congrats to 
@saejujeong
 on his EOY award from 
@EY_US
 There are some awesome insights into what drives him as an entrepreneur in this 
@itsbobjohnston
 podcast released over the summer. https://podcasts.apple.com/us/podcast/the-bob-johnston-podcast/id1504785322?i=1000486450458…Quote Tweet
Saeju Jeong
@saejujeong
 · Nov 24
I'm incredibly honored to be recognized as an #EY Entrepreneur Of The Year 2020 winner. Thank you @EY_US for the recognition, and congratulations to all the other entrepreneurs working hard to make the world a better place https://go.ey.com/35R9Ttf",,,
Fusajiro Yamauchi,@GrapefruitGals,2020-11-23T18:14:49.000Z,"Definitely worth watching as Chinese fraud comes into focus for the Biden administration. We are working on getting the Senate Government Affairs Committee to hold a hearing w/ 
@Deloitte
 @EY_US
 @PwC
 @KPMG
 to understand their role in enabling frauds on 
@NYSE
 $GSX 
@tedcruz
 @ewarrenQuote Tweet
MuddyWatersResearch
@muddywatersre
 · Nov 23
Usually @BloombergTV posts these segments in full. We hit some important points on China-US listings, $GSX $YY frauds, and overall market dysfunction twitter.com/IndifferentObs…",1,1,20
EY US,@EY_US,2020-11-23T17:56:51.000Z,"Congratulations to our Entrepreneur Of The Year® 2020 National Award winners! Explore more about the #unstoppable entrepreneurs in a new blog from 
@AndrewAJJordan
. #EOYUS #SGFUSMeet the unstoppables, our Entrepreneur Of The Year® 2020 National Award winners
This is my favorite time of year. The holiday season is just around the corner, and in a normal November, the EY Private team would be spending a week in beautiful Palm Springs, California, hosting...
linkedin.com",,3,3
The Economic Club NY,@EconClubNY,2020-11-23T17:40:46.000Z,"""The design of our BE NYC program is to grow Black entrepreneurship in New York City... We have to address the #digitaldivide and e-commerce expertise... mentorship... 
@EY_US
 is helping us with that..."" - 
@JonDoris1
 https://www1.nyc.gov/site/sbs/businesses/black-entrepreneurs-nyc.page… #ECNYDoris",,1,2
The Economic Club NY,@EconClubNY,2020-11-23T17:29:45.000Z,"""I want to give a big shout out to 
@MasterCard
 @EY_US
 @GoldmanSachs
 who have joined the 
@NYC_SBS
 BE NYC program as sponsors."" - 
@JonDoris1
 More info: https://www1.nyc.gov/site/sbs/businesses/black-entrepreneurs-nyc.page…  #ECNYDoris",,,1
Brian L May,@bmaysfx,2020-11-23T16:16:20.000Z,"Concerns around #technology and #data are key consumer issues for FIs to resolve so they can make greater use of #AI and transformative tools that give them a competitive edge. Check out our 
@EY_US
 insights on the concept of #TrustedIntelligence here:Harnessing the power of trust and data
Data and technology have disrupted our world – but a lack of trust could halt their potential. Find out how to free your business to move forward.
ey.com",,,1
EY US,@EY_US,2020-11-20T21:00:02.000Z,"A #BetterWorkingWorld is one that is open, safe, and inclusive. #TransgenderDayOfRememberanceHow LGBTQ+ allies can help transform our world
Our lives begin to end the day we become silent about things that matter. ﻿—Rev.
linkedin.com",,,4
Derick Roselli,@Derick_Roselli,2020-11-20T20:46:00.000Z,"Congratulations to the 
@EY_US
 Entrepreneur Of The Year 2020 US Award nominees and winners Toast, Inc. Altimetrik BCforward ButcherBox Chipotle Mexican Grill Fresh n' Lean Noom Inc. Thrive Market PANTHERx Rare Pharmacy Zyia Active…https://lnkd.in/gNm246rEY Entrepreneur Of The Year® US Program
Through the Entrepreneur Of The Year® program, we celebrate the unstoppable entrepreneurs whose unbounded ambitions deliver innovation, growth and prosperity that transform our world.
ey.com",,,
EY US,@EY_US,2020-11-20T19:18:00.000Z,"Two thirds of public sector organizations see #AI as a priority yet only 4% have been able to achieve outcomes resulting in transformation. How can more make the leap from pilot to strategy?The role of artificial intelligence in government
Artificial intelligence can help governments deliver better outcomes for citizens and society. Learn more.
ey.com",,,
Kinaxis,@Kinaxis,2020-11-20T18:54:02.000Z,"Build a more resilient #supplychain before the next disruption strikes. Register for our live webinar on Dec. 10 to hear best practices for transformation from experts at 
@mitsupplychain
, 
@EY_US
 and 
@Kinaxis
. https://bit.ly/35KHq8c",,5,8
Athira Pharma,@athirapharma,2020-11-20T17:45:12.000Z,"#ICYMI we had a busy week with CEO 
@leenkawas
 across 4 different programs at with 
@Stifel
 @Jefferies
 and 
@EY_US
 #SGFUS with 
@DeborahNorville
, Adam Walker of 
@1TeamSummit
, Carmen Castillo of 
@SDICorp
 and 
@lswinstitute
 with 
@E_Scallon
 @PhaseGenomics
 @abscibio
 @pvpbio
 @wrfseattle",,,11
GigNow Global,@gignowglobal,2020-11-19T17:20:03.000Z,"Kim Billeter at 
@EY_US
 believes that: ""People at the center drive business results when talent is viewed as an asset and value is placed on employee experience.""
 https://bit.ly/329SNnZ via 
@ForbesHRCouncil
 

#HRTech #EmployeeExperience #TalentManagement #HR",,1,1
EY US,@EY_US,2020-11-19T17:00:02.000Z,"The wait is finally over! Today, we'll conclude the Strategic Growth Forum® with the Entrepreneur Of The Year® National Awards gala. Join us to meet and celebrate the unstoppable entrepreneurs whose ambitions transform our world: http://ey.com/us/sgf
#SGFUS | #EOYUS",1,3,7
Brian L May,@bmaysfx,2020-11-19T16:31:19.000Z,"The stories of Jessica Gonzalez's and 
@leehenderson01
 are truly amazing and inspirational. I couldn’t think of two more deserving 
@EY_US
 ambassadors to receive these awards. https://bit.ly/3pEy3yU https://bit.ly/3kIGeX4Quote Tweet
Kelly Grier
@KellyGrierEY
 · Nov 17
Our EY Working Mother of the Year Jessica Gonzalez and EY Working Dad of the Year @leehenderson01 are shining examples of EY's commitment to helping parents flourish in their careers and in their personal lives. Thank you @_WMMedia_  for sharing their stories! #BetterWorkingWorld",,,1
