UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
American Business Council NG,@ABCouncil_ng,2020-11-10T07:05:20.000Z,"Today our guest speaker on the show #HowBusinessWorks is Olusegun Zaccheaus an Associate Director at 
@KPMGAfrica
 who will be sharing insights on the economy and investors sentiments towards the economy. Tune in to 
@hotfm_lagos
 99.3fm by 9.30amKPMG Africa and 3 others",2,4,4
KPMG Nigeria,@KPMG_NG,2020-11-03T10:55:32.000Z,"We just want to say thank you!
 
#KPMGProud #KPMG 
@KPMGAfrica
 #Accounting 
@KunleElebute
  @Josephtegbe
 #Professionals 
@KPMG_NGQuote Tweet
KPMG Nigeria
@KPMG_NG
 · Nov 3
KPMG Nigeria is proud to be ranked #1 on DSMN8's ""Africa's Most Socially Active Accountancy Professionals – October 2020."" #KPMGProud #KPMG #Accounting #Big4 #ProfessionalServices",,3,7
NorvanReports,@NorvanReports,2020-11-03T10:03:34.000Z,"Investors and businesses deserve a peaceful environment for growth after elections – KPMG https://norvanreports.com/investors-and-businesses-deserve-a-peaceful-environment-for-growth-after-elections-kpmg/… 
@KPMG
 @KPMGAfrica
 #norvanreports #Businesses #GhanaInvestors and businesses deserve a peaceful environment for growth after elections – KPMG
Auditing and Accounting firm, KPMG has endorsed the “Say no to vigilantism” football gala aimed at preaching peace among the
norvanreports.com",,1,1
NorvanReports,@NorvanReports,2020-11-01T21:25:33.000Z,"KPMG Ghana lists top 5 banks with the best customer experience https://norvanreports.com/kpmg-ghana-lists-top-5-banks-with-the-best-customer-experience/… 
@KPMG
 @KPMGAfrica
 #business #Ghana #norvanreportsKPMG Ghana lists top 5 banks with the best customer experience
Accounting firm KPMG Ghana, in its October 2020 Banking Industry Customer Experience Survey, has listed 5 retail banks in the
norvanreports.com",,2,2
NorvanReports,@NorvanReports,2020-11-01T20:22:19.000Z,"Digitise now or die – KPMG tells banks in Ghana https://norvanreports.com/digitise-now-or-die-kpmg-tells-ghanaian-banks/… #business #norvanreports #Ghana 
@KPMG
 @KPMGAfricaDigitise now or die – KPMG tells banks in Ghana
Audit, tax and advisory provision firm, KPMG Ghana, has told banks in the country to prioritize and accelerate the provision
norvanreports.com",,1,1
KPMG in Ghana,@KPMG_GH,2020-10-14T19:23:36.000Z,"The 
@KPMGAfrica
 Private Equity webinar will feature 
@SimonHarden
, Partner, Strategy and Value Creation at 
@KPMGUK
. Register via https://bit.ly/3jMyFyW to join Simon and other esteemed speakers on this webinar.

#KPMGPrivateEquity #PrivateEquity #bankingandfinance",,,2
KPMG in Ghana,@KPMG_GH,2020-10-10T05:49:52.000Z,"The 
@KPMGAfrica
 Private Equity webinar on 27 October 2020 will feature a special presentation by 
@RohiteshDhawan
, MD, 
@EurasiaGroup
 on the Macro-economic and Geo-political Outlook for Sub-Saharan Africa. Register here: https://bit.ly/3jMyFyW

#KPMGPrivateEquity #Deals #Finance",,2,3
ACIBS,@ACIBS_ImpactHub,2020-10-09T04:22:13.000Z,"Big Four accounting firms unveil ESG reporting standards. 
@PwC
 @PwC_KE
 @Deloitte
 @KPMGAfrica
@DeloitteKenya
 @KPMG
 @EYnews
#impinv #ESG #ESGInvesting 
https://ft.com/content/16644cb2-f0c1-4b32-b44c-647eb0ab938d?segmentid=acee4131-99c2-09d3-a635-873e61754ec6…",,,
Gerald Katabazi.,@GKatabazi,2020-10-08T17:16:32.000Z,"Hire 
@KPMGAfrica
 to do an audit for you..

Discover how it works 
@nicklaus_soft
  @MuzeyiTweets 
@jackiearindaQuote Tweet
Lone Walker
@IsmailH_256
 · Oct 8
Replying to @GKatabazi @nicklaus_soft and 6 others
The biggest question we should ask ourselves who the cartels are and what are their networks, you remember how the CIA infiltrated  Pablo Escobar's network & learnt of all his operations. 

With Uganda's case we need political will to enable our coffee compete fairly globally.",1,1,4
KPMG Nigeria,@KPMG_NG,2020-10-08T09:30:23.000Z,"The 
@KPMGAfrica
 Private Equity webinar on Tuesday, 27 October 2020, will feature a special presentation by Rohitesh Dhawan, MD, Eurasia Group, EMA, on ""Macro-economic and Geo-political Outlook for Sub-Saharan Africa."" Register now: https://bit.ly/311csWP 

#KPMGPrivateEquityKPMG Nigeria and 7 others",,3,5
Charlie,@chuk_charles,2020-09-12T10:27:22.000Z,"Excited to be starting the KPMG virtual internship! Looking forward to trying out what it's really like to work at KPMG! Thanks for the opportunity KPMG and @InsideSherpa.
@KPMG
 
@KPMGAfrica",2,1,6
Fidelity Bank,@fidelitybankplc,2020-09-04T07:08:36.000Z,"As reported in 
@KPMGAfrica
's 2020 Digital Channels Scorecard, Ivy, Fidelity Bank's Virtual Banking Assistant is the clear leader in the Chatbot Banking category.

Congratulations Ivy ",11,15,37
Victor Onyenkpa,@Victor_Onyenkpa,2020-09-01T07:59:03.000Z,"The 
@KPMG_NG
 Digital Channels Scorecard webinar commences by 9:00 am today. If you haven't registered, it's not too late. Register now! #KPMGDigitalChannelsScorecard 
@KPMGAfricaQuote Tweet
KPMG Nigeria
@KPMG_NG
 · Aug 31
Don't be left out. Register for the #KPMGDigitalChannelsScorecard happening from 09:00am tomorrow. Follow link for details and registration - http://lnkd.in/ej67aYK

#staysafe
 #KPMG #KPMGDigital #kdics",,,1
NBA Abuja Branch,@NBAAbuja,2020-09-01T03:27:12.000Z,"Join A. A. Malik, SAN, Mr. Richard Mou, Director 
@firsNigeria
, Mr. Kola Alapinni and Kelechi Ibe 
@KPMGAfrica
 on Tuesday 1st September, 2020 by 2pm for an interactive convo “Lawyers as catalysts for the enforcement of Stamp Duties in Nigeria”.
Powered by 
@NBAAbuja
Link is belowCall To Bar NG and 9 others",1,14,27
Nathi Mdluli,@Nathi2105,2020-08-31T10:25:02.000Z,"We witnessing CRIMINALS uniting against 1 man (#Makate). Leslie Cohen Attorney Criminals are representing the criminal 
@Vodacom
 who is audited by 2 Criminals 
@PwC
 n 
@EY_Africa
 and  were investigated by another criminal 
@KPMGAfrica
 . Nc nc nc... 

We Soldier ON ",1,8,12
KPMG Nigeria,@KPMG_NG,2020-08-10T13:26:29.000Z,"During this week's 
@KPMGAfrica
 #Cyber webinar, our expert panel will be taking a deep dive into: Reflections and perspectives on ""Digital Trust as a competitive advantage."" Don't miss out! Register here to attend: https://bit.ly/2Xml08u.

#Digital #Cybersecurity 
@KPMG_NGJosephtegbe and Akhilesh Tuteja",,7,9
KPMG Nigeria,@KPMG_NG,2020-08-03T11:55:33.000Z,"This pan-African webinar will bring together stakeholders across Africa to discuss #CyberSecurity and resilience of organisations, governments, entities and individuals in the emerging digitalised Africa. Register here to join live!
https://bit.ly/2Xml08u

#digital 
@KPMGAfrica",,3,5
KPMG Nigeria,@KPMG_NG,2020-07-30T11:31:48.000Z,"Join 
@KPMGAfrica
 for an interactive online #Cyber experience, which will highlight #Digital Trust as a competitive advantage.
Register here to participate: https://bit.ly/2BLyGma",,5,7
KPMG East Africa,@KPMGEastAfrica,2020-07-30T09:23:00.000Z,"Join 
@KPMGAfrica
 for an interactive online #Cyber experience, which will highlight #Digital Trust as a competitive advantage. 
Register here to participate: https://bit.ly/2BLyGma",,,
KPMG Nigeria,@KPMG_NG,2020-07-20T23:16:02.000Z,"Hurry now! Join ACCA's webinar on ""Data Analytics for Finance Professionals."" Click on the following link to register: https://bit.ly/2DBN40F. Password is Digitalaccountant01. Platform: Microsoft Teams. 
@KPMG_NG
 @KPMGAfrica
 @YomiAkinyemi
  #finance #DataAnalytics #accountancy",,7,12
KPMG Nigeria,@KPMG_NG,2020-06-18T12:00:47.000Z,"Highlights from 
@WObayomi
 , Partner and Head of Tax, 
@KPMGAfrica
 at the ongoing #KPMGTaxWebinar themed ""Matters arising from Implementation of Finance Act 2019.""

#stayhome
 #staysafe
 #KPMG #Tax #Nigeria #FinanceAct",,13,15
Son of Noren,@Noren02,2020-06-08T09:43:42.000Z,"In my recent article on my page on Facebook, I hghligted how to curb sexual harrasment at work place & the legal frame work. Have a good read.
https://m.facebook.com/story.php?story_fbid=124833845907980&id=103844468006918…
@KPMGAfrica
 @KPMG
 @NigeriainfoFM
 @renoomokri
 @BankyW
 @BanwoIghodaloLog into Facebook | Facebook
Log into Facebook to start sharing and connecting with your friends, family, and people you know.
m.facebook.com",,,
Wole Obayomi,@WObayomi,2020-06-03T00:01:21.000Z,"With Retailers and FMCG (Fast Moving Consumer Goods) companies grappling to come to terms with the impact
of the COVID-19, we all face a future that is both uncertain and unpredictable. Follow the link below to read/download the publication. 
@KPMGAfrica
 
https://bit.ly/2U5dvkN",,2,6
KPMG Nigeria,@KPMG_NG,2020-05-26T21:19:39.000Z,"There are key actions to be considered when ""Managing Treasury in a Post COVID-19 World."" Read/download the publication to find out. https://bit.ly/3gsKSHK

#postcovidworld #covid19 #treasurymanagement 
@KPMG_NG
 @KPMGAfrica",,4,6
Juma G,@jumaf3_,2020-05-22T06:15:11.000Z,"According to a report by 
@KAM_kenya
 and 
@KPMGAfrica
, (Kenya) 81% of manufacturers say they are not likely to close down as a result of the impact of COVID-19. However, this number reduces to 76% for manufacturing SMEs. https://sokodirectory.com/2020/05/manufacturers-focused-on-reducing-costs-maintaining-jobs/… #SokoNews 
 courtesy",,,1
SpillTheBeans,@Y_SpillThebeans,2020-05-13T22:17:11.000Z,"Help Budalangi Floods Victims https://gogetfunding.com/help-budalangi-floods-victims/… via 
@GoGetFunding
Let's join hands donate and touch a desperate life positively.
@enactus
 @EnactusKenya
 @KPMGAfrica
 @Ford
 @ObamaFoundation
 @GizaSystemsWECA
 @IRENKenya
 @RedCross
 @WorldVision
 @CocaCola",,,1
