UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
LASA,@LASANational,2020-11-27T04:00:12.000Z,"Congratulations to Kate Weger, Southern Cross Care (SA, NT & VIC), on winning the Age Services Innovator of the Year Award in the 
@innovAGEING
 National Awards 2020. The awards are supported by 
@CommBank
 & 
@kpmgaustralia
. Read more: https://lasa.asn.au/news/2020-innovageing-national-awards-winners/… #strongvoicehelpinghand",,,2
LASA,@LASANational,2020-11-27T03:00:18.000Z,"Congratulations to 
@IRTgroup
 and 
@CheckedinCare
 on winning the Increasing Access to Care and Services Award in the 
@innovAGEING
 National Awards 2020. The awards are proudly supported by 
@CommBank
 and 
@kpmgaustralia
. Read more: https://lasa.asn.au/news/2020-innovageing-national-awards-winners/… #strongvoicehelpinghand",,,1
Vic ICT for Women,@VICT4W,2020-11-27T02:39:24.000Z,"Thank you to all our gold sponsors 
@Iress
 @KPMGAustralia
 @ArcitectaOnData
 for hosting fantastic sessions for our GradGirls. We appreciate your support & efforts in delivering these sessions, especially the transition to virtual mode.#gogradgirls #GradGirls #diversityandinclusionGIF",,,3
LASA,@LASANational,2020-11-27T02:00:20.000Z,"Congratulations to PosiSense and St. Sergius Aged Care on winning the Increasing Care and Service Productivity Award in the 
@innovAGEING
 National Awards 2020. The awards are supported by 
@CommBank
 and 
@kpmgaustralia
. Read more: https://lasa.asn.au/news/2020-innovageing-national-awards-winners/… #strongvoicehelpinghand",,1,1
KPMG Australia,@kpmgaustralia,2020-11-27T01:34:53.000Z,The widespread adoption of electric vehicles will significantly reduce Australia’s carbon footprint and it is important we have the right incentives to encourage better choices for our environment. https://newsroom.kpmg.com.au/electric-vehicles-tax-funding-road-future-victorian-budget/…,,1,2
Queensland AI Hub,@QLD_AI_Hub,2020-11-26T06:31:47.000Z,"""Increasing public trust in #AI is key to unlocking and accelerating the $315bn opportunity that it represents for our economy."" - James Mabbott | 
@kpmgaustralia
Join our Building public trust in AI webinar | 12pm Fri. 
 http://bit.ly/3nQPydz 

 
@themabbo
 @UQ_Business",,2,3
Carolyn Hyams,@chyams,2020-11-26T04:51:00.000Z,"What are the plans for your organisation post-Covid regarding #remoteworking? Fiona Wilhelm, Solutions Lead at 
@KPMGAustralia
 discusses 5 ways to lead your employees post-COVID on the 
@AquentAustralia
 blog https://bit.ly/2GNmDas  #management #leadership #COVID195 ways to lead your employees post-COVID
Transformation and new ways of working aren’t new topics on the agenda, but there has never been a more critical time to grab employee experience with both hands.
aquent.com.au",,2,2
Kate Rowswell,@Kate_Rowswell,2020-11-26T03:17:22.000Z,"Great to get back to work with 
@kpmgaustralia
 with my new sidekick 
 #wfh #mumlife",,,4
LASA,@LASANational,2020-11-25T20:30:08.000Z,"What are you doing today at 6pm AEDT? Join the 
@innovAGEING
 National Awards 2020 live stream, with thanks to hosts and Foundation Partners 
@CommBank
 and 
@kpmgaustralia
, and support our age services innovators! We'd love to see you. https://publish.viostream.com/app/s-dynrat6 #strongvoicehelpinghand",,,1
Palliative Care Aus,@Pall_Care_Aus,2020-11-25T02:40:02.000Z,".
@PCACEO
 speaking today at Australian Healthcare Funding Summit on new funding approaches for #palliativecare. 
@kpmgaustralia
 report & 
@GrattanInst
 proved palliative care is sound investment. #ozhealthfunding 
@meera_agar
 https://palliativecare.org.au/kpmg-palliativecare-economic-report…",,2,3
