UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Calgary Chamber,@CalgaryChamber,2020-11-28T21:30:14.000Z,"We've partnered with 
@KPMG_Canada
 and 
@Helcim
 to build online stores for local businesses.

Ready to diversify your sales channels? Check out Connecting Commerce! https://calgarychamber.com/connecting-commerce…",,1,3
RazwanIT,@ItRazwan,2020-11-28T20:11:17.000Z,"DATA ENTRY SERVICE 
Contact us- https://bit.ly/2CehnpX
-
@msft_businessCA
@BNNBloomberg
@StaplesCanada
@invest_canada
@envirodefence
@KPMG_Canada
@cdnbiz
@CdnChamberofCom
@IEbusiness
@BusinessEurope
@IndustryEurope
@EU_Startups
@Ecommerce_EU
@jimmyfallon
@cnnbrk
@Cristiano",,,
Grant McDonald,@grantjmcd,2020-11-27T23:58:41.000Z,"Congratulations on a great fundraising event and so pleased that 
@KPMG_Canada
 #Ottawa could participate!Quote Tweet
Joanne Lowe
@JLoweYSB
 · Nov 28
#StayUpOttawa in support of @ysb_bsj .",1,,6
BC Tech Association,@wearebctech,2020-11-27T23:35:25.000Z,"The 2020 BC Tech Report Card from 
@wearebctech
 and 
@KPMG_Canada
 highlights the need to tackle the scale up challenge. We need more BC startups to grow into the scaleups that can anchor a tech ecosystem. #bctech Read more:2020 BC Technology Report Card | BC Tech Association
Together with our partners at KPMG, we have released the latest installment of our BC Technology Report Card for 2018, a comprehensive analysis that compares the BC tech sector against other sectors...
wearebctech.com",,,3
Erik Reed,@ErikRecruits,2020-11-27T13:01:19.000Z,"Are you looking to broaden your experience and work alongside a team of dedicated professionals?
@KPMG_Canada
's  #London office Audit team has an opening for a Senior Accountant:

https://careers.kpmg.ca/professionals/jobs/6502?lang=en-us…

#LetsDoThis #KPMGcanada #WorkThatMatters #LondonOn",,1,
Erik Reed,@ErikRecruits,2020-11-27T03:14:01.000Z,"The 
@KPMG_Canada
  Audit team is growing, and we're looking for a Senior Accountant to join our #Moncton office:

https://careers.kpmg.ca/professionals/jobs/6493?lang=en-us…

#LetsDoThis #KPMGcanada #WorkThatMatters #NewBrunswick0:09
35 views",,,
anne joyce (she/her),@annejoyce,2020-11-26T19:57:57.000Z,"great write-up on the #diversity and #inclusion panel at 
@KPMG_Canada
’s virtual #insurance conference this tuesday. 
@Manulife
 @SunLifeQuote Tweet
Canadian Underwriter
@CdnUnderwriter
 · Nov 27
BIPOC “is an area where we have to dig a bit deeper and hold the mirror up close to ourselves, whether it’s at the board or executive level. We’re just not doing well there at all.”

The case for using data for diversity and inclusion in senior ranks
https://canadianunderwriter.ca/insurance/the-case-for-using-data-for-diversity-and-inclusion-in-senior-ranks-1004200491/…",,,2
KPMG Canada,@KPMG_Canada,2020-11-26T17:15:17.000Z,"Join a team that is passionate about making a difference.
Discover where a career at KPMG can take you, visit http://home.kpmg/ca/careers 
#LetsDoThis",,1,
SmartCentres REIT,@SmartCentres,2020-11-26T15:09:54.000Z,"#DidYouKnow that #SmartVMC’s first Class-A office building, the 
@KPMG_Canada
 tower was recognized with an Award of Excellence at the #Vaughan Urban Design Awards? Welcome to The New City Centre!",,3,5
KPMG Canada,@KPMG_Canada,2020-11-23T17:00:54.000Z,Canadian #construction organizations need to keep pace with transformative changes. Is your construction business #digiready? Take this survey to find out: https://bit.ly/2UgrELS,,,2
KPMG Canada,@KPMG_Canada,2020-11-23T15:30:13.000Z,"We may be working virtually, but that didn’t stop our KPMG Winnipeg team from raising over $55,000 for United Way! Getting creative, they hosted online auctions, virtual holiday-themed contests and much more in support of their local communities. #LetsDoThis #KPMGImpact",,3,5
KPMG Canada,@KPMG_Canada,2020-11-23T13:30:12.000Z,"Our #NewReality is not a destination, it’s a journey. Let’s start mapping it today. Register now for New reality for insurance, our first-ever virtual #insurance conference. https://bit.ly/317Cw2H",,1,
Calgary Chamber,@CalgaryChamber,2020-11-22T23:40:02.000Z,"We are here to help your business become more resilient, sign up for Connecting Commerce today! 
@Helcim
 @KPMG_Canada
 #KPMGinYYC #smallbusiness 

https://calgarychamber.com/connecting-commerce…",,3,3
Next Leaders,@NextLeadersBC,2020-11-20T21:45:08.000Z,"B.C.’s tech ecosystem can officially boast of playing host to nearly 11,000 companies, according to a report card prepared by 
@KPMG_Canada
 on behalf of the 
@wearebctech
 . 
@BIVnews
 #bcecon #technology #innovationReport card hands B.C. tech sector an A but ‘call to action’ needed
New report card brings to light disparity between number of startups and anchor companies in B.C. tech sector
biv.com",,,2
Calgary Chamber,@CalgaryChamber,2020-11-18T16:12:51.000Z,"Ecommerce is quickly becoming the norm, not just a nice-to-have. Has your business set up an online store yet? We can help. Sign up for Connecting Commerce today. 
@KPMG_Canada
 #KPMGinYYC 
@Helcim
 #ecommerce 
https://calgarychamber.com/connecting-commerce…",,,4
KPMG Canada,@KPMG_Canada,2020-11-18T16:01:32.000Z,"Receive the latest financial reporting insights from KPMG in Canada. Subscribe to IFRS Breaking News: http://bit.ly/2MUemDS #LetsDoThis #IFRS #IASB0:04
40 views",,,
KPMG Canada,@KPMG_Canada,2020-11-18T15:30:13.000Z,"#Cyber lead, John Heaton, joins 
@APMACanada
 panel on #cybersecurity today to discuss the insights from KPMG in Canada and apmaIAC's new Canadian #auto cyber preparedness survey. Explore the key findings here: https://bit.ly/3kCVcOn",,3,7
techNL (formerly NATI),@_techNL,2020-11-18T13:19:52.000Z,"Check out this year end accounting and tax webinar by our #techNL member 
@KPMG_Canada
.Quote Tweet
Andrea Brocklehurst
@AngieBrockie
 · Nov 18
Join @KPMG_Canada's #Atlantic team on November 24 as we provide you with the latest accounting and #tax changes impacting #privatecompanies. Register here: https://cvent.me/OK1o8G",,,1
Andrea Brocklehurst,@AngieBrockie,2020-11-18T13:10:37.000Z,"Join 
@KPMG_Canada
's #Atlantic team on November 24 as we provide you with the latest accounting and #tax changes impacting #privatecompanies. Register here: https://cvent.me/OK1o8GHalifax Chamber and 6 others",,1,1
KPMG Canada,@KPMG_Canada,2020-11-14T15:17:22.000Z,KPMG wishes you Happy Diwali!GIF,,,2
KPMG Canada,@KPMG_Canada,2020-11-13T20:01:10.000Z,"Latest insights for Canadian companies on proposed improvements and impacts of IFRS. November issue of IFRS Breaking News: https://bit.ly/3kqMwdH #LetsDoThis #IFRS #IASB0:04
45 views",,,
Calgary Chamber,@CalgaryChamber,2020-11-13T19:45:13.000Z,"Ecommerce is quickly becoming the norm, not just a nice-to-have. Has your business set up an online store yet? We can help. Sign up for Connecting Commerce today. 
@KPMG_Canada
 #KPMGinYYC 
@Helcim
 #ecommerce 
https://calgarychamber.com/connecting-commerce…",,,3
Nicolas Marcoux,@nicolasmarcoux,2020-11-13T17:08:31.000Z,"Who says fierce competitors can’t have fun together? Thanks 
@KPMG_Canada
’s Sebastian DiStefano for joining me for a (socially distanced) walk as we GetUp for 
@UWGreaterTO
. Join me in supporting such an important cause: http://bit.ly/35orIiZ #UP4Community",1,6,45
Canadian Blood Services Kingston,@LifelineKTown,2020-11-13T16:48:00.000Z,"On the first day of giving... we are thankful to the team 
@KPMG_Canada
  who are donating together #asateam #DonateBlood  #Kingston",,,
Calgary Chamber,@CalgaryChamber,2020-11-10T22:40:04.000Z,"We are here to help your business become more resilient, sign up for Connecting Commerce today! 
@Helcim
 @KPMG_Canada
 #KPMGinYYC #smallbusiness 

https://calgarychamber.com/connecting-commerce…",,,4
WXN,@WXN,2020-11-10T20:08:45.000Z,"WXN is proud to partner with 
@KPMG_Canada
 in the KPMG C-Suite Executives Awards category as part of our 2020 Canada’s Most Powerful Women: Top 100! To learn more about the Top 100 Virtual Awards Program and to join us, visit https://wxnetwork.com/events/EventDetails.aspx?id=1350599&group=… #UniteandRise #WXNKPMG Canada",,,
KPMG Canada,@KPMG_Canada,2020-11-10T15:00:43.000Z,"10% of Canadian homeowners have or anticipate the need for a deferral of their mortgage repayments. To learn more about the changing dynamics of the Canadian mortgage market, click the link below. #KPMGmortgagesurveyThe evolving mortgage market: Winning the fight for customers
The changing dynamics of the mortgage markets in Australia, Canada and the UK and the impact of COVID-19.
home.kpmg",,,
Dawn Lagesten,@DawnLagCPA,2020-11-10T13:49:21.000Z,"Another reason to 
@KPMG_Canada
 @KPMG
! Committed to action not just words.Quote Tweet
KPMG
@KPMG
 · Nov 9
“Protecting our planet for generations to come is imperative for our collective future.” 

Hear from Bill Thomas, Global Chairman & CEO of KPMG International as he discusses why KPMG has committed to becoming a net-zero organization by 2030.

https://social.kpmg/tpuyw",,,
KPMG Canada,@KPMG_Canada,2020-11-10T13:30:12.000Z,"Join us on November 26th as leaders from across 
@KPMG_Canada
 and 
@WGOBCanada
 explore the new reality of #payments modernization. #LetsDoThis   https://bit.ly/3ewr7P8",,1,1
"Ian Jeffreys, CPA, CA",@ianjeffreys16,2020-11-05T00:09:39.000Z,"Great to have our 
@KPMG_Canada
 #LdnOnt team virtually together for a Town Hall meeting. Nothing like a friendly scavenger hunt competition to get us all laughing and moving out of our seats. #letsdothis #reimagine2020Jim Cassidy and 3 others",,2,3
KPMG Canada,@KPMG_Canada,2020-11-04T20:17:43.000Z,"We’re looking forward to hearing from Alex Benay on FWD50’s panel discussion this afternoon.Quote Tweet
FWD50
@fwd50conf
 · Nov 5
This afternoon we touch on what it's like to be part of the @DigitalNations. This worldwide panel of alumni from member countries around the world ft. Alex Benay, @LivNeal, @liammax, @sandra_sarav, @yolamtzm shares stories and wisdom gleaned from their time with DN! #FWD50",,2,7
Calgary Chamber,@CalgaryChamber,2020-11-04T15:22:44.000Z,"We are bringing small businesses online through a unique partnership with 
@KPMG_Canada
 and 
@Helcim
. Sign up for Connecting Commerce if you business is ready to grow online. 

#SBWYYC #KPMGinYYC #Smallbusiness #Ecommerce https://calgarychamber.com/connecting-commerce…KPMG Canada and Helcim",,3,6
UDI Pacific Region,@udibc,2020-11-03T21:09:25.000Z,"UDI U40 Webinar - Future of Vancouver's Retail. Thank you to our patron sponsor 
@KPMG_Canada
 for their continued support! #UDIU40 #udibc #vancouverrealestate #retailQuadReal and Bosa Properties",,1,
KPMG Canada,@KPMG_Canada,2020-11-03T18:30:14.000Z,"Our 
@KPMG_Canada
 Head of #Insurance, Chris Cornell (
@ccornell41
) is speaking about the #NewReality of insurance at the 
@Reuters
 Future of Insurance Canada conference #FOICAN on November 4th. Get your tickets today: https://bit.ly/361ed85",,4,5
Erik Reed,@ErikRecruits,2020-10-30T16:29:00.000Z,"Get to know our 
@KPMG_Canada
 office locations across Southwestern Ontario! To find out more about opportunities in these locations, visit http://kpmg.ca/careers

#LetsDoThis #KPMGcanada #Windsor #London #Waterloo #Hamilton #StCatharines #Oakville0:09
18 views",,,
Erik Reed,@ErikRecruits,2020-10-30T14:47:51.000Z,"Looking to take the next step in your career? KPMG's #Kanata office is growing, and looking for a Senior Manager to join their Enterprise team: 

https://careers.kpmg.ca/professionals/jobs/6303?lang=en-us…

Feel free to connect with me if you'd like to learn more.
@KPMG_Canada
  #LetsDoThis #KPMGcanada #Ottawa",,,
anne joyce (she/her),@annejoyce,2020-10-30T13:29:54.000Z,"our 
@KPMG_Canada
 head of #insurance, chris cornell (
@ccornell41
) will be speaking on the ""#newreality of insurance"" at 
@reuters
 future of insurance canada (#FOICAN) conference next week! here's the link to register: https://reutersevents.com/events/insurance-canada/…. #insurers #cdninsurance",1,,2
TheFutureEconomy.ca,@FuturEconomy,2020-10-30T13:00:00.000Z," Call for #digital legislative reform from our Panel on Canada's Digital Future, featuring Alex Benay and 
@JansaKeith
! 
@CIOStrategyC
 @KPMG_Canada
Watch the full panel: https://bit.ly/2TyYOGa",,,4
WXN,@WXN,2020-10-29T19:20:04.000Z,"WXN is proud to partner with 
@KPMG_Canada
 for Canada’s Most Powerful CEOs Awards category as part of our 2020 Canada’s Most Powerful Women: Top 100! This award recognizes three Canadian female CEOs who are the compelling force behind their organizations. 
https://wxnetwork.com/events/EventDetails.aspx?id=1350599&group=…",,,2
Fran Olmstead,@Fran_Olmstead,2020-10-27T14:13:58.000Z,"Representing 
@Reception_House
 today and learning lots from 
@KPMG_Canada
, the #ScaleupInstituteToronto and 
@TorontoRBOT
 to develop our new Digital Blueprint as part of the #RecoveryActivationProgram(RAP)",,,1
Toronto Region Board of Trade,@TorontoRBOT,2020-10-26T21:15:45.000Z,"What does the #FutureofWork look like post #COVID19? Join us Oct. 29 to hear 
@RyersonU
, 
@KPMG_Canada
, 
@MitacsCanada
, 
@RBC
 & 
@ConfBoardofCda
 discuss how organizations are changing so they can rebound faster & do business differently: https://bit.ly/31IwqWq

#ReimaginingRecovery",,2,4
Erik Reed,@ErikRecruits,2020-10-26T20:17:00.000Z,"Get to know our 
@KPMG_Canada
 office locations across Northern Ontario! To find out more about opportunities in these locations, visit http://kpmg.ca/careers   

#LetsDoThis #KPMGcanada #Sudbury #NorthBay #Sault",,,
Hena Awan,@HenaAwan,2020-10-26T14:23:25.000Z,"What I miss most about the office are the daily informal conversations that spark ideas (and coffee runs!) How do you “create those collisions” online? Great article on how organizations are getting ready for the new #digital reality featuring 
@KPMG_CanadaHow organizations are getting ready for the new digital reality
COVID-19 has changed the way we live and work, making digital interactions more critical than ever. (Sponsor Content)
theglobeandmail.com",,,1
Burlington Chamber,@burlingtoncofc,2020-10-26T14:15:12.000Z,"Join Chamber member 
@KPMG_Canada
 and their team of expert on October 28 to learn about the changes government relief programs and other challenges faced by employers during COVID-19.

Register today https://event.webcasts.com/starthere.jsp?ei=1384994&tp_key=139502e80b…",,,
WERCofC,@WERCofC,2020-10-22T15:00:02.000Z,"Join 
@KPMG_Canada
 professionals as they discuss changes to the federal government's pandemic support programs and other challenges faced by employers.
 Wednesday, October 28th @ 1PM
REGISTER HERE: https://bit.ly/34aqxmw0:10
36 views",,,1
The Winnipeg Chamber of Commerce,@TheWpgChamber,2020-10-22T14:06:53.000Z,"A huge thank you to our Small Business Summit's Title Sponsor 
@TM_Lawyers
 and our Small Business Supporters 
@bdc_ca
 @KPMG_Canada
 @RBC
 and 
@Chambers_Plan
! 

Thank you for supporting today's event! 

#WCCSmallBiz #SmallBusinessWeek",,,1
Senator Ratna Omidvar,@ratnaomi,2020-10-22T13:02:02.000Z,"Why we need to welcome global #talent to Canada 
 by Naumaan Hameed 
@KPMG_Canada
 via 
@theprovince
 http://ow.ly/eCyu30rfsso #cdnpoli #SenCA #cdnimmNaumaan Hameed: Why we need to welcome global talent to Canada
theprovince.com",1,,4
Rima Aristocrat,@RimaAristocrat,2020-10-22T11:40:43.000Z,"https://lnkd.in/dKr2KYf

New Partnership Between 
@WillisCollege
 and 
@KPMG_Canada
 to Deliver Cyber Operator Training for Canada’s  
@NationalDefence
 

@ctvottawa
 @obj_news
 @CBCOttawa
 @global_ottawa
 @Invest_Ottawa
 @ottawabot
 @KanataNorthBA
 @JimWatsonOttawa
 @cse_cst
 @CollegesOntarioWillis College of Business, Technology, Healthcare and KPMG LLP to Deliver Cyber Operator Training...
PRESS RELEASE FOR IMMEDIATE RELEASE Ottawa, October 21, 2020 – Willis College and KPMG LLP (KPMG) are pleased to announce that they have partnered to deliver a training program that will satisfy the...
williscollege.com",,3,7
Ontario Chamber,@OntarioCofC,2020-10-21T20:16:05.000Z,"Tomorrow 
@BullTabatha
, President & CEO 
@ccab_national
 will be in-conversation with Grant Van Rensburg, Senior Manager, Supply Chain Advisory 
@KPMG_Canada
 & Michael Pacholok, Chief Procurement Officer 
@cityoftoronto
 on supply chain enablement!

Register: https://bit.ly/3gGBMWN",,7,14
Francois Brouard,@ProfBrouard,2020-10-16T16:40:52.000Z,"Interesting discussion at 
@SprottSchool
 @Carleton_U
 on the #accounting #profession with representatives from  C Wilding 
@CPA_Ontario
 @BurchFCPA
 @WelchLLP
 K Carscallen 
@KPMG_Canada
 G Boddy 
@GGFLca",,1,4
Calgary Chamber,@CalgaryChamber,2020-10-16T16:25:04.000Z,"Are you looking for a new revenue stream while also building your business continuity? We are here to help with Connecting Commerce. Apply today.
#KPMGinYYC 
@KPMG_Canada
 @Helcim
 
https://calgarychamber.com/connecting-commerce…",,,2
KPMG Canada,@KPMG_Canada,2020-10-16T14:00:48.000Z,Canada is renowned for world-class communities and its enviable quality of life. Find out how Canadian #municipalities can continue to position themselves for future success: https://bit.ly/3cQFQ6wk,,,
KPMG Canada,@KPMG_Canada,2020-10-16T13:00:55.000Z,Download our annual Canadian asset management industry opportunities & risks report to explore how 2020 has reshaped the #AssetManagement community and how Canada’s players are adapting to build #customer loyalty and drive smarter #operations. https://bit.ly/36JyC3s,,,2
TheFutureEconomy.ca,@FuturEconomy,2020-10-16T12:00:00.000Z," What's your top takeaway from 
@JansaKeith
 and Alex Benay's discussion on Canada's #digital future?
@CIOStrategyC
 @KPMG_Canada
 @CATAAlliance
 @SuzanneMGrant
 @angela_mondou
 @communitech
 @bill_Vcr 
@DTSupercluster
 @saifedean
 @OCEinnovation
 @HassanMurado
 @bruce_croxon
 @SecureKey",,2,23
-30- Engineering,@30Forensics,2020-10-13T14:16:03.000Z,"If you truly want to connect with your customers, your organization must be diverse. #diversity #DiversityandInclusion 
@ZurichNA
 @KPMG_Canada
 https://canadianunderwriter.ca/?p=1004198278 via 
@CdnUnderwriterThe business case for diversity and inclusion at a brokerage
If you truly want to connect with your customers, your organization must be diverse, an industry consultant suggests. “There is room for improvement in corporate Canada, not just in property and...
canadianunderwriter.ca",,2,
anne joyce (she/her),@annejoyce,2020-10-13T12:53:37.000Z,"just launched! check out this year's 
@KPMG_Canada
  #assetmanagement report, where we examine how the sector must reimagine its reality to continue to thrive in these strange times. #newreality #covid19 #finserv #wealthmanagement #ESG #altinvestmentsQuote Tweet
KPMG Canada
@KPMG_Canada
 · Oct 12
The events of 2020 have put Canadian #AssetManagers on alert. Read our 5th annual Canadian asset management industry opportunities & risks report to gain key insights and perspectives on how to navigate our current and future #COVID19 world. https://bit.ly/36JyC3s",,,
Regina Food Bank,@ReginaFoodBank,2020-10-12T16:25:03.000Z,"Wow!  
@KPMG_Canada
's #YQR office pledged to meet last years donation of over 10,000 meals for the Million Meal Challenge.  In the face of the current pandemic a lot has changed, but hunger hasn’t. Note this photo is from 2019.",,,1
KPMG Canada,@KPMG_Canada,2020-10-12T16:01:07.000Z,"KPMG’s Regina office has committed to matching our 2019 donation (pictured here) of over 10,000 meals to the Regina Food Bank #MillionMealChallenge in an effort to have #everyoneatthetable as we fight for #zerohunger. Help up end hunger for the most vulnerable by donating today.",,2,6
Calgary Chamber,@CalgaryChamber,2020-10-12T14:30:30.000Z,"Are you a small business ready to grow through Ecommerce? Sign up for Connecting Commerce today! 

#Smallbusiness #SBWYYC #ecommerce #KPMGinYYC 
@Helcim
  @KPMG_Canada
 
https://calgarychamber.com/connecting-commerce…",,1,5
KPMG Canada,@KPMG_Canada,2020-10-08T16:16:06.000Z,Canadian CEOs identify top risks to growth during #COVID19 in our 2020 #CEOoutlook report – a pre- and post-pandemic comparison. Find out more: http://home.kpmg/ca/en/home/insights/2020/09/kpmg-2020-ceo-outlook.html…,,3,3
TheFutureEconomy.ca,@FuturEconomy,2020-10-08T14:53:52.000Z," Our first video panel is live! Learn how Canada can become a digital-first nation, with Alex Benay 
@KPMG_Canada
 and 
@JansaKeith
 @CIOStrategyC
!Watch or read the panel!
thefutureeconomy.ca",1,26,124
Globe and Mail Events,@TheGlobeEvents,2020-10-08T13:00:01.000Z,"There's still time to sign up for today's free and virtual 
#DigitalInnovationSummit: http://bit.ly/30kWwOA

The discussion will explore how companies should prepare now to anticipate the next rapid shift to digital, post-pandemic and beyond.

Presenting sponsor: 
@KPMG_Canada",,,
"STEMM Equality, Diversity & Inclusion News",@STEM_Gender,2020-10-08T07:13:30.000Z,"Thank you to 
@KPMG_Canada
 for sponsoring today's session on how human-centered design can help tackle complex gender challenges....Quote Tweet
CatalystInc
@CatalystInc
 · Oct 8
Thank you to @KPMG_Canada for sponsoring today's session on how human-centered design can help tackle complex gender challenges. #CatalystHonours2020 #ProgressWontPause",,,
CatalystInc,@CatalystInc,2020-10-07T20:05:05.000Z,"Thank you to 
@KPMG_Canada
 for sponsoring today's session on how human-centered design can help tackle complex gender challenges. #CatalystHonours2020 #ProgressWontPause",,1,
GovX Digital,@GovxStudio,2020-10-05T10:20:08.000Z,"Explore digital government at GovX Digital 2020 with Alex Benay, Partner at 
@KPMG_Canada
 & former Government CIO of Canada. The UK's biggest public sector virtual conference (17-19 Nov) is free for public sector execs: https://2020.govx.digital/checkout/select-tickets/…
#publicsectortransformation #strategy",,1,1
Coro Strandberg,@CoroStrandberg,2020-10-04T19:02:32.000Z,"Purpose is on the way up! Canadian CEOs show their belief and commitment to a meaningful purpose in this CEO Briefing via 
@KPMG_Canada
  
https://home.kpmg/ca/en/home/insights/2020/09/kpmg-2020-ceo-outlook.html… @UWSocPurposeKPMG 2020 CEO Outlook
COVID-19 edition
home.kpmg",,1,1
