UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
KPMG India,@KPMGIndia,2020-11-28T08:10:39.000Z,"10 companies (71%) listed at a premium to their offer price in FY20 compared to 8 companies (45%) in FY19 https://social.kpmg/IPOperformance | #IPOsIPO Performance and Capital Market Highlights
The report includes in-depth analysis of listing day performance, subscription details, size of offering, use of funds, costs of issue...
home.kpmg",,,
KPMG India,@KPMGIndia,2020-11-28T06:40:31.000Z,"The #COVID19 crisis is asking hard questions of CEOs – testing their personal resilience and the resilience of their organisation. Learn more in this year's #CEOoutlookKPMG 2020 CEO Outlook
COVID-19 Special Edition
home.kpmg",,,2
Global Compact Network-India,@GCNIndia,2020-11-28T06:19:09.000Z,"Congratulations to the final winners of #Manthan2020, a unique competition organized by 
@GCNIndia
 with 
@NITIAayog
, 
@UNESCO
 & 
@KPMGIndia
 as partners to understand the COVID-19 impact on the education sector.

#LearningNeverStops #Business4SDGsUN Global Compact and 8 others",,2,4
Distribution Utility Meet,@DUM_India,2020-11-28T05:48:59.000Z,"Vikas Gaba, Program Director-USAID SPARC; Program & Partner- KPMG in India delivering his thoughts on Resilient DISCOMs at Session - 4: DISCOMs After COVID-19  during #DUM2020 on Digital Platform
Tags: 
@rejipillai
 @reachgvikas
 @SPARC_Utilities
 @usaid_india
 @KPMGIndia",,3,6
KPMG India,@KPMGIndia,2020-11-28T05:18:05.000Z,"Remuneration/compensation strategies centred on #climaterisk reduction and effective #decarbonisation targets are tools that will be used to drive through change at a greater pace where required https://social.kpmg/enrich2020 

#ENRich2020 | #KPMGENRich | #netzero",,1,2
KPMG India,@KPMGIndia,2020-11-27T11:32:32.000Z,"Webinar | #TCFD - Embarking on the journey to mainstream #climaterisks. Get insights from industry thought leaders who have already begun their TCFD journey. Register today https://social.kpmg/5gvnu | Fri, Dec 4 | 4:00 p.m. - 5:30 p.m. ISTSanthosh Jayaram",,1,
KPMG India,@KPMGIndia,2020-11-27T10:30:00.000Z,"KPMG Automata enables end-to-end #automation of #finance processes and provides intelligent insights for informed business decisions. Learn more https://social.kpmg/Automata | #digitalfinance1:39
69 views",,2,1
Distribution Utility Meet,@DUM_India,2020-11-27T10:11:09.000Z,"Saurabh Gupta, Team Leader, USAID SPARC Program & Director, KPMG in India sharing his knowledge during the Session 2: Policies And Regulations for the Digital DISCOM at #DUM2020 on Digital Platform
Tags: 
@rejipillai
 @usaid_india
 @SPARC_Utilities
 @KPMGIndia",,3,5
KPMG India,@KPMGIndia,2020-11-27T10:00:06.000Z,"Consumers have adopted new habits and preferences, being more focused on in-home investments: Abhijeet Ranade, 
@KPMGIndia
 at the #ETFMCGSummit | 
@ET_EdgeQuote Tweet
KPMG India
@KPMGIndia
 · Nov 27
#ETFMCGSummit | Companies need to recognise the changing role of the ‘home being the hub’ as prioritisation of spend on #inhomeexperiences continues to grow: Abhijeet Ranade, @KPMGIndia  during ‘The Black Swan of 2020 – Rewriting the Customer Experience Rulebook’ fireside chat.",,,
KPMG India,@KPMGIndia,2020-11-27T09:47:52.000Z,"#ETFMCGSummit | Companies need to recognise the changing role of the ‘home being the hub’ as prioritisation of spend on #inhomeexperiences continues to grow: Abhijeet Ranade, 
@KPMGIndia
  during ‘The Black Swan of 2020 – Rewriting the Customer Experience Rulebook’ fireside chat.",,1,4
KPMG India,@KPMGIndia,2020-11-26T09:18:04.000Z,"With an unclear road ahead, rising cost of operations & changing consumer preferences, cos will have to strategise & make clear choices on where & how they'd like to play & win across geographies, channels, customers & products to ensure long-term #businesscontinuity and growth.Quote Tweet
KPMG India
@KPMGIndia
 · Nov 26
#ETFMCGSummit | Consumer cos most likely to prosper over the long-term are those re-inventing biz models to drive operational excellence, able to understand new consumer expectations & able to enhance employee productivity whilst prioritising #safety: @HarshaRazdan, @KPMGIndia.",,1,2
KPMG India,@KPMGIndia,2020-11-26T09:17:39.000Z,"#ETFMCGSummit | Consumer cos most likely to prosper over the long-term are those re-inventing biz models to drive operational excellence, able to understand new consumer expectations & able to enhance employee productivity whilst prioritising #safety: 
@HarshaRazdan
, 
@KPMGIndia
.ET Edge",,1,
KPMG India,@KPMGIndia,2020-11-26T09:11:57.000Z,"Register for 
@KPMGIndia
's programme on Finance for non-finance executives. Enroll for upcoming online batches starting Jan 2021. Click here: https://social.kpmg/fcsjz",,1,1
KPMG India,@KPMGIndia,2020-11-26T07:49:29.000Z,"India has been at the forefront of the #energy revolution for more than a decade. #ENRich2020 presents an incredible opportunity for participants worldwide to hear from international experts in a virtual conclave: 
@MikeHayes_KPMG
. Register for #KPMGENRich 
https://social.kpmg/enrich2020",,4,2
KPMG India,@KPMGIndia,2020-11-26T06:43:36.000Z,"Will #startups storm the technology space and upend the majors? Or will they co-opt each other and thrive? Watch out for #ENRich2020 https://social.kpmg/enrich2020
 Dec 2-3 | #KPMGENRich Anish De",,1,1
KPMG India,@KPMGIndia,2020-11-24T15:50:50.000Z,"#Pandemic could cause a jump in recruitment frauds in the #ecommerce sector: 
@KPMGIndia
 reportPandemic could cause a jump in recruitment frauds in the e-commerce sector: KPMG report
The report added that at a time when e-commerce companies are trying to rope in executives for their growing functions and businesses, many individuals could lie about their education qualification...
economictimes.indiatimes.com",,1,2
KPMG India,@KPMGIndia,2020-11-24T14:46:05.000Z,The KPMG Automata #digitalfinance platform provides capabilities to empower every organisation to achieve its full potential. It enables end-to-end automation of finance processes & provides intelligent insights for informed business decisions. Learn more https://social.kpmg/Automata,,4,6
KPMG India,@KPMGIndia,2020-11-24T13:47:36.000Z,"Learn from experts. Work with a dream team. Build a winning pitch. Check out the KPMG Ideation Challenge! Register your team today https://social.kpmg/KIC2021 | #KPMGIC
  days to go! 

Registrations close on Fri, 
 November.",,1,1
KPMG India,@KPMGIndia,2020-11-24T12:03:22.000Z,"The #KPMGIMPACT survey report with 
@ESgloballaw
 uncovers the barriers and opportunities in the global corporate decarbonisation effort: https://social.kpmg/enrich2020

#ENRich2020 | #KPMGENRich",,,1
