UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
KPMG in the UK,@kpmguk,2020-11-27T15:30:00.000Z,"The pandemic has led to a significant fall in overall GDP in 2020. But if a potential vaccine is rolled out by late spring, the economy could reach pre-COVID levels by the end of 2022.

Read out latest Economic Outlook: http://ow.ly/HWbe50Cwwbi",,2,2
KPMG in the UK,@kpmguk,2020-11-27T14:03:40.000Z,"Our transport team is proud to support 
@railaid2020
, a #fundraising initiative bringing the UK rail community together to stop COVID-19 claiming children’s lives. Join the initiative: http://ow.ly/7yX250CuBEr 
@RailwayChildren",,,4
Holy Family Year 6,@Year616,2020-11-27T12:41:07.000Z,"Excited and Amused by these fabulous incidental storylines about diversity. We try to live out our mission to live, love and learn together. #Changethestory ⁦
@kpmguk
⁩ ⁦
@littlebobooks
⁩",1,1,6
chambertalk,@chambertalk,2020-11-27T12:17:13.000Z,"This week we launched the 32nd Oil & Gas Survey in partnership with 
@kpmguk
 and 
@Strath_FAI
, revealing a drop in business confidence to 2015 downturn levels. 

A stark illustration of the economic turmoil resulted from CV19.

Download your copy here: http://bit.ly/AGCC-OG32 #OG32",,,
KPMG in the UK,@kpmguk,2020-11-27T11:30:28.000Z,"Encouragingly, we found that 14% of shoppers are planning to spend more during this year’s Black Friday sales.

For further insights into consumers in the new reality, read our latest report: http://ow.ly/zGz750CuwXi",,1,1
Economist Foundation,@Econ_Foundation,2020-11-26T16:30:14.000Z,"This time last week we were winding down from spending the day with 
@kpmguk
 and schools across the UK thinking about numbers in the news.
We looked at numbers to do with the coronavirus and the US election. What do you think were the key figures?",,,2
Energy Live News,@EnergyLiveNews,2020-11-26T16:08:28.000Z,"Almost a fifth of #NorthSea #oil and #gas companies expect to make further redundancies in 2021.
@kpmguk
@UniStrathclyde
@chambertalkAlmost a fifth of North Sea oil companies 'expect to make further cuts in their workforce next...
Almost 22% of oil and gas businesses have reduced their staff by more than 10% during 2020, according to new research
energylivenews.com",,1,
WFPEvents,@wfpevents,2020-11-26T15:00:01.000Z,"Book your place at our 
@WEETFEvents
 #onlineconference to discuss #renewableenergy in the UK on January 12th 2021. Speakers include 
@beisgovuk
 @kpmguk
 @chrisjhewett
 @EnergySysCat
 @BurgesSalmon
 @cardiffuni
 @tristanzipfel
. Find out more here: https://bit.ly/3kGDJoR #domesticmarkets",,1,1
WEETF Events,@WEETFEvents,2020-11-26T15:00:00.000Z,"Book your place at our 
@WEETFEvents
 #onlineconference to discuss #renewableenergy in the UK on January 12th 2021. Speakers include 
@beisgovuk
 @kpmguk
 @chrisjhewett
 @EnergySysCat
 @BurgesSalmon
 @cardiffuni
 @tristanzipfel
. Find out more here: https://bit.ly/3kGDJoR #domesticmarkets",,1,1
KPMG in the UK,@kpmguk,2020-11-26T14:30:52.000Z,"The state of public finances were outlined in yesterday’s #SpendingReview2020. Our Chief Economist 
@yaelselfin
 provides insight on the Chancellor’s announcement and public spending initiatives.

Read now: http://ow.ly/CJg650CvBsJ",,3,5
Simon Virley,@SimonVirley,2020-11-25T16:27:10.000Z,"Agreed. We need to follow 
@campbellclaret
’s advice: talk about these issues more + look out for our colleagues in these tough times. 
@kpmguk
 colleagues can hear my full interview with 
@campbellclaret
 where we discuss mental health, the Blair years, fake news and Scotland’s futureQuote Tweet
James Bingham
@jimbings
 · Nov 25
Just finished @campbellclaret’s Living Better and I cannot recommend it enough.

Whilst the subject matter is at some points tear inducing, Alastair’s candidness and thoroughness make this an absolute must read.",,,4
Anna Penrose,@annapenrose,2020-11-25T15:58:03.000Z,"First ever Python lesson, thanks ⁦
@kpmguk
⁩ #letscrackcoding #KPMGconnect2020 attempting to crack a #guinnessworldrecord for ⁦
@NSPCC
⁩",,,1
KPMG in the UK,@kpmguk,2020-11-25T14:29:26.000Z,"Our #KPMGIMPACT survey report with 
@ESgloballaw
 uncovers the barriers and opportunities in the global corporate decarbonisation effort.

Read more: http://ow.ly/vgTR50Cuyg9",,,
energyvoicenews,@EnergyVoiceNews,2020-11-25T13:59:50.000Z,"Energy transition commitments could go some way to reversing North Sea pessimism: 
@chambertalk
 @Strath_FAI
 @kpmgukEnergy transition commitments could go some way to reversing North Sea pessimism - News for the Oil...
It’s hoped commitments to put energy transition “at the heart” of economic recovery could go some way to reversing negative trends in the North Sea.
energyvoice.com",,1,2
KPMG in the UK,@kpmguk,2020-11-25T12:30:36.000Z,"36% of UK shoppers are planning to shop for gifts closer to Christmas, according to the results our survey of over 2,000 consumers.

For more insights into consumers in the new reality, read our latest report: http://ow.ly/ukWY50CuoQF",,1,
Andy Pyle,@AndyJPyle,2020-11-24T14:45:03.000Z,"Always worth checking out 
@KPMGuk
's weekly client webinar - register below.Quote Tweet
KPMG in the UK
@kpmguk
 · Nov 24
Nathan Bostock, CEO of Santander UK, joins us at 12.30 PM tomorrow, to share his perspectives on the #NewReality. Our experts will also provide the latest on Brexit, vaccines and the Green Industrial Revolution.

Register: http://ow.ly/WJpy50CtmGY
0:43
339 views",,,1
KPMG in the UK,@kpmguk,2020-11-24T14:32:18.000Z,"Nathan Bostock, CEO of Santander UK, joins us at 12.30 PM tomorrow, to share his perspectives on the #NewReality. Our experts will also provide the latest on Brexit, vaccines and the Green Industrial Revolution.

Register: http://ow.ly/WJpy50CtmGY",,3,6
WeAreTechWomen,@WATC_WeAreTech,2020-11-24T14:04:04.000Z,"  THANK YOU 
  to 
@CreditSuisse
 @HSBC_UK
 @OliverWyman
 @BarclaysGender
 @PwC_UK
 @kpmguk
 @VisaUK
 for supporting our NEW network of networks  #WeAreTechNetworks supporting and connecting #WomenInTech network leaders

Find out more here now 
 https://wearetechwomen.com/wearetechnetworks/…",1,1,5
Jill Hilton,@hilton_jill,2020-11-24T13:23:45.000Z,"And we’re off! 
@kpmguk
 Connected 2020 All Staff event. The brilliant 
@KatiePiper_
 is co-hosting and we’re in for a real treat. I work with some truly inspirational people!",,,10
ARCHIE Grampian,@archiegrampian,2020-11-24T12:37:10.000Z,"Spread a little 
 support our auction
https://archie.org/christmas-tree-auction/…
@SirTomhunter
 @CarnegieFdn
 @GoldmanSachs
 @CouttsandCo
 @BarclaysScot
 @barclayswealth
 @ASInvestmentsUK
 @SCA_plc 
@JPMorganAM
 @wealth_mgmt
 @PwC_UK
 @kpmguk
 @sjpwealth
 #thechildrenshospital #charity #proudtobeNHSG",,,1
KPMG in the UK,@kpmguk,2020-11-23T11:30:13.000Z,"In our latest podcast, 
@jaghstewart
 asks 
@yaelselfin
, what a Biden win in the #USelection2020 means for the UK economy. We also discuss what the result could mean for the UK businesses and the US-UK trade deal. 

Listen to it now: http://ow.ly/QKRg50CrPPH0:17
186 views",,2,2
Sharon Green,@SharonGChiara,2020-11-23T10:51:08.000Z,"Thanks 
@tortoise
 @josh_hardie
 @chris_hearld
 @kpmguk
 

Good to start the week with 
@CBItweets
 webinar on #BrexitBritain 

Personally struck by Rachel Kent 
@HoganLovellsUK
 saying it's a case of ""you don't know how much you love/value it until you've (almost) lost it"" sic Quote Tweet
CBI
@CBItweets
 · Nov 23
Join us today at 10am for the next of our CBI @10am webinar. Hear practical insights from @chris_hearld, Head of Regions, @kpmguk, to prepare your business for the UK’s post-Brexit relationship with the EU as we discuss what the end of the transition means for business. Sign up!",,,
KPMG in the UK,@kpmguk,2020-11-23T10:30:22.000Z,"Nathan Bostock, CEO of Santander UK, joins our next event to provide perspectives on the #NewReality and an outlook for 2021.

Register now: http://ow.ly/6Ybx50CrTiJ",,,
ABI,@BritishInsurers,2020-11-23T10:07:01.000Z,"EVENT | Last chance to book your spot for tomorrow's event 'Financial reporting webinar 2020: IFRS 17 and beyond', in association with 
@kpmguk
. Registration closes at 5pm. Book now - 

https://abi.org.uk/events/2020/11/financial-reporting-webinar-2020-ifrs-17-and-beyond/… #ABIIFRS17Financial reporting webinar 2020: IFRS 17 and beyond ABI
abi.org.uk",1,,
KPMG in the UK,@kpmguk,2020-11-23T09:30:23.000Z,"To turn #climaterisk into opportunity, you need a strategy that goes beyond reporting. Join our digital event on 26th November, where climate risk experts will share the latest updates from TCFD and what that means for you.

Register now: http://ow.ly/oqg750CoYtD",,1,3
KPMG in the UK,@kpmguk,2020-11-20T10:30:14.000Z,"Ethel Watts didn’t listen when people said 'women can’t do that'.

She became the UK’s first female accountant in 1924 – after years of fighting. Her determination opened the door to thousands more. 

Dan Higgins has been talking to Becky Noblet about her story.

#pioneers2:34
213 views",,3,3
Cambridge Cleantech,@CamCleantech,2020-11-20T09:40:05.000Z,"We would like to send a heart felt thank you to all our sponsors for supporting Cleantech Venture Week - 
@ZeroCarbonCap
 @KISStalk
 @cleangrowth_uk
 @TaylorWessingUK
 @ChooseParisReg
 @kpmguk
 @Ox_Greentech
 @J_A_Kemp
 @Catax_Group
 @OxfordTechPark
 @STechInsurance
 @tradegovuk
 @Hewitsons",,9,10
KPMG in the UK,@kpmguk,2020-11-20T09:30:25.000Z,"In our latest blog, Jo Brien and 
@LizHunterReward
 give their insights on improving your share plan communication, and how it could improve your business.

Read more: http://ow.ly/WJt750CjpLa",,,2
Insurance Times,@InsuranceTimes_,2020-11-20T08:21:54.000Z,"Over half of insurance staff want to remain home working post pandemic - KPMG

https://insurancetimes.co.uk/news/over-half-of-insurance-staff-want-to-remain-home-working-post-pandemic-kpmg/1435511.article…

#insurance #wfh #homeworking #coronavirus #covid19 
@kpmguk
  @KPMG",,2,1
KPMG in the UK,@kpmguk,2020-11-19T16:00:58.000Z,"Join our webinar in association with Oracle and learn how to unlock growth and innovation potential for your business with built-in intelligence and advanced analytics.

Register now: http://ow.ly/4NjL50CpdTf",,,1
Ahead Partnership,@AheadP_ship,2020-11-19T08:50:02.000Z,"This year's top 75 employers taking action on social mobility in their organisation include our partners 
@PwC_UK_Careers
 @kpmguk
 @Pinsent_Masons
. Find out how they're tackling #socialmobility and see the full list 
 https://buff.ly/35HhR7V",,,2
Economist Foundation,@Econ_Foundation,2020-11-19T08:30:11.000Z,"We're spending a fun filled day with 
@kpmguk
 for a virtual Numeracy in the News day! We're working with schools across the UK to help students think critically about the role of numbers in the news.",,3,9
NEIL MITCHELL,@RNW_MITCHELL,2020-11-18T16:53:14.000Z,". 
@KPMG
 @kpmguk
 on the Defensive !?! KPMG Rips 'Absurd' FRC Claims Over Mattress Co. Insolvency: 
@Law360KPMG Rips 'Absurd' FRC Claims Over Mattress Co. Insolvency - Law360
KPMG has denied accusations it helped a private equity fund force a struggling U.K. mattress company into insolvency to shed £100 million ($132.4 million) in pension liabilities before an acquisiti...
law360.com",,1,1
TheCityUK,@TheCityUK,2020-11-18T14:25:07.000Z,"Starting shortly, Anjalika Bardalai 
@TheCityUK
 is joined by Dan Barlow 
@DeloitteUK
, Mike Eakins 
@PhoenixGroupUK
, & 
@yaelselfin
 @kpmguk
 to consider regional variations in productivity and how they can be addressed from an industry and policy perspective. https://bit.ly/3nDyOGJ",,3,2
TechShare Pro,@techsharepro,2020-11-18T13:50:05.000Z,"Covid-19 has changed the way we work. Join 
@LucyRuck
 and her panel 
@NeilEustice1
  Sara John 
@miwon
 & 
@DazRowan
 to hear about their experiences and advice for all of us still working from home.

#TechSharePro2020 #A11y 
@NatWest_Help
 @miwon
 @Microsoft
 @LillyPad
 @kpmguk",,,5
TheBusinessDesk EM,@TBDEastMidlands,2020-11-17T15:21:08.000Z,"Accountancy firm promotes duo to partner: https://thebusinessdesk.com/eastmidlands/news/2042963-accountancy-firm-promotes-duo-to-partner… 
@kpmgukAccountancy firm promotes duo to partner | TheBusinessDesk.com
Promotions part of 70 across the Midlands
thebusinessdesk.com",,,
KPMG Isle of Man,@KPMGIM,2020-11-17T13:13:54.000Z,". 
@RThrelfall_KPMG
, Global Head of 
@KPMG
 IMPACT from 
@KPMGUK
 will be discussing the #KPMG ‘Impact programme’ at 
@BiosphereIOM
 's next webinar on Wednesday 25 November at 6:30pm. Interested? Sign up to this webinar for free by emailing Nikole.Cervantes@gov.im",,,2
Stewart Damonsing,@StewDamonsing,2020-11-17T13:07:12.000Z,"#NorthNorfolk #BusinessSupport | Managing Risk in a Covid Landscape | A free online seminar from The Financial Industry Group Norwich in partnership with 
@kpmguk
 | 18 November at 8:30am. Book via 
@fignorwich
...Event: Managing Risk in a Covid Landscape, a FIG Seminar in Partnership with KPMG
Explore the challenges around Risk in a Covid-impacted world.
fignorwich.org",,,
Women In Technology World Series,@WinTechSeries,2020-11-17T13:00:12.000Z,"Content Alert! Don't miss out of these great presentations from our Silver sponsors - 
@babbel
, 
@mastercard
, 
@kpmguk
, @zuhilke_uk https://hubs.la/H0zThtP0",,1,6
WeAreTechWomen,@WATC_WeAreTech,2020-11-17T12:03:02.000Z,"  HUGE thanks 
  to our amazing #WeAreTechNetworks supporters 
@CreditSuisse
 @HSBC_UK
 @OliverWyman
 @BarclaysGender
 @PwC_UK
 @kpmguk
 @VisaUK
 for supporting our NEW network of networks supporting #WomenInTech 

Find out more here now https://wearetechwomen.com/wearetechnetworks/… and join it today",,1,6
KPMG in the UK,@kpmguk,2020-11-16T09:01:23.000Z,"What IT skills shortages are preventing your organisation from keeping up in the new reality? Register your details to download the CIO Survey Report: http://ow.ly/ExtM50CdcJl

#CIOsurvey",,,
ARMSA Academy,@armsaconsulting,2020-11-16T08:41:17.000Z,"Today marks the official launch of ARMSA Academy. Our skills research within renewables has coincided with equally worrying trends spotted by 
@kpmguk
 and 
@ESgloballawQuote Tweet
BusinessGreen
@BusinessGreen
 · Nov 16
'A trillion-dollar problem': Major survey highlights dearth of green skills at companies worldwide  https://businessgreen.com/news/4023293/trillion-dollar-major-survey-highlights-dearth-green-skills-companies-worldwide…",,3,3
Ian J Brown,@ijb19662,2020-11-16T07:52:28.000Z,"I wonder if 
@UKPatchwork
 or 
@kpmguk
 could explain why they have recently changed their website relating to #MPoftheYear?
Especially as you promote 
@VotingCountsUK
 but are disregarding the public votes (#Hypocrisy!).
#EHRC are against political interference in processes!
#r4todayQuote Tweet
Patchwork Foundation
@UKPatchwork
 · Oct 30
This year, for the first time ever, our #MPoftheYearAwards will be held virtually!
 

On Weds 2nd Dec we'll be celebrating our 2020 Award winners, recognising the fantastic work delivered over the last year. Sponsored by @kpmguk 

Register here",,3,3
Patchwork Foundation,@UKPatchwork,2020-11-15T16:00:10.000Z,"Continuing our trip down memory lane, 
@AlanMakMP
 was our 2018 Newcomer Conservative Award Winner!

Join us for our 2021 #MPoftheYearAwards Ceremony on December 2nd. Register today - https://buff.ly/351KkoS

Sponsored by 
@kpmguk",54,3,1
Rose St Louis,@rose_stlouis,2020-11-15T15:22:07.000Z,"Excited to moderate my first 
@kpmguk
 #WomenInInsurance event for #IMD2020 celebrating men who lean into #GenderEquality family & community, and allying for men who are discriminated against & have challenging mental & physical health. Join us on Thursday http://ow.ly/nqwu50CjGR7Quote Tweet
KPMG in the UK
@kpmguk
 · Nov 13
In honour of #IMD on 19 November, join Nikhil Manek - our MLRO and Director, Ed Bridge - UK Legal Counsel, @ZurichInsUK and Allan Murley- Head of Broker Management, @AXA_XL to discuss the equality and wellbeing issues faced across organisations.

Register: http://ow.ly/nqwu50CjGR7",,3,15
KPMG in the UK,@kpmguk,2020-11-13T10:30:24.000Z,"The Q3 Venture Pulse report shows that Seed and Series A funding continues to be underserved as investors focus on later stage companies. But we think differently with #O23

Let's connect: http://ow.ly/nsn350CflSO",,,1
The Talent Foundry,@talent_foundry,2020-11-13T10:01:33.000Z,"So pleased to see 
@kpmguk
 in the top 3 #socialmobility employers in the UK!

We are so proud to partner with 
@kpmguk
 to run the amazing #KPMGWorkReady programme in social mobility cold spots up and down the country!Quote Tweet
The Social Mobility Foundation
@SocialMobilityF
 · Nov 11
 Introducing the Social Mobility Employer Index 2020.  
 Full report: https://bit.ly/SMFIndex20
Congratulations to all the employers in the top 75.  
To protect social mobility during the recession we need more employers to join in 2021. DM for more info.

#SMFIndex2020
Show this thread",,1,3
KPMG in the UK,@kpmguk,2020-11-13T09:30:27.000Z,"There are practical actions you can take to deal with fraud in the wake of COVID-19. Learn how in our new blog post by Richard Parsons and 
@KuntzBettina
: http://ow.ly/NDSy50Cfcoo",,2,
London & Partners,@businesslondon,2020-11-13T09:00:42.000Z,"Is your startup at Seed or Series A stage? 
Join the Mayor’s International Business Programme & its partners 
@kpmguk
, 
@wilsonsonsini
 & 
@TaylorWessingUK
 on 19 November to learn more about the fundraising landscape & meet investors 
Sign up for free Raising Seed & Series A: Accelerate your Growth
We are pleased to invite you to this in-depth discussion on fundraising for companies who are looking to raise Seed or Series A funding.
eventbrite.co.uk",,7,9
NEIL MITCHELL,@RNW_MITCHELL,2020-11-13T05:27:37.000Z,"Caffè Nero (as you see in my header photo) was/continues to this day to be a big customer user of Torex Retail Plc EPOS systems. Big mistake to use 
@kpmguk
 Restructuring -that will be the end of Caffè Nero -Second Covid lockdown forces Caffe Nero into CVA:Second Covid lockdown forces Caffe Nero into Voluntary Arrangement
The UK coffee chain was forced to put itself into a Company Voluntary Arrangement, a type of insolvency that allows firms to continue trading while they attempt to get their finances in order.
dailymail.co.uk",,3,1
Third Republic,@ThirdRepublic,2020-11-11T17:00:35.000Z,"Talking about her own journey into a career in STEM, Director of Data Science and Engineering at 
@kpmguk
, Dr Rebecca Pope highlights that there is no logical ‘path’. 

https://hubs.ly/H0zHc3Q0

#ThirdRepublic #STEM",,1,
Jatin Patel,@JatTel,2020-11-11T15:00:21.000Z,"Really pleased to see 
@kpmguk
 rank 3rd in the #SMFIndex2020 To have ranked in the top 3 each year since the index was launched is a source of great pride personally, and testament to the amazing work my former colleagues have done to support young people, and diversify talent.Quote Tweet
The Social Mobility Foundation
@SocialMobilityF
 · Nov 11
 Introducing the Social Mobility Employer Index 2020.  
 Full report: https://bit.ly/SMFIndex20
Congratulations to all the employers in the top 75.  
To protect social mobility during the recession we need more employers to join in 2021. DM for more info.

#SMFIndex2020
Show this thread",1,1,13
Bowen Eldridge Recruitment,@boweneldridgeuk,2020-11-11T14:46:23.000Z,"Another excellent webinar from 
@kpmguk
 with #JonnyWilkinson who discussed issues surrounding mental health. 

'By helping yourself, you help those around you'.",,,
Inframation,@InfraNews_,2020-11-11T14:40:09.000Z,"Is a traffic-based revenue model for roads still viable in a post-coronavirus environment? Find out on the reshaped world of transport investing panel at #EIFS2020. We'll be hearing from 
@GHDspeaks
 Tim Mawhood, 
@kpmguk
 Richard Threlfall and more http://ow.ly/zLQB50ChGOE",,1,2
Living Wage Foundation,@LivingWageUK,2020-11-11T14:38:05.000Z,".
@Guy_Stallard
 of 
@kpmguk
: ""The Living Wage makes large economic sense. Since its introduction, staff turnover has decreased, and quality of production and productivity have increased.""

The #LivingWageWeek 'From Invisible Worker to Key Workers' webinar is live right now.",,5,10
"Creative, Digital and Design at KTN",@KTN_Creative,2020-11-10T12:01:58.000Z,"Don't miss out on the upcoming 
@AIForServices
 & 
@earlymetrics
 Accountancy Tech Matchmaking event that will offer innovative start-ups the opportunity to meet leading accountancy firms  
@MooreKSLLP
 @Capgemini
 @bdoaccountant
 @kpmguk
  

Register now: http://ow.ly/hGdF50Ca3ZX",,1,1
Patchwork Foundation,@UKPatchwork,2020-11-10T12:00:37.000Z,"Another #MPoftheYearAwards throwback, this time to 
@TommySheppard
 who won our 2019 Other Party MP of the Year Award!

Register to attend our 2020 Ceremony now 
 https://buff.ly/351KkoS

Sponsored by 
@kpmguk",,,
Little Box of Books,@littlebobooks,2020-11-10T11:41:52.000Z,"Today's the day... our amazing warehouse team are packing up the first 4400 inclusive books for schools and nurseries, for our #ChangetheStory campaign, fronted by 
@RochelleHumes
 and supported by 
@kpmguk
. Helping more children to see themselves in the books they read.",1,1,7
The British Retail Consortium,@the_brc,2020-11-10T10:30:05.000Z,"Latest BRC- 
@kpmguk
 data shows sales were up  in October as an England-wide lockdown prompted customers to stock up. However, as retails enter the crucial Christmas period in lockdown we estimate that £2bn of sales per week will be lost this month.New lockdown ‘will throw away’ retail sector progress
The retail sector held up strongly last month, but the second lockdown could plunge it back into distress, a report by KPMG and the British Retail Consortium has suggested.Sales rose by 4.9 per cent
thetimes.co.uk",1,1,1
MCA,@TheMCA_UK,2020-11-10T10:02:11.000Z,"Join key note speaker, Anne-Marie Malley, Head of Consulting 
@DeloitteUK
 in discussions with our panel of inspirational women from member firms 
@EY_UKI
 , 
@kpmguk
 , 
@CadenceInnova
 , 
@MottMacDonald
 and 
@PwC_UK
 - https://mca.org.uk/event/mca-women-in-consulting-network-launch-event-2…

#managementconsulting #consultingexcellenceMCA Women in Consulting Network Launch Event - MCA
The MCA hosts a number of events of the year, including our awards. Click here to view the events calander and book your place today
mca.org.uk",,2,1
WEmF Events,@WEmFEvents,2020-11-09T09:52:12.000Z,"Discuss ethnic #minorityequality with 
@WEmFEvents
 on the 25th February. We look forward to 
@EYnews
 @SandraKerrBITC
 @BITC
 @Katy_E_Bennett
 @PwC
 @FudiaSmartt
 @Spencer_West_
 @Wilf_TU
 @JennBarnett27
 @GrantThorntonUK
 @kpmguk
 speaking! Book here: https://bit.ly/3eFBaBk #paygap",,,1
WFPEvents,@wfpevents,2020-11-09T09:51:06.000Z,"Discuss ethnic #minorityequality with 
@WEmFEvents
 on the 25th February. We look forward to 
@EYnews
 @SandraKerrBITC
 @BITC
 @Katy_E_Bennett
 @PwC
 @FudiaSmartt
 @Spencer_West_
 @Wilf_TU
 @JennBarnett27
 @GrantThorntonUK
 @kpmguk
 speaking! Book here: https://bit.ly/3eFBaBk #paygap",,1,3
KPMG in the UK,@kpmguk,2020-11-09T09:30:25.000Z,"How have you influenced your business' technology strategy? Register your details to download the CIO Survey Report: http://ow.ly/P0oX50Cdc2c

#CIOsurvey",,1,
Ross Clennett,@rossclennett,2020-11-09T08:01:00.000Z,"Permanent placements in the UK dropped in October contrasting with a sharper increase in temp billings, according to the latest UK Report on Jobs survey from the 
@RECPress
 and 
@kpmguk
 https://tinyurl.com/y6dpqkuw  via 
@SIADailyNews",,2,1
National Numeracy,@Nat_Numeracy,2020-11-08T16:02:14.000Z,"And that's a wrap!
#NumberConfidenceWeek has come to an end.

A huge thank you to 
@TPICAPplc
, 
@ExperianExperts
, 
@santanderuk
, 
@kpmguk
, 
@J_Ennis
 & 
@Bobby_Seagull
, and all of you who have joined us for the week!

If you missed it, you can catch up now at https://nationalnumeracy.org.uk/number-confidence-week…",,5,15
AIMed,@AIMedHQ,2020-11-06T10:05:08.000Z,"We really enjoyed speaking to Rebecca Pope, Ph.D. about her voluntary secondment at 
@GreatOrmondSt
. Full article  
https://bit.ly/2IdQdq4 Rebecca will be speaking at our CME-accredited #AIMed #Paediatrics virtual meeting on Nov 10-11, Register 
 https://bit.ly/3lPEpZq
@kpmgukAdvice for clinicians embarking on their AI journey
Dr. Rebecca Pope, a Clinical Neuroscientist by background and Director of Data Science and Engineering at KPMG UK, is currently on voluntary secondment at Great Ormond Street Hospital’s DRIVE unit....
ai-med.io",,,
Anna Penrose,@annapenrose,2020-11-05T17:55:24.000Z,"I failed massively to tweet my way through today's launch event but now its calmed a little I wanted to share how proud I am that we were able to play a part. Inspired by today's speakers and what we're already doing to return nature back to nature 
@kpmguk
 #togetherfornatureQuote Tweet
Natural England
@NaturalEngland
 · Nov 5
We’re proud to launch the biggest nationwide initiative to restore nature in England 
Together, we will deliver a #NatureRecovery Network of more and better connected spaces for people and nature.

Join our partnership: https://gov.uk/government/publications/nature-recovery-network/nature-recovery-network…

#TogetherForNature
1:01
28.6K views",1,,2
Patchwork Foundation,@UKPatchwork,2020-11-05T17:18:04.000Z,"Last year 
@sajidjavid
 was our 2019 Overall MP of the Year! 

Wondering who's going to be this year's winner? Join us on December 2nd to find out! Register to attend our 2020 #MPoftheYearAwards today 
 https://buff.ly/351KkoS

Kindly sponsored by 
@kpmguk
 

#GetInvolved",,,
National Numeracy,@Nat_Numeracy,2020-11-05T16:01:03.000Z,"The news is full of numbers at present.

Boosting your number confidence can help you make sense of it.
Watch 'Numbers In The News', a video workshop by 
@Econ_Foundation
 and #NumberConfidenceWeek lead partner 
@kpmguk
.
 http://youtu.be/tbZIKDF4ZmkV",,1,3
