UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Nathan English,@Nathan__English,2020-11-28T16:16:03.000Z,"Explore best practices for planning in times of uncertainty in finance, HR, and IT from Sanjay Sehgal of 
@KPMG_US
, Sherry Vidal-Brown of G6 Hospitality, and Mustafa Ozkeskin of Microsoft during Conversations for a Changing World: https://wd.inc/2HbmNIv... https://bit.ly/2J8C0eV",,,
Robert Alpert,@RobertAlpert,2020-11-28T00:17:56.000Z,".
@KPMG_US
 perspective is included in this Tech Target piece about #AI literacy. Read how hands-on projects in AI adoption create more value than training alone. #innovationWhy AI literacy is critical, even for non-technical employees
AI is seeping into most organizations through dedicated AI projects, embedded AI in applications and software tools. Now, even non-technical employees must have some level of AI literacy. Explore s...
searchenterpriseai.techtarget.com",,,
Gantler,@pgantos,2020-11-27T21:40:08.000Z,"Join leaders from 
@KPMG_US
 for the webcast “Trust nothing—Verify everything with zero-trust” (12/8 @ 4:00PM ET) for a discussion on the zero-trust framework and the areas government entities should focus on to build zero-trust. https://bit.ly/3leEuoL",,,
KPMG US,@KPMG_US,2020-11-27T21:10:07.000Z,Join KPMG and Oracle for a CPE webcast on 12/3 at 2:00 PM EST focused on planning your EPM roadmap and next steps with Hyperion. Discover how EPM process must evolve to translate business strategy into action while driving enhance business performance: http://ow.ly/3msK50CuZp5,,,2
KPMG US,@KPMG_US,2020-11-27T19:10:09.000Z,"#COVID19 is having an impact on a wide range of economic and societal challenges, including private equity investments. KPMG's Tania Carnegie answered ten important questions that are shaping conversations around #privateequity investments. Learn more: http://ow.ly/a1Is50CuZAn",1,1,3
Anthony,@ageanoules,2020-11-27T14:31:53.000Z,"Find out which IPOs made up the lion’s share of new issuances in the third quarter in our latest #IPO Insights report from 
@KPMG_US
 Private Enterprise. https://bit.ly/2KLmaqV",,,
Anthony,@ageanoules,2020-11-27T14:31:49.000Z,"Following a critical GAO report, HHS will begin publicly reporting additional information on licensing of intellectual property to private companies for drug development. Click here to 
@KPMG_US
' ""Around the World of U.S. Healthcare."" #ATW360 #KPMGHC https://bit.ly/3l94wKh",,,
Anthony,@ageanoules,2020-11-27T14:31:32.000Z,"Join leaders from 
@KPMG_US
 for the webcast “Trust nothing—Verify everything with zero-trust” (12/8 @ 4:00PM ET) for a discussion on the zero-trust framework and the areas government entities should focus on to build zero-trust. https://bit.ly/3q52Gh2",,,
Anthony,@ageanoules,2020-11-27T14:31:26.000Z,"As U.S. sanctions against Iran continue to escalate and evolve, it is difficult for busy compliance professionals to stay current. Read this article from 
@KPMG_US
 Trade & Customs to explore how to manage secondary sanctions. #KPMGTradeCustoms #GlobalTrade https://bit.ly/3o0g9op",,,
Anthony,@ageanoules,2020-11-27T14:31:13.000Z,".
@KPMG_US
 was recognized by 
@NGLCC
 as a Best-of-the-Best Corporation for Inclusion! I’m #KPMGProud to work for an organization committed to #inclusion & #diversity! #NBICUnityWeek #BOTB20 https://bit.ly/2HMaIu2",,,
Gantler,@pgantos,2020-11-26T00:12:02.000Z,"#Tech leaders in the global #CEOOutlook believe the pandemic has fast-tracked a new workforce model with #AI augmenting humans. Read more on the study from 
@KPMG_US
 TMT leader Mark Gibson. #COVID19 #talentacquisitionTalent is a top risk at technology companies
The pandemic has brought human concerns to the forefront, and tech CEOs recognize that losing key people—and attracting specialized skills—can have a significant impact on growth.
info.kpmg.us",,,
Joe Bailitz,@JoeBailitz,2020-11-26T00:00:44.000Z,"In a new 
@KPMG_US
 #Podcast, Audit Partner, John Capone speaks with Maura Hodge, National ESG Assurance Leader, to discuss #ESG and breakdown what it is, why it’s important, and how we can tackle it. Listen now. #KPMG #Audit #Assurance #ESG #Sustainability https://bit.ly/39jOgng",,,
jake pszonowsky,@pezjake,2020-11-25T23:39:02.000Z,"Find out which IPOs made up the lion’s share of new issuances in the third quarter in our latest #IPO Insights report from 
@KPMG_US
 Private Enterprise. https://bit.ly/3fDAm0C",,,1
