UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
CNBC Africa,@cnbcafrica,2020-11-26T10:33:25.000Z,"[ON AIR] #FutureOfEducation: ""We have a duty towards the upskilling of the community within which we live and work. We partnered with 
@UNICEF
 whole heartedly as we gear to digitally upskilling children globally"" 
@dion_shango
, CEO 
@PwCAfrica
 #FOE2020",,4,3
PwC Africa,@PwCAfrica,2020-11-26T08:33:52.000Z,"“All companies and standard setters should be taking action now” - 
@PwC
 global chairman 
@Bob_Moritz
 calls for #ESG & #sustainability metrics to be at the heart of corporate reporting. See here. http://ow.ly/RMBT50Cvmjv",,,
CNBC Africa,@cnbcafrica,2020-11-25T11:37:35.000Z,"Join 
@dion_shango
, 
@PwCAfrica
 CEO, on Thursday 26 November at 12:00 CAT, as he unpacks the future of education in Africa.

Tune into #DStv410 or register to attend this free virtual summit:  http://bit.ly/3kFJ4MsCNBC Africa and 6 others",,1,9
Forbes Africa,@forbesafrica,2020-11-25T11:36:24.000Z,"[THREAD]Join 
@dion_shango
, 
@PwCAfrica
 CEO, on Thursday 26 November at 12:00 CAT, as he unpacks the future of education in Africa.

Tune into #DStv410 or register to attend this free virtual summit:  https://bit.ly/3kFJ4Ms",1,1,13
CNBC Africa,@cnbcafrica,2020-11-25T11:35:53.000Z,"Tune into #DSTv410 or register to attend this free event: 
http://bit.ly/3kFJ4Ms

Proudly sponsored by 
@CurtinUni
, 
@LancasterGhana
, 
@TAGroupGlobal
, 
@SAPAfrica
, 
@PwCAfrica
 & 
@cnbcafrica
BOOK YOUR SEAT NOW! 

#FOESummit #FutureOfEducationFuture of Education Summit - Africa | Hopin
Hopin is an online events platform where you can create engaging virtual events that connect people around the globe.
hopin.com",,1,9
PwC Africa,@PwCAfrica,2020-11-09T10:15:06.000Z,Why are emerging markets currently driving the growth of digital payments? Can the spread of mobile internet connections and an increase in smartphones be the answer? Click for our insights on  #PaymentTrends:  http://ow.ly/zD9q50CdsF9  #ReimagineBanking #PaymentOption,,1,5
PwC Africa,@PwCAfrica,2020-11-06T14:42:19.000Z,"How might Africa #PrivateBusinesses use #COVID19 disruption to enhance social responsibility practices? 
@PwC
’s 
@allen_gert
 shares his take. http://ow.ly/7xn050CdsaM #epbs",,,
Juma G,@jumaf3_,2020-10-31T08:20:44.000Z,"New World, New Skills To Create New Employment Opportunities https://sokodirectory.com/2020/10/new-world-new-skills-to-create-new-employment-opportunities/… #SokoNews 
@PwCAfrica",1,3,3
PwC Africa,@PwCAfrica,2020-10-28T07:05:02.000Z,"How do you bring the best #ideas to life faster? BXT — the right combination of business strategy, creative experiences, and tech. Learn about how leading companies put this method to work. http://ow.ly/kCNE50C3whK",,,1
PwC Africa,@PwCAfrica,2020-10-27T09:46:06.000Z,Join PwC Zimbabwe virtual run in support of Breast Cancer Awareness Month. Register here: http://ow.ly/9Uqw50C39E6. Record your results using your running app and share that with us to get your certificate of completion. #BreastCancerAwareness #MakeADifference #PwCCare,2,10,8
PwC Africa,@PwCAfrica,2020-07-01T10:30:42.000Z,"Our findings reveal #CFOs in Africa are significantly more concerned than their global peers about issues such as increased costs of doing business, supply chain disruptions and cybersecurity risks. Here’s why: http://ow.ly/zPNp50AlDM5  #CFOPulse",,2,1
JJ. Omojuwa,@Omojuwa,2020-06-30T21:33:28.000Z,"My Circular Economy Boss Lady 
@RukkyBE
 ! Congratulations on becoming a partner at 
@PwCAfrica
 . You’ve earned it. Long time coming. I am proud of you. I bet you know that already Quote Tweet
Bello El-Rufai
@B_ELRUFAI
 · Jul 1
Huge congratulations to my amiable cousin, Rukkaiya El-Rufai, @RukkyBE for becoming a Partner at @PwCAfrica. The sky is your limit my dear!",2,5,22
Bello El-Rufai,@B_ELRUFAI,2020-06-30T20:23:03.000Z,"Huge congratulations to my amiable cousin, Rukkaiya El-Rufai, 
@RukkyBE
 for becoming a Partner at 
@PwCAfrica
. The sky is your limit my dear!",11,15,169
PwC Africa,@PwCAfrica,2020-06-30T12:00:34.000Z,"Since March 2020, PwC has been tracking sentiment and priorities among finance leaders about the COVID-19 outbreak. Our 2nd edition surveyed 41 #CFOs from nine countries in sub-Saharan Africa, between 1 and 14 June. Full report here:http://ow.ly/MkkP50Alsk6  #CFOPulse",,,1
PwC Africa,@PwCAfrica,2020-06-25T07:30:46.000Z,COVID-19 has brought new ways of working for many. How should orgs think differently about #upskilling and #reskilling their workers for a future that is much less predictable than we once thought? Read our latest #TalentTrends2020 report here:   http://ow.ly/whfp50AchHx,,,2
PwC Africa,@PwCAfrica,2020-03-16T13:01:19.000Z,"African corporate issuers raised $4.3 billion of non-local currency debt in 2019, a decrease of 28% in terms of value, from 2018. Learn more: http://ow.ly/PcEq50yKOUE   #ACMW19GIF",,,1
PwC Africa,@PwCAfrica,2020-03-13T11:13:01.000Z,"The dual listing of 
@airtelafrica
 on 
@LSEplc
 and 
@nsenigeria
 was the largest IPO in Africa in 2019. Learn more: http://ow.ly/5dj650yKOMb  #ACMW19Africa Capital Markets Watch 2019
Our latest look at capital markets activities during 2019 and the ten-year period 2010-2019.
pwc.co.za",,2,3
PwC Africa,@PwCAfrica,2020-03-11T14:30:44.000Z,2019 saw the lowest in further offer proceeds in Africa over the past decade with $3.5 billion raised from 59 FO deals. Learn more: http://ow.ly/Im7R50yHGBB   #ACMW19GIF,,,1
PwC Africa,@PwCAfrica,2020-03-10T15:05:13.000Z,#PwC fifth annual Africa Capital Markets Watch publication examines both African debt capital markets and equity capital markets transactions. Click here for more insight: http://ow.ly/pJXD50yHGvq  #ACMW19,,,
Dr Christie Viljoen - PwC Economist,@CVEconomist,2020-03-09T04:12:01.000Z,"Some good news for consumers from the #COVID19 crisis: #oilprice plunges 30% after #SaudiArabia decides to step up production. This comes after #Russia refused to join #OPEC output cuts aimed at boosting prices. 
@PwCAfrica
 #CoronavirusOutbreak #COVID19 #COVID2019",,2,1
Laurie Snyman,@LaurieSnyman,2020-01-23T17:31:52.000Z,"Great insights from 
@dion_shango
 at the SA launch of our #CEOSurvey this morning 
@PwCAfrica",,2,4
Project Trust,@ProjectTrustUK,2020-01-21T00:14:27.000Z,"Amazing News: We heard this week from a member of our Alumni Community just returned from the school in Africa where they were a Project Trust Volunteer. In 1979!

#ThisIsProjectTrust #InvestInAfrica 1/2
@PJ_Parham
 @PWCAfrica
 @ChanteleCAfrica
 @_AfricanUnion
 @UK_AfricanUnion",1,,
BusinessDay,@BusinessDayNg,2020-01-20T16:23:35.000Z,"On January 28 at the 2020 Nigeria Economic Outlook, 
@PwCAfrica
 Chief Economist, Dr Andrew Nevin (
@nevinomics
) will deliver a keynote speech on how he thinks businesses and productivity will respond to the shifts we are expected to see in the coming decade.

#NEOC2020Nonso Obikili and 3 others",,15,20
PwC Africa,@PwCAfrica,2020-01-10T09:31:13.000Z,The results of our 23rd Annual Global #CEOSurvey are in! Register to be among the first to receive this year’s insights: http://ow.ly/uygc50xRT4p,,2,3
Finance 501,@Finance_501,2020-01-07T05:36:17.000Z,"JOB | Senior Associate | 
@PwCAfrica
 | Nairobi, Kenya | Audit & Accounting | Mid - Senior Level | Degree | Open | https://pwc.to/2Y1FsNQ

#IkoKaziKE #IkoKaziDiscover your new career with PwC
Your career is just that; yours. You choose it. You live it. You make it happen. To get the best from it, you need the best opportunities. That's why opportunities are at the heart of a career with...
pwc.co.za",,7,3
