UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Davey Bickford Enaex,@DBickfordEnaex,2020-11-25T07:31:25.000Z,"#Diversity & #Inclusion can be thought about through the lens of self-determination, but also as a matter of risk management. A community needs a sense of trust with #mining. Trust to underpin the #sociallicense
#KatieYamaguchi
 #SaraPrendergast  
@theausimm
 @pwc_au
 @wim_uk
 #imarc",,,2
Davey Bickford Enaex,@DBickfordEnaex,2020-11-25T07:26:59.000Z,"The benefits: improved [staff] attraction, retention, satisfaction, well-being – and simply because it is right. 
A moral & a commercial upside #diversity #inclusion 
#GiuliaSavio
#KatieYamaguchi #SaraPrendergast  #HarryTurner 
#StacyHope 
@theausimm
 @pwc_au
 @wim_uk
 #imarc",,,1
Davey Bickford Enaex,@DBickfordEnaex,2020-11-25T07:24:20.000Z,"The key steps [for #diversity & #inclusion in mining] : learning, awareness, evolution, action, communication
#GiuliaSavio 
#SaraPrendergast #HarryTurner #KatieYamaguchi #StacyHope 
@theausimm
 @pwc_au
 @wim_uk
 #imarc",,,1
Davey Bickford Enaex,@DBickfordEnaex,2020-11-25T07:00:10.000Z,"An important panel discussion about the imperative that is inclusion in #mining. We're all about our people (too) & look forward to this insights from this talent-packed panel #GiuliaSavio #HarryTurner #KatieYamaguchi #SaraPrendergast
#StacyHope 
@theausimm
 @pwc_au
 @wim_uk
 #imarc",,1,1
Paddy Carney,@PaddyCarney1,2020-11-24T08:11:04.000Z,"Considering a change in your tech career? Join 
@PwC_AU
 on 9th December to get the inside scoop on how your skills could help you create a career in #digitalaudit and #assurance. Register now. https://pwc.to/3kEQzmOPwC Australia on LinkedIn: Register now for our free webinar
Considering a change in your tech career? Join us on 9th December to get the inside scoop on how your skills could help you create a career in digital ...
linkedin.com",,,
Cat,@catmcnee,2020-11-24T02:43:41.000Z,".
@PwC_AU
's 
@KristinStubbins
 challenges leaders to be vulnerable and share what with their teams what they are going through at CEDA's virtual event on 'reimagining workplace 
@ceda_news
  #Mentalhealth",,2,3
Cat,@catmcnee,2020-11-24T02:35:40.000Z,"Today, 
@PwC_AU
  teamed up with 
@ceda_news
 
 for their virtual event on 'Reimagining workplace mental health.' #MentalhealthQuote Tweet
CEDA
@ceda_news
 · Nov 24
Poor management of mental health costs the economy $17 billion dollars a year says @BrogdenLucy from @NMHC #MentalHealth",,,
Edmund Tadros,@edmundtadros,2020-11-24T01:59:02.000Z,"Top 100 Accounting Firms (get excited...): Audit helps Deloitte, 
@EY_Australia
, 
@kpmgaustralia
, 
@PwC_AU
 grow amid pandemic
https://afr.com/companies/professional-services/audit-helps-deloitte-ey-kpmg-pwc-grow-amid-pandemic-20201123-p56h2d…
With nifty 
@hewart
 charts...Audit helps Deloitte, EY, KPMG, PwC grow amid pandemic
The big four firms – Deloitte, Ernst & Young, KPMG and PwC – have managed to continue growing amid a pandemic-induced economic downturn that has hit demand for their consulting services.
afr.com",,1,1
Pause Fest Australia,@PauseFest,2020-11-24T01:07:16.000Z,"Nicky Bryson of 
@PwC_AU
 and The Trenches claims that we are seeing a movement of ordinary Australians & businesses circumventing leadership, using their social & individual power to direct change. Are we in the middle of another Social Revolution?

https://hubs.ly/H0BrC_K0",,,
The Mandarin,@TheMandarinAU,2020-11-24T00:03:06.000Z,"A new survey conducted by 
@PwC_AU
 suggests that the events of 2019-20 have altered the nature of the relationship between citizens and the public sector, with Australians now significantly more trusting of their governments. (Sponsored)How can governments retain and grow citizen trust? | The Mandarin
As more Australians rely on governments for assistance and action, PwC explores the relationship between citizens and the public sector.
themandarin.com.au",,1,1
Ricardo Gonçalves,@BUSINESSricardo,2020-11-19T04:34:41.000Z,"2 MINUTES WITH | Justin Papps, PwC Australia Partner

On how media advertising landscape is changing: ""There'll be more money in subscription, than ad revenue.""

Full interview: SBS On The Money podcast/videocast later.
@SBSNews
 @justinpapps
@PwC_AU
 #ausbiz2:17
515 views",1,3,6
PwC Australia,@PwC_AU,2020-11-19T02:30:04.000Z,Discover the six drivers of change which are reconfiguring the market. Download the 2020 Entertainment & Media Outlook report - COVID-19 Edition https://pwc.to/3kHLme7,,,
