UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Accelerator Centre,@AC_Waterloo,2020-11-27T14:44:40.000Z,"Looking for some Friday inspo? Look no further! We've got 25 amazing startups featured in our #SPARK showcase. Take a few minutes to explore their inspiring stories and #FindYourSpark 
 

@PwC_Canada
 @gowlingwlg_ca
 @FedDevOntarioAC JumpStart: SPARK
25 inspiring entrepreneurs you'll want to get to know. Discover their startup journey and FIND YOUR SPARK. Powered by the Accelerator Centre.
acceleratorcentre.com",,6,8
Manuel E. Pereyra G.,@manuelpereyra,2020-11-27T14:10:02.000Z,"Congratulations to my colleagues 
@CSRjames
 and 
@DianeKazarian
  from 
@PwC_Canada
 for being part of the #top40 in the #PwCGP100.  Let’s continue to share valuable information and insights with our clients and communitiesQuote Tweet
Andy Woodfield
@andy_woodfield
 · Nov 27
The #PwC Global Power 100 is out now. Check out the leaderboard at https://rise.global/the-pwc-power-100/r/2664622… via @risedotglobal #PwCGP100",,2,7
Tangerine,@TangerineBank,2020-11-27T01:14:23.000Z,"Gen X (39-53 years old) and Baby Boomers (54-73 years old) plan to spend $1,058.00 on average this holiday season according to 
@PwC_Canada
. https://pwc.to/3fgzcI3 #HolidayReady",22,22,33
Tangerine,@TangerineBank,2020-11-27T01:13:10.000Z,"Gen Z (17-24 years old) and Millennials (25-38 years old) plan to spend $1,216.00 on average this holiday season according to 
@PwC_Canada
. https://pwc.to/3fgzcI3 #HolidayReady",31,23,33
Tangerine,@TangerineBank,2020-11-27T01:12:52.000Z,"According to 
@PwC_Canada
, the biggest proportion of holiday spending among respondents as a whole will be family members, but people will be spending a lot less on themselves. https://pwc.to/3fgzcI3 #HolidayReady2020 Canadian holiday outlook
Explore the retail trends and shopping behaviours retailers need to be aware of leading into the 2020 holiday season.
pwc.com",13,15,26
TechExit.io,@TechExitConf,2020-11-25T17:41:37.000Z,"What are the deal terms that typically tend to catch entrepreneurs off guard? The next panel featuring Oksana Horsman 
@PwC_Canada
, David Ferguson 
@AquaInformatics
 and 
@markjlongo
 @Osler_Law
 discuss just that! #TechExitWest

Thanks to 
@GrowthPointTech
 for sponsoring!",,,2
Paul Nazareth,@UinvitedU,2020-11-25T17:27:53.000Z,"Big news as 
@PwC_Canada
 launches report for #Nonprofit Boards, CEOs and Funders. 

They’ve surveyed social sector leaders to better understand the longer-term impacts of the #pandemic. 

How can NPOs navigate #uncertainty & build #resilience? https://pwc.com/ca/en/about-us/corporate-responsibility/contribute.html… via 
@CSRjamesPwC and 3 others",1,1,9
Ashley Somchanh,@ashley_somchanh,2020-11-25T17:14:25.000Z,"Today is an exciting day! Currently happening is our annual Emerging Trends in Real Estate event! 

Virtually we are joined by ⁦
@PwC_Canada
⁩ ⁦
@FredCassano
⁩ to talk about our findings this year.  And 
@EthierNick
 who is moderating our local panel!

#ETRE21  #ULIOttawa",1,1,7
"James Temple, CSR-P",@CSRjames,2020-11-25T15:47:12.000Z,"Proud to launch a new 
@PwC_Canada
 report for #Nonprofit Boards, CEOs and Funders: We've surveyed social sector leaders to better understand the longer-term impacts of the #pandemic. How can NPOs navigate #uncertainty & build #resilience? #NewWorldNewSkills
https://pwc.com/ca/en/about-us/corporate-responsibility/contribute.html?WT.mc_id=CT1-PL52-DM3-TR4-LS40-ND30-TTA1-CN_CA21NWNS--STPSo1200x628#upskilling…Imagine Canada and 9 others",2,12,29
Accelerator Centre,@AC_Waterloo,2020-11-25T15:03:34.000Z,"Building the most successful seed-funding grant program in Ontario takes many hands. #ACJumpStart includes extensive financial services support, proudly sponsored by 
@PwC_Canada
. Learn More. 

https://acceleratorcentre.com/spark/pwc",,2,1
