UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
IVCA,@IndianVCA,2020-11-27T09:35:36.000Z,"Live NOW - 'Private Equity and Responsible Investment: An introduction and practical guide' by UN-supported 
@pri_news
 and 
@PwC_IN
. The Webinar is supported by 
@IndianVCA",1,1,8
ETGovernment,@ET_Government,2020-11-27T04:53:24.000Z,"#LiveNow #ETGSCF

Realizing benefits of Integrated Command & Control Centres (ICCCs) during COVID-19 crisis, many Smart Cities in India have processed faster their pending RFPs on war foot to implement ICCCs in their cities. 
@nsnmurty
 
@PwC_IN
Join Now: https://bit.ly/ETGSCF2020PwC India and PwC",,3,3
ETGovernment,@ET_Government,2020-11-27T04:48:45.000Z,"#LiveNow #ETGSCF

Bengaluru’s COVID War Room has become ‘standard digital infrastructure’ for other cities to replicate the model to help cities for unlocking while sustaining the guidelines & protocols. 
@nsnmurty
 @PwC
 @PwC_In
@BLRSmartCity
 
Join Now: https://bit.ly/ETGSCF2020innervoice and 2 others",,2,2
Gaurav Arora,@gauravarora221,2020-11-27T04:46:13.000Z,"Special Overview on Smart Cities by NSN Murty, Partner & Leader - Smart Cities, PwC India on 
@ET_Government
 Global Smart Cities Forum 2020

#ETGSCF 
Register Now: http://bit.ly/30IgH9l
@nsnmurty
 @PwC_IN",,3,
Agrahyah Technologies,@agrahyah,2020-11-27T04:38:54.000Z,"Ashwin Guptha, Associate Director at 
@PwC_IN
 is speaking about Voice for B2B at #VoiceLunchIN.
Join us this Saturday, 28th November at 1 pm.

Register for free: https://bit.ly/2J4oh8V

#VoiceTech #B2B #VoiceFirst #Voice #VoiceLunch #Agrahyah 
@voicelunch",,2,6
The PRI,@PRI_News,2020-11-25T11:26:25.000Z,"Join the PRI and 
@PwC_IN
 this Friday for an introductory online seminar on #responsibleinvestment in private equity, organised for Indian GPs and supported by the Indian Private Equity & Venture Capital Association (IVCA)

More info 
https://brighttalk.com/webcast/17701/454995…The PRI and PwC India",,,3
NASSCOM D & I,@nasscomDnI,2020-11-25T09:52:56.000Z,"Announcing an exclusive #webinar on ‘Growth Mindset To Emerge Stronger’ by our guest speaker Nupur Todi (Leadership Development, Change Consultant & Facilitator, 
@PwC_In
), moderated by Sushma Nataraj (Product Manager,
@Dell
) decoding the essential skills in these dynamic times.ashok pamidi and 3 others",1,,
ET BFSI,@ETBFSI,2020-11-25T09:21:40.000Z,"We are proud to welcome Mr Asim Parashar, Partner-Financial Services, 
@PwC_In
 India as an eminent speaker for 2nd #ETBFSI CXO Conclave, a Virtual Conference on Sustainability Post Pandemic: Encashing Digital |4 December 2020|
Register Now: https://lnkd.in/eAbxY-n
#ETBFSICXO #bfsi",,,
PwC India,@PwC_IN,2020-11-24T14:11:15.000Z,Pulling the future forward: Explore entertainment & media revenue within the prism of a five-year forecast in #PwCOutlook: http://pwc.in/EMOutlook2020,,,
Neha Dewan,@neha_d24,2020-11-24T11:38:15.000Z,"#Covid19 brought back the spotlight on a subject that has been a bone of contention ever since - the relationship between #labour and the #industry. 
@AvantisRegtech
 @rishiagraw
 @cutscitee
 @PwC_IN
 @goldmedalindia
 #BharatiyaMazdoorSangh #pandemicDriving a wedge: How the pandemic increased the trust deficit between labour and industry
With factory units closing, economic activity at a halt, loss of jobs and many struggling to get home, the Covid shock strained relations further between labour and industry.
economictimes.indiatimes.com",,5,4
Realty+,@RPRealtyPlus,2020-11-18T06:12:59.000Z,"Realty+ is delighted to have #Sanjeev_Krishan, Partner & Leader - Deals, 
@PwC_IN
, as part of the #Grand_Jury for the 12th Realty+ Conclave & Excellence #Awards, #NORTH 2020 #Virtual Edition!
#RSVP to attend: https://forms.gle/XHXHUm3YQtecuJbBA…
#RPNorthVirtual #Jury2020 #Winners2020 #DelhiNCR",,,
ASSOCHAM #WearAMask,@ASSOCHAM4India,2020-11-18T05:39:17.000Z,"According to a study by #ASSOCHAM & 
@PwC_IN
, the Indian media & entertainment industry is estimated to touch $52.68 bn by 2022, led by increasing disposable income, rising population & content consumption across formats.Govt Sets Deadline For Digital Media Companies To Comply With 26% FDI Norms
This comes in the backdrop of the government announcing that all digital media platforms, including news media and online curated content providers (OCCPs), would come under the ambit of the inform...
inc42.com",,,3
PwC India,@PwC_IN,2020-11-17T14:36:13.000Z,"With increase in digital adoption and shift in consumer behaviour due to COVID-19, how are entertainment and media companies reconfiguring amid recovery? Explore insights in #PwCOutlook: http://pwc.in/EMOutlook2020",,,2
Mumbai FinTech Hub,@MumFinTechHub,2020-11-17T10:06:37.000Z,"Uday Knowledge Series had its 22nd session on  “Tech-enabled agri-financing for rural Indians” in association with Jai Kisan on 12th November 2020. We thank Mr. 
@AdrielManiego
 , Co-founder at Jai Kisan for an insightful and engaging session. 
@sunitinanda
 @vivekbelgavi
 @PwC_IN",,,3
ETHRWorld,@ETHrWorld,2020-11-17T08:37:30.000Z,"Join 
@Namrata2010
, 
@drreddys
, 
@HKhanduja
, 
@reliancejio
, Padmaja Alaganandan, 
@PwC_IN
, Rajendra Mehta, 
@TheWelspunGroup
 and Saurabh Tandon, BetterPlace this 20th November as they #redefine employee experience on #ETHRHCE!
Register: https://bit.ly/32Utff4",,3,3
