UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Imran Younus,@Imran_A_Younus,2020-11-28T17:12:29.000Z,"It does not count as cheating if I did not buy it 
...thank you 
@PwC_UK
 ...the little things do count ",,,4
Katrina Kersey,@KatrinaTrending,2020-11-28T17:04:33.000Z,"Thankful to have the best employers in the world. This arrived in my post today 
 thank you 
@PwC_UK",1,,20
Karen Oxenham,@KOxenham,2020-11-28T16:49:24.000Z,"Waited until hubby was watching rugby to open my parcels this afternoon as I thought they all contained the Xmas gifts I bought him and needed to sneak away. Lovely surprise to find this gift for me from ⁦
@PwC_UK
⁩ . Thank you ",3,,27
Jennifer Miranda,@jen_s_miranda,2020-11-28T16:32:19.000Z,"Such a lovely surprise! It’s so amazing to be a part of the firm which not only cares about their employees but does a lot of things around our wellbeing. One such great example is here. I love this reminder (and of course the treat that came along with it 
) 
@PwC_UK
 #PwCProud",,,7
Richard Berry,@Bezza210,2020-11-28T15:15:12.000Z,"Nice little surprise in the post today from 
@PwC_UK
 . It’s definitely the thought that counts....and of course the chocolate, definitely the chocolate 
 ",,,3
Adam Warsop,@adampwarsop,2020-11-28T12:00:01.000Z,"Are you ready for the changing customs declarations requirements when bringing goods to or from the EU? Register your interest in 
@PwC_UK
's new customs declarations service and one of our team will be in touch to discuss how we can help: https://pwc.to/2FMNiDI #Brexit",,1,1
Kerry Dale,@Kerryannedale,2020-11-28T11:14:08.000Z,"So after seeing my timeline full of these this week I was very happy to receive mine in the post just now 
 Thank you 
@PwC_UK
. This along with our 
@Headspace
 subscription makes you realise what a great company we work for 
 (my 3 year old is eyeing it up so time to hide it)",1,,15
Farzana Q,@FarzanaQ,2020-11-28T10:05:43.000Z,"The Awesomeness that is 
@PwC_Midlands
 @PwC_UK
  #Wellbeing",,,2
Brian Furness,@FurnessBrian,2020-11-28T10:00:01.000Z,"To effectively manage cyber security in the present day, a different mindset is needed. 
@domdelre
, Cyber Risk Analytics Leader 
@PwC_UK
, outlines what dynamic #CyberRisk management looks like in his latest article https://pwc.to/3ldrPT4 #CyberStrategy",,4,4
Lee Wilkinson,@lee_wilkinson2,2020-11-28T09:54:13.000Z,"#sustainability high on the agenda for #2021 - see the results and more in 
@PwC_UK
 #ETRE21 Quote Tweet
Gareth Lewis
@Gareth_Lewis74
 · Nov 24
Growing numbers of #RealEstate experts & investors think as societies rebuild post pandemic, they must minimise harm to the planet. Nearly 80% say sustainability will be more important to their portfolios in 2021. #ETRE21 shows what it means for the market https://pwc.to/3en8ugs",,,1
JESSICA Garbett,@garbett_jessica,2020-11-27T18:31:44.000Z,"Great to have Jess from the 
@SMBP_UK
 join our 
@PwC_UK
 #SocialMobility Champions call today. I thought this slide was a great take away - we all need to play our part to drive change in this area and it won’t happen overnight #equality #inclusion #diversity",,1,1
Tunji Akintokun MBE,@Tunji_Akintokun,2020-11-27T18:27:18.000Z,"Thank you 
@PwC_UK
 . I did manage to get some 
@Headspace
 today and enjoy a bit of 
@HarrySpecters
 chocolate that arrived in the post 
. #Wellbeing",2,2,37
Erika Andreetta,@eandreetta,2020-11-27T18:06:50.000Z,"With only a few hours of #BlackFriday left, #CyberMonday ready to go and #ChristmasShopping on the horizon, how should retailers respond? Some interesting numbers and insights from 
@PwC_UK
  >> https://pwc.to/2V6emlzPwC Italia and PwC Consulting (Italy)",,,2
