UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Mark Lobel,@mlobel001,2020-11-27T16:58:01.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Steven Purvis,@purvis_sj,2020-11-27T15:52:01.000Z,"How big oil's investment in innovation is aiding in the #energy transition. More from 
@PwCUS
' head of geopolitics, Dr. Crow 
@geopoliticsopp
.Black gold and green energy: How big oil is investing in the energy transition | ORF
As societies around the world make concerted moves to reconstruct and recover in the wake of COVID19, the climate emergency
orfonline.org",,,
PwC US,@PwCUS,2020-11-27T13:30:07.000Z,"In a time of uncertainty, auditors have met the challenges of the #COVID19 health pandemic and economic crisis, successfully maintaining audit quality.Meeting Unprecedented COVID-19 Challenges - Audit In Action
In a time of uncertainty, auditors have met the challenges of the COVID-19 health pandemic and economic crisis, successfully maintaining audit quality. It’s no secret that COVID-19 has been hard on...
auditinaction.org",,,3
PwC US,@PwCUS,2020-11-27T13:08:07.000Z,"With safety protocols in place this year from mask requirements to in-store crowd limitations, find out how retailers are salvaging #BlackFriday.Is it worth leaving your house for Black Friday sales?
A surge in coronavirus cases poses a dilemma for your holiday shopping, but experts have some advice.
cbsnews.com",,1,1
Christian Putnam,@Christian_Put,2020-11-27T11:58:01.000Z,"A 
@PwCUS
 survey found that about 6 in 10 consumers plan to do most of their holiday shopping online this year. For those shopping in-store, there are two safety protocols they want to see:Is it worth leaving your house for Black Friday sales?
A surge in coronavirus cases poses a dilemma for your holiday shopping, but experts have some advice.
cbsnews.com",,,
"Jean-Yves Gonin, CPA",@jeanyvesgonin,2020-11-26T10:08:56.000Z,"Las Vegas’s The Mob Museum builds a unique #mobile experience, letting visitors channel their inner mobster—How to define and execute a strategy that enhances visitor experience pre-, during and post-visit • 
@PwCUS
 @TheMobMuseum
 • #UX #Digital • https://pwc.to/3l8Rqg7",,3,4
PwC US,@PwCUS,2020-11-25T23:00:22.000Z,News of possible effective #vaccines are boosting executives' confidence in their businesses' ability to remain resilient. Learn more: https://pwc.to/32FCmiH,,,7
Bhushan Sethi,@bhushansethi1,2020-11-25T22:09:51.000Z,"Great to contribute to this article from Martin Adams 
@TheEIU
 on how #COVID19 impacts location & workforce strategies, company and employee driven relocation and pay models.  Shared insights from 
@PwCUS
 CHRO pulse & 2021 Trends in Real estate survey https://applied.economist.com/articles/how-companies-use-of-cost-of-living-data-is-changing…",1,,5
PwC US,@PwCUS,2020-11-25T19:30:13.000Z,"From active duty to the office, we salute and support our veterans. https://pwc.cm/tp/rj6-6wy9C-J-K… #LeadersServeHere",,,2
Marc Filer,@Filer_CPA,2020-11-25T18:29:01.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Matthew Childress,@ThewTweet,2020-11-24T18:07:29.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Katie Hurley,@KUHurley,2020-11-24T15:11:45.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Todd Supplee,@tpsupplee,2020-11-24T14:56:01.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The following media includes potentially sensitive content. Change settings
View",,,1
Danny Croghan,@dancroghan,2020-11-24T14:27:02.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
PwC US,@PwCUS,2020-11-23T18:00:36.000Z,Just In | NEW survey uncovers US corporate leaders' top concerns post #Election2020. https://pwc.to/32FCmiH,,4,10
Julie Tucker Legrand,@Off_The_Ground,2020-11-23T17:17:15.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,1,
Adolfo Ramirez FC,@Adolfo_RamirezF,2020-11-23T17:05:01.000Z,"What #accounting issues do TMT companies face? Join 
@PwCUS
 on 12/17 https://pwc.to/32RA29g https://dy.si/uXVXzf",,,
Tracy Sas,@TracySas,2020-11-23T16:51:02.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Matthew Childress,@ThewTweet,2020-11-23T14:11:06.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,1
PwC US,@PwCUS,2020-11-21T13:04:06.000Z,For the retail industry -- COVID-19 is an accelerator for trends that were already in place. Explore how the retail landscape is changing existing space. https://pwc.to/2ItR6ut,,,2
PwC US,@PwCUS,2020-11-21T12:00:09.000Z,"Directors want to ensure the #ESG strategy is grounded in its purpose and strong links to its overall business strategy.Defining the Audit Committee’s Role in ESG Oversight
Defining the Audit Committee’s Role in ESG Oversight
blog.nacdonline.org",,,1
PwC US,@PwCUS,2020-11-20T23:30:15.000Z,President-elect Joe Biden has called for increased scrutiny of data and privacy to address misinformation concerns. Prepare your business for a shift in regulations. https://pwc.to/35fe7um,,1,2
Sindhu Hirani Blume,@SindhuBlume,2020-11-20T19:58:17.000Z,"Don't miss Policy on Demand's Week in Review w Todd Metcalf on Congressional priorities, the economy, plus the question he heard most from companies about prospects for tax changes. 
@jtoddindc
 @janicemays_
 @rokumar1918
 @ScMcCandless
 @PwCTax
 @PwCUSPolicy on Demand's Week in Review: 11/20/20
Learn more at PwC.com - https://www.pwc.com/us/policyondemand Todd Metcalf shares his thoughts on post-Thanksgiving Congressional priorities, the economy, pl...
youtube.com",1,1,
PwC US,@PwCUS,2020-11-20T19:47:00.000Z,Over 1.8 million LGBTQ youth seriously consider suicide each year. Learn how we used BXT to work with @TheTrevorProject and helped strengthen their tech capabilities so that they can help save more lives. https://pwc.to/38ReM7t,,4,3
CEOAction,@CEOAction,2020-11-19T22:05:06.000Z,"In light of the #CEOAction Closed-Door Session today,  Chief Purpose & Inclusion Officer 
@ShannonSchuyler
 of 
@PwCUS
 shares four tips leaders can utilize to build on culture and inclusion within their organizations. Read more in 
@AccountingToday
.Quote Tweet
Shannon Schuyler
@ShannonSchuyler
 · Nov 19
Leading #diversity and #inclusion initiatives in the workplace today brings daily challenges. But, there are a few things that I have learned within the structure of professional services that make sustainable change a reality. @AccountingToday's latest: https://bit.ly/3kGggDG",,1,2
PwC US,@PwCUS,2020-11-19T21:28:10.000Z,"The pandemic has made it feel almost impossible to separate home from work. Here, PwC Assurance Director Talat Mangla shares her working parent's survival guide. https://pwc.to/375YDZp",1,6,15
Austin Morris,@waustinmorris,2020-11-19T21:24:43.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Daniel Frey,@DanielFrey_PWC,2020-11-19T20:28:01.000Z,"How might the business environment evolve for global companies in the US? Register for the 12/16 
@PwCUS
 Inbound webcast: https://bit.ly/365VF6w #FDI https://dy.si/saYwH",,,
Tracy Sas,@TracySas,2020-11-19T19:35:11.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,,
Accounting Today,@AccountingToday,2020-11-19T14:53:22.000Z,"PricewaterhouseCoopers’ U.S. firm 
@PwCUS
 has agreed to acquire the assets of EagleDream Technologies, a digital transformation company based in Fairport, New York, and a member of the Amazon Web Services Partner Network.PwC acquires EagleDream Technologies
The Big Four firm has agreed to acquire the assets of a digital transformation company that's part of the Amazon Web Services Partner Network.
accountingtoday.com",,2,2
PwC US,@PwCUS,2020-11-19T14:31:47.000Z,"How much holiday shopping do you have left to do? 
Check out our Holiday Outlook today: https://pwc.to/36v0SVxAlready finished.
9.7%
Started, but not done.
19.4%
Waiting for Black Friday.
71%
31 votes
·
Final results",,1,1
Ollie Lash-Williams,@OllieLashW,2020-11-19T14:20:17.000Z,"Driving true and lasting transformation requires a ""product mindset"" and an understanding of digital concepts. More from 
@PwCUS
' Chief Products & Technology Officer, 
@J_c_Atkinson
 on key financial skills.The Must-Have Finance Skills of the Future
The financial professional of the future must utilize strategic and critical thinking skills to solve complex problems, leverage new technologies, and manage ever-changing risks.
financialexecutives.org",,1,1
Liz Robinson,@Liz_Robinson__,2020-11-19T14:12:01.000Z,"How might the business environment evolve for global companies in the US? Register for the 12/16 
@PwCUS
 Inbound webcast: https://bit.ly/365VF6w #FDI https://dy.si/qH1WW",,,
