UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Punit Renjen,@PunitRenjen,2020-11-25T15:57:01.000Z,"Excited to be part of #ImpactDay2020 with 
@DeloitteIndia
 this Friday, speaking with students from 
@udayancare
 about my journey from 
@Rotary
 scholarship to Deloitte CEO. https://deloi.tt/366Rt7U",2,4,43
Oukham,@OPhommachanh,2020-11-25T15:43:40.000Z,"Thank you 
@DeloitteUS
. Thank you 
@dhelfrich21
. Consulting has taught me a valuable lesson in listening to people. I never heard a client say thank you for talking to me. They always say thank you for listening.

#wednesdaythought
#WednesdayMotivation
Happy Thanksgiving",,,2
Lara Abrash,@AbrashLara,2020-11-25T13:16:29.000Z,"This #Thanksgiving will look different than years past. I am still looking forward to cooking, watching football, and reflecting on the many things that fill me with gratitude! Wishing everyone, especially my 
@DeloitteUS
 colleagues, a happy Thanksgiving tomorrow!",,,11
David Redhill,@dredhill,2020-11-25T10:11:49.000Z,"Super excited to facilitate this panel of brilliant #marketing experts on Dec 3rd. Join me and 
@ANZ_AU
 CMO Sweta Mehra, 
@Coles
 CMO Lisa Ronson, and 
@Telstra
 CMO Jeremy Nicholas as we explore 2021's Global Marketing Trends. 
Register now: https://deloi.tt/3pUiF1t 
@DeloitteDigital",,,4
BhaMean,@BhaMean,2020-11-25T08:56:16.000Z,"This #ImpactDay is going to be like no other. 2020 has been tough, but that does not stop us from doing our bit. I am excited to make an #ImpactThatMatters #Virtually, are you? 
@DeloitteIndia
 @Deloitte
 
 
#Deloitte #ImpactDay2020  #LifeAtDeloitte #ImpactFromHome #WorldClass #CSR",,1,2
Joseph White,@JosephWhite1955,2020-11-20T16:23:11.000Z,"Still not convinced of fraud 
@Deloitte
? Do your job, put ETHICS BEFORE PROFITS & TAKE A STAND FOR ONCE!
@DeloitteUS
@DeloitteOnTech
$GSX #china #fraud
@NYSE
@SEC_Enforcement
@SEC_Investor_Ed
@CreditSuisseQuote Tweet
Grizzly Research
@ResearchGrizzly
 · Nov 20
Anybody with a little bit of experience in financial statement analysis can see that $GSX numbers seem to be obviously out of whack. We second @WallStCynic 
 opinion: We believe @deloitte
 will do the right thing and not sign the 2020 $GSX audit.
Show this thread",1,1,7
Joseph White,@JosephWhite1955,2020-11-20T16:20:44.000Z,"Still not convinced of fraud 
@Deloitte
? 
@DeloitteUS
 @DeloitteOnTech
 $GSX #china 
@fraud
 @NYSE
 @SEC_Enforcement
 @SEC_Investor_Ed
 @CreditSuisseQuote Tweet
Logic Master is a programming language
@1LogicMaster
 · Nov 20
$GSX wants us to believe that they spent $300m USD on marketing expenses in 3 months. This is more then what Intel spends per quarter.  INTEL!!!!!  AYFKM?  This is a blatant funnel of cash to an insider owned shell company.",,1,4
Doximity,@doximity,2020-11-20T16:00:25.000Z,"We're excited to share Doximity has been included in 
@DeloitteOnTech
 #Fas500 list for the 5th consecutive year! https://bit.ly/35LlDx0Doximity Recognized in Deloitte’s 2020 Technology Fast 500™
Learn about the largest professional network for clinicians on the Doximity Insider. Get an inside look into Doximity, learn about the latest healthcare trends, and read exclusive content by Doximity...
blog.doximity.com",,2,3
Pavan Patil,@pavanpatil_4,2020-11-20T15:29:04.000Z,"For the 5th straight year, we were recognized as one of the fastest-growing companies in 
@DeloitteTMT
's 2020 Technology #Fast500. Thank you to our amazing customers, partners, and team for helping us reach this achievement! Read more here: https://okt.to/dtyDsT
@druvainc",,,
Aditya Shah,@AdityaS62983764,2020-11-20T11:57:08.000Z,"For the 5th straight year, we were recognized as one of the fastest-growing companies in 
@DeloitteTMT
's 2020 Technology #Fast500. Thank you to our amazing customers, partners, and team for helping us reach this achievement! Read more here: https://okt.to/YLwZjG
@druvainc",,,1
