UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Ankit,@SaxenaAnkit123,2020-11-13T20:52:44.000Z,"Blending analytics with human insight, watch how 
@DeloitteOnTech
 and the 
@Anaplan
 connected planning platform break down functional barriers within an organization.How Enterprise Business Planning can transform your business
Enterprise Business Planning is used by large organizations to unify and align planning across all departments including Finance, Supply Chain, R&D / Product...
youtube.com",,,
Mike Bernard,@MichaelDBernard,2020-11-13T20:14:59.000Z,"Blending analytics with human insight, watch how 
@DeloitteOnTech
 and the 
@Anaplan
 connected planning platform break down functional barriers within an organization.How Enterprise Business Planning can transform your business
Enterprise Business Planning is used by large organizations to unify and align planning across all departments including Finance, Supply Chain, R&D / Product...
youtube.com",,,
Martín R. Martinez,@FuturistMartin,2020-11-13T18:38:56.000Z,"Blending analytics with human insight, watch how 
@DeloitteOnTech
 and the 
@Anaplan
 connected planning platform break down functional barriers within an organization.How Enterprise Business Planning can transform your business
Enterprise Business Planning is used by large organizations to unify and align planning across all departments including Finance, Supply Chain, R&D / Product...
youtube.com",,,
Nishant Killedar,@nishantkilledar,2020-11-13T04:42:33.000Z,"Blending analytics with human insight, watch how 
@DeloitteOnTech
 and the 
@Anaplan
 connected planning platform break down functional barriers within an organization.How Enterprise Business Planning can transform your business
Enterprise Business Planning is used by large organizations to unify and align planning across all departments including Finance, Supply Chain, R&D / Product...
youtube.com",,,
Mike Holland,@MHolland_VA,2020-11-09T20:42:21.000Z,"14:33, Chuck, 
@MitreCorp
, 
@Tom
 Davis, 
@DeloitteUS
, moving down ""Regarding Henry"" Trail, 2 Drinks & a Clean Shave to ease the pain, 
@VeteransHealth
 Workout, & fwd w/ my '97 
@TheBushCenter
 #Veteran Transition w/ 
@SenTedCruz
 after a conversation w/ Elders of Preston Hollow & Jim.",,,
FCA Rana Pratap,@caprataprana,2020-10-18T05:12:16.000Z,"Really sad 
 burden on CA’s increasing day by day isn’t ? 
@theicai
 @caclubindiacom
 @CAclubindia
 @casansaar
 @EY_India
 @PwC_IN
 @DeloitteIndia
 @KPMGIndia
 @CAPramodLunawat
 @JainTax
 @shaifalyca
 @MissDelhiCA
 @csraginigupta",,3,12
Mike Holland,@MHolland_VA,2020-10-10T23:07:50.000Z,"18:44, OK, that was brutal?? While 
@DickSaslaw
, Tom Davis, 
@DeloitteUS
, Gen Shelton, 
@Shelton_Center
, 
@MarkWarner
 are doing their thing? Gotta stay the Hebron Contractor & bypass that scene 
@senatemajldr
 & work thru 
@POTUS
 Executive Order for REEs from Coal down to the Palladium.",,1,
Creamie,@Creamie14,2020-09-27T19:11:18.000Z,"I'm honestly pissed and disappointed 
@DeloitteDigital
 @Ebuka
 @BBNaija
. So, those extra votes actually counted?????

Why can't you guys be honest for once?",,,
Donna Goodison,@DGoodison,2020-09-25T23:02:24.000Z,".
@Deloitte
 Consulting ‘Doubling Down’ On $750M 
@AWSCloud
 Business

http://bit.ly/3j5fIHy 
@CRN
 @jbDeloitte
 @DeloitteTMT
 @DeloitteDIGI_US
 #Amazon #AmazonWebServices #Deloitte #tech #technology #technews #cloud #cloudcomputing #Alexa #JEDI #GroundStation #AmazonConnect #SAP #AWSDeloitte Consulting ‘Doubling Down’ On $750M AWS Business
‘The go-to-market globally was around $750 million last year,’ says Jonathan Bauer, Deloitte Consulting’s AWS alliance leader. ‘We have aspirations of doubling and tripling that over the course of...
crn.com",,1,3
Mike Holland,@MHolland_VA,2020-09-24T11:15:31.000Z,"07:07, so glad that, 
@DrewLumpkin
, is supporting these 
@USArmy
 Videos & Modernization Agenda w/ Tom Davis, 
@DeloitteUS
? The faster we can take down the 
@MarkWarner
 Caliphate & move forward w/ the Afghan Peace Process the better, 
@GadeforVirginia
..  
https://youtu.be/FfZbINy3bDg",,,
Christopher B Morgan,@ChristoBMorgan,2020-08-29T00:07:23.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,
Nahmjin Kim,@NahmjinK,2020-08-28T14:39:53.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,
Mike Holland,@MHolland_VA,2020-08-26T12:32:14.000Z,"08:25, a map of your strongholds in 
@TriadBizJournal
, Tom Davis, 
@DeloitteUS
 w/ 
@CharlesGKoch
, Tin Roof Cup, 
@SenatorBerger
, & Jody?? Versus new Supply Chains from Clarksburg down & Charlotte 
@northropgrumman
 up to Hampton Roads. Forward from more unrest in WI, 
@SpeakerRyan
??",,,
Taide Mendoza-Alvarez,@Taidemalvarez,2020-08-25T17:50:03.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,
HRKatha,@HRkatha,2020-08-25T10:22:58.000Z,"Pay increments have been on a downward trend for the past few years and the onset of COVID-19 has further pushed organisations to bite down hard and focus on cost-saving measures. 
@DeloitteIndia
 @Prajjal
 @BoseReetika
 @Abdmas
 @Arindam265What will increments be like in 2020?
Due to the financial crunch, which has hit all sectors, many companies in India have decided to defer increments and bonuses for their employees while keeping regular salaries intact. Only 23 per...
hrkatha.com",,,
Kelly Marchese,@kmarchese,2020-08-21T16:00:00.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,
Hemanth Kumar Reddy,@HemanthGilayi,2020-08-21T15:55:07.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,
Elizabeth Covino,@epcovino,2020-08-21T15:49:41.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,
Chris Dinkel,@chris_dinkel,2020-08-21T15:47:37.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,2
Amanda Hilleary_HC Exp Hire Recruiting,@exp_hc,2020-08-21T15:36:52.000Z,"Did you know that among Americans, 84% want personal control of disinfecting items like grocery carts? Time to double down on humanity—explore this and more insights in 
@DeloitteDigital
’s latest report on #humanexperience.How does the human experience (HX™) change in the face of widespread uncertainty?
We talked with thought leaders, clients, professionals, and interesting people like you to ultimately understand how customer preferences and expectations are shifting in the COVID-19 era.
deloittedigital.com",,,1
Deepthi Siripurapu,@dsiripurapu,2020-07-28T05:31:02.000Z,"How do you measure trust in your organization? 
@DeloitteDigital
 is breaking down their HX TrustID measure in their new report. Check it out now. https://deloi.tt/39xET1q",,,2
Shelley Pfaendler,@Spfaendler,2020-07-27T10:23:38.000Z,"""…an integrity-based event can weaponize the backup capability and ultimately take your systems down,"" per 
@DeloitteRiskFin
 @PeteRenneker
 in a new 
@KarenDSchwartz
 @ITProToday
 article on #cybersecurity aspects of #tech disaster recovery.  Timely during #COVID19.Quote Tweet
ITPro Today
@ITProToday
 · Jul 25
Your disaster recovery plan is probably out of date >> http://ow.ly/4znN50AHDtV",,,3
Taylor Holtmeyer,@taylormarie106,2020-07-15T16:30:40.000Z,"From scope, to measurement, to disclosure requirements, 
@DeloitteAcctg
’s #CECL Roadmap breaks down a range of key considerations for your business.Current Expected Credit Loss (CECL) Implementation Insights
The current expected credit loss (CECL) standard is the most impactful accounting change in years. Deloitte's CECL guidance and insights can help you prepare.
deloitte.com",,,
Pratyay Dasgupta,@PratyayDasgupta,2020-07-14T14:34:52.000Z,"From scope, to measurement, to disclosure requirements, 
@DeloitteAcctg
’s #CECL Roadmap breaks down a range of key considerations for your business.The following media includes potentially sensitive content. Change settings
View",,,
President-Elect Jenny McMaster,@Jenny_Believes,2020-07-04T03:44:47.000Z,"Well at least 
@Deloitte
 @DeloitteUS
 had the common sense to see a troubled individual before actually hiring her sorry a$$ to teach young kids via the internet. Now our educational system needs to rid themselves of those Marxists/Socialists/Liberal Fringes from their ranks, too!Quote Tweet
KatDelT
@KatDelT
 · Jul 3
The law of natural consequences and karma meet. Maybe if she had more of the first growing up, the second would have impacted her in a different way. She got what she deserved.

Harvard Grad Has Meltdown, Lost Dream Job After 'I'ma Stab You' Video https://thegatewaypundit.com/2020/07/not-tough-talking-now-woke-harvard-grad-meltdown-says-lost-job-deloitte-ima-stab-video-went-viral/…",,,
Aves,@uhhvery_,2020-07-02T20:16:24.000Z,"my childhood best friend 
@clurajan
 is trending on twitter because white supremacists got angry over her BLM analogy on tik tok and took away her job offer at 
@DeloitteUS
 (shitty company for complying if u ask me). CHECK THIS OUT! READ THIS! CONSIDER DONATING. #ClairaJanoverQuote Tweet
emily
@_emshenanigans
 · Jul 2
#clairajanover https://gofundme.com/f/the-claira-janover-is-incredible-fund-part-ii?utm_source=facebook&utm_medium=social&utm_campaign=m_pd%20share-sheet&fbclid=IwAR36Hes412k_HmWRs39dcnR0FDiwlhp5Aj7FkXq1PJ9OOdj8CjvyAjRyLNY…
Show this thread",4,2,5
Alexandra Leatherman,@SankThePank,2020-07-02T04:56:29.000Z,"You just fired an employee for supporting BLM and so your claims of support don't match your actions. You have Black people in your pictures on your website but don't support their lives... punish employees for supporting human rights, you coward down to conservatives 
@DeloitteUS",,,
