UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Sugan D Palanee,@SuganPalanee,2020-11-26T14:00:03.000Z,"Wishing our EY family and friends a restful and happy Thanksgiving! 
@EYnews
 #thanksgiving2020 #ey #friendsandfamily",,,2
EY Press UK,@EY_PressUK,2020-11-26T13:21:35.000Z,"""Now, retailers need to look beyond festive deals in order to aim for recovery and a positive start to 2021."" 
@EY_UKI
 #retail partner Silvia Rindone reflects on #BlackFridayWeek and considers how retailers can position themselves for long-term growth:Retailers need to look beyond festive deals in order to aim for recovery and a positive start to...
Silvia Rindone, EY UK & Ireland Retail Partner, says: “Once a big event for the retail industry, the reality is that Black Friday’s significance has diminished. This year, retailers have brought...
ey.com",,1,1
SVP Dallas,@SVPDallas,2020-11-25T18:20:05.000Z,"It's time for a #DJRSpotlight! Dapo Ogunfeitimi (
@EY_US
) is a member of the 2020-2021 Dana Juett Residency Cohort, made possible by the Sapphire Foundation. We caught up with Dapo to find out what he's doing, thinking, learning, and grateful for these days.",,,
ShariYocum-NikiLee,@YocumLeeHRMA,2020-11-25T15:00:29.000Z,"Join today's #webcast, replay for an EMEIA audience, where panelists discuss positive #corporateculture and how to transform #employeeexperience.  Register here: https://lnkd.in/gEwwQCu  
@EYnewsWork reimagined: How to transform employee experience - EMEIA
In this webcast replay for an EMEIA audience, panelists discuss positive corporate culture. Learn more.
ey.com",,,
Janet Truncale,@Janet_Truncale,2020-11-24T20:35:16.000Z,"This year, I am grateful for the warm welcome I’ve received from the entire 
@EY_US
 Financial Services team as I’ve moved into my new role. I am also thankful for my family, who are a constant source of support. Wishing everyone a very happy and relaxing #Thanksgiving!",1,1,17
DenverRescueMission,@denverrescue,2020-11-18T20:13:40.000Z,"Grateful. Thankful. Blessed! 
@EYnews
 , 
@BOKFinancial
 , #BPX and #MountainStatesToyota have been amazing supporters of the #TurkeyDrive this year! 
Join us in thanking them for their support.
#GetGobbled",1,,4
Neha Charnalia,@NehaCharnalia,2020-11-18T16:05:56.000Z,"I didn’t know 
@FareedZakaria
 grew up in India in the 70’s. People who look like me on tv 
Watching the interview with EY 
@EYnews
 Strategic Growth Forum - just excited to be able to attend for the 1st time!

#sgfus #eoyus #ingenuityinaction",,,5
GSDAdvisory,@GSDAdvisory,2020-11-18T16:00:31.000Z,"Excited to join the 
@EYnews
 Strategic Growth conference this week - perfect way to start the day with bold thinking from fellow entrepreneurs #Entrepreneurship #GrowthMindset #marketing",,,
Jayant Krishna,@JayantKrishnaIN,2020-11-18T13:16:07.000Z,"UKIBC-FICCI Indian Union Budget 2021 Roundtable, happy to have moderated 
@PMOIndia
 @UKIBC
 @ficci_india
 @nsitharaman
 @FinMinIndia
 @narendramodi
 @NITIAayog
 @RajivKumar1
 @amitabhk87
 @HCI_London
 @UKinIndia
 @EY_India
 @DeLaRuePlc
  @HSBC_IN
 @JCBIndiaLtd
 @CairnEnergy
 @EssarUK
 @Sportradar",,2,16
David Kadio-Morokro,@dkm_nyc,2020-11-17T20:36:26.000Z,"With fintechs providing customers with innovative options to manage their #financialhealth, incumbents must adapt their strategies to compete. 
@EY_US
 research shows the positive impact of #banks focusing on improved confidence and #wellbeing:Why financial well-being should be integral to banks’ customer strategy
With FinTechs offering customers greater opportunity to manage their financial health, traditional banks should follow suit.
ey.com",,,1
Karyn Twaronite,@KTwaronite_EY,2020-11-11T14:22:52.000Z,"On this US #VeteransDay, & every day, I am grateful for our #Veterans & their loved ones who have made tremendous sacrifices for military service & for the greater good. A special thank you to 
@EY_US
 Veterans & Veterans Network for helping us build a #betterworkingworld.",,,7
The Digital Economist,@econ_digital,2020-11-10T16:28:13.000Z,"THIS WEEK! We are excited to have 
@JeffreySaviano
 of 
@EYnews
 join us for the #SpeakerSeries. Free and open to the public. Register here to grab one of the remaining spots: https://eventbrite.com/e/the-digital-economist-speaker-series-tickets-125973798021…
#blockchain #digital #emergingtech #socialimpact #AI #governance #AI #ML #leadershipArvinder Singh and 9 others",,6,5
Jamila Abston Mayfield,@JamilaAbston,2020-11-10T00:59:46.000Z,"We are excited to host a virtual evening of networking for HBCU students to learn more about 
@EY_US
 and connect with firm leaders and each other. Hope to see you there! Register here: https://lnkd.in/eauQ9kB #ey #hbcu #networking #opportunities",,,
CHAS Metro Chamber,@ChasChamber,2020-11-07T15:08:00.000Z,"Getting excited for next week's SC Leadership Exchange! Thanks to our program sponsors!
@AARPSC
@BanksConst1948
@BrightCoGVL
@ColonialLife
@DCBLOXinc
@EYnews
First National Bank
Hilton Garden Inn Charleston Waterfront/Downtown
Morris Financial Concepts
@OgletreeDeakins
@SAICinc",,,3
Greater KW Chamber Physician Recruitment,@KWPhysicians,2020-11-07T14:30:13.000Z,"Thank you to our gold sponsors for your continued support - we are able to host 25 physicians (virtually) because of our amazing sponsors
@equitablelife
 @Manulife
 @SunLifeCA
 @RHHQualityHomes
 @MCAP
 @Huawei
 @EYnews
 @RLBLLP",,,2
Mary Ellen Iskenderian,@MEIskenderian,2020-10-21T15:08:21.000Z,"""With the right mindset and the right steps forward, we can start building back better and creating long-term resilience for low-income women.” -inspiring intro by 
@Janet_Truncale
. I’m excited for Janet joining us as 
@womensworldbnkg
 Chair and her new role at 
@EY_US
! #MFWW2020",,1,1
Jamie Drogin Lehman,@JLehman1230,2020-10-20T22:55:49.000Z,"Excited for this convo with 
@Verizon
 @hansvestberg
 @usmayors
 @GlblCtzn
 @Dasharyl
 @MichaelDTubbs
 @billpeduto
 @EY_USQuote Tweet
WIBW
@wibw
 · Oct 21
Topeka Mayor Michelle De La Isla will be participating in a national roundtable with the U.S. Conference of Mayors, Verizon and leaders of Global Citizen and EY, as well as other mayors from around the U.S. https://wibw.com/2020/10/20/mayor-michelle-de-la-isla-to-participate-in-national-roundtable-on-eliminating-poverty/…",,,
Ian Sheridan,@SheridanFinTech,2020-10-20T14:31:58.000Z,"Check this out! The Massachusetts #Fintech Working Group just released the 
@EYnews
 Ecosystem Assessment which provides recommendations to further grow FinTech in Massachusetts 
@VestigoVentures
 we are excited to have participated and to share this reportMassachusetts FinTech Ecosystem Assessment | FinTech Sandbox
fintechsandbox.org
e.gv6.co",,,
VestigoVentures,@VestigoVentures,2020-10-20T14:31:58.000Z,"Check this out! The Massachusetts #Fintech Working Group just released the 
@EYnews
 Ecosystem Assessment which provides recommendations to further grow FinTech in Massachusetts 
@VestigoVentures
 we are excited to have participated and to share this reportMassachusetts FinTech Ecosystem Assessment | FinTech Sandbox
fintechsandbox.org
e.gv6.co",,,
WORKTECH Events,@WorktechEvents,2020-10-20T04:45:02.000Z,"We are excited to kick off our first panel discussion of the day! Join Shelley Boland, Managing Director, Regional Head Property 
@StanChart
 (Hong Kong), Jessica Carr, Workplace Director, APAC 
@SodexoGroup
 and Tommy Chan, Asia Pacific Real Estate Design & Project Leader 
@EYnews",,,
Core Scientific,@Core_Scientific,2020-10-12T15:05:26.000Z,"We're excited to welcome Michael Trzupek as 
@Core_Scientific
's new #CFO. Michael will report to #CEO Kevin Turner and be responsible for all financial activities, including yearly 
@EY_US
 #audits. Learn more about Michael: https://hubs.la/H0xLSrV0",,2,4
Nelson Pereira,@cblpnelson,2020-10-12T14:11:03.000Z,"In these difficult times, 
@EY_People
 around the world are committed to creating social impact initiatives that will drive positive change today and tomorrow. #BetterWorkingWorldEY Global FY20 results: Society
Learn more about how we are building a #BetterWorkingWorld in the EY Global Review
ey.smh.re",,,
Tim Henderson,@TimHendersonSL,2020-10-12T14:01:32.000Z,"Postponing UI tax hikes ""keeps employers happy"" but states should consider long term fiscal health: Debera Salam of EY 
@EY_US
 @SalamOnPayroll
 @pewtrusts
 #StatelineStill Slammed by Unemployment, States Try to Avoid Tax Hikes
""It is a big deal for states and businesses.""
pewtrusts.org",,,
Andrea Guerzoni,@A_Guerzoni,2020-10-12T10:00:01.000Z,"Well done, Abbas! Proud to see 
@EYnews
 people around the world creating positive change. #BetterTogether #BetterWorkingWorldQuote Tweet
EY
@EYnews
 · Aug 11
EY people are helping build an even #BetterWorkingWorld.

Abbas M. Vora from @EY_India has delivered essential food items and provided cash assistance to several families through #COVID19. #BetterTogether",,,
GeBBS Healthcare,@gebbshealthcare,2020-10-09T22:07:34.000Z,"Excited to have our CEO and President, Nitin Thakor, recognized among so many inspiring leaders as an 
@EY_US
 Entrepreneur Of The Year® 2020 Greater Los Angeles award winner! #EOYGLA Read More: https://hubs.ly/H0xMl1n0",1,2,7
Ephesoft,@Ephesoft,2020-10-06T14:46:01.000Z,"This evening, Ephesoft is excited to cheer on our Founder and CEO 
@IkeKavas
 as one of 9 impressive finalists in #OrangeCounty for 
@EY_US
's Entrepreneur of the Year awards! No matter the outcome, it's a huge honor and achievement! https://go.ey.com/3nie1Jf #EOYOC",,2,3
