UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
MissHumane,@HumaneMiss,2020-11-17T07:01:30.000Z,"Our #Whistleblowers have been let down by many reputable companies. 
@KPMG
 & 
@EYnews
 
protecting 
@Petronas
 @PET_Motorsports
 @SoccerEngen
 #EngenSA 's fraudQuote Tweet
JvL
@JvanLogg
 · Nov 17
Replying to @chrismayza
Won’t happen in Mzansi in the next 100 years, I’m afraid... 
 Whistleblowers are enemies of the powerful here.",1,,1
James Bennet,@ejbennet100,2020-11-16T14:57:04.000Z,"UK-EU talks are going down to the wire but either outcome equates to inevitable change for business. Join 
@EY_UKI
's 12 Nov #Brexit webcast when we’ll detail the top 10 no-regrets actions still possible and outline common new challenges emergingBrexit: Why businesses cannot afford to wait for deal clarity
Welcome to EY.com In addition to cookies that are strictly necessary to operate this website, we use the following types of cookies to improve your experience and our services: Functional cookies to...
ey.smh.re",,,1
Bob Ward,@BobWardEY,2020-11-16T10:12:53.000Z,"UK-EU talks are going down to the wire but either outcome equates to inevitable change for business. Join 
@EY_UKI
's 12 Nov #Brexit webcast when we’ll detail the top 10 no-regrets actions still possible and outline common new challenges emergingBrexit: Why businesses cannot afford to wait for deal clarity
Welcome to EY.com In addition to cookies that are strictly necessary to operate this website, we use the following types of cookies to improve your experience and our services: Functional cookies to...
ey.smh.re",,,
Alexander Reiter,@alex_l_reiter,2020-11-16T10:02:22.000Z,"UK-EU talks are going down to the wire but either outcome equates to inevitable change for business. Join 
@EY_UKI
's 12 Nov #Brexit webcast when we’ll detail the top 10 no-regrets actions still possible and outline common new challenges emergingBrexit: Why businesses cannot afford to wait for deal clarity
Welcome to EY.com In addition to cookies that are strictly necessary to operate this website, we use the following types of cookies to improve your experience and our services: Functional cookies to...
ey.smh.re",,,
Richard Goold,@GooldRichard,2020-11-12T12:19:11.000Z,"UK-EU talks are going down to the wire but either outcome equates to inevitable change for business. Join 
@EY_UKI
's 12 Nov #Brexit webcast when we’ll detail the top 10 no-regrets actions still possible and outline common new challenges emergingBrexit: Why businesses cannot afford to wait for deal clarity
Welcome to EY.com In addition to cookies that are strictly necessary to operate this website, we use the following types of cookies to improve your experience and our services: Functional cookies to...
ey.smh.re",1,2,1
Kate Barton,@KateBartonEY,2020-10-28T14:15:00.000Z,"With less than a week away from the US election, our 
@EY_US
 team breaks down what control of the senate could look like for either party and how #tax issues are part of the current impasse on #COVID19 relief: http://spr.ly/6015GCnD1 #FutureOfTaxCongress returns with election on the horizon
Coronavirus and government funding are among the areas of focus, and outcomes will ripple to the elections and beyond.
ey.com",,3,1
GAN,@GANConnect,2020-10-27T20:35:04.000Z,"One of 
@tampabaywave
's startups is 
@neuroflowlive
, which breaks down barriers to ensure critical behavioral health resources are accessible & available—more important than ever in these times. Their CEO was awarded 
@EYnews
' Entrepreneur of the Year! https://neuroflow.com",,,1
Citi,@Citi,2020-10-20T23:00:00.000Z,"Citi's CMO, Carla Hassan (
@chassan
) sat down with Janet Balis of 
@EY_Consulting
 to discuss the digital acceleration, innovation, and the collaboration brought on by COVID-19. Hear which elements she thinks are here to stay:EY BrandVoice: EY & Citi On The Importance Of Resilience And Innovation
EY Customer & Growth Market Leader and CMO Practice Leader, Janet Balis sits down with Citi's Chief Marketing Officer, Carla Hassan to discuss the digital acceleration, innovation, and company...
forbes.com",3,3,12
FCA Rana Pratap,@caprataprana,2020-10-18T05:12:16.000Z,"Really sad 
 burden on CA’s increasing day by day isn’t ? 
@theicai
 @caclubindiacom
 @CAclubindia
 @casansaar
 @EY_India
 @PwC_IN
 @DeloitteIndia
 @KPMGIndia
 @CAPramodLunawat
 @JainTax
 @shaifalyca
 @MissDelhiCA
 @csraginigupta",,3,12
BattleToad,@Battletoad88,2020-10-17T04:51:27.000Z,"What do you think will go down as the biggest auditing failure of 2020?
@thestinkmarket
 @WallStCynic
 @wallstreetbets
 @litcapital
 @RampCapitalLLC
 @zerohedge
@AP
 @WSJ
 @FT
 @BBCWorld
 @business
 @Reuters
 @AJENews
 @nytimes
 @RealVision
 @FD
 @jingyanghk
@Deloitte
 @KPMG
 @EYnews
 @PwCWirecard
19%
Luckin Coffee
9.5%
Nikola
0%
GSX Techedu
71.4%
21 votes
·
Final results",1,,1
Emily Fox,@Recruiter_Emily,2020-09-14T18:31:16.000Z,"Workshops starting today! Millions of you have had your working lives or education put on hold or turned upside down by the COVID-19 pandemic. No matter who you are, or where you’re from, 
@EYnews
 recruiters are here to help #JobSearch #CareerAdviceRebuild your working world
Over two weeks, from 14 September – 25 September, EY recruiters will be sharing resources and running live workshops to help you rebuild your working world. We’ll be helping you in four crucial...
eyglobalrecruitment.smh.re",,,
ShariYocum-NikiLee,@YocumLeeHRMA,2020-09-14T13:22:54.000Z,"Tomorrow at 8am PT, panelists from 
@EYnews
 will discuss the latest developments, share market insights, and break down pertinent issues to consider in managing the challenges and embracing the opportunities. #newnormal #transformation #workfromanywhereWork from anywhere: How to manage implications of workforce transformation
In this webcast, panelists discuss the latest developments, share market insights, and break down pertinent issues to consider in managing the challenges and embracing the opportunities. Learn more.
ey.com",,,1
Brian L May,@bmaysfx,2020-09-10T15:31:08.000Z,"Individual potential shouldn't never be determined by race or skin color. Our #EYAccessNetwork is breaking down barriers for Black and Latinx entrepreneurs. Check out our amazing program & apply here or nominate an entrepreneur to participate: https://go.ey.com/3hd1kMs 
@EY_US",,1,1
Keith Leventhal,@KeithLeventhal,2020-09-10T03:24:42.000Z,"Definitely included this sentence in a cover letter last week...so I’m pretty sure I know why they’re not calling. 

Sorry 
@EY_US
...my bad. 

#NeedToRereadBetter #GoodWriter #ReallyGoodWriter",,,
Fifth Wall,@fifthwallvc,2020-09-09T20:38:41.000Z,"Now playing on Fly on the Wall: Mark Grinis, a Global Real Estate, Hospitality & Construction Leader for 
@EYnews
 sits down with 
@BrendanFWallace
 to discuss how organizations can optimize office spaces to maximize both value and productivity. https://youtu.be/RBEv5WweUsU",,1,3
