UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Emma Reilly,@jalcm,2020-11-24T12:20:54.000Z,"So proud to be part of this programme and its success is down to an amazing community of stakeholders 
@EarlyChildhdIRL
 @Rotary
 @TallaghtLibrary
 @HSELive
 @ShamrockRovers
 @ESBNetworks
 @Postvox
 @twcdi
 @tusla
 @KPMGQuote Tweet
CDI
@twcdi
 · Nov 24
#DollysLibraryIreland 
#ImaginationLibraryIreland 
#helpbygiving

@youngknockABC
Show this thread",,,4
Dr. Steph Lamont-Friedrich,@lamsj005,2020-11-23T05:20:46.000Z,"So excited to announce that I've accepted a Senior Advisor role for 
@kpmgaustralia
 in their national Enterprise, Accelerating Business Growth team! Thank you to everyone who has helped me get here, and thank you 
@KPMG
 for welcoming me to the #KPMG family! ",7,,24
CareersHGAED,@CareersHgaed,2020-11-20T17:48:18.000Z,"Super excited about our new business partnership found by our 
@ReedPartnership
 Enterprise advisor. We had such a fantastic working relationship with 
@KPMG
 previously and are looking forward to making further business links. 
#BrightFuture #Careers",,,
Kyle,@monkky84,2020-11-20T13:59:01.000Z,"Happy to see over 200 people in attendance at today's panel discussion about Trans experiences on transport, some great ideas discussed to make things better. Thanks to the team at 
@kpmguk
 Breathe and 
@dft
 #TDoR2020",,,1
"DMS, IIT Delhi",@DMSIITD,2020-11-20T11:34:00.000Z,"We are geared up to 'generate ideas' that would change the world. DMS, IIT Delhi is excited to be part of the #KPMG Ideation Challenge(KIC) 2021!

Students at DMS are eagerly waiting to face the #challenge and #Ideate!!
@iitdelhi
 @KPMG
 @KPMGIndia
#dmsiitd #iitdelhi #Dare2Compete",3,1,14
Lisa Lowman Herndon,@LisaALowman,2020-11-16T18:36:03.000Z,"Excited to welcome 
@ElenaRichards_
 as 
@KPMG_US
’ new Chief #Diversity & #Inclusion Officer! https://bit.ly/3nsjGM8",,,
Asa Cusack,@AsaCusack,2020-11-16T18:12:46.000Z,"There is a special place in hell for the Big Four. Private armies of self-satisfied enablers too weak to admit their evildoing even to themselves...

""
@KPMG
 ‘helped’ buyout fund dump £100m Silentnight pensions liabilities"" https://ft.com/content/c4724b6b-e1cf-4625-87f7-25150701ef8b… via 
@financialtimesKPMG ‘helped’ buyout fund dump £100m Silentnight pensions liabilities
UK accounting watchdog alleges conflict of interest in arranging sale of bedmaker to HIG
ft.com",,,
allyjackson,@allyjackson,2020-11-16T16:12:20.000Z,"I'm excited to welcome 
@ElenaRichards_
 as 
@KPMG_US
’ new Chief #Diversity & #Inclusion Officer! #kpmgproud #accelerate2025 https://bit.ly/32OQuXS",,2,1
Mentesnot Andarge,@MentesnotAndar1,2020-11-16T15:45:27.000Z,"I’ve just completed the 
@KPMG
 Virtual Internship and earned my certificate of completion. Thanks 
@Forage
 for the chance to learn what it’s really like to try out work 
@KPMG
 - this has been an amazing way to kickstart my career.",,,
WeAreTechWomen,@WATC_WeAreTech,2020-11-16T08:08:51.000Z,"Congratulations Alina Timofeeva 
@KPMG
, Heather Black 
@HeatherJBlack
 @SupermumsGlobal
, Carmel Britto 
@Carmel_Britto
 @LPFKiddiesClub
, Sukhi Jutla 
@SukhiJutla
 @Market_Orders
, Yasmin Curren 
@YagmanX
 @CAGames
 for being part of our amazing #TechWomen100 award winners 2020! ",3,8,33
