UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Peter,@Peter_Dumkwu,2020-11-20T06:05:35.000Z,"U see eh.  companies that does this in Nigeria
@KPMG
 
@Deloitte
 
@EY
All banks in Nigeria
 Just to mention some..
It's the most inconsiderate and evil thing that they do...And this has killed the dreams of so many graduates..
Very sadQuote Tweet
Bsa Bsika
@SayoIroko
 · Nov 19
People waste their 20s in Universities in Nigeria because of ASUU strikes etc. Then they graduate and these top companies are putting an age limit for applicants.",,,1
Anthony Castellanos,@acastMedia,2020-11-17T18:50:07.000Z,"Do you have the same influence as your CIO peers? Join 
@KPMG_US
 and a panel of Texas CIO’s to break down the Harvey Nash/KPMG survey. Email carmenmillet@kpmg.com for an invitation. #CIOsurvey #KPMGHouston #KPMG https://bit.ly/3kCnLLP",,,1
MissHumane,@HumaneMiss,2020-11-17T07:01:30.000Z,"Our #Whistleblowers have been let down by many reputable companies. 
@KPMG
 & 
@EYnews
 
protecting 
@Petronas
 @PET_Motorsports
 @SoccerEngen
 #EngenSA 's fraudQuote Tweet
JvL
@JvanLogg
 · Nov 17
Replying to @chrismayza
Won’t happen in Mzansi in the next 100 years, I’m afraid... 
 Whistleblowers are enemies of the powerful here.",1,,1
Joe Bailitz,@JoeBailitz,2020-11-16T18:06:03.000Z,"What is Environment, Social and Governance (ESG)? A newly released 
@KPMG_US
 brochure breaks down #ESG and highlights the valuable role auditors play, along with the KPMG approach. Learn more. #KPMG #Audit #Assurance #Sustainability https://bit.ly/3f4NwmN",,,
Patchwork Foundation,@UKPatchwork,2020-11-15T16:00:10.000Z,"Continuing our trip down memory lane, 
@AlanMakMP
 was our 2018 Newcomer Conservative Award Winner!

Join us for our 2021 #MPoftheYearAwards Ceremony on December 2nd. Register today - https://buff.ly/351KkoS

Sponsored by 
@kpmguk",54,3,1
Allen Yuhas,@AllenYuhas,2020-11-12T14:02:04.000Z,"Do you have the same influence as your CIO peers? Join 
@KPMG_US
 and a panel of Texas CIO’s to break down the Harvey Nash/KPMG survey. Email carmenmillet@kpmg.com for an invitation. #CIOsurvey #KPMGHouston #KPMG https://bit.ly/38w9ePw",,,
Rob Breakiron,@robbreakiron,2020-11-12T13:31:04.000Z,"Do you have the same influence as your CIO peers? Join 
@KPMG_US
 and a panel of Texas CIO’s to break down the Harvey Nash/KPMG survey. Email carmenmillet@kpmg.com for an invitation. #CIOsurvey #KPMGHouston #KPMG https://bit.ly/3nhTVOC",,,
Chris Broyles,@cbroyles,2020-11-12T12:54:08.000Z,"Do you have the same influence as your CIO peers? Join 
@KPMG_US
 and a panel of Texas CIO’s to break down the Harvey Nash/KPMG survey. Email carmenmillet@kpmg.com for an invitation. #CIOsurvey #KPMGHouston #KPMG https://bit.ly/36oqaVq",,,
The Lawyer Events,@TheLawyerevents,2020-11-12T09:14:47.000Z,"Client engagement in a changing world – How is the BD & Marketing function evolving?

Should changes come from the top down, outside in or a blend of both?

Nicola Brooks 
@KPMG
 
Jason Piro 
@WhiteCase
 
Michelle Holford 
@slaughterandmay
 
Jeremy Ford 
@SkaddenArps
 

#MLSummit20",,1,2
Anil Balla,@anilballa,2020-11-12T04:13:44.000Z,"Do you have the same influence as your CIO peers? Join 
@KPMG_US
 and a panel of Texas CIO’s to break down the Harvey Nash/KPMG survey. Email carmenmillet@kpmg.com for an invitation. #CIOsurvey #KPMGHouston #KPMG https://bit.ly/2Ik0fX6",,,
