UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Jadene Bonfield (PwC),@BonfieldJadene,2020-11-27T16:58:24.000Z,"What a lovely thing to receive in the post! Proper made my day. It's amazing how something so simple, can really cheer you up. Thank you 
@PwC_UK",,1,11
Profimetrics,@profimetrics,2020-11-27T12:50:58.000Z,"Happy Black Friday!! Learn more about this special day that opens the retail holiday season on this article from 
@PwC_UK
!

#blackfriday #retail #holidayseason #pricingoptimizationQuote Tweet
PwC UK
@PwC_UK
 · Nov 27
As many stores remain closed due to COVID-19, what will #BlackFriday look like this year? In this podcast, @PaulLenarduzzi chats to experts Jac Windsor and @LisaJ_Hooker about how retailers can approach the festive period with confidence. #GoldenQuarter pwc.to/371rC0c",,,
Michelle Beardwood,@Mitchbwd,2020-11-27T12:37:10.000Z,"What a nice surprise from our #wellbeing team 
@PwC_UK
 certainly put a smile on my face and will definitely put a pound on the hips when I’ve eaten it later 
 which means I also get some fresh air to walk it off 
. Grateful for the lovely gesture 
@LauraHintonPwC",,,7
Evie_PwC,@EviePwc,2020-11-27T12:00:03.000Z,"Digital #marketplaces have been a topic of consistent interest to investors and the resulting shift towards more digital interaction strengthens the positive growth trajectory for the operators. Read more in our latest 
@PwC_UK
 insight: https://pwc.to/361D9MA #PwCTMT #PwCOutlook",,,
Maria Jennings,@MJennings1976,2020-11-27T10:16:33.000Z,"Thank you 
@KevinJDEllis
 and 
@PwC_UK
. What a lovely touch. Can't wait to try my 
@HarrySpecters
 choc gift that arrived today. A wonderful social enterprise that creates amazing chocolate but also employment opportunities for autistic young people. Happy Friday! #PwCproud",,2,36
Rachel Kelly,@RachelKelly_3,2020-11-26T17:04:48.000Z,"Amazing news! #PwC wins best #B2BAwards #marketing Team of the Year! Such a privilege to be part of such an amazing 
@PwC_UK
 Sales and Marketing team #PwCProud",,2,18
Graham Smith,@GrahamS73663392,2020-11-26T17:00:22.000Z,"Fantastic to win best B2B marketing team of the year!! Such a privilege to be part of such an amazing 
@PwC_UK
 Sales and Marketing team #PwCProud #B2Bawards",,,10
Gill Hemming,@Gill_PwC,2020-11-26T16:59:51.000Z,"B2B Marketing Team of the Year 2020!!! Could not be prouder to be part of this amazing team of brilliant and talenting people! #B2BAwards 
@PwC_UKMaria Jennings and 9 others",4,6,46
Jessica Houston,@JessHous,2020-11-26T16:55:14.000Z,"Very excited to be hosting a virtual table for the #B2BAwards today! #PwCProud of our amazing 
@PwC_UK
 marketing team for getting shortlisted for not one, but five categories! AND WE WON TEAM OF THE YEAR!!!! Katrina Kersey and 6 others",1,,26
Amit Champaneri,@AmitChampaneri1,2020-11-26T16:36:04.000Z,"Good luck to our amazing 
@PwC_UK
 #Marketing team this evening who are nominated in 5 categories at the 
@MarketingB2B
 #B2BAwards! Beyond #PwCProud!Quote Tweet
Rob McCargow
@RobMcCargow
 · Nov 26
#PwCProud to be supporting our brilliant @PwC_UK Marketing Team who are nominated in 5 categories at this evening’s @MarketingB2B #B2BAwards 
Show this thread",,,5
