UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
The Strategy Maestro,@StrategyMaestro,2020-11-19T08:01:55.000Z,"RT stratandbiz ""RT 
@PwC
: 1 in 3 students around the world was unable to access remote learning when COVID-19 shut down schools. That’s 1 in 3 too many. The time for bold action is now. https://pwc.to/2IImDJe 
@UNICEF
 @_GenUnlimited
 #NewWorldNewSkills #Y… """,,,
vickymakhija,@vicky_makhija,2020-11-18T15:47:29.000Z,"strategyand: RT 
@PwC
: 1 in 3 students around the world was unable to access remote learning when COVID-19 shut down schools. That’s 1 in 3 too many. The time for bold action is now. https://pwc.to/2IImDJe 
@UNICEF
 @_GenUnlimited
 #NewWorldNewSkills #Yout…",,,
Jikku Varghese Jacob,@Jikkuvarghese,2020-11-17T05:31:26.000Z,"Govt not to extend the contract of 
@PwC
 in KFON project in the light of Swapna Suresh's appointment controversy.",,1,1
Gemma Goldfingle,@gemmagoldfingle,2020-11-13T11:01:58.000Z,"Interesting data from 
@PwC_UK
. Lockdown has scuppered Black Friday with just 38% of shoppers interested in making purchases, compared to 51% pre-lockdown.

PwC now predicts Black Friday spend will be down 20% this year. Pre-lockdown predictions - up 8%.Data: Lockdown to scupper Black Friday bonanza – but all is not lost
Lockdown has put the dampeners on a Black Friday sales surge with consumers expected to spend 20% less during the discounting event this year, according to PwC.
retail-week.com",1,6,3
#JudicialReview|#PayMakate,@NewSheriffInTo1,2020-11-12T05:52:29.000Z,"USELESS 
@IRBA_
 that has no power and no authority to discipline the ""BugFour"" that thing must just close down! They always fail to carry their basic mandate! What happened to the Investigation that #Makate initiated against 
@PwC
 on 
@Vodacom
 shenanigans?Unaccountable #19: IRBA – soft-touch audit regulator in turmoil
It has often appeared that the desire of the regulatory board for auditors to protect its members overshadows its responsibility to inform the public about dodgy auditors.
dailymaverick.co.za",,6,4
Suzi Woolfson,@SuziLDavis,2020-11-03T19:26:18.000Z,"UK #government and #industry recognises the significant contribution that #aerospace & #defence makes from its talent to advanced engineering capabilities, but industry must double down to compete in future says 
@PwC_UKUK is top European nation for Aerospace and Defence manufacturing attractiveness - PwC report
A new PwC report that assesses the attractiveness of aerospace manufacturing investments globally has ranked the UK 7th out of 100 countries - but challenges prevail according to Roland Sonnenberg,...
pwc.co.uk",,,
Kathleen Delano,@kdelano001,2020-11-01T13:46:38.000Z,"Lady 
@LindseyGrahamSC
 needs to lie down in a corner, per my 90-year-old mother. Follow traditional family structure? My husband died. Left no $. I was a National Director 
@PwC
 @Deloitte
 and #BigLaw. I put my son through college. He has a great job. I’m a CEO. Up yours, Lindsey.Quote Tweet
Charlotte Clymer
@cmclymer
 · Nov 1
Today, Lindsay Graham told women there's a place for them in America if they embrace their religion and follow ""traditional family structure"".

Are y'all tired of this nonsense? All women are valid. All families are valid.

Make calls for @harrisonjaime: https://bit.ly/2HRwIDK
0:30
2.1M views",4,2,13
ETI,@ethicaltrade,2020-10-21T11:23:49.000Z,"As 
@PwC
 steps down as 
@boohoo
 auditor we revisit our recent blog from 
@martinbuttle
 @ShareAction
 advising #investors to ""look beyond the glib optimism of the Levitt report and hold #boohoo execs properly to account"" https://bit.ly/3iljNpW #fastfashion #workers #leicester",2,3,2
FCA Rana Pratap,@caprataprana,2020-10-18T05:12:16.000Z,"Really sad 
 burden on CA’s increasing day by day isn’t ? 
@theicai
 @caclubindiacom
 @CAclubindia
 @casansaar
 @EY_India
 @PwC_IN
 @DeloitteIndia
 @KPMGIndia
 @CAPramodLunawat
 @JainTax
 @shaifalyca
 @MissDelhiCA
 @csraginigupta",,3,12
BattleToad,@Battletoad88,2020-10-17T04:51:27.000Z,"What do you think will go down as the biggest auditing failure of 2020?
@thestinkmarket
 @WallStCynic
 @wallstreetbets
 @litcapital
 @RampCapitalLLC
 @zerohedge
@AP
 @WSJ
 @FT
 @BBCWorld
 @business
 @Reuters
 @AJENews
 @nytimes
 @RealVision
 @FD
 @jingyanghk
@Deloitte
 @KPMG
 @EYnews
 @PwCWirecard
19%
Luckin Coffee
9.5%
Nikola
0%
GSX Techedu
71.4%
21 votes
·
Final results",1,,1
