UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Internships-SA,@InternshipsSA,2020-11-03T06:41:45.000Z,"Deloitte IT and Specialised Assurance Graduate Programme 2020Deloitte IT and Specialised Assurance Graduate Programme 2020
The Deloitte IT and Specialised Assurance Graduate Programme is structured over a two year contract where you will be upskilled to serv...
internships-sa.co.za",,1,
Chey Parker,@iamCheyParker,2020-11-02T13:39:20.000Z,"Where the experienced marketers at? 
 I’m looking for 3 seasoned professionals to join my team within the Audit & Assurance practice at the Deloitte US Firms. DM me if interested. (Manager level experience and above).",,12,2
Consulting Show,@ConsultingShow,2020-10-29T21:05:32.000Z,"Auditing Services Providers Market including top key players Healy Consultants, ComplyTraq, Ernst & Young, Audit Services, Baker Tilly, KPMG, AcctTwo, Deloitte, Audit & Assurance Services - PRnews Leader http://dlvr.it/Rkc6mf",,,
Deloitte Mauritius,@Deloitte_MU,2020-10-28T07:41:09.000Z,Explore new opportunities with the open positions for graduates and experience professionals in Audit and Assurance. Submit your CV and motivation letter to mucareers@deloitte.com latest by 13 November 2020 #Deloittecareers #ImpactThatMatters #Mauritius,,,
FEI (Financial Executives International),@FEInews,2020-10-27T21:00:32.000Z,"In this article, Lara Abrash, CEO of 
@Deloitte
’s US Audit & Assurance business discusses her personal journey around diversity, equity, and inclusion in the workplace and offers today’s leaders three key actions to turn aspirations into reality.https://bit.ly/2HyGEl3 
@AbrashLaraAct Now: Championing Diversity, Equity, and Inclusion
During social and economic uncertainty we should all be even more focused on DEI.
financialexecutives.org",,3,3
USDBeacom,@USDBeacom,2020-10-16T14:55:05.000Z,"This week’s #BusinessYoteoftheWeek is Emily Kraemer!

Emily is a junior Accounting & Finance double major from Arlington, NE. Emily has accepted an Audit and Assurance Internship with Deloitte for the summer of 2021.",,,1
Fasset_sa,@fasset_sa,2020-10-16T09:57:09.000Z,"Deloitte is a leading global provider of audit and assurance, consulting, financial advisory, risk advisory, tax, and related services. Discover the different avenues to get your foot into the door through their student initiatives: https://www2.deloitte.com/za/en/careers/students.html?icid=top_students…",,1,3
Harikrishna Kallem,@hari_kallem,2020-10-13T05:30:41.000Z,"How can #risk leadership inform and empower every stakeholder across assurance, compliance, and risk management? Read Deloitte’s new report and move on all fronts at once.Risk Excellence: Connect. Modernize. Digitize.
Learn how organizations achieve risk excellence, build resilience, & generate higher-quality assurance at a lower cost by adopting a CMD (Connect, Modernize, Digitize) approach.
deloitte.com",,1,3
AccountancyToday,@AccountsTodayUK,2020-10-08T08:59:04.000Z,"Deloitte appoints new Audit & Assurance leadershipDeloitte appoints new audit & assurance leadership
Deloitte has appointed Paul Stephenson and Nikki Mitchell to the firm’s audit and assurance team as UK and North and South Europe (NSE) managing partners, respectively.  The duo will take over from...
accountancytoday.co.uk",,,
Deloitte UK,@DeloitteUK,2020-10-07T16:44:38.000Z,"Deloitte announces new Audit & Assurance leadership with the appointments of Paul Stephenson and Nikki MitchellDeloitte announces new Audit & Assurance leadership
Deloitte today announces the appointment of Paul Stephenson and Nikki Mitchell to the roles of UK and North and South Europe (NSE) Managing Partner for Audit & Assurance respectively.
deloitte.com",,1,2
