UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Galen D. W████,@galendw,2020-11-13T22:57:33.000Z,"-Deloitte
-Raytheon
-A McLean, VA-based IT consultancy you’ve never heard of but actually runs the processes for Medicare.Quote Tweet
David Nir
@DavidNir
 · Nov 13
What are the three branches of government? Wrong answers only twitter.com/IanSams/status…",,,2
Accountancy Daily,@accountancylive,2020-11-13T09:28:02.000Z,"#Deloitte acquires the business and assets of #pension scheme administration and actuarial consultancy arm of Kerr Henderson Group https://shar.es/aomyBb via 
@accountancylive",1,,
Noteworthy,@noteworthy_ie,2020-11-13T07:45:00.000Z,"Over €13 million was allocated to ‘consultancy services, value for money and policy reviews’ across Departments in Budget 2020. The Big Four firms - PwC, KPMG, Deloitte and EY - account for much of this spend. We want to find out just how much:FOUR IN THE BED: How much are the Big Four consultancy firms profiting from public money?
Concerns have been raised on numerous occasions about the vast amount of public money spent on consultancy firms in Ireland, with over €13 million allocated to ‘consultancy services, value for money...
noteworthy.ie",,1,1
James Carrier,@jgcarrier,2020-11-12T17:15:16.000Z,"This smells about right to me -  ""Out of over 86,000 blockchain projects that had been launched, 92% had been abandoned by the end of 2017, according to consultancy firm Deloitte. ""Blockchain, the amazing solution for almost nothing
Blockchain technology is going to change everything: the shipping industry, the financial system, government … in fact, what won’t it change? But enthusiasm for it mainly stems from a lack of...
thecorrespondent.com",,3,3
G16 COVID-19 Testing,@testcorona,2020-11-12T17:00:13.000Z,"Management consultancy Deloitte has defended earning £38.8m for services relating to the government’s coronavirus ‘test and trace’ system.
#coronavirus #Corona #COVID19 #Covid19UK #Deloitte #coronavirusuk #coronavirustestingDeloitte defends £38.8m test and trace reward - CityAM
Deloitte has defended its role in earning £38.8m for services relating to the government’s coronavirus 'test and trace’ system.
cityam.com",,,
Afshin Rattansi,@afshinrattansi,2020-11-08T19:22:35.000Z,"Nothing to see here about a coronavirus UK consultancy and a £1bn lawsuit 
""Between 2016 and 2020, Britain spent £2.6 billion on just eight consultancies - including 
@KPMG
, 
@McKinsey
, 
@Deloitte
 and 
 EY""",2,42,60
nobu,@_Hypatiah,2020-11-08T16:06:57.000Z,"Yikes 
 

A website created for global consultancy Deloitte to quiz people on knowledge of hacking tactics has proven itself vulnerable to hacking.

#CyberSecurity #infosecDeloitte's 'Test your Hacker IQ' site fails itself after exposing database user name, password in...
Security quiz site created by advisors includes inadvertent bonus round
theregister.com",,4,4
"Kate
M©",@Kate3015,2020-11-07T21:37:33.000Z,"Johnson wants a 'Crown Consultancy' to stem private sector spending spree. You can see why he does. Between 2016 & 2020, Britain spent £2.6BILLION on just eight consultancies. including KPMG, McKinsey, Deloitte & EY. That’s over $4.7BILLION Aussie Johnson wants a 'Crown Consultancy' to stem private sector spending spree
The London Economic | Between 2016 and 2020, Britain spent £2.6 billion on just eight consultancies - including McKinsey, Deloitte and EY | Politics
thelondoneconomic.com",,,
Devonshire and Meads,@devonshiremeads,2020-11-07T08:51:30.000Z,"Boris Johnson’s government is secretly planing to create an in-house consultancy arm – dubbed ‘Crown Consultancy’ – in an attempt to cut its reliance on expensive private sector firms like Deloitte, reports suggest.Johnson wants a ‘Crown Consultancy’ to stem private sector spending spree
Boris Johnson’s government is secretly planing to create an in-house consultancy arm – dubbed ‘Crown Consultancy’ – in an attempt to cut its reliance
devonshireandmeads.com",,,
Leon Fernando Del Canto,@LeonFDelCanto,2020-11-07T05:37:26.000Z,"The UK spent a total of £2.6bn between 2016 and 2020 on consultancy firms PwC, KPMG, Deloitte, and EY; US advisory giants McKinsey, Bain, and Boston Consulting Group; and UK group PA Consulting. A civil servants’ “Crown Consultancy” is being proposed.No 10 explores ‘Crown Consultancy’ to stem billions going to private firms
Unit would bring together UK graduates and civil servants to advise on implementing goverment policy
ft.com",1,,1
Slick Citations,@SlickCitations,2020-11-02T11:05:53.000Z,"Climate: ""Australia’s economy will be 6% smaller, there will be 880,000 fewer jobs and $3.4tn in economic opportunities will be lost if the climate crisis goes unchecked for the next 50 years, a report [by consultancy Deloitte Access Economics] says.""
- Adam Morton, The Guardian",,,1
John Englart EAM,@takvera,2020-11-02T01:24:34.000Z,"Analysis by consultancy Deloitte Access Economics found policies consistent with a target of net zero emissions by 2050 and keeping global warming to 1.5C could expand the economy by 2.6%, or $680bn to the economy, and create 250,000 jobs. #AuspolLack of climate action over 50 years will cost Australian economy $3.4tn and 880,000 jobs – report
If policies promoting net zero emissions by 2050 are adopted 250,000 jobs would be created and $680bn added to the economy
theguardian.com",,5,7
Paul Glasziou,@PaulGlasziou,2020-11-01T20:57:47.000Z,"Lack of climate action over 50 years will cost Australian economy $3.4tn and 880,000 jobs – analysis by consultancy Deloitte Access EconomicsLack of climate action over 50 years will cost Australian economy $3.4tn and 880,000 jobs – report
If policies promoting net zero emissions by 2050 are adopted 250,000 jobs would be created and $680bn added to the economy
theguardian.com",1,2,5
"Marco Kinney
#JohnsonMustGo",@Obscure_Rebel,2020-11-01T09:48:33.000Z,"This 
 .
@RishiSunak
? The #RishiSunak who’s been spaffing away £billions of taxpayer money to his #Tory donor mates & #US #Consultancy vultures like .
@SercoGroup
 .
@Deloitte
 .
@PwC
 & the rest? #Sunak #SunakHasFailedTheUKQuote Tweet
Eric D
@DalbidEU
 · Nov 1
So it’s all ‘coming out’. Golden Balls #RishiSunak (He of the spending our Borrowed £Billions on cronies and inept equipment). Who finally said ‘we have lost this war’. Alongside Johnson he is responsible for prolonging the dithering at massive cost to lives, jobs and economy.",,,
Save T3 Bankstown Line,@SaveT3Bankstown,2020-11-01T05:48:59.000Z,"#SydneyMetro drives overdevelopment according to a #Deloitte consultancy report used as part of the government's planning for Sydney Metro Southwest

#nswpol",,2,3
Andrew Reeve,@andrewreeveart,2020-10-26T11:40:11.000Z,"Hi 
@BorisJohnson
, here's a PR trick that easily costs less than Deloitte's #Brexit #consultancy fees: 

'It's not a U-turn when you're stuck on a roundabout.'

That'll be £450. Take it off what you owe the kids.",,,
Nur Jasni Mohamed,@NJMohamed,2020-10-21T14:25:04.000Z,"“What goals will millennials pursue? Some 87% of them believe corporate success should be measured by more than financial performance, according to a survey by Deloitte, a consultancy.”Quote Tweet
The Economist
@TheEconomist
 · Oct 21
Shifts in technology and pension policies will allow millennials to exert more control over their assets than their parents did https://econ.st/2T964Iw",1,1,2
Bas Looijestein,@BasLooijestein,2020-10-21T08:51:25.000Z,"Consultancy_uk: Deloitte closes Gatwick, Liverpool, Nottingham and Southampton officesDeloitte closes Gatwick, Liverpool, Nottingham and Southampton offices
Big Four firm Deloitte has confirmed that the leases of four of its UK offices are set to lapse, as the firm looks to make cost savings amid the current recession.
consultancy.uk",,,
