UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
TMJ-INH Finance Jobs,@tmj_inh_finance,2020-11-28T05:17:12.000Z,"Click the link in our bio to see currently open #Finance jobs like ""Senior Analyst - Strategy Research - Hyderabad"" at Deloitte in #Hyderabad, Telangana.",,,
Shipping Strategy,@KurtVermeulen,2020-11-27T14:06:08.000Z,"#Deloitte #BE 2020 Fast 50 shows #port city of #Gent #Ghent and its 
@UGent
 as #tech fulcrum https://www2.deloitte.com/be/en/pages/technology/articles/fast50-2020-ranking.html?id=be:2sm:3tw:4dcom_share:5awa:6dcom:technology… via 
@DeloitteBelgium2020 Fast 50 ranking and winners announced | Deloitte Belgium | Technology Fast 50
The 50 fastest growing tech companies in Belgium.
deloitte.com",,,
World Football Summit,@WFSummit,2020-11-27T13:58:05.000Z,"Our Best Internationalisation Strategy presented by 
@Deloitte
 winners at 
@RCCelta
 are up next.Quote Tweet
World Football Summit
@WFSummit
 · Nov 27
 15:00-15:20
 Best Internationalisation Strategy presented by @Deloitte
 Carlos Salvador (@RCCelta)
 Concha Iglesias
Show this thread",1,,2
Deloitte SA,@DeloitteSA,2020-11-27T10:00:00.000Z,"COVID-19 has provided some insights into future opportunities for #sharedservices organizations to consider as they seek to thrive in a ""new normal."" Click here to read more: https://deloi.tt/2UBYWF8 #Sharedservices #StrategyThe future of shared services is touchless
COVID-19 has provided some insights into future opportunities for shared services organizations to consider as they seek to thrive in a
deloitte.com",,,
Deloitte Careers UK,@DeloitteCareers,2020-11-27T09:00:12.000Z,"Working collectively and decisively, our global climate strategy helps us make responsible choices in all we do. What impact will you make? https://deloi.tt/2JaUquN",,1,1
TMJ-INH Jobs,@tmj_inh_jobs,2020-11-26T05:05:46.000Z,"See our latest #Hyderabad, Telangana #BusinessMgmt job opportunity and click the link in our bio to apply: Senior Analyst - Strategy Research - Hyderabad at Deloitte",,,
Deloitte Indonesia,@Deloitte_ID,2020-11-26T01:00:00.000Z,"Value-based care is a critical part of any health care organization’s strategy to contain costs and enhance quality, but data trends suggest change is slow. Discover the essentials for successfully reorienting physicians from volume to value.Equipping physicians for value-based care
Value-based care is a critical part of any health care organization’s short and long-term strategy to contain costs and enhance quality, but data trends suggest change is slow. Discover the essenti...
deloitte.com",,,
Anjan Roy,@royanjan,2020-11-25T21:13:18.000Z,"Is your #assetmanagement strategy non-existent? Get started on the road to data modernization by reading Deloitte’s new report—then get to work. 
 https://deloi.tt/3m8rhiy",,,
Sam Czertok,@SamCzertok,2020-11-25T18:49:01.000Z,"Explore Deloitte’s report to learn how #healthcare organizations can scale up their #AI investments by pairing with a robust security and data governance strategy.Smart use of artificial intelligence in health care
For the health care industry, AI-enabled solutions can provide immediate returns through cost reduction, help with new product development, and lead to better consumer engagement. We explore how...
deloitte.com",,2,
Deloitte Strategy,@DeloitteStratOp,2020-11-25T16:00:01.000Z,"Business leaders can future-proof their company’s success with socially-conscious strategies and offerings. Drill into the power of a strong #purposestrategy.The Value of Corporate Purpose
Corporate purpose-driven strategy can help organizations retain top talent, resonate with consumers, and guard against reputational risk while creating value.
deloitte.com",,,2
Deloitte Tax (US),@DeloitteTax,2020-11-24T16:00:03.000Z,"How will your transfer pricing specialists document intercompany transactions that were set pre-COVID?Tax News & Views Podcast: Transfer Pricing Considerations in Light of COVID-19
The business impacts of COVID-19 are far reaching and include transfer pricing considerations for multinational companies that should be actively managed and monitored.
deloitte.com",,,1
Bryan McCoy,@Bryan_McCoy10,2020-11-24T15:43:38.000Z,"Explore Deloitte’s report to learn how #healthcare organizations can scale up their #AI investments by pairing with a robust security and data governance strategy.Smart use of artificial intelligence in health care
For the health care industry, AI-enabled solutions can provide immediate returns through cost reduction, help with new product development, and lead to better consumer engagement. We explore how...
deloitte.com",,4,1
Deloitte Cyprus,@DeloitteCY,2020-11-24T13:30:00.000Z,"As we become used to remote working and many companies announce indefinite #WFH plans, it's essential that the #tax implications are proactively addressed. Discover four steps to help mitigate risk and lead to a successful remote work strategy: https://deloi.tt/398kt0P #leadershipWhere Will Your Employees Work In The “Next Normal”?
In this paper, Deloitte’s GES experts explore the questions leaders should ask if they are considering remote work as part of their future workforce strategy, and what they should think about next to...
deloitte.com",,1,
TheTicketingBusiness,@TheTicketingBiz,2020-11-24T13:23:54.000Z,"Should event organisers take more notice of resale ticketing than the bot-impacted primary market when developing their pricing strategy?? Deloitte advisor Jose Sanchez says 'yes'...#TBF20 Takeaway: Base pricing on resale rather than skewed primary model - TheTicketingBusiness News
Deloitte’s Jose Sanchez cited American investment guru Warren Buffett as he called on event organisers to adopt value-based ticket pricing during a session at this year’s TheTicketingBusiness Forum...
theticketingbusiness.com",1,,1
Deloitte India,@DeloitteIndia,2020-11-24T12:54:00.000Z,"The #strategy needed, if India aspires to be a major #exporter, is to specialise in areas of comparative advantage and achieve significant quantity expansion. Sanjay Kumar, Partner, Deloitte India shares his views in this 
@livemint
 article.Opinion: PLI scheme - achieving the goal
The strategy needed, if India aspires to be a major exporter, is to specialise in areas of comparative advantage and achieve significant quantity expansion
livemint.com",,,7
TheCMOPodcast,@TheCMOPodcast,2020-11-21T12:29:00.000Z,"#TheCMOPodcast: 
@JimStengel
 chats with Vince Hudson, SVP of Global Brand Strategy & Marketing Operations at 
@AmericanExpress
. Vince shares he constantly improves his company's relationship with their customers as a brand by staying ready. https://apple.co/36Tms6y 
@Deloitte
 #ad0:59
103 views",,1,5
TheCMOPodcast,@TheCMOPodcast,2020-11-20T22:05:20.000Z,"#TheCMOPodcast: 
@JimStengel
 is joined by Vince Hudson, the SVP of Global Brand Strategy and Marketing Operations at 
@AmericanExpress
. https://apple.co/36Tms6y Deloitte #ad",,1,2
Andrew Fingland,@andyfingland,2020-11-20T21:49:02.000Z,#SPAC transactions are growing in popularity as an alternative to a traditional IPO. Learn how to navigate the SPAC #IPO process in Deloitte’s new report. https://deloi.tt/3kQjhBl,,,
Center for Audit Quality,@TheCAQ,2020-11-20T19:23:09.000Z,"Across the globe, the #COVID19 crisis has emphasized the importance of #ESG principles as central to business risk and strategy, as well as building credibility with investors. Learn more from 
@Deloitte
: https://bit.ly/2HbDOml",,,1
