UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Akhileswar,@akhileswar25,2020-11-28T05:27:51.000Z,"As taxpayers assess selling a business, estate planning may be a key driver in structure and timing of the divestiture. Learn more in 
@DeloitteTax
’s latest #TaxTalk. https://deloi.tt/3fFIIoq",,,
Deloitte Tax (US),@DeloitteTax,2020-11-27T18:00:00.000Z,"#Taxplanning has looked a little different this year, hasn’t it? Part two of our #tax and wealth planning guide is here to help as you adjust to these ever-changing economic circumstances.2020 Essential Tax and Wealth Planning Guide
We hope that these tax and wealth planning insights provide you and your family a roadmap for navigating today’s COVID-19 pandemic.
deloitte.com",,,
Deloitte Private,@DeloittePrivate,2020-11-27T18:00:00.000Z,"#Taxplanning has looked a little different this year, hasn’t it? Part two of our #tax and wealth planning guide is here to help as you adjust to these ever-changing economic circumstances.2020 Essential Tax and Wealth Planning Guide
We hope that these tax and wealth planning insights provide you and your family a roadmap for navigating today’s COVID-19 pandemic.
deloitte.com",,,1
Deloitte Tax (US),@DeloitteTax,2020-11-27T17:00:02.000Z,"In light of COVID-19, is it time to consider adopting a different transfer pricing policy than what is contained in your current agreements?Tax News & Views Podcast: Transfer Pricing Considerations in Light of COVID-19
The business impacts of COVID-19 are far reaching and include transfer pricing considerations for multinational companies that should be actively managed and monitored.
deloitte.com",,,
UoN Careers,@UoNCareers,2020-11-27T16:02:05.000Z,"Deloitte's industrial placements are a great way to make sure you’re on the right path. This one's in tax.  #UoNHotJobs 

http://ow.ly/19du50Cpjn4",,,
sruthi chandrasenan,@sruthic2010,2020-11-26T13:54:02.000Z,"Before you close the deal on the sale of your business, learn about the benefits of estate planning in 
@DeloitteTax
’s latest #TaxTalk article. https://deloi.tt/2V7fJAp",,,
Deloitte India,@DeloitteIndia,2020-11-26T13:30:01.000Z,"Introduction of production-linked incentive schemes in a further 10 sectors approved. Download the #TaxatHand app to know more. https://deloi.tt/2UTVJ40 #TaxDeloitte tax@hand
Deloitte tax@hand delivers focused tax news and information relevant to you, on any device.
deloitte.com",,,3
Shibu Shenai,@shibushenai86,2020-11-26T09:53:07.000Z,"Before you close the deal on the sale of your business, learn about the benefits of estate planning in 
@DeloitteTax
’s latest #TaxTalk article. https://deloi.tt/39gtogF",,,
Deloitte India,@DeloitteIndia,2020-11-26T09:30:01.000Z,"Curious to know our Deloitte leaders’ take on “#COVID19: A catalyst for #technology changes, industry updates, and future of the #workforce”? Save a spot in our “2020 Asia Pacific Indirect Tax Virtual Summit"" tomorrow at 8:30 a.m. India time. https://deloi.tt/2UYe4Nv #indirecttax",,,2
Deloitte China,@DeloitteChina,2020-11-26T09:28:00.000Z,"#HK's double stamp duty on non-residential properties, which has been in place since 2013, was cancelled today (26 Nov.). Find out more in our #Tax NewsflashHong Kong Tax Newsflash | Deloitte China | Tax | National Tax Technical Center
This tax newsletter is prepared by Deloitte China’s tax service in Hong Kong SAR, aiming to give readers a quick update on news about the tax practices and development of tax cases.
deloitte.com",,,
