UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
EY Banking,@EY_Banking,2020-11-24T13:00:02.000Z,"EY Nexus for #Banking platform was key to transforming one traditional bank into a future-ready, digital bank of tomorrow. Why real-time customer journey curation is the future of banking: http://spr.ly/6013HHWhv #BankingTransformation #BetterWorkingWorld",,1,2
Henry Lacey,@HenrylaceyEY,2020-11-24T02:32:15.000Z,"Discover how EY’s strategic modeling banking solution on Anaplan allows financial executives to model scenarios, gain real-time business insights, and support fast decision-making. Register now for Dec 2 webinar here: http://ow.ly/6AA1102sIUS",,,
NaBIL Moussli,@DonMoussli,2020-11-23T17:40:04.000Z,"Recent EY analysis shows that exceptional banks — those that consistently deliver a return on equity higher than their cost of equity — focus on three key areas. Click here to learn more. http://ow.ly/pMlV102svc4

#EYCanada #Banking #FinancialServices",,,
Sean Verret,@SeanVerret,2020-11-23T15:02:37.000Z,"Recent EY analysis shows that exceptional banks — those consistently delivering a higher return on equity higher vs cost of equity — focus on 3 key areas. Find out what those areas are in our latest banking report. https://go.ey.com/38weq5R 

#EYCanada #Banking #FinancialServicesBanking in the new decade
Discover how three big bets can help banks free up capital to invest in transformation even amid profitability pressures. Learn more.
ey.com",,,
EY Banking,@EY_Banking,2020-11-23T13:00:01.000Z,COVID-19 threatens a debt crisis. How do banks’ collections models need to evolve to meet customer demands and maximize recovery returns? Our latest article has more: http://spr.ly/6013HDdTD,,1,1
Beaulieu School,@BeauFoundation,2020-11-19T09:33:20.000Z,"2/2 Courtney McCann, EY, was winner of the Accountancy Award, Nicolle Maltwood, Barclays, won the Banking section, Keeva Ferrow, Langham Hall Fund Management, won the Funds Award, & Lauren Harzo, Zedra Trust, & Katie Jones, Standard Bank, were shortlisted for CSR & Operations.",,2,1
SAP Banking,@SAPBanking,2020-11-18T16:03:50.000Z,"With growing demands for digital customer experiences, watch this episode of 
@TheBanker
 Viewpoint Series as 
@EY_Banking
 unpacks current trends and lessons traditional #banks can learn from fintechs. Find out more http://sap.to/6012H1lzC #Sibos 
@FalkRieker2:05
30 views",,3,3
EY Banking,@EY_Banking,2020-11-18T14:00:03.000Z,Join our webcast today at 1pm ET discussing the US election results and the potential implications to #FinancialServices institutions. Register now: http://spr.ly/6018H18Uu,,1,
EY Banking,@EY_Banking,2020-11-17T14:45:00.000Z,"Automating compensation programs for easier administration and greater transparency improves brand trust by meeting agent expectations and regulatory mandates. Read on http://spr.ly/6011H18UJ
@FalkRieker
 @Mike__Key
  @EY_AlliancesPaid Program: Rethinking Compensation Plans
Financial services leaders adapt for growth—and to build employee trust.
partners.wsj.com",,2,3
EY Banking,@EY_Banking,2020-11-17T13:00:01.000Z,Outbound collections models are no longer fit for purpose. What does a next-generation customer engagement model look like? Our latest article explores: http://spr.ly/6016HDdTG,,2,2
David Haigh,@DavidHaigh01,2020-11-17T04:34:12.000Z,"One bank’s broad adaptive approach to operational transformation allowed it to restructure its consumer and SME loans, and process thousands of requests during #COVID19. Learn more in EY’s latest case study. #BankingHow banks can reframe a crisis into an operational opportunity
With competing priorities and a rapid response vital to help its customers get through the crisis, the bank knew it had to act quickly and draw up a plan. For instance, the government’s COVID-19...
ey.smh.re",,,
Malia_Forner,@Malia_Forner,2020-11-16T20:16:23.000Z,"How did the banks hold up in the COVID-19 crisis? Watch EY Oceania Chief Economist Jo Masters and EY Oceania Banking and Capital Markets Leader Tim Dring chat through the key highlights.Australian major banks’ full year results 2020
...
ey.smh.re",,,1
EY Banking,@EY_Banking,2020-11-16T17:18:01.000Z,Join EY Americas Financial Services Digital & Customer Growth Leader Nikhil Lele on November 19 at SAP Financial Services Live 2020 for an interactive session on “Differentiating through digital: deliver dynamic client experiences”. Register here: http://spr.ly/6014HE2OG,,1,
Valerie Konzeoue,@ValerieKonzeoue,2020-11-10T09:57:40.000Z,"By combining data-driven insights, analytics and research, the #banking segment can accelerate growth and drive #transformation across their organizations. Read more in the latest EY case study. #EYFinancialServicesThe following media includes potentially sensitive content. Change settings
View",,,
"Futurist
♟",@IngridVasiliu,2020-11-10T09:08:28.000Z,"How can the CFO evolve today to reframe finance for tomorrow? | EY - Global

 #finance #banking  #business  #fintech #money  #investing  #digitaltechnology #digitaldisruption #digitalinnovation #evolution #economy #economics #purp…https://lnkd.in/eWzc488How can the CFO evolve today to reframe finance for tomorrow?
CFOs should put finance at the heart of long-term value reporting, inspire an open finance function and elevate emotional intelligence. Find out more.
ey.com",,3,1
UK Finance,@UKFtweets,2020-11-09T14:31:30.000Z,"Registered delegates can watch the informative and engaging Tech for Good panel discussion below on demand, as well as all previously broadcast #DIS20 sessions. until 20 November here > https://dis20.org.uk/agenda 
@InnFin
 @EY_Banking
 @ccrosswellQuote Tweet
Innovate Finance
@InnFin
 · Nov 9
""There is a role of educators to talk about finance and leveraging technology and ensure that we are using the best of the technology out there to help children on their journey""

CEO @ccrosswell participating in a panel discussion on 'Tech For Good' at the @UKFtweets #DIS20",,2,4
Nadine Mirchandani,@NAMirchandani,2020-11-09T13:55:43.000Z,".
@EY_US
 research shows #MnA could help European #banks increase profitability & valuations. The most interesting thing to monitor now is whether future acquisitions will stay within single countries or will leaders favor cross-border #banking transactions?How COVID-19 will impact M&A in the European banking sector
The case for strategic mergers and acquisitions will only grow stronger for banks in Europe during the rebound from COVID-19.
ey.com",,,
EY Banking,@EY_Banking,2020-11-04T13:00:01.000Z,"COVID-19 has forced banks to rethink their operational transformation models, moving away from single point solutions to adaptive models driven by business outcomes. This case study explores how one bank created an opportunity from an operational crisis: http://spr.ly/6019GCxAB",,1,
EY Banking,@EY_Banking,2020-11-04T10:02:30.000Z,"Our latest article discusses the importance of storytelling in communicating a strategic cost #transformation to #investors. Find out more here. #FinancialServices 
http://spr.ly/6015H6si7",,,2
EY Banking,@EY_Banking,2020-11-03T20:04:28.000Z,"Join our Global Banking & Capital Markets Consulting Leader, Dai Bedford, tomorrow at #GTRUK’s 2020 virtual event, talking innovation and #technology in trade finance. Register here:GTR UK 2020 Virtual | The UK's annual trade & export finance conference
Providing the latest insights and perspectives on the world of UK trade and exports, virtually.
gtreview.com",,,2
Toptrdr,@ronit9q,2020-11-03T16:41:53.000Z,an ey e on US banking index,,,
SAP Banking,@SAPBanking,2020-11-03T14:00:02.000Z,"With customers increasingly opting for digital channels, 
@EY_Banking
 shares how open #banking can enable financial services to link customers back to traditional banking and rekindle visitation to physical branches http://sap.to/6016GhHAa 
@FalkRieker",,2,5
SAP Banking,@SAPBanking,2020-10-28T10:46:02.000Z,"Understand how SAP’s Financial Products Subledger Solution can assist #banks to centralize data for streamlined financial reporting and accounting processes in a webcast with 
@EY_Banking
 on October 29, 2020 at 6pm CET. Sign up here: http://sap.to/6016G776M",,,3
EY Banking,@EY_Banking,2020-10-27T20:11:30.000Z,"ICYMI, 
@SteveVarleyEY
 and a panel of experts discussed the importance of sustainable finance toolkits for institutions at 
@IIF
 AMM. Watch the entire session here:THE SUSTAINABLE FINANCE TOOLKIT: BETTER DATA, RISK ASSESSMENT...
youtube.com",,,2
SAP Banking,@SAPBanking,2020-10-27T18:21:03.000Z,"Not to be missed! Join 
@EY_Banking
 and SAP on Nov 5, 2020 at 1pm EST for expert advice on how banks can leverage digital tools to offer corporate customers a rewarding #banking experience through virtual account management. Register here: http://sap.to/6016GCDy8 
@FalkRieker",,,4
EY Banking,@EY_Banking,2020-10-27T14:28:01.000Z,"What are the industry trends leading FIs to explore innovative solutions in virtual account management? Join EY and 
@SAP
 for a forward-looking webinar on Nov. 5 to learn more. Register now: http://spr.ly/6011G7aat",,,3
Li-May Chew,@LiMayC1,2020-10-27T06:16:15.000Z,"Post #COVID19, banks have a crucial opportunity to extend a differentiated #SME offering that will transform the future of banking. Chris Lim, EY Financial Services Business Consulting Leader, discusses how banks need to change their approach toward SMEs.How Southeast Asian banks need to change their approach to SMEs
Until now, the small and medium enterprise (SME) segment has been a pillar of economic expansion for Southeast Asia. In many countries across the region, SMEs have been responsible for up to 99% of...
ey.smh.re",,,
Karl Reremoser,@KarlReremoser,2020-10-22T12:23:08.000Z,"What’s the importance of the financial services community? Our leaders, Jennifer Lucas, 
@JanBellens
 and 
@jamesplloyd
, shared their thoughts as the financial services industry came together last week for #Sibos. #BetterWorkingWorld 
@EY_BankingThe following media includes potentially sensitive content. Change settings
View",,,
Ricardo M Cardoso,@richiecardoso,2020-10-22T10:51:12.000Z,"Our Vice Chair and Americas FSO Regional Managing Partner 
@Janet_Truncale
 will discuss women’s economic empowerment in the post-pandemic world, 
@womensworldbnkg
’s Making Finance Work For Women Virtual Summit. #mfww2020 #BetterWorkingWorld 
@EY_BankingEY at Making Finance Work for Women Summit
Our Vice Chair and Americas FSO Regional Managing Partner, Janet Truncale will speak about building long-term resilience for women in a post-COVID world at Making Finance Work for Women Summit today.
ey.smh.re",,,1
Karl Reremoser,@KarlReremoser,2020-10-22T06:29:22.000Z,"There is a vital need to build long-term resilience for low-income women. Our Vice Chair and Americas FSO Regional Managing Partner, 
@Janet_Truncale
, will discuss during 
@womensworldbnkg
’s #mfww2020 Summit. #BetterWorkingWorld 
@EY_BankingThe following media includes potentially sensitive content. Change settings
View",,,
