UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
IAM,@IAM_insurance,2020-11-26T19:05:58.000Z," Congratulations to 
@EY_UKI
 on winning Insurance Consultancy of the Year! #InsuranceAMawards",,1,1
Bajaj_Finance,@Bajaj_Finance,2020-11-26T09:48:05.000Z,"Bajaj Finance | Economy Update: The #Indian #economy is likely to see positive growth in the October-December quarter, according to consultancy firm Ernst and Young (EY) 
@EconomicTimes
 

Read more: https://economictimes.indiatimes.com/news/economy/indicators/indian-economy-will-see-positive-growth-in-october-december-quarter-ey/articleshow/79386395.cms… 

 #BajajFinance #BajajFinserv #ErnstYoungIndian economy likely to see positive growth in October-December quarter: EY
Domestic demand was seeing a recovery as the economy had almost entirely exited from the lockdown phase, said DK Srivastava, in the November edition of EYs Economy Watch report on Tuesday.
economictimes.indiatimes.com",,2,2
MAKEZU.IO,@makezu_io,2020-11-25T20:40:37.000Z,"Hydrogen and artificial intelligence to play ‘critical role’ in scaling up renewables - EY | US stays top of consultancy’s biannual Renewable Energy Country Attractiveness Index.. #artificial_intelligenceHydrogen and artificial intelligence to play ‘critical role’ in scaling up renewables – EY
Hydrogen and artificial intelligence are set to play a “critical role” in supporting grid stability and scaling up green energy, new research from EY says.
pv-tech.org",,1,
nwl,@nwl88444048,2020-11-25T10:08:18.000Z,"Outrageous that Government commissioned research from EY on alcohol as a spreader of Covid.
NPHET has been warning about this for months.
[only surprise that it was beancounters EY which was commissioned and not Stephen Donnelly's former employer, consultancy McKinsey]
#todaycb",2,4,7
Chris Young,@Norsunenergy,2020-11-24T15:44:13.000Z,"Hydrogen and artificial intelligence to play ‘critical role’ in scaling up renewables – EY https://ift.tt/3fvzrz2 US stays top of consultancy’s biannual Renewable Energy Country Attractiveness IndexHydrogen and artificial intelligence to play ‘critical role’ in scaling up renewables – EY
Hydrogen and artificial intelligence are set to play a “critical role” in supporting grid stability and scaling up green energy, new research from EY says.
pv-tech.org",,2,
Reuters Business,@ReutersBiz,2020-11-11T14:03:17.000Z,"Podcast from 
@Breakingviews
: Companies like Nestlé and Unilever are grappling with a COVID-19 recession and potentially drastic changes to how people shop and what they buy. Kristina Rogers from consultancy EY discusses which trends will stickThe Exchange: Post-pandemic consumer behaviour
Companies like Nestlé and Unilever are grappling with a Covid-19 recession and potentially drastic changes in how people shop and what they buy. Kristina Rogers, global consumer leader at cons
soundcloud.com",,3,1
Cosy Direct,@cosydirect,2020-11-10T23:09:54.000Z,Fantastic loose parts gingerbread men from Naturally Creative EY Consultancy...,,,15
ReutersBreakingviews,@Breakingviews,2020-11-10T21:33:41.000Z,"Consumer goods companies are facing post-pandemic consumer changes. 
@dasha_reuters
 spoke with Kristina Rogers from consultancy EY about which trends will stick.The Exchange: Post-pandemic consumer behaviour - The Exchange - Reuters
open.spotify.com",,4,1
India Updates,@_Indiaupdates,2020-11-09T12:46:00.000Z,"Festivities in India are likely to be smaller, more intimate, and digital this year, consultancy firm EY said on Thursday.

https://indiaupdates.in/festivities-likely-to-be-smaller-more-digital-this-year-ey/…

#Festivals #Ecommerce #EconomyFestivities likely to be smaller, more digital this year: EY
Festivities in India are likely to be smaller, more intimate, and digital this year, consultancy firm EY said on Thursday. As per an EY report based
indiaupdates.in",,1,
Afshin Rattansi,@afshinrattansi,2020-11-08T19:22:35.000Z,"Nothing to see here about a coronavirus UK consultancy and a £1bn lawsuit 
""Between 2016 and 2020, Britain spent £2.6 billion on just eight consultancies - including 
@KPMG
, 
@McKinsey
, 
@Deloitte
 and 
 EY""",2,42,60
