UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Phasmatos32,@Josvima,2020-11-28T06:24:07.000Z,"Ey... I have no paypal and even if I win, taxes in my country would eat half (if not more) of the price... So I hope that this can helps someone else!Quote Tweet
Wraithyn
@Wraithyn1
 · Nov 28
It's been a rough year for everyone. Gems don't pay bills so I'm giving out $100 to two people (must have paypal) on Twitter.

- Like, Follow, RT
- Comment and tag someone that helped you get through the year (tagging alcohol brands also acceptable)",,,
Pauline Cumer,@cumer_pauline,2020-11-27T23:20:36.000Z,"Why are we going cashless...why are we letting the big bankers charge us 2,% and tax mo ey out anytime for tax..thats stealing....I don't want socialism/communism  in this country...we are the land of the free and have constitutional  right",,,
Dave Mack,@dwquack,2020-11-27T16:04:51.000Z,"mon·ey laun·der·ing
noun
the concealment of the origins of illegally obtained money, typically by means of transfers involving foreign banks or legitimate businesses.
""he was convicted of money laundering and tax evasion""",,,
EY Tax,@EY_Tax,2020-11-27T14:00:15.000Z,"What excites you about the #FutureOfTax? Get to know Klara Bakija – our finalist from Belgium – in our 2020 Young #Tax Professional of the Year competition. As we near the virtual final of #YTPY, hear what some of our contestants are saying. 
http://spr.ly/6018Hyxzk",,,2
Kate Barton,@KateBartonEY,2020-11-27T13:30:01.000Z,"We are now less than a week away from the global final of our Young #Tax Professional of the Year competition. Tune in next Wednesday, 2 December, when we reveal our winner! 32 finalists from around the world compete this year. #YTPYQuote Tweet
EY Tax
@EY_Tax
 · Nov 24
Where will a career in #tax take you? In honor of our 10th annual Young Tax Professional of the Year competition, @KateBartonEY, our Global Vice Chair – Tax, shares why the tax profession is more important than ever. #YTPY #BetterWorkingWorld http://spr.ly/6011HHo63",,,6
EY Indonesia,@EYIndonesia,2020-11-27T02:40:28.000Z,"Where will a career in #tax take you? Join us on 2 Dec 19:00 JKT for the finale of our 10th annual Young Tax Professional of the Year program (#YTPY). This year, 32 finalists, from around the world including Indonesia will compete virtually to become 2020. http://spr.ly/6011H16g1",,,
Benjamin Chiang,@BenChiangEY,2020-11-27T01:41:08.000Z,"Where will a career in #tax take you? Join us on 2 Dec 20:00 SGT for the finale of our 10th annual Young Tax Professional of the Year program. This year, 32 finalists from Singapore and around the world will compete (virtually) to become 2020 #YTPYEY Young Tax Professional of the Year
This is the opportunity to take your career further, faster. Do you want to see the business world in global terms? Do you want to learn to work with people from around the world and learn how...
ey.smh.re",,,
EY Singapore,@EY_Singapore,2020-11-27T00:30:00.000Z,"How has #COVID19 impacted #tax policy in the Asia-Pacific? What impact will this have on supply chains and tax rates? Following our Asia-Pacific Tax Symposium, our tax leaders share a #FutureOfTax update. Read it in 
@Bloomberg
 @tax
. #EYAPACTSHow Covid-19 Has Transformed Tax Policy in the Asia-Pacific
The Asia-Pacific was the first region to enter the Covid-19 pandemic. How has it navigated the “new normal”? As the 2020 EY Asia-Pacific Tax Symposium comes to a close, Kate Barton, EY Global Vice...
news.bloombergtax.com",,,
Cam Irwin - Nothing Can Stop What's Coming,@ici_cam,2020-11-26T23:48:25.000Z,"Was the $1.27m granted to Neutrog (& honoured by the incoming Lib Govt) pork barrelling, or for a tax to help out the Govt in a long running legal matter involving their 'mates'?

Mark Butcher, former MD EY in SA now helping 
@MarkMcGowanMP
...
@alpsa
 @Rob_Lucas
 @cpyneQuote Tweet
Coalition Tea Lady
@ItsBouquet
 · Nov 27
Think it might be illegal ... 
 twitter.com/ShiannonC/stat…",1,2,1
Alexandra Nunes,@AlexandraNune15,2020-11-26T23:48:04.000Z,"EY Young Tax Professional of the Year 2020EY Young Tax Professional of the Year 2020
32 student finalists from around the world will compete virtually to be crowned 2020 YTPY on December 2.
ey.smh.re",,,
