UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Joe Bailitz,@JoeBailitz,2020-11-20T21:11:03.000Z,"Now more than ever, audit committees need to get #ESG reporting right by asking five key questions to help their companies ""prove it."" Read more in the 
@AccountingToday
 article by 
@KPMG_US
 #Audit partner Maura Hodge. #Assurance #Sustainability https://bit.ly/2UMz0qE",,2,1
Danette Shipe,@DanetteShipe22,2020-11-20T20:02:22.000Z,"For purpose or profit? Why not both! Listen to a new 
@AccountingToday
 podcast featuring KPMG National ESG Assurance leader, Maura Hodge as she discusses ESG reporting and the role of auditors. Listen now. #KPMG #Audit #Assurance #Sustainability https://bit.ly/3pLQphm",,1,2
Joe Bailitz,@JoeBailitz,2020-11-20T00:00:47.000Z,"In a new 
@KPMG_US
 #Podcast, Audit Partner, John Capone speaks with Maura Hodge, National ESG Assurance Leader, to discuss #ESG and breakdown what it is, why it’s important, and how we can tackle it. Listen now. #KPMG #Audit #Assurance #ESG #Sustainability https://bit.ly/3lIgLhT",,,
Joe Bailitz,@JoeBailitz,2020-11-19T18:37:03.000Z,"How is #ESG influencing business strategy? Listen to a #podcast featuring 
@KPMG_US
 Audit Partners, John Capone and Maura Hodge, National ESG Assurance Leader, discuss the purpose of ESG and sustainability reporting. Tune in today. #Audit #Sustainability https://bit.ly/39bnPQT",,,
Joe Bailitz,@JoeBailitz,2020-11-16T18:06:03.000Z,"What is Environment, Social and Governance (ESG)? A newly released 
@KPMG_US
 brochure breaks down #ESG and highlights the valuable role auditors play, along with the KPMG approach. Learn more. #KPMG #Audit #Assurance #Sustainability https://bit.ly/3f4NwmN",,,
Maikel Wijsbek,@MaikelWijsbek,2020-11-12T17:24:03.000Z,"GOOD LISTEN: Be sure to listen to Maura Hodge, KPMG National ESG Assurance Leader speak with 
@AccountingToday
 and discuss #ESG reporting and the growing need for #sustainability reporting. Listen now. #KPMG #Audit #ESG https://bit.ly/32EB9J9",,,
CIO Strategy Council | Conseil Stratégique des DPI,@CIOStrategyC,2020-11-12T15:13:57.000Z," 1/2 The 
@CIOStrategyC
 launches AI Ethics Assurance Program in collaboration with 
@KPMG_Canada
. The Program is available to all orgs, including public and private companies, government entities, and NPOs: https://bit.ly/3pmUZm5 #AI #Ethics #EthicalAICIO Strategy Council launches AI Ethics Assurance Program in collaboration with KPMG in Canada –...
OTTAWA, November 12, 2020 – The CIO Strategy Council (CIOSC) today announced the launch of a made-in-Canada Artificial Intelligence (AI) Ethics Assurance Program in collaboration with KPMG in Canada....
ciostrategycouncil.com",1,6,4
CaribbeanJobs.com,@MyCaribbeanJobs,2020-11-11T20:41:05.000Z,"#JobAlert! Are you looking for a challenging and rewarding career in Audit at KPMG? Then this job is for you! 
KPMG Trinidad is looking for an Audit Senior to assist in the delivery of audit and assurance engagements.
.
.
To apply, click here: https://caribbeanjobs.com/AUDIT-SENIOR-Job-119504.aspx…?",,,
Joe Bailitz,@JoeBailitz,2020-11-10T18:06:04.000Z,"What is Environment, Social and Governance (ESG)? A newly released 
@KPMG_US
 brochure breaks down #ESG and highlights the valuable role auditors play, along with the KPMG approach. Learn more. #KPMG #Audit #Assurance #Sustainability https://bit.ly/2UfCNfW",,,
Scott Burger,@scottaburger,2020-11-10T16:24:03.000Z,"Listen to Maura Hodge, National ESG Assurance Leader 
@KPMG_US
 speak with 
@AccountingToday
 about #ESG reporting and the growing need for companies to show #sustainability through their ESG journeys. Listen now. #KPMG #Audit #Assurance https://bit.ly/3km2ndE",,,
