UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Dr Matt Prescott,@mattprescott,2020-10-30T10:14:28.000Z,"MANAGEMENT CONSULTANCY + UK GOV : David CAMERON, Francis MAUDE:(CABINET OFFICE, POLICY EXHANGE), Ben GUMMER (McKINSEY), Stephen DORRELL (KPMG),  BARONESS Dido HARDING (McKINSEY)Quote Tweet
Peter Jukes
@peterjukes
 · Oct 30
Who Needs a Civil Service when there are Perfectly Good Management Consultants? https://bylinetimes.com/2020/10/30/who-needs-a-civil-service-when-there-are-perfectly-good-management-consultants/…",2,2,4
Bas Looijestein,@BasLooijestein,2020-10-29T08:51:33.000Z,"Consultancy_uk: Following Deloitte, KPMG explores sale of restructuring armFollowing Deloitte, KPMG explores sale of restructuring arm
The UK arm of KPMG is reportedly mooting the sale of its restructuring arm, just months after the global leadership of Big Four rival Deloitte vetoed similar efforts in its own British wing.
consultancy.uk",,,
Bas Looijestein,@BasLooijestein,2020-10-27T09:51:11.000Z,"Consultancy_uk: KPMG promotes nine to partner in Deal Advisory practiceKPMG promotes nine to partner in Deal Advisory practice
The Deal Advisory practice of KPMG has admitted nine new partners to its UK partnership.
consultancy.uk",,,
Clare L. E. Foster,@clarelefoster,2020-10-27T01:21:59.000Z,"6 consultancy contracts each worth £30 million for the provision of “strategic programme management” for Brexit transition period, running from 1 September 2020 to 31 August 2021, awarded to McKinsey, Bain and Company, KPMG, Accenture, Deloitte, and PricewaterhouseCoopers.Quote Tweet
Byline Times
@BylineTimes
 · Oct 27
 EXCLUSIVE: Outsourcing Brexit: £180 Million in Cabinet Office Contracts for Corporate Giants

Huge Government contracts for the delivery of Brexit been awarded to the same outsourcing behemoths making a mint from Coronavirus, reports @WritesBright 
 https://bylinetimes.com/2020/10/26/outsourcing-brexit-180-million-cabinet-office-contracts-corporate-giants/…",,,
ngash,@John84225587,2020-10-26T16:33:29.000Z,"Real Madrid named most valuable European football club by KPMG consultancy firm. The European Elite 2020 report values the club at €3.478 billion.Real Madrid named most valuable European football club by KPMG consultancy firm. The European Elite...
Official Website with information about the next Real Madrid games and the latest news about the football club, games, players, schedule, and tickets.
realmadrid.com",,,
Business & Finance,@BandF,2020-10-14T10:07:59.000Z,".
@KPMG_Ireland
 acquires and integrates consultancy business Future Analytics | Business & FinanceKPMG acquires and integrates consultancy business Future Analytics | Business & Finance
Professional accounting services firm KPMG has acquired Irish research consultancy business Future Analytics.
businessandfinance.com",,,
Business & Finance,@BandF,2020-10-12T07:59:59.000Z,".
@KPMG_Ireland
 acquires and integrates consultancy business Future Analytics | Business & FinanceKPMG acquires and integrates consultancy business Future Analytics | Business & Finance
Professional accounting services firm KPMG has acquired Irish research consultancy business Future Analytics.
businessandfinance.com",,4,8
Business & Finance,@BandF,2020-10-08T09:22:43.000Z,".
@KPMG_Ireland
 acquires and integrates consultancy business Future Analytics | Business & FinanceKPMG acquires and integrates consultancy business Future Analytics | Business & Finance
Professional accounting services firm KPMG has acquired Irish research consultancy business Future Analytics.
businessandfinance.com",,1,10
KPMG Ireland,@KPMG_Ireland,2020-10-08T06:39:12.000Z,"Acquisition news - Introducing KPMG Future Analytics our new economics, planning and research consultancy specialising in data-driven advice to public and private sector clients.  #KPMGFutureAnalytics 
https://home.kpmg/ie/en/home/media/press-releases/2020/10/kpmg-acquires-future-analytics.html?cid=soc_twitterkpmg_2020_CF_KPMGFutureAnalytics_ie_all…Michele Connolly",,7,11
Citywire Selector,@cwselector,2020-10-07T11:00:00.000Z,"Head of ESG exits Storebrand after 12 years to join 
@KPMG
. 
Long-serving specialist takes on new challenge as part of consultancy giant's Pure Sustainability unit.
https://bit.ly/3jERK6j
Margaryta KirakosianHead of ESG exits Storebrand after 12 years to join KPMG
Long-serving specialist takes on new challenge as part of consultancy giant's Pure Sustainability unit.
citywireselector.com",,1,
