UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
KPMG Canada,@KPMG_Canada,2020-11-27T21:00:50.000Z,"Join KPMG Tax and Audit professionals as they discuss the Rent Subsidy program, Work from Anywhere considerations, and home office expenses and how they might impact your business. Register for the webcast now: https://bit.ly/39oFhkZ0:10
157 views",,4,2
Sir Jacobs nandi,@nandijacobs1,2020-11-27T19:47:59.000Z,"KPMG invites you to a Webinar on :
Year-end Closure Under COVID – 19: Key Financial Reporting, Tax and Code of Governance Matters in the Energy and Natural Resources Sector.
Date: Friday, December 4, 2020
Time: 9.00am -11.00am zoom
Registration link:Welcome! You are invited to join a webinar: Year-end Closure Under COVID – 19: Key Financial...
The purpose of this event is to bring together accounting, finance, tax and other professionals involved in financial reporting of various organisations in the Energy sector to discuss the year-end...
zoom.us",,,
"Yo no soy Marinero, soy Capitan...",@CaptPat48,2020-11-27T18:00:53.000Z,"Dollar Tree World Hqts is here in town...youngest Son when he worked for KPMG used to do their taxes and was also involved with their merger with Family Dollar....many trips to 
@NCSox
 Land....CharlotteQuote Tweet
Dave
@Dave_in_718
 · Nov 27
@johnszim @CaptPat48 @NCSox @Chisportsnut I'm in my hometown. Back in the day when I was in High School this building was a supermarket that I worked at. It's long gone.",1,,1
Women's Business Network of the NCR (WBN),@WBN_NCR,2020-11-27T15:30:12.000Z,"Today's #FeatureFriday is WBN's Chair of Mentorship, Laura Tippett! She is the Director of Global Mobility Services at #KPMG. With over 13 years of experience in CAD & US personal tax & expatriate taxation, she is primarily responsible for KPMG's clients all over Eastern Canada.",,,3
Bukunmi Olaniyonu,@prof_bukunmi,2020-11-27T14:05:04.000Z,"KPMG Nigeria's Fiscal Guide 2020 provides an overview of the applicable taxes, regulations and available investment incentives to companies and individuals in Nigeria #Tax #FIRS #Nigeria #Business #oecd #Finance #KPMGNigeria Fiscal Guide 2020
Nigeria Fiscal Guide 2020...
share.social.kpmg",,,
Thomas,@adegbolathomas,2020-11-27T05:02:39.000Z,"Nigeria Oil and Gas Update
#FIRS #oilandgas #KPMG #Nigeria #OPTS #IPPG #Finance #Business #Tax #Regulations #NNPC #DPRNigerian Oil and Gas Industry Update - Q2 & Q3 2020
Nigerian Oil and Gas Industry Update - Q2 & Q3 2020...
share.social.kpmg",,,
Thomas,@adegbolathomas,2020-11-27T05:02:39.000Z,"Are well are you familiar with the proposed budget

#KPMGTax #2021Budget #BudgetProposals #Finance #Budget&Planning #Buhari #NASSHighlights of 2021 Budget Proposals
Highlights of 2021 Budget Proposals...
share.social.kpmg",,,
KPMG China,@KPMGChina,2020-11-27T05:01:17.000Z,"KPMG shares points of consideration for employers as the holiday season approaches, from handling employee visas to travel. https://home.kpmg/cn/en/home/insights/2020/11/expatriates-travelling-for-christmas-some-additional-considerati.html…

#peopleservices #expats #visas #tax #immigrationExpatriate Christmas Holiday Travel
Considerations for employees and employers
home.kpmg",,,
Joe Bailitz,@JoeBailitz,2020-11-26T18:05:04.000Z,"Manal Corwin, head of Washington National Tax at KPMG, joined Yahoo Finance’s “On the Move” to talk #tax – including what’s going on at the #OECD as it tries modernize tax for the digitalized economy. Check out the clip.Enforcing higher tax burdens on tech giants
Manal Corwin - Head of Washington National Tax at KPMG joins Yahoo Finance’s On The Move panel to discuss how taxation of the digital economy is impacting Big Tech.
finance.yahoo.com",,,
KPMG in Ghana,@KPMG_GH,2020-11-26T16:29:29.000Z,"Did You Know that Revenue Administration (Amendment) Act, 2020 (Act 1029) introduces a Two-Tier tax appeal process for taxpayers who are dissatisfied with a tax decision? See the enclosed for more details. #KPMG #Tax #taxadvisory #TaxMasters #didyouknow #taxcrushthursday",,,1
KPMG US Tax,@KPMGUS_Tax,2020-11-25T16:38:49.000Z,"Happy #Thanksgiving2020 from all of us at KPMG #Tax!Quote Tweet
Greg Engel
@Greg_Engel_KPMG
 · Nov 25
From our family to yours, the @KPMGUS_Tax leadership team wishes you a very happy + healthy #Thanksgiving2020, cc @RemaSerafi.
2:09
122 views",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-25T15:25:04.000Z,"#KPMGTax presents the 2021 Personal Tax Planning Guide to provide valuable information and insights to support your year-end tax planning and ensure your tax position is in shape heading into 2021:

http://ow.ly/Xa8Q50CtLq9",,,
Vincent Valle,@VincentValle,2020-11-25T14:40:18.000Z,KPMG_US: Read the 2021 Personal Tax Planning Guide to learn how to support year-end tax planning and help you plan for the year ahead: http://ow.ly/kJcV50CtWmp,,,
Mike Madura,@mikemadura,2020-11-25T14:26:40.000Z,KPMG_US: Read the 2021 Personal Tax Planning Guide to learn how to support year-end tax planning and help you plan for the year ahead: https://bit.ly/3l2mQVb https://bit.ly/37bNBln,,,
Adebayo Oderinde,@BIGBAYO6,2020-11-25T09:58:29.000Z,"The Federal Government on Thursday, 19 November 2020, presented the proposed Finance Bill, 2020 (“the Bill”) to the State Governors at the National Economic Council Meeting. #KPMG #Nigeria #Tax #FinanceBill2020 #FinanceFederal Government presents Proposed Finance Bill 2020
Federal Government presents Proposed Finance Bill 2020 to National Economic Council...
share.social.kpmg",,,1
Victor Adegite,@VAdegite,2020-11-24T11:52:55.000Z,"The Federal Government on Thursday, 19 November 2020, presented the proposed Finance Bill, 2020 (“the Bill”) to the State Governors at the National Economic Council Meeting. #KPMG #Nigeria #Tax #FinanceBill2020 #FinanceFederal Government presents Proposed Finance Bill 2020
Federal Government presents Proposed Finance Bill 2020 to National Economic Council...
share.social.kpmg",,,
Robert Phillips,@citizenrobert,2020-11-24T09:41:05.000Z,"If you would like to join the global conversation on Responsible Tax, please sign-up for next week's webinar, hosted by KPMG International.

As we emerge from the pandemic and extraordinary fiscal measures of 2020, what does the fu…https://lnkd.in/dDiwqYH https://bit.ly/396SVJbRobert Phillips on LinkedIn: The future of Responsible Tax
If you would like to join the global conversation on Responsible Tax, please sign-up for next week's webinar, hosted by KPMG International. As we emerge...
linkedin.com",,,
"Hunter ""
Blo
"" Biden",@mrtweeterverse,2020-11-24T04:57:25.000Z,"Now that 
@TheDemocrats
 & #NeverTrump 
@GOP
 in our federal & state governments have faith in all systems, can we stop televising & wasting $ on 
@KPMG
 auditing our lotteries.
Also, can we NOT file tax returns & go with the ""honor system"" & just file our returns without forms.
#KAG",,,
The Tax Institute,@TaxInstituteOz,2020-11-23T23:55:22.000Z,"""I think there is potential for change with our international tax system ""~ Grant Wardell-Johnson, CTA, KPMG",,,
The Tax Institute,@TaxInstituteOz,2020-11-23T23:47:26.000Z,"How do we make our Tax System sustainable? 

""Make sure your bases are stable""~ Grant  Wardell-Johnson, 
@KPMG
  

#ProjectReform2020 #taxreform #thetaxinstitute #taxation",,,1
CIOT,@CIOTNews,2020-11-23T11:52:28.000Z,"It’s the final day to register for the Indirect Taxes Conference.

Day 1 includes Jeremy Woolf (Pump Court Tax Chambers), Catherine O’Neill (Ebay), Frankie Devlin (KPMG) & Gavin Orpwood (PwC).

For more information and to book visit http://tax.org.uk/Indirecttaxes2020…
#IndirectTaxes2020",,,
Adewale Ajayi,@walesj1967,2020-11-23T10:51:42.000Z,"The Nigerian Oil and Gas Update for Q2 and Q3 2020 is out.  This should make an interesting read for all oil and gas practitioners. #FIRS #oilandgas #KPMG #Nigeria #OPTS #IPPG #Finance #Business #Tax #Regulations #NNPC #DPRNigerian Oil and Gas Industry Update - Q2 & Q3 2020
Nigerian Oil and Gas Industry Update - Q2 & Q3 2020...
share.social.kpmg",,1,1
barb dawson,@takuarm,2020-11-23T10:12:36.000Z,"KPMG and Tax Havens for the Rich : The Untouchables - the fifth estate https://youtu.be/6LjMXmGdhrA via 
@YouTube
 
@JusticeCanadaEN
 @the_cra
 @KPMG
 @JustinTrudeau
 @DeputyPM_Canada
 WHY WAS THERE NO ONE CHARGED IN #CANADA? #USA WERE ABLE TO CHARGE FOR #TAXEVASION #CANADIANTAXPAYERKPMG and Tax Havens for the Rich : The Untouchables - the fifth estate
A story of money, secrecy and greed: a tax dodge for the wealthy dreamed up by one of the biggest accounting giants in the world KPMG Canada devised what it ...
youtube.com",,,
barb dawson,@takuarm,2020-11-23T09:57:18.000Z,"CRA signs secret settlement with wealthy KPMG clients involved in offshore tax scheme | CBC News https://cbc.ca/news/business/cra-kmpg-settlement-taxes-1.5154610?__vfz=medium%3Dsharebar… 
@KPMG
 @the_cra
 Why the #secretsettlement? Why do the #canadianpeople not have a say on the #government deal?CRA signs secret settlement with wealthy KPMG clients involved in offshore tax scheme | CBC News
The Canada Revenue Agency has once again made a secret out-of-court settlement with wealthy KPMG clients caught using what the CRA itself had alleged was a ""grossly negligent"" offshore ""sham"" set up...
cbc.ca",,,
JA Romania,@JARomania,2020-11-23T08:47:01.000Z,"685 students & teachers joined the online webinars provided by 
@KPMGRomania
 specialists: #IncomeTax & #SocialContributions + Romanian #legislation. Sessions about #Tax, #Accounting, #BusinessEnglish and #Cybersecurity are also scheduled. 
#KPMG #ABCTaxeImpozite #FinancialLiteracy",,1,
Nigeria Taxpayers Hub,@ng_tax101,2020-11-22T04:39:27.000Z,"KPMG on Multiple tax audit... save the date.Quote Tweet
Adewale Ajayi
@walesj1967
 · Nov 19
How do we resolve the conundrum of multiple tax audits? This is the thrust of #KPMGTaxChat in December. Why not join the conversation from 10.00am on Thursday, 3rd December, 2020. #KPMG #Tax #FIRS #multipletaxes ⁦@Olanike_James⁩ #Nigeria  https://linkedin.com/posts/adewale-ajayi-3bb14818_kpmg-social-media-chat-3-december-2020-activity-6735110574620848128-LgpK…",,,1
Tax Notes,@TaxNotes,2020-11-21T19:01:05.000Z,"Perspective: 
@KPMG
 authors highlight tax risks associated with business acquisitions, including transactions treated as asset acquisitions for federal tax purposes.Successor Tax Liabilities in M&A Transactions
William Potter, Amanda Bowker, and Rebecca Holtje highlight tax risks associated with business acquisitions, including transactions treated as asset acquisitions for federal tax purposes.
taxnotes.com",,,2
Joe Bailitz,@JoeBailitz,2020-11-21T17:14:04.000Z,"Did you miss 
@KPMG_US
's TaxWatch webcast discussion with our #GlobalMobilityServices professionals about navigating the year-end international and domestic tax compliance risks created by enforced remote working? The replay is now available online: https://bit.ly/38YVxsC",,,
Darina Barrett KPMG,@darinab_kpmg,2020-11-21T12:02:44.000Z,"Irish Revenue has published an updated Tax and Duty Manual which covers the tax treatment of expenses and benefits for certain e-workers. KPMG's Thalia O'Toole examines the implicationsCOVID-19: Work from anywhere
Irish Revenue updates tax relief for Domestic Remote Working...
social.kpmg.ie",,,
Victor Adegite,@VAdegite,2020-11-21T08:57:22.000Z,"KPMG Nigeria's Fiscal Guide 2020 provides an overview of the applicable taxes, regulations and available investment incentives to companies and individuals in Nigeria; as well as a snapshot of the country’s macro-economic position as at 2020. #Tax #NigeriaNigeria Fiscal Guide 2020
Nigeria Fiscal Guide 2020...
share.social.kpmg",,4,7
Vincent Valle,@VincentValle,2020-11-20T15:40:01.000Z,KPMG_US: The New York State Department of Taxation and Finance issued an advisory opinion concluding that receipts from digital advertisements produced using the taxpayer’s prewritten computer software were subject to sales and use tax. More in #TWIST: http://ow.ly/QRSI50Cqc8C,,,
Mike Madura,@mikemadura,2020-11-20T15:24:26.000Z,KPMG_US: The New York State Department of Taxation and Finance issued an advisory opinion concluding that receipts from digital advertisements produced using the taxpayer’s prewritten computer software were subject to sales and use tax. More in #TWIST: https://bit.ly/3kNZOBr,,,
KPMG US Tax,@KPMGUS_Tax,2020-11-20T13:45:10.000Z,"About 50 CTOs at a recent CTO-only event responded to COVID-related business questions for #KPMGTax, including how the pandemic has affected the relationship between the company's tax function and key decision-makers.",,,
Rick Rose,@rickrose5,2020-11-20T12:36:56.000Z,"Postelection: What’s your next move? KPMG’s panel will answer questions on healthcare, taxes and the deal markets. Join the conversation on Dec. 2, 1:00 PM EST. Register today! https://bit.ly/392bPB8",,,1
KPMG China,@KPMGChina,2020-11-20T08:24:44.000Z,"How is “work from anywhere” changing? KPMG speakers will discuss this trend at the KPMG People Services ASPAC webinar on November 27. The discussion will include tips on managing remote working arrangements. https://home.kpmg/cn/en/home/events/2020/11/kpmg-people-services-aspac-webinar-series.html…

#peopleservices #globalmobility #taxKPMG People Services ASPAC Webinar Series
Work from Anywhere – Where is this heading?
home.kpmg",,,
ITR,@IntlTaxReview,2020-11-19T14:49:20.000Z,"New horizons for dispute resolution under pillar one’s Amount A
http://spr.ly/6045HGJ6T

Mark Martin and Thomas Bettge of 
@KPMG_US
 describe the Amount A tax certainty process in the recently released pillar one blueprint.

#kpmg #kpmgus #itr #us #oecd #pillarone #amounta #tax",,,
Vincent Valle,@VincentValle,2020-11-19T14:40:06.000Z,"KPMG_US: A variety of tax issues surface while higher education institutions operate virtually. Learn more about the tax implications for institutions, employees, and students here: http://ow.ly/pcfS50Cni6Q #KPMGTax",,,
KPMG US,@KPMG_US,2020-11-19T14:25:05.000Z,"A variety of tax issues surface while higher education institutions operate virtually. Learn more about the tax implications for institutions, employees, and students here: http://ow.ly/pcfS50Cni6Q #KPMGTax",,,2
FACC-NY,@faccnyc,2020-11-19T14:17:25.000Z,"""For 2021, from a federal tax perspective, no news is good news. The one thing to look at may be state tax changes because of COVID."" -George Gans 
@KPMG
, #OneForum2020 panel: 2021 Crystal Ball: US Elections Impact on Transatlantic Relations, Business Taxation & Int. Employment.",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-19T14:05:11.000Z,"Join today's 12 PM ET TaxWatch Webcast as #KPMGTax professionals explore transfer pricing year end tax planning considerations and opportunities. Participants can earn CPE credit:

http://ow.ly/gZTG50ClGG8",,,
KPMG US,@KPMG_US,2020-11-18T14:05:26.000Z,"According to about 50 CTOs at a recent CTO-only event, the majority agreed that ""further tax law changes"" were their company's greatest challenge in 2021 from a tax perspective. #KPMGTax",1,1,1
KPMG Lower Gulf,@KPMG_LowerGulf,2020-11-18T14:03:21.000Z,"KPMG Tax Flash - New Public Clarification from the Federal Tax Authority https://bit.ly/3nBiBl4 #KPMGLG #KPMGTax Flash - New Public Clarification from the Federal Tax Authority
New Public Clarification from the Federal Tax Authority
home.kpmg",,,
Austin Peay Career Services,@Jobs4Govs,2020-11-18T13:30:39.000Z,"KPMG is hosting the Discover Leadership Program during winter break! This virtual leadership program is designed to give college students a sneak peek of Audit, Tax and Advisory services at KPMG. Complete this interest form by Friday to be considered: https://bit.ly/3pHmk2G.",,,
techNL (formerly NATI),@_techNL,2020-11-18T13:19:52.000Z,"Check out this year end accounting and tax webinar by our #techNL member 
@KPMG_Canada
.Quote Tweet
Andrea Brocklehurst
@AngieBrockie
 · Nov 18
Join @KPMG_Canada's #Atlantic team on November 24 as we provide you with the latest accounting and #tax changes impacting #privatecompanies. Register here: https://cvent.me/OK1o8G",,,1
Andrea Brocklehurst,@AngieBrockie,2020-11-18T13:10:37.000Z,"Join 
@KPMG_Canada
's #Atlantic team on November 24 as we provide you with the latest accounting and #tax changes impacting #privatecompanies. Register here: https://cvent.me/OK1o8GHalifax Chamber and 6 others",,1,1
Andrew Walker,@GAAPguy23,2020-11-17T16:26:04.000Z,"KPMG #Manufacturing Institute released their annual CoDB report.  The USA builds a strong case for skilled #workforce, while corporate tax cuts have significantly reduced cost.  Canada and Taiwan top the list over China and other familiar names.  https://nam.org/wp-content/uploads/2020/10/cost-manufacturing-operations-globe.pdf…",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-17T16:10:06.000Z,"Higher education institutions providing virtual classes and other educational services face a number of tax implications, especially when students or employees are located oversees. Learn more: #KPMGTax

http://ow.ly/H9iY50Ck4Xo",,,
Khmer Times,@KhmerTimes,2020-11-17T16:05:16.000Z,"According to the report reviewed by KPMG, for the third quarter of 2020 the company recorded total revenue of 584,246 million riels ($142.8 million) and profit after tax of 141,946 million riels ($34.7 million).ACLEDA Bank announces strong third-quarter results - Khmer Times
ACLEDA announces a strong third-quarter performance for profit and asset growth.
khmertimeskh.com",,,1
KPMG US Tax,@KPMGUS_Tax,2020-11-17T15:15:12.000Z,"Join #KPMGTax professionals as they discussed the Profit Diversion Compliance Facility (PDCF) with Her Majesty’s Revenue and Customs (HMRC) in the U.K. in this TaxWatch webcast replay:

http://ow.ly/yfTA50Ck6g4",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-17T14:15:11.000Z,"#KPMGTax reports that 82% of people surveyed during a recent TaxWatch Global Tax Dispute webcast indicated the volume and complexity of tax authority requests is increasing. Learn more in this TaxWatch webcast replay:

http://ow.ly/NIFt50Cj8sM",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-16T20:20:04.000Z,"Join #KPMGTax professionals as they explore transfer pricing year end tax planning considerations and opportunities in Thursday's TaxWatch Webcast at 12 PM ET. Participants can earn CPE credit: 

http://ow.ly/NtxP50ClGDd",,,
Financial Planning,@finplan,2020-11-16T18:39:36.000Z,"“History tells us that presidential tax plans don’t often come true on a word for word basis,” John Gimigliano, a principal-in-charge at 
@KPMGStimulus and McConnell will likely inhibit Biden’s tax plan
The president-elect's pledge to repeal President Trump‘s tax cuts as soon as he is inaugurated may be stymied for the foreseeable future.
financial-planning.com",,,1
Anthony,@ageanoules,2020-11-16T18:11:35.000Z,"KPMG #GlobalRewardServices Newsletter looks into the United States' generic legal advice memorandum (GLAM) on income inclusion, plus more top-of-mind tax, compensation and benefits news from Asia/Pacific, South America and European countries. Learn more. https://bit.ly/2IMCdU8",,,
Christopher Morgan,@chrismorgan_uk,2020-11-16T17:33:31.000Z,"Here's a link to 
@KPMG
's response to the 
@EU_Commission
's consultations on amendments to the Energy Tax Directive and a possible carbon border adjustment mechanism https://tinyurl.com/y34n4787
#responsibletaxComments on the European Commission’s public consultations on the Energy Tax Directive and Carbon...
Authors: Loek Helderman, Global Tax Lead KPMG Impact, Mike Hayes,  KPMG Impact Lead on Climate Change and Decarbonization and Chris Morgan, Head of Global Tax Policy, KPMG International 
responsibletax.kpmg.com",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-16T17:20:06.000Z,"Hear #KPMGTradeCustom professionals discuss how to leverage leading technologies to create new solutions & more in this replay of Part 2 of special TradeWatch series. Participants can earn CPE credit: #KPMGTax

http://ow.ly/UT6950Ck5A5",,,
Mike Madura,@mikemadura,2020-11-14T16:24:19.000Z,"KPMG_US: Louisiana's Act 16 establishes a one-time state sales tax holiday to provide relief for citizens recovering from Hurricanes Laura and Delta, as well as the #COVID19 pandemic. More in #TWIST: https://bit.ly/35vRimf #statetax",,,
Victor Adegite,@VAdegite,2020-11-14T09:08:47.000Z,"The National Pension Commission (PenCom) has issued a Press Release to announce the launching of the Retirement Savings Account (RSA) Transfer System on Monday, 16 November 2020. #KPMGNigeria #KPMGTax #Tax #Pension #Pencom #RetirementsavingsRegulatory Alert: Issue No. 11.2 | November 2020
PenCom launches Retirement Savings Account Transfer System...
share.social.kpmg",,,1
Going Concern,@going_concern,2020-11-13T23:40:01.000Z,"Friday Footnotes: KPMG Commits; PCAOB Plans; WFH Tax? | 11.13.20Friday Footnotes: KPMG Commits; PCAOB Plans; WFH Tax? | 11.13.20 - Going Concern
Things to consider for companies preparing for 2020 year-end audits [Compliance Week] The end of 2020 is on the horizon, and auditors at calendar-year companies are already planning and beginning...
goingconcern.com",,,1
Rick Telberg,@CPA_Trendlines,2020-11-13T23:32:03.000Z,"Friday Footnotes: KPMG Commits; PCAOB Plans; WFH Tax? | 11.13.20: Things to consider for companies preparing for 2020 year-end audits [Compliance Week] The end of 2020 is on the horizon, and auditors at… http://dlvr.it/Rldzdd >http://cpa.click/bonus #Careers #Big4 #Jobs",,,
Vincent Valle,@VincentValle,2020-11-13T21:40:07.000Z,"KPMG_US: This week's #TWIST lists #statetax and local tax measures that were approved and rejected by voters in Colorado, California, Illinois, and other states: http://ow.ly/6Vy350Cj10C",,,
Joe Bailitz,@JoeBailitz,2020-11-13T15:02:05.000Z,"Register for a roundtable discussion with 
@KPMG_US
 Advisory leader Carl Carande, 
@ConstanceHunter
 and 
@KPMGUS_Tax
 Washington National Tax team member Jennifer Acuna on 11/13 to learn how business can adapt and succeed in the #PostElection environment. https://bit.ly/2UsOShC",,,
KPMG US Tax,@KPMGUS_Tax,2020-11-13T14:10:11.000Z,"Tune in today at 1 PM ET for the last part of a special webcast series as our #KPMGTax professionals explore how jurisdictions worldwide are handling Global Tax Dispute Resolution mid-pandemic. Participants can earn CPE credit: #GlobalMobilityServices

http://ow.ly/tuAX50CeIRB",,,
Leslie,@lrdeluca,2020-11-13T14:00:38.000Z,"Register for a roundtable discussion with 
@KPMG_US
 Advisory leader Carl Carande, 
@ConstanceHunter
 and 
@KPMGUS_Tax
 Washington National Tax team member Jennifer Acuna on 11/13 to learn how business can adapt and succeed in the #PostElection environment. https://bit.ly/3ps7E7a",,,
Ken Koch,@KennethKoch,2020-11-13T13:59:02.000Z,"Register for a roundtable discussion with 
@KPMG_US
 Advisory leader Carl Carande, 
@ConstanceHunter
 and 
@KPMGUS_Tax
 Washington National Tax team member Jennifer Acuna on 11/13 to learn how business can adapt and succeed in the #PostElection environment. https://bit.ly/3lsnRH6",,,
"Darla Mercado, CFP®",@Darla_Mercado,2020-11-13T13:34:40.000Z,"Wealthy families, hoping to save on taxes, are in a holding pattern. Here’s why https://cnb.cx/2UqVbCp h/t 
@NorthernTrust
 @KeeblerRobert
 @KPMG
 @MarcumLLPWealthy families, hoping to save on taxes, are in a holding pattern. Here’s why
Everyone is watching two key Senate races in Georgia. Those elections, headed for runoff, could determine whether a raft of tax hikes is coming down the pike.
cnbc.com",,4,6
Vincent Valle,@VincentValle,2020-11-12T20:40:09.000Z,KPMG_US: How has the pandemic affected the relationship between the company's tax function and key decision makers? #KPMGTax reports the answers of about 50 CTOs at a recent CTO-only event.,,,
KPMG US,@KPMG_US,2020-11-12T20:40:06.000Z,How has the pandemic affected the relationship between the company's tax function and key decision makers? #KPMGTax reports the answers of about 50 CTOs at a recent CTO-only event.,,,1
