UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
ICICI Lombard GIC,@ICICILombard,2020-11-26T12:36:28.000Z,"Mr. Neeraj Gupta, Partner - Risk Assurance Services, 
@PwC_IN
, explains how unexplored ideas get converted to business strategies that cause disruptions and changes the landscape of risk management #IRMA2021 #RiskMasterClass #ICICILombard 
@CNBCTV18News",,,2
PwC Kenya,@PwC_KE,2020-11-26T10:25:42.000Z,How can NPOs ensure that #EmployeeMotivation is not adversely affected by the #COVID19 pandemic? Join Shreya Shah from PwC's People Risk Assurance unit next week to discuss Navigating tax and workforce changes in Kenya post COVID-19. Register here: http://ow.ly/jQ2F50CvsVf,,,4
Dipika,@_DipikaR,2020-11-25T09:08:37.000Z,"Gaslight much? 2013 still active US Securities cross border work related case, please ask Dana Deasy [Pentagon]; can verify my identity. Stayed in Arlington Virginia Q1 2019 before coming to France. I led BP Plc '2012' Assurance Review supported by PwC; F2F with Dana, CIO BP Plc.",,1,1
PwC Kenya,@PwC_KE,2020-11-25T07:25:03.000Z,"This week on #PwCAssurance, Del Matano from our Actuarial Services Unit discusses how Kenyan insurance companies can respond to #coronavirus. 'For strategy and survival, insurers will need to look outwards by finding new ways of engaging with their customers.' #PwCInsights",,3,15
Rashmi Bajwa,@Rashmibajwa,2020-11-24T15:54:26.000Z,It's more than the work you’ll do. It’s about the support you'll get from #teampwc to reach your full potential. Explore opportunities in PwC Assurance today: https://dy.si/hRd1A,,,
Bruno A. Bonechi,@BBonechi,2020-11-21T18:13:01.000Z,"Over the last eight months, the pandemic has made it feel almost impossible for working parents to separate home from work. Here, PwC Assurance Director Talat Mangla shares her working parent's survival guide.A working parent’s survival guide: What I learned working with three kids during COVID
PwC Assurance Director Talat Mangla writes about the challenges and rewards of parenting while working during COVID-19.
pwc.com",,,
PwC Assurance,@PwCAssurance,2020-11-21T16:00:09.000Z,"As we navigated through a challenging year, we made sure to put our people first. Assurance Leader 
@wes_bricker
 with more about our Audit Quality Report:Quality First, Purpose Always
Each year, PwC US releases its annual Audit Quality Report, a voluntary year-in-review that gives us the opportunity to share how our culture, values, people and processes come together to help us...
linkedin.com",,1,1
PwC Assurance,@PwCAssurance,2020-11-20T19:30:59.000Z,"Emerging technologies have revolutionized many aspects of business. If you want to turn today's ideas into tomorrow's solutions, apply now for opportunities in our Assurance practice. https://pwc.cm/tp/rj6.CY8IP-J-K…",,,
PwC US,@PwCUS,2020-11-20T13:44:13.000Z,"""As a new accountant, setting yourself up for success amid uncertainty may seem like an uphill battle, but it’s really a pivotal opportunity."" PwC’s US & MX Assurance Leader, 
@wes_bricker
, via 
@AccountingToday
 https://bit.ly/3kpOefo",,4,9
PwC Assurance,@PwCAssurance,2020-11-20T13:00:38.000Z,Here's how private companies adopting #ASC842 can evaluate their leases while saving time and driving efficiency: https://pwc.to/33xuHTX,,,
Pete Calleja,@PeteCalleja,2020-11-17T19:33:57.000Z,"Looking for growth in your tech career? Join our webinar on 3rd December to learn how your skills could apply to a career in Trust & Risk at PwC. In the session, we’ll explore cyber assurance, cryptocurrencies and enterprise technology transformation....PwC Australia on LinkedIn: Learn about a career in Trust & Risk at PwC
Looking for growth in your tech career? Join our webcast on 9th December to learn how your skills could apply to a career in Trust & Risk at PwC. In the...
linkedin.com",,,2
Sam Oluwatobi,@oluwatobi_sam,2020-11-16T07:59:23.000Z,"Go to Access Bank, GT, Zenith, KPMG, EY, PwC, Deloitte and co...they are being useful with treasury functions, compliance, assurance, ""debit this, credit that"" basicallyQuote Tweet
Nairametrics
@Nairametrics
 · Nov 16
Power Sector: There is a deficit of competent engineers in Nigeria - COO, IBEDC https://nairametrics.com/2020/11/16/power-sector-there-is-a-deficit-of-competent-engineers-in-nigeria-coo-ibedc/…",12,101,54
Center for Audit Quality,@TheCAQ,2020-11-15T15:00:33.000Z,"#ESG reporting isn’t new, but a variety of factors have thrust it into the spotlight. Learn more from Sheri Wyatt, Assurance Diversity and Inclusion Leader and Sustainability Partner at 
@PwC
: https://bit.ly/3jFZgg9",,,
PwC Assurance,@PwCAssurance,2020-11-14T18:00:29.000Z,"PwC’s US & MX Assurance Leader, 
@wes_bricker
, shares advice to help new accountants seize opportunities and make an impact, via 
@AccountingToday
 https://bit.ly/3kpOefo",,2,6
Vince Thompson,@vinnyinc,2020-11-13T17:45:51.000Z,"This week's #MELTU Alumni Spotlight features Elizabeth Feiber!
Elizabeth graduated from the MELT U Class of 2019. After her internship, Elizabeth accepted an offer with PwC in their Audit/Assurance practice.
Thank you Elizabeth!",,,4
Amelia Abbott,@Amelia_A_PwC,2020-11-03T16:47:57.000Z,"How did Jo Salter go from being the UK’s first female jet fighter pilot, to being a member of 
@PwC_UK
’s Staff Diversity council & Director in Risk Assurance? Come & find out in PwC's Virtual Park on Wednesday 4 Nov. Sign up to our events here:PwC's Virtual Park
Our Virtual Park will give you the chance to meet and talk to our people in a virtual world.
pwc.co.uk",,,
Karl,@PwCKarl,2020-11-03T16:04:12.000Z,"How did Jo Salter go from being the UK’s first female jet fighter pilot, to being a member of 
@PwC_UK
’s Staff Diversity council & Director in Risk Assurance? Come & find out in PwC's Virtual Park on Wednesday 4 Nov. Sign up to our events here: http://pwctrk.co.uk/tp/rj6.DmodK.J-K…PwC UK Careers",,,1
PwC Warwick Students,@PwC_Warwick,2020-11-03T15:35:47.000Z,"How did Jo Salter go from being the UK’s first female jet fighter pilot, to being a member of 
@PwC_UK
’s Staff Diversity council & Director in Risk Assurance? Come & find out in PwC's Virtual Park on Wednesday 4 Nov. Sign up to our events here:PwC's Virtual Park
Our Virtual Park will give you the chance to meet and talk to our people in a virtual world.
pwc.co.uk",,,1
PwC Assurance,@PwCAssurance,2020-11-03T13:02:06.000Z,"While national conversations about social justice advance,
#board efforts on racial and ethnic diversity continue to lag: https://pwc.to/2FH6pyT",,1,1
Michaela Gosselin,@MickyGosselin,2020-11-03T12:44:54.000Z,"On Friday 
@pwc_ci
's Risk Assurance Services Director, Christopher Eaton was featured in the 
@GuernseyPress
 for his perspective on what the GFSC's set of cyber security rules mean to firms, thanks Will Green for the coverage. See below or read the full feature on page 22.
#Cyber",,2,2
Hansjoerg Knieling,@hjknieling,2020-11-01T21:18:45.000Z,"Assurance Managing Partner, Matt Graham, summarises PwC Australia's 2020 Transparency Report, where we share how we improve audit quality and identify areas in which we're committed to doing better: https://pwc.to/3jFoawKBuilding trust in audit quality
In recent years there has been significant conversation about trust in business. We've learned that trust requires consistency, reliability and congruence - that we do what we'll say we'll do...
linkedin.com",,,
Jason Hayes,@jason_hayes_,2020-11-01T19:46:49.000Z,"Assurance Managing Partner, Matt Graham, summarises PwC Australia's 2020 Transparency Report, where we share how we improve audit quality and identify areas in which we're committed to doing better: https://pwc.to/3jFoawKBuilding trust in audit quality
In recent years there has been significant conversation about trust in business. We've learned that trust requires consistency, reliability and congruence - that we do what we'll say we'll do...
linkedin.com",,,
Rashmi Bajwa,@Rashmibajwa,2020-11-01T18:25:29.000Z,It's more than the work you’ll do. It’s about the support you'll get from #teampwc to reach your full potential. Explore opportunities in PwC Assurance today: https://bit.ly/2TL1rou,,,
Zelf Hussain,@ZelfHussain,2020-11-01T13:12:04.000Z,"How did Jo Salter go from being the UK’s first female jet fighter pilot to being a member of 
@PwC_UK
’s Staff Diversity council & Director in Risk Assurance? Come & find out at this Wednesday's PwC Virtual Park. Find out more and sign up to our events here: http://pwctrk.co.uk/tp/rj6.DmodK.J-K…",,,
Kevin Ellis,@KevinJDEllis,2020-11-01T09:56:02.000Z,"How did Jo Salter go from being the UK’s first female jet fighter pilot to being a member of 
@PwC_UK
’s Staff Diversity council & Director in Risk Assurance? Come & find out at this Wednesday's PwC Virtual Park. Find out more and sign up to our events here: http://pwctrk.co.uk/tp/rj6.DmodK.J-K…",1,14,63
PwC Kenya,@PwC_KE,2020-10-28T08:14:05.000Z,"Only organisations that invest wisely in the future of #technology will have a significant competitive advantage in their offerings. At PwC, we’re betting on 8 essential #EmergingTechnologies that should matter to your business. Read on. #PwCAssurance",,2,5
PwC Assurance,@PwCAssurance,2020-10-26T16:30:18.000Z,"""Corporate directors are still figuring out how to take the next meaningful step on diversity within the organization.""  PwC's Governance Insights Center Leader 
@paula_loop
 with more: https://pwc.to/3lggEcN via 
@EsgTodayPwC Survey: Only 38% of Board Directors Believe ESG Issues Have a Financial Impact - ESG Today
PwC released results from the firm’s Annual Corporate Directors Survey, revealing that while ESG issues are more frequently discussed at the board level, most board directors still do not believe...
esgtoday.com",,,4
PwC Assurance,@PwCAssurance,2020-10-24T15:01:21.000Z,"While #diversity conversations evolve nationwide, boardroom diversity continues to lag: https://pwc.to/2Gw5wJx via 
@CNBC",,,1
Alan Bennett,@ajb338,2020-10-24T07:10:02.000Z,"PwC’s Assurance and Capital Markets, Accounting Advisory and Structuring Services have provided support to 
@COMPASSPathway
 plc on its IPO listing https://pwc.to/2INZXHC #deals #makingadifference",,,
Rashmi Bajwa,@Rashmibajwa,2020-10-24T04:12:40.000Z,"Emerging technologies have revolutionized many aspects of business. If you're ready to turn today's ideas into tomorrow's solutions, join PwC Assurance. https://dy.si/mwh4Y",,,
Calsoft Inc,@Calsoft_Data,2020-10-20T20:45:02.000Z,"#MachineLearning Methods

#Infographic by 
@PwCAssurance
#ArtificialIntelligence #AI #ML #DataScience #DataAnalytics #BigData #NeuralNetworks #Python  #Tech #DigitalTransformation #Statistics 
@DataJunkie
 @davidwkenny
 @OriolVinyalsML
 @chrisalbon
 @tolcher
 @JameHealy
 @mjcavaretta",,1,1
Rashmi Bajwa,@Rashmibajwa,2020-10-20T14:40:53.000Z,"Emerging technologies have revolutionized many aspects of business. If you're ready to turn today's ideas into tomorrow's solutions, join PwC Assurance. https://dy.si/fvmsf",,,
Victor Parbat,@ParbatVictor,2020-10-20T14:39:02.000Z,"PwC’s Kevin O’Connell and Treesha Govender discuss the need for #assurance over your org’s data management #controls. Tune in to learn more.How can you really trust your data? Start with assurance over your data management controls
Companies are increasingly providing their customers more access to data, but how do they know they can trust the data? This podcast episode highlights the value of providing assurance over your data...
pwc.com",,,
PwC Assurance,@PwCAssurance,2020-10-20T13:00:44.000Z,"67% of directors believe issues like climate change should be taken into account when developing company strategy, up from 58% last year. But are #boards making enough strides on the ESG front? https://pwc.to/2FH6pyT",,,
Jose Guendulain,@GuendulainJose,2020-10-19T22:38:03.000Z,It's more than the work you’ll do. It’s about the support you'll get from #teampwc to reach your full potential. Explore opportunities in PwC Assurance today: https://dy.si/Rh1wMz,,,
PwC Assurance,@PwCAssurance,2020-10-14T13:00:31.000Z,"When asked, male directors were not convinced of the benefits of diversity in the boardroom - but female directors disagreed. https://pwc.to/2Gw5wJx via 
@CNBC",,1,
