UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
The Dope by TE,@TheDope_TE,2020-11-02T11:30:07.000Z,"According to PwC, a consultancy firm, due to the impact of COVID-19, the UK hotel trading performance is estimated to decline massively in 2021.
#thedopenews #travelinsights #ukPwC Research: No Recovery For UK Hospitality Until 2023 | The Dope
Due to COVID-19, the UK hotel trading performance is set to decline massively in 2021 taking four years to return to pre-pandemic levels.
thedope.news",,,
Consultancy.eu,@Consultancy_eu,2020-11-02T08:22:44.000Z,"PwC Norway partner Ole-Alexander Palm joins Seafood PeoplePwC Norway partner Ole-Alexander Palm joins Seafood People
Ole-Alexander Palm, a partner at Big Four firm PwC in Norway, is joining Seafood People.  Palm has been with the Big Four firm since 2014, and became a partner in the summer of 2019.
consultancy.eu",,,
The Dope by TE,@TheDope_TE,2020-11-01T13:30:11.000Z,"According to PwC, a consultancy firm, due to the impact of COVID-19, the UK hotel trading performance is estimated to decline massively in 2021.  
#thedopenews #travelinsights #ukPwC Research: No Recovery For UK Hospitality Until 2023 | The Dope
Due to COVID-19, the UK hotel trading performance is set to decline massively in 2021 taking four years to return to pre-pandemic levels.
thedope.news",,,1
"Marco Kinney
#JohnsonMustGo",@Obscure_Rebel,2020-11-01T09:48:33.000Z,"This 
 .
@RishiSunak
? The #RishiSunak who’s been spaffing away £billions of taxpayer money to his #Tory donor mates & #US #Consultancy vultures like .
@SercoGroup
 .
@Deloitte
 .
@PwC
 & the rest? #Sunak #SunakHasFailedTheUKQuote Tweet
Eric D
@DalbidEU
 · Nov 1
So it’s all ‘coming out’. Golden Balls #RishiSunak (He of the spending our Borrowed £Billions on cronies and inept equipment). Who finally said ‘we have lost this war’. Alongside Johnson he is responsible for prolonging the dithering at massive cost to lives, jobs and economy.",,,
The Dope by TE,@TheDope_TE,2020-10-31T07:30:06.000Z,"According to PwC, a consultancy firm, due to the impact of COVID-19, the UK hotel trading performance is estimated to decline massively in 2021.
#thedopenews #travelinsights #ukPwC Research: No Recovery For UK Hospitality Until 2023 | The Dope
Due to COVID-19, the UK hotel trading performance is set to decline massively in 2021 taking four years to return to pre-pandemic levels.
thedope.news",,,
China Economy,@CE_ChinaEconomy,2020-10-13T11:00:00.000Z,"China now has the second-largest billionaire group worldwide. Among 2,189 billionaires identified by UBS and consultancy PwC by end of July, 415 were from China. Total billionaire wealth reached $10.2 trln at end of July, of which China contributed 17%.2nd largest billionaire group worldwide is based in China
m.ce.cn",,1,2
Modern China,@PDChinaBusiness,2020-10-13T09:01:00.000Z,"China now has the second-largest billionaire group worldwide, being second only to the US. Among the 2,189 billionaires identified by UBS and consultancy PwC by the end of July, 415 were from China. https://bit.ly/2Ik1Onf",2,5,41
Gomathi Raghavan,@GomathiRaghava4,2020-10-13T08:24:35.000Z,"×
Quote:
Among the 2,189 billionaires identified by UBS and consultancy PwC by the end of July 415 were from China This represents a historical high reading that
makes the country second
only to the UnitedStates in
terms of the number of
people whose assets
are worth at least $1bQuote Tweet
AsiaOne
@asiaonecom
 · Oct 13
China has 2nd most billionaires in the world https://asiaone.com/china/china-has-2nd-most-billionaires-world?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter&Echobox=1602555904#xtor=CS2-4…",,,
Focus 聚焦中国,@FocusChinaEN,2020-10-13T01:31:32.000Z,"China now has the second-largest billionaire group worldwide. Among the 2,189 billionaires identified by UBS and consultancy PwC by the end of July, 415 were from China.",,,
Tech Arabia,@TheTechArabiaa,2020-10-11T04:31:00.000Z,"The consultancy PwC has acquired Dubai-based Tyconz’s enterprise division. Tyconz, a gold partner of software giant SAP, has an extensive regional base, with offices in Dubai, Riyadh, Doha, Beirut, Cairo, and Kuwait.",,2,2
