UserName,TwitterID,Time,Text,commentCount,retweetCount,likeCount
Ken Owens,@kenowenspwc,2020-11-27T12:43:14.000Z,"As the first EU DAC 6 reporting deadline approaches, the PwC Alternative Investments Tax Team takes a look at some of the key considerations for alternative asset managers in light of this new reporting requirement. Read more below.DAC 6 and the alternative funds landscape - Are you prepared?
The DAC 6 reporting deadlines The new DAC 6 reporting deadlines in Ireland are: 28 February 2021 for cross border arrangements implemented in the transitional period (25 June 2018 to 30 June 2020);...
pwc.smh.re",,,
PwC Philippines,@PwC_Philippines,2020-11-27T12:39:11.000Z,"Could streamlining the administration of tax treaties be a far-fetched dream? 
@PwC_Philippines
 Tax Director 
@chiarafeliz
 Gutierrez goes through the issuances governing #TaxTreaty benefits in her 
@bworldph
 #TaxwiseOrOtherwise column (26 Nov)
[READ] https://bworldonline.com/same-difference-dividends-and-branch-profits/…",,,1
STEP,@STEPSociety,2020-11-27T09:30:06.000Z,"#Cyprus approves draft budgetary plan setting out measures against aggressive tax planning with effect from 1 Jan 
@PwC_Cy_Press
 https://tinyurl.com/yyof29bq (pdf)",,,
seema ahmedabadi,@SAhmedabadi,2020-11-27T08:30:02.000Z,"The Office for Tax Simplification has published the first of 2 reports reviewing Capital Gains Tax. Our 
@PwC_UK
 experts have summarised the key themes and given context to the wider economic and political debates in a recent recording. Find out more - https://pwc.co.uk/services/tax/insights/capital-gains-tax-review.html…",,,
PwC Kenya,@PwC_KE,2020-11-27T07:05:03.000Z,"Register here http://ow.ly/O8EB50CvEwJ to join PwC experts from our Legal, People Effectiveness, People Risk Assurance, Immigration, Direct & Indirect Tax teams next week, for an indepth discussion on navigating tax and workforce changes in Kenya post #COVID19. Don't miss out!",,,4
PwC Kenya,@PwC_KE,2020-11-26T10:25:42.000Z,How can NPOs ensure that #EmployeeMotivation is not adversely affected by the #COVID19 pandemic? Join Shreya Shah from PwC's People Risk Assurance unit next week to discuss Navigating tax and workforce changes in Kenya post COVID-19. Register here: http://ow.ly/jQ2F50CvsVf,,,4
PwC Kenya,@PwC_KE,2020-11-26T10:25:29.000Z,How are NPOs affected by the numerous tax changes introduced in the recent past? Join PwC's Gideon Rotich next week in our next webinar: Navigating tax and workforce changes in Kenya post COVID-19 to discuss this in more detail. Register here: http://ow.ly/6AYE50CvsHh,,,2
PwC Ghana,@PwCGhana,2020-11-26T09:28:31.000Z,Do not miss this statutory compliance deadline. #StatutoryTax #ComplianceDeadline #Filing #PwCTax,,1,2
PwC Ghana,@PwCGhana,2020-11-26T07:51:52.000Z,Do you know about Tier 3 Contribution Relief?  #Tier3ContributionRelief #Filing #PwCTax,,1,5
Lee Ann Ritzman,@lritzman,2020-11-25T23:18:01.000Z,"What does the uncertain #tax political landscape mean for the C-suite? Pat Brown, Co-leader of PwC's National Tax office hosts the discussion in Tap into Tax. https://pwc.to/3q7RYqeTap into Tax: The Road Post-Election - What the uncertain tax political landscape means for the...
On this episode of Tap into Tax, Pat Brown, our Washington National Tax Services Co-leader, moderates a discussion surrounding the 2020 election results and the potential tax implications.
pwc.com",,,
Lynsey Gardiner,@GardinerLynsey,2020-11-25T07:44:03.000Z,"The Office for Tax Simplification has published the first of 2 reports reviewing Capital Gains Tax. Our 
@PwC_UK
 experts have summarised the key themes and given context to the wider economic and political debates in a recent recording. Find out more - https://pwc.co.uk/services/tax/insights/capital-gains-tax-review.html…",,,
Suzi Woolfson,@SuziLDavis,2020-11-25T06:17:31.000Z,"The Office for Tax Simplification has published the first of 2 reports reviewing Capital Gains Tax. Our 
@PwC_UK
 experts have summarised the key themes and given context to the wider economic and political debates in a recent recording. Find out more - https://pwc.co.uk/services/tax/insights/capital-gains-tax-review.html…",,1,3
Susie Simpson,@SusiesimpsonM,2020-11-25T06:14:29.000Z,"The Office for Tax Simplification has published the first of 2 reports reviewing Capital Gains Tax. Our 
@PwC_UK
 experts have summarised the key themes and given context to the wider economic and political debates in a recent recording. Find out more - https://pwc.co.uk/services/tax/insights/capital-gains-tax-review.html…",,3,2
Vince Tobia,@TobiaVince,2020-11-25T00:58:55.000Z,"Please join PwC's Tax Policy and Private Company Services teams days after election day to digest what we know and what we still may not to understand the impact to your business, personal tax planning and overall strategy. https://dy.si/DmGmk",,,
Vince Tobia,@TobiaVince,2020-11-25T00:58:01.000Z,"Register to join PwC’s year-end accounting webcast to hear key reminders on taxes, #LeaseAccounting, impairments, and more. We will also recap the AICPA/SEC conference and discuss the economy and policy post-election: https://dy.si/6fXB2",,,
Alan Bennett,@ajb338,2020-11-24T17:05:01.000Z,"Simon de Young takes the helm at PwC Cambridge as new Market Senior Partner, an experienced tax partner in our #Cambridge office who advises private businesses and private clients across East Anglia and London https://pwc.to/3l2oR3C #SouthEastAhead",,,
Peter Sidwell,@psidwellpwc,2020-11-24T14:44:36.000Z,"Finding the next step on the technology journey for your tax function is easier said than done. Watch 
@PwC_UK
 #SmartTaxSuite video to find out more about our next generation workflow and operational risk management solution. https://pwc.to/392lbwo",,,
PwC South East,@PwC_SouthEast,2020-11-24T14:41:49.000Z,"Simon de Young takes the helm at 
@PwC_UK
's #Cambridge office as new Market Senior Partner, an experienced tax partner who advises private businesses and private clients, across East Anglia and London. https://pwc.to/3l2oR3C #SouthEastAheadKeith Harrington and 9 others",,2,6
Carl Sizer,@CarlSizer,2020-11-24T14:37:20.000Z,"Simon de Young takes the helm at PwC Cambridge as new Market Senior Partner, an experienced tax partner in our #Cambridge office who advises private businesses and private clients across East Anglia and London https://pwc.to/3l2oR3C #SouthEastAhead",,,9
